layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,5.329165330212723e-05,-3.144196965237247e-05,4.3826889122721136e-06,-1.658180436317231e-05,-3.590655591333047e-05,1.644993735190739e-05,2.2197676536206706e-05,9.505457810101126e-05,1.1136622512019099e-05,3.281259310037773e-05,-0.00015771469299086666,-1.3956744017200593e-05,5.186454240944695e-06,1.738556969184569e-05,1.8080988701094418e-05,1.7762278603673823e-05,0.0011946984969681683,0.0005876817718360771,0.0005253604399232214,0.0002591258561365556,1.0914215006275182e-05,1.243795910274444e-05,0.00038381839516423675,0.00014117515975057285,0.0003381961876919071,0.00025078611781971207,0.0001157851869066248,-7.0176676222718385e-06,-5.705307478383319e-05,-5.062549299724352e-05,6.753820247015416e-05,-1.2878901229231123e-05
1,-8.903864163037554e-05,9.738964437493886e-05,-3.844481876647916e-06,-9.939080715273921e-05,-3.435498135970333e-05,1.6403840574333797e-05,5.0289482586734936e-05,1.3092571128566513e-05,-0.00011264298756189077,1.021983506373292e-05,-1.1273826547733637e-05,9.81533997315948e-06,1.3125080337802585e-06,3.821973684473968e-06,-7.65603537510259e-06,1.2692435985512393e-06,-4.8402478407754704e-05,-6.0085449279208444e-06,1.5187140689979176e-06,-3.863356287241499e-05,-8.253827573002378e-05,2.940859875852186e-06,0.00011126061815845428,1.3413568943880711e-05,3.82510682482329e-05,3.8831032777173236e-05,-6.355897843743363e-05,1.3923062906023349e-05,0.00044949081166988347,1.2657154947755453e-05,9.022927038643084e-05,2.6086241998691393e-06
2,0.0020203386358149267,3.175333543738171e-05,0.00029658099928672987,0.0006614660876677644,3.670824310858533e-05,1.910879688482067e-05,4.7867205554822046e-05,2.1450339614304686e-05,2.9398556414949894e-05,8.531881528780523e-06,2.32519514020464e-06,1.2348838469303851e-05,7.814801816139245e-05,7.207117821259644e-05,1.4190108953677824e-05,6.67101135344588e-05,2.3268417067081088e-05,6.852805520010736e-05,0.0002021087708450528,0.00011968173429062762,-1.7451401357132807e-05,0.00013273397073881705,4.3891244840978204e-05,-1.1441730281631736e-05,-1.9321392294723104e-05,0.00011149927288907975,2.9683978003100976e-05,9.723910958566694e-06,3.141736266352163e-05,1.2543270875080827e-05,1.371135896812725e-05,5.736578663253123e-05
3,9.821008200123979e-05,2.175333382776302e-06,1.803269866623592e-05,5.500734135768287e-05,6.369690273529757e-05,7.010087158334446e-06,-7.531273572835004e-06,0.00026324115510551713,-5.892954660481184e-06,7.767644865813246e-05,6.656388851050842e-05,-3.908278210986282e-07,1.5420192725684893e-05,-7.035476399110971e-06,-4.171739478496686e-05,-2.6020326204418608e-05,3.118600501500288e-05,2.8646218984516233e-05,0.0004563052000598937,0.00035761426632453444,5.055068978794845e-05,3.678632070636597e-05,5.798139823406174e-06,0.00023015440927254477,1.0105013764697284e-05,1.9769985730597176e-06,3.1669007941839455e-07,1.320878129375621e-05,2.3288584407269937e-05,5.1882035333644304e-05,2.264192478403528e-05,2.357311747531257e-06
4,5.188543001180851e-05,0.00012366442975075994,8.404462726671639e-05,7.773163579345223e-05,-1.0179323269714132e-05,-2.1665125329597056e-05,-4.1317106143420006e-05,-3.3962603794232657e-06,-1.839628050520053e-05,-4.8604942917281096e-06,-2.4370105255236553e-05,-1.3114549455759334e-05,0.0015914542172487866,0.0014311099770329835,0.00014144229435505108,0.002735555077505943,3.653590562982011e-05,-1.432912840424804e-06,5.489796777910769e-06,4.858307528608983e-05,2.1208768412352032e-05,2.595909801791525e-05,0.0003478145448228259,4.253632104151159e-05,6.973304196885175e-05,0.00017069410030890936,9.713112930110855e-06,1.7749815706969688e-05,4.998935171049483e-06,0.0003641779562561718,-7.843259255595927e-06,0.00017956659646495212
5,-1.4941500302068924e-05,-1.1356571090013105e-05,-3.49289343563956e-05,-6.697875655681082e-06,-3.8067625744029326e-05,-0.0009873011599629885,-0.0002771461066655615,1.7174591919888574e-05,2.241309395682718e-05,6.0170227676488294e-05,7.147569852850142e-05,7.587378452016901e-05,3.3572835703101106e-06,1.3676742106533916e-05,8.945755081962642e-05,1.850706508911487e-05,3.07546535923079e-05,-6.169316885776775e-06,2.825271600942944e-05,1.4408106329702802e-05,3.621029400409924e-05,8.102510826995632e-05,3.6353142061248896e-05,2.7676486364446056e-05,-5.981621292615959e-05,1.4295066775468277e-05,-2.709348728841952e-05,6.491130014229126e-05,-5.042236504955121e-05,0.0001621200996797924,7.794724213529217e-05,3.768317106219665e-05
6,2.8661238221474945e-06,-0.00021218847359417007,0.000629798735000441,0.00032847656878729837,-6.461578012457065e-06,0.00010849288686897235,0.00012810999326844677,0.00010437455778076565,3.8093838563241538e-06,0.00020253167099506823,8.629496237366196e-06,-5.493829065191818e-06,0.00010331422710428094,5.524298515635502e-06,-2.160487717191747e-05,1.1059043784337726e-05,0.0003368831852158731,1.3823814324077919e-05,1.3988388321478574e-05,9.17733235140043e-05,0.00012745664539125543,2.089950437591067e-05,0.00022780385145861423,-0.00010099482800805574,-0.00044858935045553677,2.4831805100720605e-05,-6.790773237563934e-05,0.0010772212371584354,8.724535418388365e-06,2.1732198266333423e-05,5.309123150332437e-06,6.88399936525656e-05
7,5.329691357733381e-05,0.0003869670506702548,0.0003397274886371598,-6.247851436753912e-05,0.00029691123357854444,-7.159835563030999e-05,3.3936202053787894e-05,-0.0002611000828810984,-5.620377944124108e-05,-0.00019184827048880607,5.802257125237775e-05,-6.699448720022246e-05,7.196755492365921e-05,0.00038539891008718634,-0.0002554298013968254,-7.829877729461221e-05,-1.8268206677797962e-05,0.001602015669107815,-8.213786310892521e-05,1.4241117682955863e-06,-0.00023550007687128804,0.0013454183345740268,0.00019467878266106296,-0.00013345848361588178,-9.072837663339197e-05,-2.140101936842112e-05,-0.0002619493782236904,-2.8309041837883926e-05,0.00019584782716778343,0.00029204348943501776,5.057421047976545e-06,3.655380001158796e-05
8,-4.700171021765202e-06,0.0004316309552562971,4.382358300137967e-05,-0.0001199624239926101,9.404498310361055e-06,-0.00022863177508824343,-4.218525818524042e-05,-6.059449750534489e-05,0.0001743489702227749,0.00010592078350236324,0.00018490362091789895,1.670819265906741e-05,-0.0003432163912596303,-0.0008396750017882536,4.9224084984103706e-05,1.5551988891489722e-05,0.00010378878392432673,0.00024520699082388245,0.00025653990248303786,7.362836136493021e-05,-0.00018459027146008452,-0.0012269244896817703,-0.0002345965139083737,-0.0027754265230544575,3.647503757439005e-05,9.34791404358377e-05,-0.00010447697669692624,3.0096756108399976e-05,9.382379768200685e-06,4.616570430209893e-05,9.322731582986477e-06,-2.852943615188817e-06
9,-8.918569318466111e-05,-0.0003897134456694975,0.0020908047393460283,-0.00021682526154676848,-5.3898562720007735e-05,-7.071751044404938e-05,3.245515415294282e-05,2.5551760253361157e-05,0.00014444840880090153,0.0007320602797857362,-0.00015153378106523875,1.2737729847903364e-05,0.0004666781085417878,-5.0344104434345304e-05,6.35056318080568e-05,3.918018280609586e-05,-0.00018201869943440443,0.00011194578819153858,9.795796663371926e-05,2.1123706633238185e-05,-8.04525264280522e-05,-3.469967993239013e-05,-0.0001687900577974387,-7.259807949398712e-05,7.354625147987222e-05,0.00014160639604940192,0.00018354263245209276,-0.00019001393990735797,0.0013239719977280607,0.00040277097191183497,-2.1328143007971025e-05,-0.0003324252111976005
