layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.0041594634184966214,0.003385079873574741,0.005294799804687497,0.004366488070101352,-0.00011054567388584729,6.375441680081612e-05,-5.3125458794684485e-05,0.0008500846656593081,0.0011010041108002514,0.001006848103291281,0.0047990953600084455,0.000830431242246891,0.00013935243761215482,-0.00013080803123683633,0.0002659462593697053,9.407868256436487e-05,-0.0006532411317567568,0.004856418918918916,0.01104736328125,0.0031174324654244107,0.0005322275934992567,-1.412468987542306e-05,0.006180634369721284,-0.00027146210541595676,0.012511382231841216,-0.0017691947318412137,0.04550913217905406,0.004983850427576017,-0.001557324383709881,-4.008210994100675e-06,0.06581899282094594,0.012153831688133443
1,0.0029229860048036326,0.0149383544921875,0.019381961307010132,-4.876948691703017e-05,0.0007135030385610118,-0.01283717799831081,0.026010874155405407,0.07123132654138513,0.001140465607514254,-0.5871648015202703,0.001105437407622465,0.0077456912478885195,0.001644057196539808,0.0128975687800227,0.0006411913278940521,0.0002709796299805325,0.006053099761138092,0.00034832310032198915,0.004339785189241984,0.006420393247862119,0.0024966678103885134,0.006447560078388935,0.0027907087996199326,0.004251840952280403,0.00041596953933301133,-0.000722743369437546,0.06278043179898649,0.003989632065231735,0.008967837771853884,0.00325342126794763,0.06887075063344594,0.008663074390308275
2,0.16043998099662163,0.0009116868715028514,0.005450274493243243,-0.042298188080658786,0.0026154389252533786,0.0001442690153379659,-0.0022061064436628944,0.0010574508357692393,0.012429727090371621,0.0013212255529455267,0.009980279046135982,0.0011252583684148055,-0.0037709828969594594,-0.005278510016364019,0.0012427149592219163,0.0051929370777027,0.0019461915299699103,0.00022855964866843234,-0.005361969406540327,-0.013097814611486486,-0.0010557239120070853,-0.9330394847972973,-2.3940033783783785,-0.08395344502217061,0.0009662525073901973,0.015063311602618243,-0.0045571198334565,0.0007699244731181324,0.006817237750903973,0.00045674556010478654,0.006775288968472867,0.001535132124617292
3,-0.0076978528821790545,-0.001346588134765619,6.459854744576947e-05,0.00033695633346969735,-0.0016324262361268806,0.016843538026551943,0.006461942518079603,-0.007984779976509713,0.0015266167150961372,0.0007653107514252487,-0.0035383379137193813,0.0033558510445259727,-2.3346092249899122e-05,0.006655325760712495,0.001528765704180746,0.0004611981881631255,0.003673914316538224,-0.0009753510758683432,-0.023881860681482264,-0.024908117345861486,0.012412921802417654,0.019715283368084882,0.009447252428209459,-0.008069012616131757,0.006348893449113176,0.011151288006756757,-0.14307300464527026,0.001016977671030408,0.0006434079763051595,0.004276713809451543,-0.0041934026254189976,0.01136491105363176
4,-7.000484982052435e-05,-0.014254183382601352,-0.01696406184016047,-0.01021926467483108,0.0015676214888289167,0.0013334525598062003,-0.0016694971033044757,0.000988573641390416,0.0075953715556376705,0.0025498415972735424,0.0056183273727829375,0.003721056757746514,-0.19135263803842906,0.0007621146537162162,-0.05210752744932432,-0.19143264358108109,0.0012130737304687513,-0.0013286487476245757,0.00017324976018956345,0.005427592509501689,0.002797874244483745,0.0007119436521787952,-0.015968116554054054,-0.001960445094752954,-0.0027285137692013325,-0.014938766891891891,0.0019192308992952865,0.0019330720643739405,-0.0010273392136032492,-0.1573587366052576,-0.006468360488479203,0.003547049857474662
5,0.00034511733699488695,0.001107840924649623,0.0014367804333970176,0.00012911010432887756,0.007214056478964316,-0.07348550332559121,0.008697509765625,-0.0056353388605891105,-0.0011249490686365108,-0.00045192563855969654,-0.01157729690139358,-0.008080972207559121,-0.0027098269075960706,0.001688183964909735,-0.011469196628879857,-0.0009149345191749378,0.001497114026868673,-0.000368189167332005,0.0009411476753853513,0.0002632141113281162,-0.0013964111740524705,0.00042384379618876485,-0.006141920347471495,-0.006565093994140628,0.004261480795370568,-0.5429819467905406,-0.0006163829081767326,-0.0025424441775760134,-0.0003901301203547271,-0.015398180162584459,0.003206613901499157,0.0023395435230152027
6,-0.002142300476899012,0.030289933488175675,-0.5675304515941723,0.12408117345861487,0.0025015135069151183,0.002062101621885554,0.0007291742273279135,0.004599287703230573,-0.005629513714764568,-0.1141563621727196,-0.019348453831028293,-0.0020962276974239866,-0.00037179766474542173,0.0009322037567963398,-0.008235415896853884,0.00012373602068101698,-0.0062070795007654195,-0.0005838033315297784,-0.000939858926309119,-0.0024440868480785486,-0.02354884792018581,-0.0021342200201910867,-0.009361421739732896,-0.0019009564373944272,0.011611010577227621,-0.004205652185388511,-0.014636890308277027,-0.14935941953916806,-0.0014291518443339487,-0.03311765516126478,-0.0006949966018264352,0.0025760547534839514
7,0.0005529442348995838,-0.0031016066267683675,-0.006303632581556165,-0.007293082572318411,0.021067026499155407,-0.027301375930373732,-0.010540111644847973,-0.025921383419552364,-0.002705187410921665,0.0007533511599978864,-0.004512065165751689,0.007078222326330235,0.009902541701858109,-0.05621363665606525,-0.0071825594515413866,-0.046705503721494936,-0.0034194121489653597,-0.08173432221283784,-0.4397170608108108,-3.919552364864865,6.639635240709197e-05,-0.10771220439189189,0.00432040240313556,-0.009138158849767736,-0.005606135806521854,-0.02158252612964527,-0.003730567725929054,-0.003054593060467692,-0.0048448717271959455,-0.0075770197687922295,0.029400799725506757,-0.014419968063766891
8,0.08368724101298564,0.14865813384184967,-0.011011896906672296,0.21042282516891891,-0.0032657417091163433,-0.0172882080078125,-0.004120543196394632,0.01595244536528716,-0.011882163382865291,0.008501542581094274,-0.025468568544130068,0.011625547666807432,0.0034839011527396566,-0.08861335548194679,-0.000785621436866554,-0.002891849827122049,-0.007313908757390203,-0.008727614944045609,-0.02322635135135135,0.006853052087732262,-0.04537551467483108,-0.12358464421452703,0.008768854914484796,0.13344924514358109,0.00019628937179978428,0.0016403713741817974,0.0012783359836887728,-0.002568811983675565,0.00010567742425042435,0.0001896523140572135,0.005089888701567776,0.0006162379239056531
9,-0.0005856075802364865,0.011293978304476352,0.37355742583403717,0.0024148064690667245,-0.019477534938502954,-0.004359064875422297,0.030596758868243243,-0.007155237971125424,0.005290624257680532,-0.27649915540540543,-0.006526225322001689,0.00020269445470861623,-0.13977638450828758,0.04344898945576436,-0.024781923036317568,0.017073244661898225,0.03067980585871516,-0.022443410512563343,-0.010430619523331925,-0.0006870579075168946,-0.008160127175820838,0.009884937389476878,0.002247939238677154,0.010752136642868454,-0.000990893389727619,-0.9002850506756757,-0.4391891891891892,-0.03109287571262669,-0.2290999953811233,0.03261421822212838,0.000638755592139992,-0.006872228673986487
