layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,-2.0219104603618235e-05,-0.00010824127922723051,-0.0001752644824528282,-0.00035558298537168226,5.9510656468652236e-05,1.3374488818471151e-05,1.6480731510696904e-05,-1.9706372413722025e-06,-2.9665354503504966e-05,-3.126117204524243e-05,-0.00020005548057012038,-2.9048337800376698e-05,-8.819881596392994e-06,9.91080717881641e-06,1.1231366503634534e-05,1.740871254124337e-05,0.0008272633499653328,0.0008234123798255492,0.00032557927296392164,0.00044616542036295375,-2.0087520974185435e-05,3.138548220772074e-06,0.0005995875870935891,4.7972198522599605e-05,0.0007810003217162117,0.00040619724715001607,-0.0009442615055622277,0.0003200748643104316,0.000718385784070579,-1.4144395922327987e-05,-0.0025264298670265454,-0.0010851368473373387
1,-8.238977184386268e-05,-0.0006205321491803685,-0.0010513313315371892,-5.371455345214249e-05,-2.3955966326777907e-05,0.000474642649316561,-0.000662729592784271,-0.0034215718554997028,-0.00011612203344112436,6.298557892087575e-05,-0.00013686813378674216,-0.00010353978575692913,-7.116190038279093e-05,-0.0007331813383026847,-2.8481869331063526e-05,-1.105774790284576e-05,-8.789710877625554e-05,2.07454391213488e-05,-5.1537141935950445e-05,-0.00032566721579163345,-0.00016561585069647315,-0.0002158099989127816,-0.00012660177687268692,-0.0002917931215887784,1.7909259312501665e-05,-1.893614060149501e-05,-0.003983535403872821,-0.00018798690968194654,0.0007950167648387979,-9.01955243335862e-05,-0.00236636976432498,-0.0007887687622650676
2,0.010323840351376783,-3.7732479500505386e-05,-0.004210651959934628,0.002130094307538258,-0.0001186565060623104,-6.72776801083623e-05,-0.00023327198723794519,-0.000278525798332106,-0.0010011880031289462,-0.00016386110317877112,-0.00040702396640686904,-0.00014677006166823872,7.328329675737892e-05,0.00040821492577505927,6.714449064856121e-05,-0.0003621770916196701,-5.980546803179714e-05,6.24767196159545e-05,0.0003271654555234584,0.00030166335793569197,-5.441633674497792e-06,2.1756356567284735e-05,0.0003484172035132652,-1.8350201438988837e-05,-5.4907165881004484e-05,-0.002093869797212386,-0.0005711205598858372,-8.149702462076846e-05,-0.001038304977296083,-0.0002168787262519077,-0.00019562319983771083,-3.7867747093720596e-05
3,0.0004651754291613015,-3.979323216361166e-05,-8.215239233146548e-06,9.535534068257304e-05,4.166534698897424e-05,0.0001303783120519576,-0.0006413920745607786,0.0002977676134668705,1.1472855052554505e-05,-4.989527484694336e-05,0.00017534515181358602,-0.0001366691052819215,-5.448780800385524e-05,-0.0007343813658894158,-9.460617358635432e-05,-3.924420938816682e-05,-0.00018127255507769988,2.094040581994974e-05,0.0026279334598789126,0.0009571806942415313,0.00046489431438657654,-0.0003444468351627116,-0.0004119631227713947,0.001005115297441437,-0.00010388900663131065,-0.00033012622887661317,-0.0004181604944582786,-0.0001715982772657875,-2.502450474468262e-06,-3.297619887652884e-05,-3.070130401103541e-05,-0.0002537225203355401
4,0.00014877527149278975,0.0015155441598544597,0.0006595738527325178,0.00047206727525133714,-3.507312995317985e-05,-4.911278677062048e-05,0.0014140435897416056,-0.00010050788356460536,-0.0005771994779680498,-3.732119800549358e-05,0.00010991323202045541,-9.940590609083557e-05,0.004073050811815942,0.0013262330068839145,0.004299293796158441,0.008727930616085578,-0.0001048443812386924,3.6528862410605385e-05,-3.5175029335988636e-05,-0.00013438117485227726,-0.0004470926457086193,-2.079682569307191e-05,0.0015854631475336767,0.00015992030099908064,0.0005857260593710537,0.0008845503092189976,-5.315034022988521e-05,-3.274193656423957e-06,2.34721390834509e-05,0.0011637909854459688,-0.00022063976989117364,0.0007373126675323146
5,-4.7808876128280216e-05,-3.3501022024502424e-05,-7.379385635327586e-05,-1.3745246711886715e-05,0.0002336048664268337,-0.0010200113577623563,-0.0006324583679295946,-0.0013852890244376637,0.00011988959486246476,5.008433775743066e-05,0.000296953929774168,0.0002763086188991928,0.00015933955717011233,-4.45079501192904e-06,3.438366196234893e-05,1.4481661625785597e-05,-0.00011571103532794084,-0.00027257345746700776,-3.067017924010854e-05,-0.00011236991632948047,-0.00012201250260681082,-0.00014545158047683598,0.00021484914559003124,0.00030742696650243556,-0.0015768585416669888,0.0016320526316502203,-0.00023587569948610486,0.00037981742157611176,-4.184982855988302e-06,9.118093741487964e-05,0.00018802195456817694,-0.0006710391037059852
6,-0.0001330000662765854,-0.0022368272397484154,0.0006204323987764336,0.004270913294869255,-0.00022271998143989563,-0.00026414889352257425,-9.18427756773496e-05,-0.0006753475938092704,-0.00014773412665172197,0.0006330221088488015,5.9490536358768456e-05,-0.00011178695267618359,1.7965321684412027e-05,-7.918826562666643e-05,-0.00044342530699426134,-3.2718652023942814e-05,0.00011139324085459168,8.894939996927918e-05,-9.642539047023598e-05,-6.272184489834286e-06,0.0002796850189354074,-0.00041647607286456295,7.304638954804049e-06,-0.0011597148212124546,-0.000573363810447052,0.00014488292760592058,-5.220875687153328e-05,0.0021763724494849447,-8.048969667800463e-05,0.00045081023746738316,-0.0002874965335223272,-0.0001490195466296978
7,-1.1731913274895645e-05,3.602878794239367e-05,0.000193555079247041,-0.00026938049993499943,0.0006729162249436657,-0.0002752914670530097,4.531842215125141e-06,-0.0013120865859622627,-0.0006989450348916026,-0.0019669283399869073,-0.0008862740264263852,-0.0024916970786504245,0.0008334705455556345,0.00034715558760895426,-0.001201413512796683,-0.00014689985054608558,-4.388047476327603e-06,0.005381691474733186,-1.0809787326210247e-05,0.00036729912372474255,-0.00030354123485825106,0.0025520626980982566,-0.00020940556956924652,5.043440877730036e-06,-5.604007920448059e-05,-0.0002834940485644455,-0.0016440952258707038,-0.000568949099388062,0.0010399977114234598,0.0003351129933884707,-0.0012490443306755151,-0.00024606157596062143
8,-0.002260598063280012,-0.0032570622802347462,-0.00044504398400356575,-0.01746734159684219,-0.0010199085846189085,-0.001375878480648277,-0.00020689216166404012,-0.0004594140876491929,6.030063054829873e-05,-0.000601450350318582,-0.0008397140140200947,-0.0017591769646162468,-0.0017416957063266856,-0.0018859075857606822,-0.0007887748077440941,-0.0002897518750415918,0.00012571082440117868,0.00022283635691115294,0.0005534756958201268,-7.260544742155025e-05,-0.00031588534734517374,-0.000717811463563076,-0.00032073382152430433,-0.010529120637195424,-0.0002606194672985043,-0.0005924728139644568,-0.0008919650892448114,-5.0646756228101294e-05,-0.0002888791534677742,-8.477480778036708e-05,-0.00023910341852251672,-3.001781655755798e-05
9,-0.00039683431150796107,-0.0006593086073402372,0.009356660434825673,-0.0010045719600139443,-0.0004278151244633547,-0.0009269396967819868,-0.001418222527118568,2.078095631062985e-05,0.00010380843173116183,0.0013774986690273377,-0.0003919480530849159,-0.00022878359690332203,0.005363065353853011,-0.002081533997259125,0.0008584723797539712,-0.0012222568131097713,-0.0018382699667179455,-0.0010579845228965985,-0.0004342747188030076,-0.0002964185270378964,3.598042411018252e-05,-0.0005414111867381728,-0.0008803222523249465,-0.0006219331889447246,-0.00025751492489725565,-5.519144508615738e-05,-5.178628179426339e-05,-0.0006047443807030633,-0.0049039021535834115,0.000902272630984734,-0.00012180582279259703,-0.0010568479728396457
