layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,-0.00039108276367187596,-0.0020747375488281263,-0.0041363525390625,-0.00196685791015625,-0.00018584251403808022,-0.00023732185363768696,-0.00010590076446531427,2.74658203125e-05,-0.0004541969299316401,8.831024169921601e-05,-0.00022224426269531195,-0.0006492233276367159,-4.0054321289060494e-05,-1.4247894287096295e-05,-0.00013715744018552798,-7.553100585936e-05,-0.043094482421875,-0.010093536376953125,-0.0160467529296875,-0.005657196044921876,-0.001152801513671874,0.00020238161087036169,-0.0085528564453125,-0.00038571357727050894,-0.015006103515625,-0.009013671875,-0.041298828125,-0.0071978759765625,-0.010427703857421875,0.0002478599548339896,-0.017470703125,0.0012628173828125
1,0.00024361610412597525,0.00464813232421875,-0.0007584095001220704,0.001599931716918946,-0.0008146286010742179,-0.006249313354492188,-0.00724609375,0.0012939453125,0.0009205245971679659,0.3974609375,-0.001169509887695316,-0.002141494750976562,0.00022710800170898802,-0.0016232323646545432,4.8523545265194686e-05,0.00012656450271606717,0.000277709960937498,0.00041916847229004684,-0.0009261703491211021,0.001314907073974606,0.001612358093261714,-0.0023367476463317903,-0.0007745361328125019,-0.00031089782714843403,7.31658935546895e-05,0.003297786712646484,-0.0103173828125,-0.000978021621704101,-0.010601043701171875,-0.0019830322265625,-0.0110009765625,0.00675048828125
2,-0.18894287109375,0.005930500030517576,0.07639301300048829,0.00096954345703125,0.0008692169189453119,0.0004379177093505817,0.002592468261718754,-0.0002197742462158199,-0.001143875122070312,0.001279954910278317,-0.00067596435546875,-0.002121505737304684,0.0043731689453125,-0.001096343994140626,0.000953693389892574,0.01567291259765625,0.001775846481323242,0.000480709075927738,0.004309577941894532,0.012424163818359375,0.0004415750503540067,1.1141015625,2.068125,0.0607366943359375,0.0016704559326171805,0.0061006355285644544,0.002029991149902344,0.0019355392456054602,-0.0015461730957031239,0.000539779663085936,0.000774993896484376,0.00397794723510742
3,0.0031451416015625,0.000289325714111328,0.0007651567459106409,0.001989078521728514,-0.0031168937683105436,-0.008097496032714844,0.001407546997070312,0.005113754272460934,0.0005012512207031245,0.001407966613769524,0.003858642578125,-8.423805236816226e-05,0.0011407256126403753,0.0031674957275390618,0.002300720214843748,0.0007730126380920372,0.00047704696655273603,0.00043725967407226595,0.026376953125,0.01958984375,-0.0100982666015625,-0.003060035705566408,-0.000557403564453124,-0.002056427001953126,0.0007740402221679698,-0.004350376129150391,0.0335125732421875,0.001343097686767577,0.00242804527282715,0.000461444854736328,2.975463867187604e-05,-0.0053229522705078155
4,-0.00269405364990234,0.03050537109375,0.03804229736328125,0.008275146484375,-0.00015369415283202875,1.2152194976810149e-05,-0.002982177734375,0.0004931640624999959,0.001223831176757814,-0.001183204650878902,0.0036478805541992182,-0.0024689865112304675,0.2328387451171875,-0.0203271484375,0.0400860595703125,0.07310546875,-6.268739700317429e-05,-0.0006724739074707045,0.0009869956970214868,-0.00102752685546875,-0.0026741218566894544,-0.0005327653884887802,-0.01787109375,0.0035362243652343763,0.0061602783203125,0.0044970703125,-0.00127880096435547,-0.00111988067626953,8.3389282226562e-05,0.10061111450195312,-0.0025528717041015643,0.01854461669921875
5,0.00041344404220581334,0.0027098846435546857,0.0018563842773437539,0.00040719985961913723,-0.028840827941894527,0.03533935546875,-0.0781829833984375,0.03765731811523437,0.00531036376953125,0.00123046875,-0.0005767822265625,0.00386474609375,0.0007999801635742179,0.0058270263671875,0.016465301513671874,0.00421497344970703,-0.00024161815643309988,0.0009048271179199189,-4.4274330139161577e-05,-0.0007780981063842798,0.007970199584960938,0.006511688232421874,0.008009185791015627,0.004158935546875003,0.0074774169921875,0.3425140380859375,-0.00299163818359375,0.001906051635742188,0.006654129028320312,0.004769287109375,0.0017437744140625,-0.003950958251953124
6,0.0027140045166015644,-0.03194580078125,0.640859375,-0.2349713134765625,-0.000970993041992186,-0.0026002883911132803,-0.00089137077331543,0.0008565139770507819,0.017801132202148434,0.05372802734375,0.032613372802734374,-0.02363494873046875,0.0041402435302734355,0.003300828933715819,0.00591278076171875,0.0014659214019775314,0.004888830184936524,-0.0012801742553710895,0.00026008605957031193,0.0008489608764648421,-0.001387939453125,-0.0039825439453125,0.00385528564453125,-0.007057342529296874,-0.00121246337890625,0.005561981201171876,0.003082275390625,0.09219879150390625,0.003203001022338869,0.017342910766601563,0.0005644798278808601,0.00904491424560547
7,0.0014505815505981446,0.030738525390625,0.009366722106933593,-0.00819000244140625,-0.021886062622070313,-0.004036331176757812,0.001468963623046876,0.025802001953125,0.004973602294921874,0.0006740570068359381,0.002224502563476564,0.007855110168457032,0.009521560668945314,0.01155303955078125,0.01169189453125,0.01506378173828125,0.004932441711425778,0.04005126953125,0.8035546875,3.19015625,0.0074198913574218765,0.1093743896484375,-0.005229034423828126,0.0133905029296875,0.0005686187744140641,0.0056232833862304675,0.025191650390625,0.008171920776367185,-0.001778106689453126,0.0058984375,0.0124609375,-0.006429595947265624
8,-0.036461181640625,-0.11793609619140626,0.08330078125,0.018970947265625,0.004661903381347658,0.00398834228515625,0.010195999145507813,-0.02133033752441406,0.0175469970703125,0.013476104736328124,0.0265142822265625,-0.0430596923828125,-0.013158187866210938,0.166322021484375,0.001205291748046878,0.001839218139648434,0.00022750854492187403,0.006068115234375,0.0041265869140625,0.0018169021606445298,0.03069082260131836,0.23606346130371095,0.01002349853515625,-0.123685302734375,0.004787044525146488,0.0016270828247070262,0.00633270263671875,0.010097274780273438,0.00101654052734375,0.0006512117385864228,0.0016400289535522484,0.00048378229141234964
9,0.022014389038085936,0.001340904235839844,-0.29467971801757814,-0.003744964599609374,0.01795494079589844,0.016520881652832033,-0.0011151123046875,0.00302160263061523,0.002698516845703126,0.10497314453125,0.021531333923339845,0.000307960510253908,0.879705810546875,0.0102471923828125,0.0992425537109375,0.02268646240234375,-0.025248565673828126,0.1805608367919922,0.018363227844238283,-0.00087501525878906,0.002158737182617188,-0.001141891479492184,-0.003912506103515622,-0.011725540161132815,0.0064704418182373056,0.950703125,0.80849853515625,0.0791259765625,0.30956085205078127,-0.00129913330078125,0.0015854072570800782,0.060577392578125
