layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,-0.012162861071134868,-0.01429186369243421,-0.020546762566817433,-0.020045230263157895,0.0001014659279271235,-0.0005346599378083526,-0.00035966070074780807,-0.002186022306743421,-0.002533561304995884,-0.002403886694657175,-0.004822480051141032,-0.002798381604646379,-0.00024619855378801576,-0.0003736395584909299,-0.0007456729286595263,-0.0005110690468235736,0.005358244243421052,-0.017100283974095395,-0.035858154296875,-0.016493947882401317,-0.0037452296206825627,-0.00019595497532893388,-0.025107935855263157,-0.0004095027321263357,-0.03670140316611842,-0.007812098452919411,-0.1152600740131579,-0.019230892783717105,-0.014317562705592105,0.0007597145281339825,-0.15416837993421054,-0.007657101279810852
1,-0.0013879474840666104,-0.01939954255756579,-0.005461140682822779,0.002778103477076478,-0.003685399105674342,0.012303402549342105,-0.055497018914473686,-0.08133095189144737,5.6668331748568476e-05,0.45199424342105265,-0.0016561809339021368,-0.007436250385485194,-0.0037905040540193212,-0.01337204481426038,-0.0005896311057241204,-0.0005477102179276158,-0.004454060604697779,-0.0010725322522615,-0.004334499961451479,-0.002472526148745884,0.0004924974943462158,-0.007918909976356905,-0.004535875822368421,-0.0065351787366365105,-0.0006080552151328474,-0.0016086477982370526,-0.05608167146381579,-0.007875141344572368,-0.029485200580797698,-0.009272525185032895,-0.09024208470394737,-0.01152600740131579
2,-0.10819927014802631,-0.0018900821083470368,0.01772107576069079,0.04751908151726974,-0.0032069808558413833,-0.0014212758917557444,0.0018545953850997053,-0.0032655314395302264,-0.02531995271381579,-0.00515585196645636,-0.012173702842310858,-0.006122789884868421,0.010334215666118422,0.0012560392680921052,-0.001282942922491779,-0.03275339226973684,-0.003307643689607316,0.0002867046155427579,0.0014873303865131579,0.005321703459087168,0.0007070616671913598,1.3777754934210527,2.0534539473684212,0.08514243678042763,-0.0003303226671720684,-0.006855211759868421,-0.0023322858308490895,-0.0015747672633120862,-0.012431847421746505,-0.002397436844675163,-0.009035612407483552,-0.000580938238846621
3,0.007229453638980263,0.0015807904695209736,0.0005264784160413105,0.0005909769158614389,-0.0066172951146175945,-0.010297072561163653,-0.012438322368421052,0.006934517308285358,-0.0017714500427246159,-0.0011687027780633158,0.0061938637181332265,-0.0076611167506167735,-0.0003837284288908158,-0.014543232164884868,-0.002162632189298932,-9.11009939093194e-05,-0.002073789897717926,0.002412896407277963,0.01790257504111842,0.032506039268092105,-0.03035374691611842,-0.015393708881578948,-0.009203057540090464,0.004131919459292763,-0.011356152986225332,-0.03334848504317434,0.03097373560855263,-0.005984707882529811,0.001324101498252458,-0.004806920101768089,-0.0037072834215666154,-0.012668810392680922
4,0.0004509122748123959,0.03400621916118421,0.03338221499794408,0.017266524465460526,-0.0004808149839702395,-0.00015504736649362034,0.0012901707699424316,0.0005986439554315038,-0.006763357865182974,-0.002905042547928663,0.003463443956877053,-0.004901032698781874,0.27131090666118424,0.02085474917763158,0.06196032072368421,0.21566611842105263,-0.008806931345086352,-0.004774394788240137,-0.001944039997301605,-0.006272039915386005,-0.006564090126439142,4.826093974865603e-05,0.046232524671052634,0.006829914293791121,0.01848401521381579,0.022383840460526317,-0.004658749229029605,-0.0001975611636513158,0.0005137794896176,0.14057681435032895,0.0024290084838867266,0.026641845703125
5,-0.000782703098497889,0.0005651775159333843,-0.0003735391717208106,-0.00038626319483707483,-0.008673416940789474,0.026444284539473683,-0.026058799342105265,0.04393808465254934,0.011797453227796052,0.0037793611225328946,0.0073226125616776315,0.007920114617598685,0.00017203782734119476,0.002083226254111842,0.016484310752467105,0.0025015379253186683,-0.0025023912128649245,-0.002510472347861842,-0.0021409486469469562,-0.0011018451891447315,0.0046828420538651315,0.0030975341796875,0.011307565789473685,0.006092272306743421,0.010109349300986841,0.3100328947368421,-0.0027925591719777944,0.004940635279605263,0.013476723118832237,0.027645713404605265,-0.00916491056743421,0.020702964381167765
6,0.005120528371710526,-0.0849609375,0.7711824115953947,-0.20208418996710525,-0.0049759714226973685,-0.011318608334189963,-0.004005883869371919,-0.011220229299444906,0.017314910888671875,0.09651585629111842,0.008830823396381578,-0.031982421875,0.004865345201994247,0.0013770304228130055,-0.050076735647101155,0.00048080243562397896,0.008793680291426811,0.0010767484966077315,0.005253842002467105,0.0037432218852796054,0.0101318359375,5.260266755756323e-05,0.010745399876644737,-0.009739925986842105,-0.003970196372584289,0.010957818282277964,0.017796566611842105,0.15382786800986842,0.0032421915154708,0.026717336554276317,-0.0029680352461965527,-0.010615298622532895
7,0.001273105019017263,0.032628109580592105,0.007413161428351159,0.009044647216796873,-0.02337485865542763,0.0032364694695723685,0.011710719058388159,0.028164512232730265,0.020159269634046052,0.0026393689607319055,0.00794601440429688,0.008975179571854447,-0.006922270122327306,0.020303023488898026,0.019675003854851974,0.033787777549342105,0.004771684345446126,0.09993061266447369,0.7475842927631579,3.3449835526315788,0.005892502634148847,0.05360814144736842,-0.015652305201480265,0.024735300164473683,0.01321973298725329,0.005227741442228616,0.022125244140625,0.008723409552323194,-0.0002877084832442474,0.01999061986019737,-0.03040514494243421,0.021436189350328948
8,-0.03934840152138158,-0.19447567588404605,0.0009765625,-0.09621389288651316,0.005930850380345395,-0.0011082699424342106,0.008802313553659536,-0.03263292814555921,0.023001018323396377,0.015695873059724506,0.01313741583573191,-0.04460947137129934,-0.02553608542994449,0.17417666786595395,-0.0025020398591694103,-0.0010139063784950684,0.006983706825657895,0.01581774259868421,0.014473362972861841,-0.0038697092156661154,0.041350515265213814,0.3091302168996711,-0.01334581877055921,-0.1725977847450658,-0.0031224300986842104,-0.004871970728824016,0.0036058927837171054,0.004140753495065789,-0.0014487818667763158,0.001308842709189958,-0.001446049464376346,-8.342140599300427e-05
9,0.009713825426603621,-0.014876516241776315,-0.2428699292634663,-0.004584563405890216,0.018337450529399668,0.00801759017141242,-0.04610402960526316,0.006733241834138573,-0.007887990851151315,0.18424265008223684,0.006794176603618421,0.002617083097759042,0.48052657277960525,-0.05977429841694079,0.07940995065789473,-0.03680098684210526,-0.050105044716282895,0.143341064453125,0.013739334909539474,-0.0007350319310238473,0.006999768708881579,-0.005591944644325658,-0.004956697162828948,-0.027774810791015618,0.01190898292943051,0.6476151315789473,0.5299136513157895,0.08719032689144737,0.16613367984169408,-0.007551092850534543,0.0008882221422697315,-0.008024516858552632
10,-0.0038773386101973685,-0.04694788079512747,0.16180419921875,0.024954544870476974,0.009613639429995885,-2.1583155581789137e-06,-0.003240886487458884,0.001806560315583879,-0.8751541940789473,-0.040771484375,0.02664023951480263,0.038275869269120064,0.005576083534642278,0.024283158151726974,0.06366207725123356,0.0038512380499588846,0.0017652009662828948,0.00329148141961349,0.000955581665039058,0.0004723197535464579,-0.17727179276315788,-0.3604672080592105,-0.07946134868421052,0.20666262978001645,-0.026858681126644735,-0.09652549342105263,0.16070155093544408,0.04355420564350329,0.04258085552014803,0.09288908305921052,-0.10955810546875,0.17551462273848684
11,0.016699539987664474,0.00037198317678350525,0.018172414679276317,-0.0018099734657689057,-0.42831260279605265,-0.04104674489874588,-0.6667127107319079,0.0750379060444079,-0.0032420911287006633,-0.10269325657894737,-0.052828738563939145,0.2210291812294408,0.5522203947368421,-0.027667999267578118,0.6635485197368421,0.06520000256990131,-0.009540758634868422,0.00015861109683388422,-0.12957763671875,0.0055802997789884895,0.625745271381579,0.0632581208881579,-0.06402266652960527,-0.022515547902960526,-0.004863538240131579,-0.15306332236842105,0.016720420435855265,0.026293704384251642,0.027689883583470395,2.521946957236842,-0.008782637746710526,-0.135406494140625
12,0.0012278807790656,-0.010331806383634868,0.01889419555664062,0.006668893914473684,0.2577354029605263,2.3012098513157554e-05,3.5279605263157894,2.016524465460526,-0.4939414576480263,0.9988563939144737,0.0004381694291767249,0.04758814761513158,-0.14658395867598684,0.3629214638157895,0.13999677959241366,-1.4940635279605263,-0.09436677631578948,-0.24658203125,-0.10161791349712171,-0.4519866140265214,0.17599969161184212,0.32342208059210525,-0.06464586759868421,-0.6609529194078947,-0.19112034847861842,0.06749082866467927,0.17504561574835525,-0.006041677374588816,0.21199115953947367,-0.02829140111019737,-0.05743086965460526,-0.015457956414473685
13,0.04674650493421053,-0.06553890830592106,0.016309236225328948,-0.03472579152960526,0.04718338815789474,-0.21101459703947367,-0.04468415912828947,0.138671875,-0.2757720947265625,-0.0029902207223992633,-0.0008838051243832212,0.45263671875,0.12196591025904606,0.29366904810855265,0.03887377287212171,0.005073948910361842,-0.17366108141447367,-0.013675087376644737,0.07015830592105263,-0.06004574424342105,0.003462540475945721,0.03644762541118421,-0.17207497044613487,-0.001953125,-0.05348607113486842,0.4986765008223684,0.06812969006990131,0.2581658614309211,-0.13351601048519737,-0.14158228824013158,-0.00025859631990131577,-0.009463661595394737
14,0.11618202611019737,0.05115067331414474,-0.7831774259868421,0.10721949527138158,-0.03874768708881579,-0.02508544921875,0.0002971448396381579,0.0052490234375,1.537083675986842,-4.141142192639802,0.18552760074013158,0.13226639597039475,-0.009585731907894737,0.0003876937063116791,0.00022928338301809475,0.0126645941483347,0.009203057540090457,-0.007993999280427632,0.912645841899671,0.03177682976973684,-0.0033713892886513158,0.14427827533922696,-0.0430908203125,0.027740478515625,0.787366365131579,-1.2228489925986843,3.3927837171052633,0.026410554584703948,0.04505037006578947,0.048090884560032895,-0.011868075320595185,0.0691174958881579
15,0.9095057437294408,0.6358963815789473,-0.12856734426398025,0.025489505968595807,0.0036452443976151315,-0.3312185187088816,-0.38651315789473684,0.9612458881578947,0.45479543585526316,0.29253186677631576,0.24001593338815788,0.08556486430921052,-0.027159841437088817,-0.0013800671226099886,-0.025146484375,0.0003350784904078417,-0.19547311883223684,0.08723048159950658,-0.021813643606085526,-0.033703854209498355,0.1179351806640625,2.536184210526316,0.2776971114309211,0.5184004934210527,-1.2783627761037727e-05,0.30248220343338816,0.013772261770148026,1.2025596217105263,0.0892076994243421,-0.056884765625,-0.08208586040296052,0.08150120785361842
16,-0.01747091192948191,0.06359622353001644,0.020731875770970395,-0.10016451383891858,-0.02127235814144737,0.01584524857370477,-0.0070660239771792735,0.14338041606702304,-0.015747873406661183,0.009354189822548311,0.005819257936979595,-0.008997465434827306,0.5235402960526315,0.16364408794202304,0.1291965685392681,0.03382632606907895,-0.16820646587171054,-0.19662395276521383,0.0031611793919613528,-0.022447284899259862,0.05925309030633224,0.21024362664473684,0.3230831748560855,0.010046707956414474,0.1808568050986842,0.22062602796052633,0.0026451913934004896,0.08200474789268092,0.08790829307154606,0.42670641447368424,-0.03342076351768092,0.040733337402343764
17,0.1145983244243421,0.14041940789473684,0.09653834292763158,0.018802040501644735,-0.0039083957672119115,0.006722701223273026,0.0028174550909745104,0.004412600868626642,0.15210844341077304,0.008728830437911185,-0.03985154001336349,-0.008379082930715457,-0.03456838507401316,-0.005912780761718742,-0.008259020353618422,-0.012378893400493422,0.03639622738486842,0.05141007272820724,0.00046800312243010017,-0.037321391858552634,-0.0104522705078125,-0.0059414223620766135,-0.006444184403670464,-0.006033646432976974,0.3813926295230263,0.6431435032894737,0.8701726009971217,0.507092927631579,-0.0002306887978001737,-0.00452468269749691,0.0034452739514802683,-0.0009715431614926
18,2.9181229440789473,0.17086631373355263,3.7127878289473686,2.608912417763158,0.09104196648848684,0.021253083881578948,-0.004517404656661184,0.025629947060032895,-0.019998249254728616,0.003689464769865331,-0.005810085095857322,0.4925087376644737,0.016278718647203948,0.03446639211554276,0.02843113949424342,0.0031914961965460527,-0.003909051418304436,-0.02870208338687294,0.014494444194592934,0.03371549907483553,0.023490504214638157,0.06430214329769737,0.38357704564144735,0.019354569284539474,-0.0027576245759662783,0.02396995142886513,0.03934840152138158,-0.0018143904836554262,0.07527883429276316,0.034276861893503284,0.20532547800164475,0.17106226870888158
19,-0.005656066693757713,-0.005446785374691616,-0.015592273912931743,-0.010368748715049341,0.01575008191560444,0.09236867804276316,0.007035907946134862,9.888096859580007e-05,1.4243935032894737,0.5194798519736842,0.046785053453947366,0.07975688733552631,0.04077389365748355,0.01860327469675165,0.017275358501233552,0.0131378173828125,0.1431178042763158,0.14439151161595395,0.08012952302631579,0.2462864925986842,-0.006062971918206463,-0.003751052053351151,-0.007535834061472043,-0.006700214586759862,-0.0030802676552220314,-0.004482645737497425,-0.0077188893368369624,-0.00297064530222039,-0.005381533974095395,0.0036205994455437837,0.010602850663034536,-0.024544163754111843
20,-0.007148341128700658,-0.0005497681467156683,-0.005908062583521789,-0.003213179738898026,0.03942549856085526,0.009222131026418584,0.8389185855263158,-0.004066655510350282,0.008677030864514806,0.1398411800986842,0.015282881887335526,0.47976845189144735,0.012239556563527957,0.03146603232935855,0.14224082545230263,-0.00021161531147204202,0.0030431747436523424,0.20150917454769737,0.07918307655736019,0.10344495271381579,0.08410403603001644,-0.013784709729646384,0.010504471628289474,0.7213199013157895,-0.00016222502055920516,0.017680117958470395,0.006421942459909537,-0.0033272191097861842,0.6833753083881579,0.31085526315789475,0.03378858064350329,0.3592079564144737
21,0.014337640059621716,4.011513157894737,0.5639134457236842,0.34345446134868424,0.019110428659539474,0.0040104012740285735,0.014988949424342105,0.032890922144839636,0.00255380178752699,0.03173185649671053,0.056990774054276314,0.02856600911993729,-0.0018707074617084686,-0.0004853198402806314,-0.0010045704088712947,-0.006279995566920227,0.1160888671875,0.03243054841694079,0.0006030735216642685,0.5141344572368421,-0.0001265877171566629,-0.0009281760767886525,-0.004919152510793589,-0.0009544146688360893,0.0003939365085802435,-0.0001119077205658001,0.025772897820723683,-0.0025880587728399893,-0.001438692996376437,-0.0020539133172286055,-0.0018006374961451455,-0.0025465111983449793
22,0.10442793996710527,0.133056640625,0.008162649054276315,0.13022974917763158,0.18791118421052633,-9.197937814813834e-05,0.07746084112870066,-0.0005897220812345896,0.03782252261513158,0.0009340988962273896,0.00039040414910567373,0.02763928865131579,-0.0024523899743431367,-0.003130159879985605,-0.0016406209845291843,-0.013706006501850327,0.006329185084292763,-0.00040627153296218175,-0.001783973292300579,-0.005020342375102795,0.005410595944053259,-0.004781622635690789,-0.0022312716433876387,-0.008286325555098685,0.0017692164370888158,-0.0006263130589535579,0.00019354569284539474,-9.93829024465526e-05,0.019501535516036183,0.04210140830592105,0.03798314144736842,0.009026778371710526
