layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.10400390625,-0.0166015625,0.0966796875,0.04150390625,0.0019454956054687,0.25390625,0.01055908203125,0.2177734375,-0.031005859375,0.283203125,-0.05322265625,0.0002269744873046,0.004638671875,0.181640625,-0.0016250610351562,0.212890625,0.02734375,0.053466796875,0.17578125,0.061279296875,0.046142578125,0.03271484375,0.162109375,0.0830078125,0.05712890625,0.0306396484375,0.357421875,-0.045166015625,0.035888671875,0.01080322265625,0.22265625,-0.1474609375,0.181640625,0.140625,0.1533203125,-0.00604248046875,0.279296875,0.2080078125,0.0140380859375,0.07421875
1,0.0123291015625,0.0311279296875,0.0166015625,0.08984375,0.1103515625,0.0216064453125,0.212890625,0.146484375,-0.0013504028320312,0.2265625,-0.0079345703125,-0.00677490234375,0.042236328125,0.0101318359375,0.1201171875,-0.0035552978515625,0.0966796875,0.09423828125,-0.0142822265625,0.24609375,0.017578125,0.035888671875,0.0224609375,0.0091552734375,0.0751953125,-0.0267333984375,-0.08935546875,0.6796875,-0.0004920959472656,0.63671875,-0.0009384155273437,-0.02001953125,0.01458740234375,0.03125,0.02197265625,-0.019775390625,-0.02490234375,0.0,0.046142578125,0.0016937255859375
2,0.1630859375,0.1220703125,0.0037841796875,-0.0191650390625,0.486328125,0.006103515625,-0.01434326171875,-0.001678466796875,-0.0169677734375,-0.0400390625,-0.0005264282226562,0.1181640625,0.0223388671875,0.01513671875,-8.440017700195312e-05,-0.01116943359375,0.0021514892578125,-0.0625,0.470703125,0.0012283325195312,0.2333984375,0.08740234375,0.19140625,0.018310546875,-0.00933837890625,0.0279541015625,0.0040283203125,-0.0625,0.038330078125,0.23828125,0.0,0.0087890625,-0.1357421875,0.003753662109375,-0.032470703125,0.166015625,0.392578125,-0.1025390625,0.2197265625,0.08984375
3,0.130859375,0.0859375,-0.01513671875,0.5546875,0.07421875,0.09375,-0.173828125,0.09814453125,0.03857421875,0.03662109375,0.38671875,0.1318359375,0.359375,0.345703125,0.244140625,0.1279296875,0.0213623046875,0.05126953125,-0.03759765625,0.1826171875,0.0771484375,0.00634765625,0.03955078125,0.09814453125,0.006195068359375,0.047119140625,0.248046875,0.0086669921875,0.08154296875,0.03662109375,0.0234375,0.0810546875,0.005706787109375,0.08447265625,0.0260009765625,-0.003936767578125,-0.0225830078125,0.16015625,0.01214599609375,0.283203125
4,0.158203125,-0.0274658203125,-0.03662109375,0.109375,0.058837890625,0.0380859375,0.033935546875,0.08544921875,0.1650390625,0.201171875,0.0137939453125,0.00250244140625,0.1396484375,-0.0869140625,-0.08203125,0.10205078125,0.07666015625,0.33984375,-0.04638671875,-0.02294921875,-0.0283203125,0.08935546875,0.05126953125,0.0233154296875,0.031982421875,-0.023193359375,0.1220703125,0.083984375,0.1083984375,0.1484375,0.443359375,0.046142578125,0.19140625,0.28125,0.0888671875,0.06884765625,-0.00872802734375,0.042236328125,0.1318359375,0.0179443359375
5,-0.0634765625,3.40625,-0.0003719329833984,5.197525024414063e-05,-0.01470947265625,0.0177001953125,-0.0027923583984375,0.005035400390625,0.000253677368164,0.01300048828125,0.140625,0.000157356262207,0.007080078125,0.01458740234375,0.00250244140625,-0.0005874633789062,-0.01611328125,-0.023193359375,-0.04345703125,-0.044921875,0.016845703125,-0.0009117126464843,0.0255126953125,0.0093994140625,-0.0001754760742187,-0.28515625,0.05615234375,-0.00653076171875,-0.003753662109375,0.00811767578125,0.0081787109375,0.015869140625,0.002685546875,0.0078125,-0.001007080078125,0.08447265625,0.05712890625,0.02197265625,-0.294921875,0.004638671875
6,-0.064453125,-0.0201416015625,-0.021484375,-0.010986328125,0.0216064453125,0.28515625,-0.2373046875,-1.0859375,-0.48046875,-0.0537109375,0.025634765625,0.02783203125,0.01708984375,0.0091552734375,-0.02490234375,0.002288818359375,-0.0152587890625,-0.018310546875,0.00823974609375,-0.00335693359375,0.0013504028320312,-0.00555419921875,-0.01312255859375,0.01092529296875,0.007659912109375,0.0233154296875,-0.050537109375,-0.0284423828125,-0.015380859375,-0.001129150390625,-0.0028533935546875,0.076171875,-0.154296875,0.003021240234375,-0.022705078125,0.0152587890625,-0.01458740234375,0.008056640625,-0.005218505859375,-0.0130615234375
7,-0.0224609375,0.0216064453125,0.0014190673828125,0.01251220703125,0.001922607421875,-0.01031494140625,-0.14453125,-0.01611328125,-0.06689453125,-0.0009727478027343,-0.002685546875,-0.0206298828125,-0.007354736328125,-0.0021514892578125,-0.00885009765625,-0.0004825592041015,-0.0010604858398437,-0.0025787353515625,0.004425048828125,-0.006439208984375,-0.0272216796875,-0.0242919921875,-0.0020294189453125,0.0017471313476562,-0.0018157958984375,0.0206298828125,-0.0014801025390625,-0.004364013671875,0.0017547607421875,0.000823974609375,-0.0010833740234375,-0.024169921875,0.36328125,0.7265625,0.07275390625,0.10595703125,0.00177001953125,-0.04150390625,-0.048583984375,0.0008926391601562
8,2.546875,0.019287109375,1.484375,0.004302978515625,0.0634765625,-0.0133056640625,0.0023345947265625,-0.005218505859375,-0.007476806640625,-0.0026702880859375,-0.0031585693359375,-0.0216064453125,-0.0238037109375,-0.058837890625,-0.01434326171875,-0.00421142578125,0.005950927734375,-0.01031494140625,0.002349853515625,0.02392578125,-0.00799560546875,-0.0009498596191406,-0.00396728515625,-0.00921630859375,-0.0003471374511718,0.01708984375,0.01226806640625,0.0191650390625,-0.002227783203125,0.01177978515625,-0.0008430480957031,8.487701416015625e-05,0.0118408203125,0.0005683898925781,-0.004852294921875,0.0016021728515625,-4.9591064453125e-05,0.000762939453125,-0.0240478515625,-0.0024871826171875
9,-0.0537109375,-0.0966796875,0.009521484375,0.012939453125,-0.0028228759765625,0.2734375,0.01953125,0.0086669921875,0.006622314453125,0.047119140625,-0.00860595703125,-0.046875,0.010009765625,-0.032470703125,-0.00799560546875,0.052001953125,0.00811767578125,0.091796875,0.011962890625,0.0115966796875,-0.0001983642578125,0.01336669921875,0.01068115234375,-0.0257568359375,-0.0015792846679687,0.013427734375,0.015380859375,-0.0008735656738281,0.0015640258789062,-0.005767822265625,-0.00872802734375,-0.0007362365722656,-0.0011215209960937,0.0400390625,-0.0021820068359375,0.018310546875,0.02099609375,0.0118408203125,0.0032196044921875,-0.236328125
