layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.003910574353175609,0.004920094602021127,-0.0008630327850218247,-0.009959850234058704,-0.0008358238679677362,0.03094970456019104,-0.008318495653901506,0.03353845542259062,-0.009744234895899229,0.03308547170538651,-0.0032264076263798405,0.0002694458131365375,-0.00026221796568588903,-0.0038514079352622195,-0.009176339215112602,0.021330582468133224,-0.0011503088329485073,0.0028910154273152832,0.026836078659242948,-0.0011760078461064021,0.004290893492911026,-0.004678455924215587,0.008531300162496838,0.003793538823301492,0.0048295766235845776,0.004160120419645117,0.013928957796289854,-0.00033553891819015745,0.0012976148350518724,-0.0027233038836645225,0.005072836933830972,0.015648706721873417,0.0050531302386449895,0.012908904658638032,0.0017524904567703065,0.005634887015771287,0.010630989846912955,0.0078367163777834,0.0016085358283780375,-0.004758904337400368
1,0.0010662696622161234,0.003526733954425765,-0.0012189270513743007,0.008171900081248419,0.006689619921479631,-0.0006469444707337651,0.029212426560127784,0.004861314287069838,-7.570163923718125e-05,0.0018463752530364372,-0.0005693088176279409,-0.0006982285966757331,-0.0019438121965539591,-0.002082407715832174,0.011591243357793522,-0.0013295706467107242,-0.014459432377988994,0.010463452049595142,-0.00010546788512935989,0.0414307629048583,-0.010346563238846626,0.006597696528261007,0.0020182190636391594,-0.00024358463673456395,0.0054780442705038585,-0.00016503585012335627,0.0040616023878336915,0.10205597047381072,-4.430772804537768e-06,0.0034683783527327933,-0.0026620023163706668,-0.000289345559803581,-0.00024739933400018947,0.006344304876288904,0.001868738336601721,0.0013472676759789348,0.004568578743258952,0.0189721883549864,0.03391638844602021,-0.009956328975044282
2,0.010165442339321863,0.012745227890941296,0.0005144049764162137,0.0007029390528134487,0.037019428453947366,-0.00267118384480959,-0.0005629072305161943,-0.0007750862523129113,-0.0014773689300907782,-0.004859391494318542,0.025341570618664204,-0.007401153626229598,-0.0013061554325736976,0.0069085557451132335,-5.528584182985524e-05,6.152164598226195e-05,0.00020131746284391346,0.0002845424389549595,0.02784819882890956,0.00013084257179908244,0.02080574112865124,0.012985847256926872,0.044237144562879555,0.0003242647116966093,0.00958699060355121,-0.0049361101528893605,-0.019758247653482414,-0.005587126079358552,0.006372706610181554,0.0023059844970703125,-0.00803149760010754,-0.0017221890963040859,-0.009207412781503036,-0.002161836817196989,0.0007804221952492421,0.015891874367408906,0.02356500664220648,-0.007756932061693447,0.0426272496520749,-0.0003269133780166692
3,0.023264155214132085,0.0010428795447716343,-0.0007870168338420413,0.09416909159919028,0.020898239815283402,0.009885038924120699,-0.0195433581888917,0.006232999114372469,0.013509858475040328,0.0030333947556221534,0.031854915232793525,0.009539028893598178,0.037044293484707114,0.025999493927125507,0.022317616080465588,0.009541747058451417,-0.0004609065499865563,0.006446629883306712,-1.1891971232920547e-05,0.01632332126138664,0.012765212580259994,0.0008828475890371968,0.005404931813599128,-0.049914155411816805,0.006299177162077745,-0.0005174088574614122,0.028572314181308515,0.0012041238638070906,0.0049196312784665994,-0.0026266430071008344,0.013336998248389858,0.01794476837281756,0.0001157922783361286,0.00048377156740258095,0.003920365924294661,-0.0035796300602345317,0.0025466733615890705,0.0025449281762003426,0.006142118199151538,-0.008352951482240006
4,0.0225252699755464,-0.0051754939893961915,-0.020250667927236208,0.03570638494452967,0.016789872636679214,0.005772146618800608,0.02406981309898469,0.019805537544281375,0.011313164282424248,0.02055921052631579,0.0003505197131199384,-0.014453996048282515,-0.008010323713665548,-0.023414580928169282,-0.0025372833375506072,0.004682038959703948,0.009445375759109313,0.007635572178643725,-0.0006723596982145121,0.0035317764591108933,-0.004755605087589156,0.0016970306272931434,0.009421591816643472,-0.0004616401456145624,0.0005122041895321997,0.015527949159444585,0.01438610370342548,0.007826855308131167,0.02026721630019215,0.06079169516621331,0.03244030909982287,0.012148590705655365,0.027092134421653594,0.011899878621584007,0.010836373456576577,0.008808151430446609,-0.0028631387934511,0.0023091273751818693,0.017841910543712043,0.008114150661205953
5,-0.06151324438180036,-0.0010937679151774428,0.00042318236007382495,8.649219144209238e-06,-0.10340072075847673,0.0028843879699707023,1.0405957457510986e-05,-0.00017458031534665954,-0.0008750724406377481,1.7842783136407055e-05,-0.0024963921380911813,4.536264881432319e-06,0.0013664953621775548,-7.657254273109967e-05,-0.00012835799923791274,-2.3532492911765343e-05,-0.0047479853456319585,-0.0017921972853934716,-0.007110348597229251,0.0017104670103744938,0.00782650781546527,0.00017019128992489305,0.0016960016628991257,0.0005560577639684029,0.000995375366828703,0.004290746773785425,0.0006057028828362224,0.002049573519934526,2.1437401713630596e-05,0.0036002518194407094,0.0013854151312638853,0.022541864680857792,-8.080652368208265e-06,0.001464847611029621,-2.9292666477713215e-05,0.003939377634148849,-0.000591818620318826,0.0020555417064713056,0.006029878068066802,1.775506536970148e-05
6,0.002485020440599696,-0.0014005807729867785,0.00494922220948254,-0.00013912061930667976,0.004510423915106274,-0.002036446019222862,-0.01085777128273659,0.017021271863929655,-0.025429420625632592,-0.01488541205402328,0.002978398249699522,0.007669966230508289,0.001786680356693652,-0.001458496217302949,0.0013084488841686157,0.001905827387141796,0.00018592981191781796,-0.0019264954787034248,-0.0008440191446528239,-0.0003566225530647509,0.0003203612107496988,0.0010362308517641394,-0.002149342525343179,0.004544439586067972,-0.002339615995584716,0.0017946625528065295,0.0019124876632381552,0.0007306631760075988,-0.00044765935735663847,0.00012681358738949277,0.00026752205512784393,0.0029880701289003195,-0.0034373665628162956,0.0001067789460000639,0.007183422443837772,0.015335515443130061,0.002155296233018883,-0.001775911462451764,-8.222110840955522e-05,0.0002670925155825013
7,0.007250793549695962,0.002206964531408148,0.0014501998299046564,0.002639083244539949,0.002842513173215302,0.00032825701632480163,-0.0001410665782357032,0.001624617016749825,0.004493836931854124,9.193497630748746e-05,-0.00029212067484373004,-0.0008963882199183162,0.001974928234270228,-0.00010883566821634391,0.0007680804140654632,0.0008949881140519696,-0.0001837270945189878,-0.00045871734619140446,-0.00018597421375846277,0.0009152416275580415,0.0005699227213376923,-0.0006843057238621268,5.2999870979839045e-05,0.0031807934224364243,-3.6757001992617694e-06,0.004160574090625593,0.001598147728182527,0.0003757819473019455,2.8563173193662904e-06,0.0006741572488174713,2.5600556902552606e-05,-0.0028884748698246128,-0.1163988615337171,-0.022438203757591094,0.005466661955180921,-0.011081340341915486,0.001034613080352908,0.0017318223652086756,-0.007147167375695851,0.007193183126719857
8,0.000936670341955023,-0.023017327312515816,0.0006676183538398279,4.878652240578721e-06,0.022305932604832206,-0.0035882594614376428,-0.004777946935491525,-0.00015325970977906415,-0.00036789241589997915,0.0032873346738004497,-0.0004870264153731482,0.0006059808769689413,-0.001514295817386766,-0.0006556337178960021,-0.0008280518566548578,-0.0005932858115748361,0.0012851707365831371,0.006830335146019818,0.0009715981811646992,0.0020819608016535342,2.9363190596882694e-05,-0.0003763428221829948,-0.00010358756370389405,5.225734672082114e-05,-2.3566638892476776e-05,0.0026771394830001015,-0.0038278865428106024,-0.0042074218935329415,-0.00012044095799990052,0.0001932541851090012,-0.000137619161412779,3.280193518529553e-06,-3.0980660365174135e-05,3.7272585186396945e-06,0.00013829725473998486,-0.0005851274559854932,-0.0008515867627101357,-0.0003104349862226106,4.5251267159033595e-05,-0.004143066251808814
9,-0.002059550420475392,0.005677157568062846,-0.0005243775332987496,-0.0010090260370540232,0.0009493962955860963,0.001948275546795926,0.0026727205345987793,0.003701055580787813,0.00019833288694682947,0.001529597077775099,-0.004633988446069631,-0.0006717882658305919,0.003158963160958849,-0.00510004947060033,-0.004586632917767111,0.006993201097496125,0.001452417026164558,-0.003781121752040107,0.0010835574223445022,0.0007856809175931481,-0.0002504534084304599,0.00010824975697135027,-0.0004140722606828814,-0.0012925337200705336,-0.0005820284970858849,-0.004055436323528831,0.005701802037505485,-0.0001436065324404856,-0.00013971859626923686,-0.00028945077286075403,-0.0011853264410968745,1.7903594352940373e-05,0.0067347650103240855,-0.002842561436085565,-0.00029540351527904937,-0.00048768520355224035,-0.0033823546127751745,-0.001960306515095204,0.0004216678712049425,0.03731854241869228
