layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,-5.284455287587641e-05,-0.00028403512724153423,0.0003444753832869465,0.00012807073173942002,-0.000476994029768219,0.00013230266151847498,0.0002011414412613758,5.798549442500769e-05,5.967014438499817e-06,8.849259261246486e-05,0.00015601090022495992,0.0003568876411888627,8.431633750160794e-05,0.00018556473346856997,-9.248413882413012e-05,0.0005123169867546994,6.783139574658633e-05,0.00034816972501985004,0.000416116400079412,0.00025761520469582105,-0.0001184835538759336,-2.4206035739773074e-05,-0.00017830827733972547,0.0018258199586973086,0.0008717683645395143,6.324511307935948e-05,3.8481348163479905e-05,-6.2370365792606706e-06,7.360322134835438e-05,-0.00010088380876478145,-1.1948438791128132e-05,-0.00027383405428665865,5.661786257565388e-05,1.971276251824424e-05,3.8296639264280766e-05,-0.00038252296028556216,1.3288560804431675e-05,-1.1255452921103584e-05,-4.04027792123643e-05,0.0005344191750327313
1,-0.00014235423161433185,0.00011888965145572197,-0.00010637398604507985,-2.5683706933324425e-05,1.1516141367476777e-05,-0.0001154787592835508,-1.950967279108965e-06,5.251559132075573e-07,-3.683632546728952e-05,-3.132599586324132e-08,7.821963383601124e-05,-9.597101054348372e-05,-0.00028195223965487513,-0.00029805466368958134,6.358833103389617e-05,5.154426281268746e-05,3.6024785303375326e-07,-9.599581852064028e-07,-8.823583414266375e-05,-5.096786624782797e-05,0.0028568683089790735,-0.00038892620212429045,-0.00038751665052476814,-0.00025817850133875,0.00012412896523108716,-0.00021344488793676922,-0.0005012252828577062,-2.926015960318702e-07,4.456565775497183e-06,4.668116242017321e-06,0.0003323502592988082,-0.0001212004776839336,-0.00012625180757962857,0.00011124060704158162,-8.763847770296615e-07,0.00014864350413228172,-1.527450896880642e-06,0.0006118711534437238,0.00021568759457095662,-0.0001462082286457437
2,1.7553895384430028e-06,-6.438087631058023e-05,-0.00020248549325125196,-0.00011208555200598009,7.386914976350598e-05,7.783973610007126e-06,0.0001579536186469783,-7.907636873014615e-05,4.813959310343034e-05,0.00016043998382903415,-8.426524780611617e-06,-0.0010066923204359104,0.0006094476678869255,0.0003726348117157658,5.2817779910435434e-05,-0.00012313664614499329,2.6727770711039757e-05,-2.157065894574384e-06,0.0001110229436512829,0.0003992397706587234,-6.325228221632622e-07,-2.5104035387980915e-05,8.543769081870118e-05,-0.00048472200121198465,0.0002611600435697099,-0.0001057013050540441,-0.0010687361706744221,-0.0006418634246993851,-3.762952574007079e-05,-3.225904899639225e-05,5.555414891505052e-05,-0.00038958643818949796,0.00010721762101728388,0.0002932627122480792,-0.0013154836801382208,0.00041839185651842075,9.462860371957047e-06,-0.00038085665021623795,-0.0005334707406850961,0.00033679899278577804
3,-8.452960013686635e-06,-6.717574465405923e-05,-0.003218011541680976,1.1044830738838334e-05,0.0002102236171345111,-0.00029874240959083494,0.0004122938428606299,0.0003561108976930051,4.058683311546098e-05,-0.00036578257005293274,1.396451677592414e-06,0.0004397381793011681,4.0098861023579215e-06,5.969961920937078e-05,-6.465597467108204e-05,-1.3420870015922406e-06,-0.00017384087646400302,-0.000113645752707678,-0.00010531158237666979,0.00017990253783844225,-1.4509473528180808e-05,-0.00011879402202563799,0.00027945801451965767,0.0002807470468374407,-8.380806053078073e-05,3.764721063467371e-05,8.196621150761034e-05,5.603229606544636e-05,-6.870909051581337e-06,0.0003362835108578864,0.00012052452171241542,-3.901156750354256e-05,-0.0005509185267018742,2.9390984839139562e-05,-0.003250473148220187,0.00016101769038608912,0.0003829552577092111,0.0001245946674556548,-6.832133282671919e-05,0.00025262413444099725
4,1.5868590428277417e-05,8.59878875396903e-06,-0.0001334698645623137,7.145516165009984e-05,-0.00020834230459653076,-4.6112380184972434e-05,7.131204500302728e-05,9.658637937608513e-05,-4.464453393287919e-06,0.0001710430606380934,-8.009947263276927e-06,3.5196542739864864e-05,-0.00013940412919599807,0.00015918763129265634,-0.00018661035286200763,-0.0002603216485662752,-0.00012407591054727478,5.1487933148394496e-05,-0.0003727792383550285,-8.404287663134857e-05,-0.00015620346907730903,0.00012406739559802147,0.00014852953481150208,0.0001375858600323031,0.00014524931436056098,-0.0001100603040758088,2.384185791015549e-05,-0.0007713299531203062,-8.851289749145737e-05,-0.0010318232106638489,0.0001425140506618596,-9.271600744226578e-05,5.046032614760061e-05,0.0005632597994018401,0.00012998725031758432,-7.509268247164206e-05,-9.450938675429737e-05,-0.00039974673763736317,2.4155109793275266e-05,-1.89513295561419e-05
5,0.0014652288877047043,-4.942585192209819e-06,-2.026005269406911e-05,-0.0002870723441406934,0.0006048129155085648,-1.558460868321781e-05,-1.585815142799045e-05,-1.495929209740264e-06,-6.778816600422528e-05,-1.1832504482048356e-06,-0.0002941797067830819,3.5107790768837046e-07,0.0003998957492493011,-9.211537602182781e-06,6.594107701228178e-05,-7.28329459389496e-05,-7.701083854004687e-05,-0.001114897675566621,-0.0005003122182992797,-0.000489434043129722,-0.00010151129502516292,-4.8805396635456695e-05,-0.00011804339649912625,-5.069571536975367e-05,-6.838732368342888e-05,-0.0005245889936174692,1.1688446278098908e-05,-1.2679946619074153e-05,-1.0158006961525037e-05,-3.659283066843923e-05,1.542483057294343e-05,3.9447139907666416e-05,0.001163596962834453,0.00045186952575222727,1.6662281948127298e-05,-2.3801084403150655e-05,-6.6241638346027e-05,1.4559253231511524e-05,-0.0006629294091528593,-1.9213737367271182e-05
6,-0.0006823172936072753,-2.6434659957883526e-05,-0.0001892550633503842,-0.00020947823157677528,-0.00042099088102906805,-0.0002628198036780725,-0.00013461872771546358,-0.0012375077048500825,-0.0023111406263414316,-0.00029640931349534175,-2.6716390153861505e-05,-6.423489405558602e-05,-1.0845056929432768e-05,-6.673067480652959e-05,-1.888615744454587e-05,9.616980185874052e-06,-4.434061574411854e-05,-0.0004045177292037815,-7.317354390909455e-05,-2.8127333620091324e-05,2.602995424481139e-06,-1.0603977428654488e-06,-0.00028005406096741315,-1.0054681327313902e-05,-9.137719542115348e-05,-1.7447315238333756e-05,-0.00030981315361274393,-0.000325192461956989,-0.00021537778141734342,-9.021916232265909e-06,-4.985797536242186e-05,-4.886606564888116e-05,-6.658100819849446e-05,-1.6154823722419347e-05,-5.96413245567935e-05,0.00015713880350301518,-2.903892443730712e-05,-2.129392309504666e-06,-1.5174294566057043e-05,-0.0003794470986167159
7,1.1932391386805882e-06,-3.2545118541542984e-06,-1.5019879236315646e-06,-9.36832729276629e-06,4.792401751318445e-06,-9.424051085671094e-05,-0.002275236360319368,-9.263053045168068e-05,-0.00020752372322501813,-2.223547998365011e-05,5.668540904810487e-06,-6.660262306967684e-05,-3.2948432387884696e-05,-2.2719849596967455e-05,-2.1394792493880407e-05,-5.733672079157037e-07,-2.8712204196945477e-05,-0.00016450423460740414,-7.491845350996429e-06,8.049902025159487e-06,-0.0007949373224279387,-0.00032703300098796786,-7.641692082960488e-05,-9.907994951520811e-05,-2.3129836216075518e-05,-1.0794008171167307e-05,-3.0748689403899105e-05,-3.465289597982921e-05,-1.1272963832364284e-05,-7.188029505393665e-06,-5.209216704735202e-05,-0.00021290517115331043,0.0013890633216271022,0.00527778562608656,-0.0002400744092333445,0.0005887943309742011,-0.00022932674203599978,-8.853713234702517e-05,-0.0007214834401895726,-8.391220491011116e-05
8,-1.8713893471184267e-05,0.00015400661216987346,6.346206006765357e-06,0.0005208686157897245,8.082447143699932e-06,-0.00028608330003507975,3.7362451081746424e-05,-0.00038773672921316963,-1.6496486061218397e-05,-2.6284706789058664e-05,-4.993903112934787e-05,-0.00041188250531207037,-0.00012210175231262924,-0.00020096852229191815,-7.6642403235801e-05,-6.279185578063229e-05,-8.939427661371652e-06,-3.6556805883136896e-05,-6.885400840211128e-06,-7.322774483606284e-06,-0.00010471488093282037,-3.117339296655353e-05,-1.4843030290289511e-05,0.00028349475546197533,2.500005475767913e-05,2.0949292805164553e-05,-4.68053660549991e-05,2.1724664902951993e-05,-2.4125757780679486e-06,3.2604047721554805e-05,-7.132330274843791e-05,-2.055178181482732e-06,-4.3878188500038673e-05,-2.7260272303121766e-05,-0.00015199348166748355,-5.036428734495988e-06,-1.4909430519560222e-05,-4.495459271000993e-05,5.179840129810473e-05,7.459832416784465e-06
9,2.3181539970441245e-05,-0.00034586413876040766,1.7908412021589712e-06,0.0002273193427494586,-1.7444869237286703e-05,-1.5763862693038861e-06,-1.3083158122311575e-05,3.2899635178683133e-06,-2.0396169070368044e-06,-1.6304040020637244e-05,2.208810586193536e-06,-0.0014120825044401403,-0.00023284849229749803,-2.8721578828577976e-05,-0.0002485926334674535,1.6072785461377324e-06,-1.483794895338413e-05,4.270861109533937e-05,-5.1612873653824005e-06,-7.918411558801566e-06,-2.2056993547313222e-07,-2.0990311935699917e-05,-0.0003559982383644192,-0.0003190394286270971,-1.5011446161580777e-05,1.2921435492380397e-05,-6.82833430529714e-07,0.00036607469831194373,3.6962248466806474e-07,-3.066609848985719e-06,-8.80707751263658e-05,-8.411983867267978e-05,-1.6037661295670095e-05,-9.961590007114649e-06,-9.046151087829064e-06,1.8132093188526542e-05,0.0002513131597539893,-7.66744980445274e-05,3.305757111245236e-05,-0.0020832818943065635
