layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,-0.0009302607148277546,0.000687141807711853,-0.0007553879095583577,-0.0023278934614998983,-0.00035651241030011096,-9.231664696518062e-05,-0.0011309750226079207,-0.00024083195900430202,-0.00025968162380919164,-0.00036204104520836506,-0.00021095665133729488,0.00012600543547650243,0.0003637464679017342,-0.00020953697361507397,-5.6052694515310406e-05,-0.000982235889045558,-0.0002887200336066977,-0.0019786649820755955,-0.00012347406270552818,-0.0008366302568085334,-0.004316485657983897,0.00026774893001634356,-0.0012214719032754716,0.0004502218596789307,-0.00259163914894571,-0.00012473427519506215,-0.0005869451834230917,-0.00020366238088024744,0.0002755997132281822,0.0005381837183115309,0.0001150308823098966,0.0004389480668671221,-0.0001943902093536968,-0.000407783352598851,-0.00017574368690957676,-0.0007525025581826908,-0.0010018446007553378,-0.0003240132818416711,-0.00016062600272042269,-0.0010018737948670735
1,-0.00048505043496891836,-0.000813834521235247,-0.0001635162197813698,-0.0010811017484080997,-0.00020439527472670637,0.00024248142631685824,-3.259172853158078e-05,1.9511207938194275e-06,-0.00018063491704512226,-6.245227639886493e-07,-0.00020630748904481598,6.815608666866322e-06,-0.0006464744100765306,-0.0002494831474459908,-0.00016070871937031914,0.00028327533176967834,-5.540799121460443e-06,-1.9290541507759874e-06,0.0010611378416723108,-0.0004064306920888504,-0.0027709688459123896,0.00013686686146015934,-0.011245980554697464,3.578224960638071e-05,0.00045858597268863473,0.0004937843400604843,-0.0028124305666709423,-5.405586288899441e-06,-2.763524879605819e-05,1.2537654565303022e-05,-0.00013342682196169385,8.339784583267201e-05,0.0006144192754005888,-0.00012260310503901085,-0.0003395153551685542,-0.0005630716985585744,-0.00028331912293726126,0.0005219128667091837,-0.0006633437409692887,-0.000604522471525233
2,0.00011879631451198054,-0.001103323333117428,-0.00028677132664894743,3.5295681077610366e-05,-0.00022242993724589183,-4.659866800113877e-05,-0.00031215560679532985,0.0004238887709014275,-0.00031437192644392036,-0.001396033228660116,-0.0007510465018603278,-0.0017043522426060276,0.0005618212174396158,-0.00332674931506721,-0.0006773337265666527,-0.0014915150039050053,-0.0001738262172712338,-0.002693429285166218,-0.00017660612962683484,-0.004881870989896815,-7.99549933598966e-07,7.533601352145196e-05,0.0001345994521160616,0.000618895705865353,-0.00014307061020208772,5.078559019123648e-06,0.00034425696548150104,0.0006083566315320062,0.0001299469446649267,8.198314783525186e-05,-0.00015669939469317829,-0.0007140052561857214,0.00012463939433195192,0.0004289685463418786,0.0003269545885981357,-0.00010277300464863263,-5.219675296423106e-05,0.0022954356913663897,-0.01352029917191486,-0.0013832364763532359
3,1.142933318505367e-05,-9.487599742655566e-05,0.007992296802754303,3.6746263504022676e-05,-0.00028334710062767257,-0.0003168145004583851,0.0007563951064129267,-0.0010514162024673139,-0.0009204319545200826,-0.0003573164647939314,-6.018366132463654e-05,-0.0006672314235142272,-2.7751436038895673e-05,-0.00015433816885461474,0.00011833103335634189,-3.1152550055090945e-06,0.00022292502072392438,-0.0007166010992867612,-0.001274181871998063,0.00015612281098658702,-0.00012103878721898969,-0.0002800931735914597,-4.8948793995136735e-05,0.0011111570864307662,-0.0007505514183822961,-6.169445660648993e-05,7.978994019177284e-05,-0.0007379760547560053,0.0002468508117052942,0.0004267035698404212,-0.0007265927840252307,-0.0012853291569923876,-5.7960043148118387e-05,-0.0011226303723393628,-0.0010503068262217,-0.0006717394809333628,0.0007485662187848785,0.00039187256170779023,-0.00019185153805479827,-0.16184405891262754
4,-1.1655749106898517e-05,-5.2259892833472454e-05,0.00032838510007275097,-0.00017879994548097045,8.435212835973711e-05,0.00027768952505929066,-4.169892291633062e-05,-6.203748741928265e-05,-0.0004958887489474527,-2.9388739138233665e-05,-5.647357629270381e-05,0.00013460066853736302,-0.0020101702943140154,0.0016991848848303948,-0.0001255054863131784,-0.0002028601510184194,-0.0001059192783978504,-7.747873968006601e-05,0.0005534619701151897,-0.0001394383761347593,-0.002001645613689813,-0.0003832821943322003,-9.48905944824194e-05,-0.00022289217734823045,-8.464346126635086e-05,-0.0002422369256311571,-0.001104530023068797,-0.00036242543434610307,0.0003334308157161808,0.0003527561012579424,-9.871259027597778e-05,-0.0008328277237561289,0.00012341506627142328,0.0009496391427760271,-0.0015331704397590798,-4.4277736118862246e-05,0.00100497323639539,-0.0020707675388881132,-0.00011112404112913076,2.7563498944651783e-05
5,0.0034352991045737686,-0.0005362657259921389,-0.005220529984454716,-0.11455177774234694,0.005875726135409592,-2.1092745722577e-06,2.515726551717147e-05,-5.681685419106763e-05,0.00031007309349215153,-8.63324622718904e-06,-0.005487964773664674,-4.103718971718708e-05,0.00017327678446867647,-0.00015558363223561945,-0.00021705822068817025,-5.080748577508272e-05,1.329244399558097e-06,0.0013754708426339285,0.0013478726756816011,0.0005778487847775805,9.916509900773524e-05,3.214697448574327e-05,3.166344701027364e-05,-1.5849665719635634e-05,-2.6420671112701886e-06,0.0011943554391666345,-3.7500596776293526e-05,1.9596395443897625e-05,-2.6428729903942237e-05,-3.2882453227524204e-05,1.9829492179713183e-05,-3.1882706953557785e-05,-0.004017002728520608,0.00030130756144621613,1.2319002832685931e-05,4.803009179173531e-05,0.00011881030335718019,8.123687335422997e-05,0.002429353339331496,2.498354534713108e-05
6,0.0005911223742426663,-4.5630396628870726e-05,0.0003414987301339883,-0.00031447897152025615,0.0008422695860570836,0.00011272515569414181,5.6427352282462845e-05,0.004377408903472277,-0.06977626255580358,0.0003493756664042549,-2.469274462486355e-05,8.922936965007597e-05,-1.6149665628161067e-05,-4.808026917126928e-05,-0.00010847862885922317,6.535101910025411e-05,-0.0001013570902298982,0.0006999361271760916,-8.689840229191502e-05,0.0002778212026673938,-2.5911598789446283e-05,-0.00010952859052590351,-0.0004903102407650121,-4.4008298796047023e-05,3.7303384469483944e-05,-1.3201212396470126e-06,0.00012151075869189606,-0.0002256510209064133,0.00011552110010262958,-6.685337545923453e-06,-0.00014277045824090636,0.00019157693094136062,-4.916835804375357e-05,-0.00011844720159258305,0.00024350565306994289,0.0007115675478565478,3.858914180678252e-05,-1.1937654748245953e-06,-0.0002053641543096447,-0.0001963498641033571
7,-0.00013343457664762127,-0.00032404152562423187,-0.000161956083409633,1.2390562618264355e-05,-2.8659266476732178e-05,-3.765979591682302e-05,0.0037045770761918047,0.000555695319662285,-0.00014472494319994186,0.00026570899145943086,-3.960850287456959e-05,0.0006414822169712572,5.764377360440511e-05,3.147125244140076e-05,-4.3505004474108324e-05,-1.1146220625663226e-05,3.17352158682598e-05,-3.335913833307754e-05,-8.225927547533354e-05,-3.880384017080166e-07,0.00026146246462451905,0.00021985112404336525,-7.518456906689145e-05,-9.06014929012499e-05,9.04743768730438e-06,-0.0001858138308233243,-2.153491487309078e-05,-8.691117471579008e-05,4.645037863933926e-06,-4.084066164737281e-05,-0.0002497538011901328,-0.00013019600693060711,0.010398533879494182,-0.04278854447968152,0.0008710160547373254,0.001156848304125727,-0.00015700106718102787,-0.0001779867678272546,-0.0008942934931541031,-4.083648019907591e-05
8,-0.004880515896544151,0.0006780259463251796,-0.005433581465361064,-0.21805743781887754,0.00010629256769102498,-5.378406874987887e-05,8.372475906294442e-05,0.0003263025867695688,5.2038960310869486e-05,7.34136116747917e-05,0.00023414589920821134,0.0005075493637396326,0.00011479550478409567,0.0006284908372528663,-6.189151686065515e-05,-0.00011662074497768495,9.207340071394835e-06,8.632090626930861e-05,4.493764468600844e-05,-8.23503930349299e-06,-0.0002818329601871693,-0.00019159244031321726,-8.189754218470748e-05,-0.0004060146759967383,-0.0004159277495072757,-1.8206025872908537e-05,-0.00010160037449428201,1.2097157994097744e-05,-6.284336654506305e-05,7.756860280522525e-05,0.00016455952914393363,-9.575680050313213e-05,-0.01928134840361926,-0.0009345910987075172,0.0003102075080482263,3.397335507430979e-05,3.7691574923840444e-05,1.3030001095360487e-05,-0.00040016368943817906,4.7346463008802865e-05
9,-0.0006185125331489499,0.0001544952392578071,-7.409484562824447e-05,1.4931571726888297e-05,-1.6117430463130976e-05,1.009704773219006e-05,1.1372018833605148e-06,-8.853783412855111e-05,-2.786785611235689e-06,3.720504440822854e-05,0.00022273647541902128,0.0015859019999601397,0.00022162223348811837,-0.00012384872047267831,-0.00014907425763655745,-3.254337578402877e-05,-3.880361209109674e-05,-9.684994512673108e-06,-2.557221724062065e-05,-0.00019024951117379023,-2.3699840720813673e-05,-4.9200441156104706e-05,0.002226148332868306,-0.00018044393889758549,-2.0475792033330522e-05,0.000135076289274246,-0.00021906227481608516,0.0001609325408935612,-6.870195573689795e-06,0.00013302388239879608,-4.726769972821221e-05,5.4359436035152327e-05,-4.556607835146182e-05,-3.672254328825702e-05,-3.59105820558495e-05,4.0335314614430095e-05,-0.00028339697390186627,-0.0005580953189304913,-0.00020267829603077753,0.010852443928621253
