layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,-5.0282939558938135e-05,0.0003597214108421662,-0.00028817767188662753,8.585225968133932e-05,6.646201724097761e-05,-3.520449002583864e-05,-0.00014705885024297768,-1.4425459362211714e-05,-0.00012018339974539131,-7.297538575671887e-05,0.00017978634153093548,-7.055146353585478e-05,-9.061154865083367e-05,-0.00012055862517583987,-2.724897293817289e-05,0.0003322782970610124,0.0001303195953369138,-0.0005823248908633287,0.0005557185127621608,-0.00024757158188592755,0.0006428582327706471,0.00011839866638183508,0.0001492545718238462,0.0011349632626488086,0.0006761460077194937,-2.8735115414559527e-06,-0.00024256450789315257,7.61273361387718e-05,-3.052666073753856e-05,0.00011609168279738597,0.00018815426599411874,0.0001701712608337411,0.00015137536185128774,-0.0002744084312802299,9.831388791402124e-05,9.236250604902034e-05,-0.000186319010598317,-3.72256551470093e-05,-1.732593490964137e-05,0.0001427377973284043
1,-2.935954502650858e-05,-0.0004550252641950362,-6.488618396577198e-05,-0.0003055141085670112,-3.3898012978684194e-05,-0.00018534007526579486,2.9439550070545096e-06,1.4224400122960402e-07,-3.2591677847367185e-05,1.1039585972733862e-06,-4.237038748600137e-06,7.578106153578771e-05,-6.234986441476096e-05,9.830111549014e-05,2.9364086332775685e-05,5.699112301780783e-05,-0.00011286678768339445,-7.370043368566604e-07,-2.1094367617652636e-05,-0.0002697740282331208,0.000577609311966668,-8.16118149530334e-05,0.0004771005539667043,-9.164583115350547e-05,2.6289621988933447e-05,9.398687453497186e-05,-0.0017240297226678758,-2.1756138829990605e-07,-7.578298183422659e-06,7.667711802889242e-07,-0.0004466874258858835,-1.1811937604630863e-05,0.00010928653535388657,-0.00013519809359595995,-0.0002058857963198712,6.794929504394474e-05,0.00010608037312825782,0.0010606039138067334,-0.0006880351475306904,-0.0005836191631498794
2,6.003606887090516e-05,-0.00014173643929617919,6.169251033238225e-05,7.569108690534222e-05,-6.685370490664578e-05,-0.00012230873107910294,-4.344213576544188e-05,-7.14483715239019e-05,-7.269268944149944e-05,-0.0001942702702113557,-9.162709826514793e-05,-0.000701170875912621,-0.0008141971769787024,-0.0005615302494594015,-5.35066993463588e-05,-0.00018271037510463186,6.128634725312515e-07,-0.00014012654622396094,-6.251113400572848e-05,-0.0015097618103027352,-4.69300097652844e-07,3.75713620867038e-05,-8.070128304617526e-05,0.00034576143537249043,-0.0005330676124209436,5.4673353830970914e-05,0.0010002090817406066,0.0005419731140136733,9.137661684126992e-05,-1.6535321871437157e-05,9.977249872115035e-06,3.5667419433595246e-05,0.00011184102012997404,4.660742623465379e-05,0.0001140776134672619,-0.00013598487490699333,-9.84084215902373e-06,0.00047998428344726385,-0.003851322900681267,-0.0004872367495582224
3,2.2565236403829467e-06,-3.569580259777568e-05,0.0022615160260881684,6.898457095735359e-06,-5.4841949826197646e-05,5.0981839497884544e-05,3.4150623139881034e-06,-0.00015593937465122716,7.044076919555512e-05,-0.00011748132251557749,-1.1437847500752681e-05,-0.00028087071010044525,-4.724661509198557e-06,-2.482561838058911e-05,-0.00017225174676804167,4.255147207351094e-05,0.00010056609199160728,5.68651017688591e-05,-6.84204555693145e-05,-0.00011079424903506188,1.4484496343702906e-05,-6.433441525414126e-05,-3.500665937151345e-05,0.00018438157581147528,2.0877520243331118e-05,8.361736933390094e-05,-9.752682277134444e-05,9.175822848365356e-05,-9.022326696486802e-05,7.68468493507029e-05,-0.000194485982259114,-0.0004479169845581029,-0.0005347893351600273,-0.00015656096594674135,-0.003450382323492141,-0.000190221128009617,-9.513128371465436e-05,-0.00031292211441766353,-0.0001000983374459404,4.412730534871364e-05
4,-2.8320011638431004e-06,0.00011309442066011014,8.700688680013007e-05,-3.089138439723349e-05,0.00012004091626122065,-7.106122516450643e-05,-0.00022760118756975212,1.1421385265462037e-06,-9.872345697312428e-05,-0.00027235121954055186,9.749333063760561e-06,3.549939110165442e-05,0.00016702243259975047,0.0008481252761114218,7.965905325753051e-05,0.00019817352294921713,0.0002039482196172057,-0.00010137330918085234,0.0003435668491181879,0.00011212144579205631,-0.0005989892142159612,-8.843058631533701e-05,-0.00010303599493844297,-4.838194165910719e-05,-0.00026800774392627416,-0.0001565161205473395,0.00015298071361723547,-0.000220357804071338,-0.0001423989023481098,-2.9696737016951326e-05,-6.985664367676076e-06,0.00014656384785970096,4.3171076547527625e-05,-0.00029536655970982355,-8.815810793921877e-05,-0.0003241890952700663,-9.85247748238674e-05,-0.0009934561593191958,-4.6176002139137364e-05,-2.1345274788994368e-05
5,-0.0009133407047816688,-3.9288508040522735e-07,4.703054825467547e-06,-0.00015493971960884939,0.0006093513397943407,1.1187064505757814e-05,1.2780903350736336e-05,1.3138318345660461e-05,4.275412786574452e-05,2.8999788420542142e-06,9.613022917792787e-05,-2.1362446603323082e-05,-9.463571366809723e-05,-5.868730090913357e-05,-6.768149988991636e-05,3.4473055884951425e-05,5.597983087812174e-05,0.0003744579496837795,6.950015113467286e-05,0.00010152544294084714,1.1648450578963517e-05,1.661011150904628e-05,-7.107144310365427e-06,1.3969945056094946e-05,-1.759273665292216e-05,1.2600989568802916e-05,-6.983464672446957e-06,-1.1326212968138849e-06,1.2800807044623927e-06,3.0392337413051567e-06,-5.223495619636971e-06,-6.129060472760667e-05,-0.00040805453345889184,-6.429297583443741e-05,-2.897367590949129e-05,-3.2036254803343257e-05,9.684619449433604e-06,-3.9803981781003505e-05,6.461370558965761e-05,2.0715097586296026e-06
6,0.00015118916829427002,-1.999664874303871e-05,8.193140938168335e-05,9.733381725492904e-05,6.555148533412481e-05,0.0002788413138616622,0.0002802576337541852,0.0009552160898844409,0.0015933218456449965,0.0001448040916806169,1.168286516552862e-05,5.593824954259597e-05,1.3065692924315704e-05,0.00016284840447562045,6.18371225538679e-05,1.2259256272087514e-05,4.12259783063614e-05,0.00018160797300792737,1.2309494472687248e-05,-2.3677235557891664e-06,1.2928921551932039e-05,2.2291196953682256e-05,2.5823002769838372e-06,9.485369636899573e-06,6.559235709054492e-05,5.158356257846872e-06,0.00014329637799944143,4.461379278273857e-05,7.19274793352381e-05,2.1845102310171143e-06,7.859581992740747e-06,7.935223125274746e-06,4.783017294747581e-05,-3.3404145921986655e-06,-0.0001813008671715134,-0.00033931391579764165,2.8934507142926647e-05,-1.0951927730015598e-05,1.0396753038672352e-06,0.00014558633168538444
7,3.417620346659438e-05,3.5111677078978336e-05,7.271323175643238e-07,1.9022130540436576e-05,5.788941468515744e-06,0.00012812302226111936,0.0001212982904343381,4.3713478814989156e-05,8.412315731956667e-05,2.659786315191781e-05,-2.0413597424826338e-05,-8.081481570289216e-05,-1.1284010750906208e-05,2.1053212029757097e-07,2.7605465480274667e-06,2.4478350366877684e-06,-1.6540998504271186e-05,4.1196459815614705e-05,-0.00015890938895088974,-1.5811409269063723e-05,8.492242722284053e-05,9.016309465680858e-05,2.38004184904556e-05,-1.0464304969425727e-05,8.91515186853819e-07,4.433251562572913e-05,1.555356596197581e-05,2.6129257111325496e-05,5.456397221199055e-06,3.3859695707061936e-06,2.961612883067878e-05,0.0002452418917701367,0.0009958902994791662,-0.0017172887211754201,-0.0001376924060639881,-0.00031652677626836775,-0.0001068140779222742,-1.6465641203379345e-05,0.0003313007808866961,-3.9004002298628425e-05
8,1.991502940654662e-05,-9.70034372238919e-05,-1.050034271818769e-05,-0.00016820629437764485,-2.2376222269875703e-05,0.00013986882709321423,4.4171583084830013e-05,0.00016238462357293947,-1.8257470357971143e-06,1.9656511999313836e-05,4.751625515166643e-06,0.00014618464878627193,-7.44019235883444e-05,9.110768636067571e-05,-2.2468112763901666e-05,-1.3760157993890472e-06,1.6554480507233935e-06,-1.4407294137137176e-05,-1.1022601808852894e-06,4.144664853809285e-06,-2.2477195376441207e-05,-1.428038591430195e-05,3.0963193802621083e-06,4.2875288497832664e-05,-7.415271940685481e-05,-2.210831180924452e-05,6.119410196940354e-05,-0.00015597918203898883,-7.563084363933449e-06,-7.637412775127685e-06,3.21982871918478e-05,-4.845804401820709e-07,9.86769085838675e-05,1.7449987076579383e-05,4.7135920751660885e-05,9.839875357490025e-06,7.476480234238181e-06,1.0760128498078743e-05,-0.0002837589808872797,-1.882147930917217e-05
9,3.0180740924110533e-05,0.00029332978384835335,-6.2730518125341545e-06,2.099332355317569e-05,2.82231540907223e-06,-5.3535259905320046e-06,-1.4774323928925176e-06,-1.2878009251186735e-05,1.1442672638666656e-06,-1.0016862125625166e-05,5.8051518031527895e-05,0.0002174377441406238,-2.5247392200288848e-05,-0.00011183761415027237,0.00013538315182640644,-1.493077725171885e-05,2.2873415478627553e-06,-5.072724251519912e-05,-2.7410969847723168e-05,1.2375627245222668e-05,-7.44646503811776e-06,-4.927459217254525e-06,0.00039460999625069715,3.090358915782998e-05,6.170624068807873e-06,-2.0536070778257527e-05,-4.994329952058137e-05,-0.00024119104657854332,-3.928850804055592e-06,-8.074336108707182e-05,6.9709051223e-06,-1.5280360267275687e-05,3.503724223092859e-06,1.5467405319215775e-05,-6.50825954619132e-07,-4.681959038689053e-05,-2.500272932506604e-05,-4.229261761619692e-05,-4.8670243649255766e-05,-0.0005269323076520648
