layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,-0.015923372904459627,-0.00932604471842448,-0.009081734551323788,-0.0021080440945095476,0.00205124749077693,-0.06981868743896484,-0.00011071099175347327,-0.06081030103895399,0.006156349182128906,-0.07241075303819444,-0.0008670171101888022,0.0008704291449652868,0.0023181703355577253,-0.044960339864095054,-0.003976525200737848,-0.04094479878743489,-0.0050774468315972245,-0.01758600870768229,-0.0444549560546875,-0.007291603088378906,-0.015764363606770835,0.0021080017089843755,-0.03299713134765625,-0.005591922336154514,0.004761335584852428,0.004370477464463974,-0.05214640299479167,0.00333843231201171,-0.0003736813863118478,0.0015854305691189246,-0.007908799913194445,0.015746561686197917,-0.0005812327067057301,-0.04782816569010417,-0.010117848714192709,-0.01746766832139757,-0.039723036024305554,-0.05194634331597222,-0.00646355946858724,0.0013011932373046889
1,-0.0019000159369574666,-0.005693605211046008,-0.00033933851453992776,-0.01003841824001736,-0.015807766384548613,0.0023829089270697686,-0.04091627332899306,-0.029212103949652776,1.8669499291265823e-06,-0.06295844184027778,0.0022769504123263877,0.0027443779839409744,-0.0005804697672526043,-0.008935885959201386,-0.029161919487847222,0.00237772199842665,-0.004105970594618056,-0.02742741902669271,0.0015265994601779455,-0.08231608072916667,0.011913765801323781,-0.03579800923665365,-0.0022839493221706794,0.0023544735378689266,-0.014957343207465277,-0.0002789815266927078,-0.005105251736111111,-0.24535963270399305,9.255276785981142e-07,-0.07066514756944445,0.0029092788696289057,0.004793760511610243,-0.0007037056816948783,-0.028330145941840277,-0.0031131320529513913,0.0162094963921441,-0.00010933346218533111,-0.03244855668809679,-0.04903225368923611,0.008062065972222223
2,-0.025680881076388887,-0.018561469184027776,-0.0006653043958875855,-0.0005959616767035578,-0.08831651475694445,-0.003585306803385418,0.0038059234619140627,0.0020072089301215257,0.0020684560139973976,0.0042192671034071184,0.006299930148654516,-0.012014219495985244,0.0033039516872829856,-0.03781890869140625,0.00017455418904620013,0.0023414187961154523,-0.0004009750154283193,0.01604529486762153,-0.21765036053127712,0.0001359356774224136,-0.0695540534125434,5.289713541666667e-05,-0.081591796875,-0.007718912760416667,0.0011344273885091154,-0.0015086703830295167,0.01610200670030382,0.012590747409396702,-0.00475364261203342,-0.0022786882188585078,-0.0013682047526041667,0.0018327077229817721,0.02688530815972222,-0.004762183295355904,0.0041625128851996525,-0.022749498155381943,-0.06921115451388889,0.025846947564019097,-0.11366984049479166,-0.007412528991699219
3,-0.04047817654079861,-0.006526014539930555,-0.010993745591905382,-0.12614203559027778,-0.05382130940755208,-0.028955078125,0.08138970269097222,-0.02100677490234375,-0.013758002387152777,-0.012567647298177083,-0.08914930555555556,-0.021698337131076387,-0.0634964836968316,-0.07648552788628472,-0.051041666666666666,-0.012245008680555556,-0.0005581325954861111,-0.004464043511284722,0.0018018086751302035,-0.035544331868489584,-0.019974093967013887,-0.001302782694498699,-0.005690553453233508,0.11276880900065105,0.0008256700303819445,-0.012071482340494792,-0.03160434299045139,0.0013562732272677945,-0.018977186414930555,-0.01736060248480903,-0.006427256266276041,-0.034180704752604166,0.0001522276136610251,-0.015130276150173611,-0.005186801486545139,0.00585081312391493,0.011112297905815973,-0.026436360677083333,-0.007421493530273437,-0.7995795355902777
4,-0.02881317138671875,0.006560198465983071,0.05634791056315104,-0.055941942003038196,-3.178914388019908e-06,-0.00248671637641059,-0.00587289598253038,-0.029087744818793403,-0.035557132297092016,-0.009003533257378472,0.007725779215494792,0.006705093383789065,-0.03785129123263889,0.02158287896050347,0.011399332682291667,-0.022163899739583333,-0.014377170138888888,-0.04477810329861111,0.004099994235568576,0.0013594733344184022,0.005597750345865884,0.002072991265190972,-0.0116424560546875,-0.007634141710069446,-0.0021657731797960055,0.010207155015733509,-0.05253984663221571,-0.027531178792317708,-0.014243401421440972,-0.03793445163302951,-0.08443637424045139,-0.02770928276909722,-0.0475616455078125,-0.09057443406846788,-0.008286624484592013,-0.007605658637152778,0.00010301801893446335,-0.009542232089572483,-0.06266852484809028,-0.014775933159722223
5,0.05034544203016493,-2.430685763888889,-0.02048869397905137,-0.0037939743035369233,0.9987132602267795,-0.005991246965196396,0.0008927981058756488,0.003042819764879012,0.0003914170795016825,-0.0007232718997531467,-0.09377005365159777,-6.553716957571727e-06,-0.000231676631503632,-0.00110650857289632,-0.00013292630513508832,0.0005422592163085889,0.007701216803656683,0.0044743855794270836,0.012636990017361112,0.011515638563368055,-0.006821950276692708,-0.0006001565191480828,-0.00790728727976481,-0.003951348198784721,-0.0013988123999701587,0.025248887803819446,-0.005959786309136285,0.00126781993442111,0.0006768623987833604,-0.005234146118164063,-0.0003730959362453836,0.003065151638454861,-0.000251253445943188,-0.0007114224963717969,0.00023786425590514073,-0.005922275119357639,-0.022709825303819445,-0.0015441179275512693,0.0688137478298611,-0.0003652950127919524
6,0.010792795817057292,0.00105323526594374,0.003803941938612197,0.0019976298014322902,0.0010774400499131932,-0.02207853529188368,0.054749213324652775,0.28560791015625,-0.4575737847222222,0.019861263699001735,-0.00747494167751736,-0.008599853515624997,-0.002954051891962689,-0.0005099137624104844,-0.006487125820583768,0.0024243672688802043,-0.0008317629496256512,0.005017005072699653,-0.0023087077670627177,-0.002250284618801539,-0.0009617275661892373,-0.001697232988145616,0.002637990315755209,-0.0015462239583333322,-0.009041743808322483,-0.004108672671847876,0.006700727674696181,0.004543675316704646,0.003401862250434028,-0.00043663713667128245,0.0021655506557888456,0.002980571322970919,0.013754018147786458,-0.001169753074645999,-0.006456926133897569,-0.03847452799479167,0.010663117302788629,-0.0012098736233181423,-0.00012406905492147344,0.0020917468600802954
7,0.004789034525553384,-0.012736694018046061,-0.001720476150512698,0.000684950086805553,-0.0013997289869520412,-0.0006288740370008656,0.007836956448025173,-0.0017931302388509113,0.01773834228515625,0.0019260618421766444,0.0012852986653645807,0.0021668222215440545,-0.00012231402926974756,0.00021611584557426993,0.0002674632602267822,0.0003604465060763948,0.0004756185743543733,0.0008184644911024278,-0.005508592393663192,0.0011793295542399062,0.005656645033094618,0.005157513088650174,0.00016169018215602204,5.022154914008234e-05,0.0002850426567925206,-0.0004989835951063389,-0.005036756727430558,0.00027313364876640095,-0.00032958487669625407,1.983510123358759e-05,-0.0001903057098388874,0.0024408976236979124,0.10868021647135416,-0.35372178819444444,-0.06293301052517361,-0.02213333977593316,0.0009815639919704842,0.0025511079364352765,0.008542166815863715,0.001732497745090061
8,-2.903732638888889,0.12689344618055556,-1.7035590277777777,-0.003393046061197908,-0.011099253760443793,0.0003456221686469189,-0.0028687371148003456,0.0017940097384982598,0.00023182233174641549,-0.007428762647840711,0.001897610558403861,-0.0006668408711751302,0.002297311358981661,0.004765150282118056,0.00651151869032118,-0.0008247905307345914,-0.003771686553955075,0.0008309364318847667,-0.0002794742584228502,-0.003942155838012692,-0.0011530823177761359,0.00012011461787753353,-0.0002723269992404728,-0.0005886051389906032,4.113134410638868e-06,-0.0037995444403754334,0.007841258578830296,-0.029183197021484374,0.00042543676164414354,-0.0033168739742702965,0.00034089088439939985,-0.00014474789301553462,-0.009916178385416667,-0.0006183200412326011,0.0007424685690138084,-0.002386569976806627,-0.0010615322324964782,0.0003232982423570296,0.009458202785915797,-0.00140455034044054
9,-0.04267179701063368,0.013148975372314454,-0.0002121885617573882,-0.015237363179524739,-0.0008835156758626267,-0.027951791551378037,-0.00555572509765625,-0.019741672939724394,-0.0006839990615844748,-0.021794478098551433,0.0008758809831407303,-0.003627522786458333,0.00298683378431532,0.0034877353244357643,-0.004985618591308593,-0.011633597479926218,0.004249440299140087,-0.024633110894097223,-0.004056676228841146,-0.002875243292914499,-0.0010268516010708223,-0.003993905915154349,-0.00880504184299045,-0.02522489759657118,-0.00048730373382568036,0.004204569922553165,-0.002856296963161892,6.993611653644101e-05,-0.0001405974229176701,0.0009294191996256417,0.0026010619269477,0.00127917395697699,-0.00024770630730522824,0.00039346483018663,0.000821389092339409,-0.0004363483852810353,-0.025465647379557293,-0.0014363924662272123,-0.0010046919186909912,0.12512630886501735
