layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,-0.005348108252700493,-0.0025072487033143327,-0.009192641900510203,-0.006627296914859694,-0.0006525391826824211,-0.012717772503288425,0.0014345986502511164,-0.006573346196388712,0.0020242029306839905,-0.014848981584821428,0.0004947039545798796,-0.001909119742257249,2.3355289381427115e-07,0.0010793452360192133,-0.007734415482501595,-0.007219042096819196,0.00021685386190609078,-0.003430716845454002,-0.009010937749123087,-0.0003546889947385203,-0.00038989709348094694,0.000965507663026148,-0.0032826053852937653,-0.0011422293526785702,-0.0009005410330636163,0.00019400460379464285,-0.020633035776566486,0.0017263451401068235,-0.0011755495655293368,-0.0008184471908880714,-0.005875061969367826,-0.0059384715800382655,-0.008065359933035714,-0.011920228296396683,-0.0029060986577248093,-0.016447728993941327,-0.0123291015625,-0.010848687619579082,-0.0034121104649135034,-0.003990835073042889
1,-0.001151240601831548,-0.002045222691127233,0.0004192663698780276,-0.0024816551987005744,-0.004953189772002551,0.00044379915509905197,-0.014497406628667091,-0.016297009526466837,-8.470549875375643e-05,-0.03461814413265306,0.0009600970209861276,0.0005387286750637746,-0.00179119499362245,-0.005701259690888074,-0.01004775689572704,0.0012163823964644448,-0.00275148664202009,-0.010622608418367346,1.2845409159753054e-05,-0.03944428113042092,-0.00014069615578164797,-0.007023013367944834,-0.0007469143186296724,0.0012983010739696294,-0.00863546254683514,-0.0017800233802016878,-0.004209284879723373,-0.06855306819993623,-2.4719505893939426e-05,-0.03448112643494898,-8.184082654057653e-05,0.00010443706901705818,-0.0017888643303695998,-0.00913713416274713,-0.001785395096759406,0.008340173838089923,0.00016442123724489795,-0.023967626143474967,-0.016092339340521365,0.0031700912786989796
2,-0.006938077965561225,-0.00905437858737245,0.0002622604370117174,-0.0011795199647241744,-0.030285893654336735,-0.0035401947644292104,0.0002395863435706306,0.00020854327143455102,-0.0010269320740991703,-0.0016726863627531071,-0.010267063063018176,0.002465890378368145,0.0014186197397660224,-0.005641158746213329,-1.9051590744335598e-05,0.00018302761778539285,-0.0001020157823757197,0.0029868884962432245,-0.05365650021300023,0.00011502723304592683,-0.013511696640326048,-0.007944846639827806,-0.028036312181122448,-0.00467479472257653,-0.004047899830098055,-0.0021225286989795906,-0.0031827031349649245,0.0036376641721141594,-0.002372800087442204,-0.0013858639464086426,-0.004887483557876275,-0.001753709754165339,0.011089714205994899,-0.00045122419084821626,0.0006522353814572704,-0.03519610969387755,-0.021937779017857144,0.007288407306281886,-0.029963746362802933,-0.004289043192960779
3,-0.012951909279336735,-0.0024180120351363194,-0.0018813074851522643,-0.06825225207270408,-0.015354098105917171,-0.012466119260204082,0.034919271663743624,-0.021087529707928092,-0.004858260252037827,-0.007939708476163902,-0.029237085459183673,-0.00774772799744898,-0.018642659090003188,-0.01856434101961097,-0.0170406419403699,-0.013604300362723214,0.0004477014346998561,-0.004886237942442602,-0.0011682121121153542,-0.029310187514947385,-0.00922004544005102,-0.0025652282092036034,-0.0030934080785634563,-0.02113186583227041,-0.005170004708426339,-0.010218639763034118,-0.03314022142059949,0.00034898641158123163,-0.010778933155293368,-0.008085523332868303,-0.008338694669762435,-0.01595882493622449,-0.0009980688289720184,-0.00407035983338648,-0.0017308215705715878,-0.005565837937958384,0.0014569808025749348,-0.025095258440290178,-0.005105583035216039,0.003359424824617347
4,-0.015290201926717952,0.005917490745077329,0.007649090825294962,-0.015942281606246014,-0.004303601323341837,-0.00655941087372449,-0.017919968585578764,-0.005124345117685746,-0.00489873302226164,-0.020251215720663265,0.004567983199139032,0.002160052863919005,-0.014531427500199298,0.010437089569714605,0.0074849031409438774,-0.008327172727000957,-0.008692838707748724,-0.01146713568239796,0.003032450773278062,5.889425472337344e-05,-0.0010381766727992476,-0.002481771975147481,-0.0064324359504544,-0.00455949744399713,-0.0052256681481186226,0.004132796306999362,-0.005979756919705136,-0.0012746733062121336,-0.0035904864875637753,-0.022351323341836735,-0.029854910714285716,-0.008946632852359694,-0.017695524254623726,-0.014865252436423788,-0.0036413231674505744,-0.005320646324936225,-0.003441791145169005,-0.015771671217315052,-0.012198779047751913,-0.005130874867341958
5,0.00990700235172194,-0.005894797188895088,0.00019762467364875,3.6007287550940954e-05,-0.12483931560905612,-0.0005023674089081425,0.00023973839623587012,0.0036284972210319654,-0.00040786850209139155,0.00030854040262650337,-0.004249660336241431,-1.2112515313280879e-05,-0.0009364400591169071,-0.00022176242604546765,8.361680167061269e-06,0.00011083057948520388,0.0017743791852678572,0.0019246315469547194,0.006820990114795918,0.0036155544981664543,-0.003857982401945152,-0.00016202002155537703,-0.003640033760849307,-0.0008827910131337663,-0.0013508115495954244,0.007526008450255102,-0.00014489037649971831,-0.0010128897063586182,2.8403437867387673e-06,-0.0024775096348353806,1.856988790083733e-05,-0.01186728964046556,0.0001977682113647447,-0.0005953871473974125,0.0001779600065581632,-0.002093957394969707,-0.00740424954161352,-0.0004868543877893554,0.007820596500318877,-9.411816694297753e-05
6,0.004867320158043687,0.0013195543873066806,0.0019127592748525194,0.0008932619678730867,-0.012515710324657207,-0.00962424764827806,-0.0012873435507015306,0.0019680723852040817,0.006590551259566327,0.011975969587053572,-0.0020399093627929705,-0.006501567607023278,-0.0008906539605588367,-0.00024401411718251526,0.0013708581729811032,-0.00044935576769770507,-0.0006419444570735979,0.0012497366691122242,-0.0007892433477907744,-0.0003828248199151553,0.00018395696367536074,-6.831422144052657e-05,0.0007323050985530918,-0.0025752709836375956,-0.004859223657724809,-0.0006936898036878924,0.004248482840401786,0.0013897175691565703,0.0009625493263711735,-0.0004902713152827059,0.0001832125138263301,-0.002507939630625199,0.0045412997810208066,-7.016318184989093e-05,-0.002892844531000876,-0.01932798113141741,-0.004405839102608817,-0.0017218200527891814,-0.0001871537189094418,0.0004832258029859906
7,0.0022018880260233978,-0.0005690978497874976,-0.00034821276762047655,0.0003370168257732786,-3.126202797400645e-06,0.0011428326976542552,0.01760116888552296,0.0012427738734654065,0.007668631417410714,0.001202573581617706,0.0005978370199398102,0.0018090034017757498,-0.0003185320873649767,0.00014180066634196853,0.0005198911744721067,-0.00042340220237264975,0.00042368927780461757,0.001129150390625,-0.0023465740437410274,0.0016004698617117733,0.0023408228037308672,0.002248958665497449,0.0003304968074876347,-0.0007440022059849325,0.00015123644653631442,-0.002865859440394808,-0.001079131145866549,-0.00021982192993164884,-3.4163496932201387e-05,-0.0005452657232479166,8.545846355204051e-05,-0.001968481102768255,-0.1187244142804827,-0.05315290178571429,-0.010222610162228954,-0.00529869235291773,-0.00019084677404286837,0.001431443253341986,-0.0006626674107142857,-0.0022947739581672517
8,0.0023077750692562177,-0.022663661411830356,-0.007076496980628189,3.220840376250142e-05,0.0022879911928760733,0.0013637153469786337,0.004340629188381895,0.0005180981694435572,0.0007420899916668316,-0.0020557714968311553,0.0012518629735829888,0.002406869615827287,0.0007921335648517225,0.005893006616709184,0.0021449497767857145,0.0006923286282286326,0.002669606889997208,-0.0019306649967115765,9.079976957672187e-05,-0.0009552021415866113,-0.0005276440357675364,-0.00020437695238055168,-0.0001327212975949709,-0.00042265045399568073,-0.00010490143785671365,-0.0006719122127610819,0.00848742893763951,0.004729601801658163,0.0005093204731843867,-0.0005280825556540959,0.00016510973171311,-3.5071707501721235e-06,-8.284391797317956e-05,1.9936005071715954e-06,0.0015673345449019448,9.870529174804507e-05,-0.00022778219106246432,0.0002871277380962668,0.000650250181859853,-0.0011115755353655152
9,-0.013273511614118303,0.0061006059451979055,0.00022892684352641656,-0.0035513469151088176,-0.0015244970516282673,-0.0024742593570631377,-0.0005079872754155372,-0.003496247894909915,-0.0003577251823580939,-0.0027350187301635725,0.0013804338416274744,0.00432010572783801,0.0005500608560990337,0.0030532759063097896,-0.0034474353401028387,-0.002318440651407048,0.0016623516472018493,-0.0030871410759127885,-0.00114033173541633,-0.0011619986320028492,3.1018743709636694e-05,-0.0004124057536222544,-0.004481257224569516,0.0009817979773696583,4.179137093679742e-05,-0.0014226679899254633,-0.0025939138568177515,-9.853620918432561e-06,2.064875194004859e-05,-0.0007796567313525158,0.0014323020467952806,0.0006581131292849143,-9.360605356644795e-05,0.0016824663901815623,0.0010170450015943868,-0.000246339914750073,-0.0030923862846530224,-0.0006049117263482541,-0.0003139096863415796,0.026810315190529337
