layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,-0.00555419921875,0.01422119140625,0.0013046264648437,-0.004730224609375,-0.017333984375,-0.003082275390625,0.027099609375,-0.002166748046875,-0.0019989013671875,-0.01092529296875,0.0115966796875,-0.01226806640625,0.0103759765625,-6.020069122314453e-06,-0.0179443359375,-0.044921875,-0.037353515625,-0.03076171875,-0.039794921875,-0.0380859375,-0.055419921875,-0.0169677734375,-0.024169921875,-0.0419921875,-0.047607421875,-0.01470947265625,-0.01361083984375,-0.0006790161132812,-0.04833984375,-0.00469970703125,-0.019775390625,-0.0252685546875,-0.0181884765625,-0.0172119140625,-0.0120849609375,-0.01312255859375,-0.00811767578125,-0.0167236328125,0.0020751953125,0.01043701171875
1,-0.01055908203125,0.046142578125,-0.042724609375,0.01202392578125,-0.005584716796875,-0.0034332275390625,-0.0033721923828125,3.600120544433594e-05,0.002655029296875,-0.004547119140625,-0.1806640625,-0.08740234375,0.0036468505859375,0.046630859375,0.0125732421875,-0.0012283325195312,0.0026397705078125,4.220008850097656e-05,0.048095703125,-0.023681640625,0.083984375,-0.01458740234375,-0.01458740234375,0.006439208984375,-0.018310546875,-0.0791015625,0.0240478515625,-1.436471939086914e-05,-1.931190490722656e-05,-0.000314712524414,0.0257568359375,0.019775390625,-0.1240234375,0.0101318359375,0.0145263671875,-0.01361083984375,-0.006683349609375,-0.0189208984375,0.0250244140625,0.0230712890625
2,0.004180908203125,0.02734375,0.0019378662109375,-0.015625,0.0007667541503906,-0.004058837890625,-0.04931640625,0.055419921875,-0.0018997192382812,-0.04052734375,0.002960205078125,0.041259765625,-0.001983642578125,-0.00897216796875,-0.029052734375,0.00482177734375,0.0014266967773437,-0.004730224609375,-0.0010452270507812,0.0084228515625,-0.0032806396484375,0.0033416748046875,0.0010299682617187,-0.072265625,0.0390625,-0.01470947265625,-0.02490234375,-0.00799560546875,-0.0250244140625,0.001708984375,0.01025390625,-0.0186767578125,0.0029144287109375,-0.02685546875,-0.0014114379882812,-0.0250244140625,-0.01312255859375,0.038818359375,0.05908203125,-0.018310546875
3,-0.0005722045898437,-0.0196533203125,-0.06884765625,-0.007171630859375,-0.0245361328125,-0.037109375,-0.007354736328125,-0.01611328125,-0.125,-0.0751953125,0.00494384765625,-0.0018844604492187,0.004180908203125,0.0016326904296875,0.050048828125,-0.00469970703125,-0.0169677734375,-0.0186767578125,-0.003570556640625,-0.01361083984375,-0.0284423828125,-0.055908203125,-0.03125,-0.010009765625,-0.026611328125,0.002532958984375,-0.0009727478027343,-0.0283203125,-0.01519775390625,-0.0059814453125,-0.08447265625,0.008056640625,-0.09912109375,0.01214599609375,0.11083984375,-0.0026397705078125,0.01519775390625,-0.01483154296875,-0.03271484375,-0.04443359375
4,-0.00726318359375,-0.01470947265625,-0.0078125,-0.026123046875,-0.0074462890625,0.0283203125,0.0,0.0079345703125,-0.002593994140625,0.0113525390625,-0.0017623901367187,-0.0003814697265625,0.0126953125,0.017333984375,-0.01470947265625,-0.042724609375,-0.039794921875,-0.1103515625,-0.08984375,-0.053466796875,0.02978515625,-0.010498046875,0.01446533203125,0.015625,0.0169677734375,0.0194091796875,0.044677734375,0.0732421875,0.03662109375,0.1015625,-0.01031494140625,-0.296875,-0.0517578125,-0.00823974609375,-0.072265625,-0.06884765625,-0.045654296875,0.0186767578125,-0.0034027099609375,-0.040283203125
5,-0.0014724731445312,-0.0001850128173828,-0.005767822265625,-0.375,-0.0008773803710937,-0.00555419921875,-0.0035552978515625,-0.004486083984375,-0.01953125,-0.0068359375,-0.00286865234375,-0.0076904296875,-0.00579833984375,-0.01373291015625,-0.005706787109375,-0.00909423828125,-0.010986328125,-0.02783203125,-0.0283203125,-0.0162353515625,-0.01263427734375,-0.01385498046875,-0.0162353515625,-0.0128173828125,-0.023193359375,-0.0184326171875,-0.0027923583984375,-0.0013885498046875,-0.0012969970703125,-0.0025482177734375,-0.00201416015625,0.004791259765625,0.0033111572265625,-0.0002222061157226,0.0006179809570312,-0.004150390625,-0.00567626953125,-0.00982666015625,-0.006439208984375,-0.0196533203125
6,-0.0306396484375,-0.01165771484375,-0.01202392578125,-0.007659912109375,0.0050048828125,-0.0101318359375,-0.01806640625,-0.034912109375,-0.51171875,-0.0213623046875,-0.004669189453125,-0.01263427734375,-0.00555419921875,-0.006011962890625,-0.0064697265625,-0.07958984375,-0.048828125,-0.0069580078125,-0.004180908203125,-0.00872802734375,-0.006103515625,-0.02978515625,-0.006256103515625,-0.00738525390625,-0.034912109375,-0.015869140625,-0.0091552734375,-0.017333984375,-0.0025634765625,-0.005462646484375,-0.012939453125,-0.032470703125,-0.01165771484375,-0.01190185546875,-0.0166015625,-0.01300048828125,-0.000457763671875,-0.0008544921875,-0.01434326171875,-0.00885009765625
7,-0.0169677734375,-0.003997802734375,-0.01171875,-0.020751953125,-0.007537841796875,-0.01470947265625,-0.059326171875,-0.01214599609375,-0.017333984375,-0.020751953125,-0.017822265625,-0.0057373046875,-0.00592041015625,-0.0012283325195312,-0.0093994140625,-0.001922607421875,-0.001373291015625,-0.00787353515625,-0.01373291015625,-0.004425048828125,-0.0322265625,-0.064453125,-0.006011962890625,-0.01214599609375,-0.01171875,-0.01544189453125,-0.0125732421875,-0.018798828125,-0.00384521484375,-0.0101318359375,-0.007110595703125,-0.01025390625,-0.0032958984375,-0.11279296875,-0.029052734375,-0.0042724609375,-0.0286865234375,-0.01055908203125,-0.0306396484375,-0.03515625
8,5.030632019042969e-05,0.00115966796875,-0.0007820129394531,-0.99609375,0.0009918212890625,-0.017333984375,3.790855407714844e-05,-0.007415771484375,0.0018539428710937,-0.0029449462890625,-0.010498046875,-0.03515625,-0.025634765625,-0.0027313232421875,-0.0303955078125,-0.00506591796875,-0.00640869140625,-0.0135498046875,-0.01025390625,-0.006500244140625,-0.008056640625,-0.008544921875,-0.007232666015625,-0.01080322265625,-0.0120849609375,-0.002471923828125,-0.01531982421875,-0.0242919921875,-0.0018997192382812,-0.0003261566162109,-0.0012359619140625,-0.0007095336914062,-0.023681640625,-0.00897216796875,-0.0216064453125,-0.00848388671875,-0.0106201171875,-0.0050048828125,-0.041015625,-0.00439453125
9,-0.004180908203125,-0.017578125,-0.0166015625,-0.0224609375,-0.0120849609375,-0.005462646484375,-0.0010528564453125,-0.00439453125,-0.0010986328125,-0.0042724609375,-0.0013656616210937,-0.02197265625,-0.003021240234375,0.00213623046875,-0.008544921875,-0.0033721923828125,-0.00830078125,-0.002166748046875,-0.0010299682617187,-0.016357421875,-0.0034637451171875,-0.0048828125,-0.037353515625,-0.005523681640625,-0.019775390625,-0.0189208984375,-0.00897216796875,0.0079345703125,-0.000579833984375,-0.0017242431640625,-0.005157470703125,-0.003326416015625,-0.00958251953125,-0.0159912109375,-0.0027313232421875,0.0032958984375,0.0008773803710937,0.0064697265625,-0.0015106201171875,-0.0033111572265625
