layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,-0.0031339891495243163,0.004082218293220764,-9.992045740927733e-05,-0.001704000657604584,-0.009404736180459306,0.0008472319572202677,0.0014976378410093225,0.0009517054403981904,-0.00027312001874369677,-0.0010017887238533258,-0.0022118476129347293,-0.000957365958921371,0.003924108320666899,-1.1204711852529696e-05,-0.003502815000472532,0.00011616368447580646,-0.003633437618132555,-0.001319639144405242,0.0008515388734879032,-0.00040201986989667427,-0.006902387065272178,-0.00520964591733871,-0.0019797663534841226,0.00013443731492565478,-0.00580473869077621,-0.004621567264679939,0.000928694202053929,-0.0017498385521673386,-0.005410963489163307,0.0013243921341434517,-0.0031839186145413323,0.0005662364344443034,-0.004321190618699597,-0.005649166722451491,-0.0016607469128024225,0.00034829108945784784,-0.002372372534967232,-0.004412497243573587,0.00040294278052545486,0.004257878949565274
1,-0.005236717962449597,0.006583921370967742,-0.008340158770161291,0.0014302653651083678,-0.0009663181920205387,-0.0011227515435987873,-0.00017933691701581614,1.3689360310954432e-05,0.0003501830562468496,-0.0003959901871219742,-0.022010064894153226,-0.008629583543346774,0.0002197757844002032,0.0035951675907258066,0.0017018471994707646,-0.0003067754930065483,0.0009075287849672387,9.013760474417945e-06,0.009097929923765123,-0.004057361233618951,0.00481537849672379,-0.003901820028981855,-0.007860245243195564,0.0044511364352318545,0.0007245463709677419,-0.014638593119959678,0.005778281919417846,-5.821787541909625e-06,-2.0716459520397963e-05,-3.5812777857621795e-05,0.005771760017641129,0.002653614167244203,-0.018226377425655242,0.00012514668126260001,0.0006681872952368968,-0.0015389842371786807,-0.0022298751338835675,0.0028435491746471773,0.0004919113651398677,0.004984209614415326
2,0.00024971654338221377,0.002085778021043345,0.0025506788684475806,-0.002830997590095768,0.00012682330223821612,2.0796252835180613e-05,-0.007240541519657258,0.0073638423796623005,-0.0013181624873991936,-0.009199573147681451,-0.00048397433373235693,0.006027329352594193,-0.0015137580133253547,-0.0016684993620841742,-0.005548292590725807,0.00044201266381048383,0.00026375247586156594,0.0016609930223034292,9.815154537079002e-05,0.0003537824076990903,0.0006305277347564706,0.0005680207283266064,0.0005571457647508176,-0.00874599333732359,0.004384256178332917,-0.003315587197580645,-0.00564599806262601,-0.002289310578377016,-0.001404177758001513,0.0003831809566866943,0.00024327924174647418,-0.0038119900611139094,5.611296622983546e-05,-0.005604897775957661,-0.0012418685420866936,0.0010469498172883064,-0.002404751316193614,0.004905516101467994,0.006908601330172631,-0.004913330078125
3,-4.2820169079686565e-05,0.005860113328503026,0.0013211158014112903,0.00017477620032526134,-0.0007635393450337072,-0.003922493227066532,0.001501021846648184,4.651469569052576e-05,-0.022348711567540324,-0.010808760120022682,0.0004658852854082613,-0.0019130706787109386,0.0007784443516885065,0.0001801367728940874,0.007625456779233871,-0.00043712123747794806,0.0002657982610887129,-0.0032486454133064517,-0.002474323395759829,3.937752016129032e-06,-0.0012693097514490904,-0.0045166015625,-0.0030689854775705645,-0.0011698199856665806,-0.0011879705613659257,0.0007284225956086194,-0.0007354674800749871,-0.005470521988407258,-0.001579038558467742,0.000559283841040829,-0.0031445410943800422,0.0022565780147429416,-0.0106964111328125,0.002548709992439516,0.014490927419354838,0.001589252102759574,0.0012722015380859388,-0.0004976334110383064,-0.004832113942792339,-0.03844993345199093
4,-0.000926848380796371,-0.0029734949911794355,-0.00034535315728957103,-0.00013855964906753853,-0.0029510990265877,0.002604146157541584,-0.0017982605964906712,0.001650164204259071,-0.00042429277973790315,0.0008776264805947581,0.00023632664834299355,0.0008185602003528211,0.001803305841261342,0.0021964042417464743,-0.002971526115171371,-0.008158653013167845,-0.0036522649949596773,-0.02015784478956653,-0.005845592867943549,-0.0065721081149193545,0.0024330385269657278,-0.0002586303218718517,0.0011618829542590743,0.0015048673076014357,0.001744977889522429,0.0024837986115486357,0.0047755087575604835,0.008147701140372984,0.004406775197675149,0.012976308022775954,0.0004886504142515162,-0.04835313366305444,-0.008768943048292583,0.0010040037093623968,-0.005802277595766129,-0.008090665263514362,-0.0006310247605846774,0.00013142247353830646,0.000780720864572842,-0.0025919022098664325
5,0.001325422717678929,-9.598018180937987e-05,-0.0029649426860193966,-0.14681120841733872,0.0014479160308838053,0.0022957094254032256,0.00017307650658393228,-0.0003782703030493935,-0.0014298962008568547,-0.0003827002740675387,-0.0024845061763640393,-0.0028740667527721773,-0.0009782237391318031,-0.006477109847530242,-0.0022992164857925873,-0.0018827376827116936,-0.000688122164818542,-0.0012689405871975806,0.0012827227192540322,-0.0012118431829637097,-0.005597637545677923,-0.0021623796032321065,-0.0023223353970435357,-0.0012720477196478065,-0.0023744644657258066,-0.0005079700100806451,-0.00038980668590915486,-4.502265684065372e-05,-3.171736194240222e-05,-0.00028748666086504194,-0.0003366893337618789,0.0018588650611139129,-0.004432016803372294,0.00010976291471912099,-0.0002521007291732306,-0.0006179194296559941,-0.00038849153826313256,-0.00044471986832156455,0.00012548508182649417,-0.003264738667395803
6,-0.007227743825604839,-0.002187913463961697,-0.0017335953251008064,-0.0036109185987903227,0.0030228399461315523,-0.0018934434460055418,-0.0034819572202620967,0.002171670236895161,-0.12411400579637097,-0.004842696651335687,-0.00042229314004221146,-0.0011235821631646902,-0.0009619189846900161,-0.001146993329448087,-0.001463044074273884,-0.014650406376008064,-0.004116919732862903,-0.0011572068737399194,-0.0008820564516129032,0.0008082236013104839,4.4176655430948365e-05,-0.007880426222278226,-0.0021578881048387095,-0.0031516782699092744,-0.007410849294354839,-0.0031775197675151193,-0.0030958114131804455,-0.005526634954637097,-0.0019068564138104839,-0.0032580283380323873,-0.004018229822958667,-0.003998356480752268,-0.0015012679561491903,-0.0031768122026997227,-0.002407197029359877,-0.00429657966859879,-0.00010087797718662593,-0.00010049727655224491,-0.0026117140246975806,-0.0005103695777154742
7,-0.0018268708259828613,-0.0016949561334425418,-0.0020619053994455645,-0.003254059822328629,-0.0014861322218372001,-0.004051454605594758,-0.005621141003024193,-0.0018394224105342742,-0.0024586339150705645,-0.003009426978326613,-0.00404997794858871,-0.0025079788700226808,-0.00029225503244707096,-3.3809292700974184e-05,-0.0023920612950478807,-0.0008906702841481838,-0.0003651765085035755,-0.0032001618416078645,-0.0033136183215725775,-0.0015161575809601805,-0.008385442918346774,-0.013224570981917847,-0.0012172575919858902,-0.005463630922379032,-0.0022063716765373,-0.0017951227003528225,-0.002460614327461482,-0.0061122525122857835,-0.0006845958771244156,-0.0020548528240572988,-0.0018882751464843774,-0.0022250759986139094,0.002070742268716141,-0.043807491179435484,-0.005384752827305945,-0.0013235768964213678,-0.010306081464213709,-0.0043058087748865876,-0.002659582322643648,-0.009253717237903226
8,-0.002306421077059153,0.00014980377689484,-0.00041474065473002674,-0.525634765625,0.0002522160930018195,-0.007817914409022178,-0.0003684105411652476,-0.0018989809097782258,0.0001997024782242411,-0.0010175397319178354,-0.0014877319335937485,-0.002334102507560484,-0.0067768712197580645,0.0009547818091607903,-0.008322438886088709,-0.002733538227696571,-0.0003438765002835161,-0.0031403572328629033,-0.0024817066807900664,-0.0006489599904706386,-0.0021181568022697194,-0.002398029450447326,-0.002036971430624684,-0.0027415983138545904,-0.0020780255717615936,-0.0005642060310609804,-0.0008141148474908676,-0.00100091195875598,-0.0004116565950455138,-0.0003000363226859949,-0.00016637002268144192,-0.00030895202390607436,-0.02355858587449597,-0.002645538699242378,-0.003946858067666329,-0.0018563885842600195,-0.0005702357138356709,-0.00035685877646169354,-0.007573281565020161,-0.00037088701801915163
9,-0.0029135058003087223,-0.007241033738659274,-0.009685147193170365,-0.0010464575982862903,-0.0027978958622101773,-0.0017594945046209593,-0.00046000557561073885,-0.0009761933357484936,-0.0001880329462789732,-0.0009618266936271451,0.00014908083023563879,-0.0051555018271169355,-0.0035538211945564517,0.00012091667421402531,-0.004842819706086187,-0.0003749478247857838,-0.0021222022271925383,-0.00021413064772082257,-0.00022045258552796373,-0.0035183814264112905,-0.00115438430540023,-0.0017876778879473258,-0.004551518347955517,-0.004170940768334181,-0.007678862540952623,-0.0028281980945217967,-0.0035371165121755293,0.0034251059255292356,-4.368443642892258e-05,-0.0008280200342978216,-0.0034765428112399194,-0.0023513301726310483,-0.006428872385332665,-0.004709428356539819,-0.002440667921496974,0.0011778185444493458,-8.577685202321254e-05,0.0007955489620085677,-0.0006881683103499838,0.005182958418323148
10,-0.000828275757451208,-0.0015764428723242987,-0.00182888200206141,-0.0010084336803805516,-0.005580963626984625,-0.0023293648996660803,-0.0002928087788243387,-0.003276701896421371,-0.0019341745684223807,-0.00038310020200667743,0.00036376522433371827,-0.012922502333118068,0.0005730044457220322,-0.0001590175013388337,-0.0002600146878150226,-0.0030960575226814517,-6.605732825494247e-05,-2.211909140309949e-05,-8.207367312521651e-05,0.00019706449201029188,-0.008198153588079635,-0.010603504796181959,-0.0010142172536542259,-0.0026176206527217744,-0.0010864119375905642,-0.001440740400745025,-0.0034728511687248,-0.0018263786069808452,-0.0036206706877677693,-0.002298601212040071,-0.000498117939118418,-0.0005277818249117934,-0.003467805923954132,-0.0006623960310412965,-0.0007205605506896988,-0.006138955393145161,-0.0006974127984816096,-0.018160912298387098,-0.0007013197868101064,-0.002342101066343245
11,-0.0008145609209614355,-0.0003171736194241386,-0.0005802877487674782,-0.0010189087160172071,-0.0001625168708062928,0.00015251098140593478,-0.0014239280454574129,-0.0013849196895476324,0.0015958739865210775,-4.3019171684018215e-05,-0.002766909137848878,-0.0006035989330660916,-0.0009001762636246244,-0.0024783226751512095,-0.0018586189516129033,-0.001523817739179058,-0.008644350113407258,-0.020195499543220766,-0.0011580970979506093,-0.0030252318228444733,-0.0010556867045740904,-0.002735630158455145,-0.0003380313996345686,-0.0014658666426135647,-0.0020459082818800422,-0.0022450108681955645,-0.0010885423229586742,-0.0012376000804285817,-1.1416212204961108e-05,0.000222102288276912,-0.015305734449817292,-0.0037615222315634514,-0.0003692123197740112,-0.0009947746030745952,-0.0029325336217880292,-0.006871377268145161,-0.0010025270523563452,-0.0028645300096081195,-0.005277510612241681,-0.00699738533266129
