layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.0003606435414907095,-0.045057554502744936,-0.02717342892208615,-0.026078095307221282,-0.017492139661634286,-0.22314453125,-0.023502040553737332,-0.24161343961148649,-0.05807247677364865,-0.23102961359797297,-0.007206272434543919,0.02165623613305994,-0.0836742504222973,-0.09840491011336043,0.019459904851140204,-0.12472286739864864,-0.06551216744087837,-0.02158046413112331,-0.13248093063766891,-0.05219990498310811,-0.03639427391258446,-0.022859315614442568,-0.024055687156883446,-0.03141825907939189,-0.03919735470333615,-0.06702319995777027,-0.13411073426942569,-0.03994338576858108,-0.040805301150760136,-0.009060421505489864,-0.1324561866554054,-0.07974160684121621,-0.11751741976351351,-0.09930584881756757,-0.13496357685810811,-0.05020925161000844,-0.10503985430743243,-0.07958984375,-0.0001198021141258431,-0.07022342166385136
1,-0.0014054581925675676,-0.034404032939189186,-0.02151035618137669,-0.0606128589527027,-0.09743190456081081,-0.02171985523120777,-0.023523279138513514,-0.25062024915540543,0.0009719230033255891,-0.2169288429054054,0.0054399645006334455,-0.05647154112119932,-0.10539616765202703,-0.0831199852195946,-0.38752375422297297,-0.004982303928684543,-0.0955711570945946,-0.8905458192567568,0.062031513935810814,-0.07618507179054054,0.020050873627533782,-0.06707846151815879,0.12274974101298564,-0.13794089652396538,0.018137751398859796,-0.00807602341110642,0.022771886877111486,-0.322998046875,0.003764126751873946,-0.550464527027027,0.0076821816934121625,-0.015523549672719595,0.05193102037584459,-0.080413818359375,-0.07302609005489864,-0.011603896682326857,0.02371463260135135,0.09117332664695946,0.010036984005489864,-0.03116092166385135
2,-0.2565456081081081,-0.1214038745777027,-0.05504133894636824,9.773872994087838e-05,-0.36658044763513514,-0.0437572582347973,-0.005067773767419762,0.02110537967166385,-0.01242993329022382,-0.02176274480046453,-0.00858110994906039,-0.010566092826224662,0.0027101877573374165,0.051717809728673986,0.00273402961524757,0.04007700327280406,-0.0026527610985008485,0.055604676942567564,-0.45550289669552363,0.02827856669554839,-0.36372911607896957,-0.09980732685810811,-0.13005107157939189,0.016460934200802364,-0.029352961359797296,-0.004261532345333616,0.009544166358741554,-0.002418311866554054,-0.10134805215371621,-0.046822212837837836,-0.08706087679476351,-0.00645302437447213,0.006291569890202703,-0.0348560230152027,0.020158097550675675,-0.15077333192567569,-0.09002850506756757,-0.04253243111275338,-0.4911696975295608,-0.05575406873548353
3,-0.23593964447846283,-0.0034829217034417245,0.018211570945945946,-0.13455447635135134,-0.21305805927998311,-0.04192702834670608,0.008584512246621621,-0.0683391674144848,-0.0060499036634290545,-0.02964122875316723,-0.6004539695945946,-0.13636202425570101,-0.2938991237331081,-0.2297165329391892,-0.23309449891786319,-0.025271853885135136,0.008313565640836148,-0.027150334538640204,0.010368347167968752,-0.01230270798141892,-0.030259003510346282,-0.044679383973817564,-0.039242306271114864,-0.035225533150337836,-0.013241329708614864,-0.03207644900760135,-0.04715213260135135,-0.09822659879117399,-0.013975401182432432,-0.022734770903716218,-0.08567933778505067,-0.068206787109375,-0.024559227195945946,-0.0739185230152027,-0.043532500395903714,-0.024829349002322636,-0.007360509923986487,-0.0378620044605152,-0.013655482111750425,0.013200914537584459
4,-0.4027660472972973,0.0542652027027027,0.0004684860641891892,-0.012947185619457348,-0.09592747043918919,-0.0598804370777027,-0.002488419816300676,-0.11342641469594594,-0.05423839672191723,-0.04847841005067568,0.01920875343116554,0.017319962785050675,-0.06111433699324324,0.002617088524070946,0.021563555743243243,-0.09020666173986487,-0.11019732501055743,-0.16853621199324326,0.044408849767736486,0.10170766469594594,0.006315695272909627,-0.06875527871621621,-0.040619721283783786,-0.03523378114442568,-0.058777680268158786,-0.024214461043074325,-0.05653505067567568,-0.037591882654138514,-0.056846000052787164,-0.04393871410472973,-0.10158229518581081,0.011265316525021116,-0.25439762424778295,-0.04656541669690931,0.0017184695682010136,0.0010266690640836134,-0.010224625870988178,-0.020827834670608107,-0.05048246641416807,-0.012340442554370779
5,-0.022071632179054054,0.0047990953600084455,0.01698097022804054,0.0007013887972445092,0.027198585304054054,-0.0010753322292018593,0.002065710119298989,-0.020405949773015204,-0.0005899377771326,-0.0013133899585620757,-0.02510957460145692,0.0026004507734968926,-0.0014524202089051975,-0.0012575097986169783,0.0011622905731201172,0.0016021728515625,0.010550009237753379,0.008414603568412162,0.02413692989864865,0.010575578019425675,-0.008754266274941932,0.00030225032084697643,-0.03086239582783467,-0.010253416525351033,-0.003961653322786896,0.05423880912162162,-0.02611933527766047,0.001144821579391892,0.0001431026974239865,-0.007122929031784473,-0.0004076571077913919,-0.012125685408308698,-0.0013028866535908467,0.002150303608662373,-0.0011990134780471328,-0.01503722732131545,-0.04376344423036318,-0.006861403181746199,0.03929344383445946,0.0011312252766377243
6,0.037993559966216214,0.08423511402027027,0.00043054529138513516,0.015603555215371621,-0.0502368823902027,-0.09786739864864864,0.007779508023648648,0.09804720491976351,0.06169664537584459,-0.01360424144847973,-0.011123863426414698,-0.007956221296980573,-0.002847336434029246,0.0015360857989336943,-0.018343951251055743,-0.0029675251728779515,0.03109988650760135,-0.00024970802100929187,-0.007500571173590584,0.0068183074126372464,-0.00961561460752745,-0.00286865234375,0.002714827254011827,0.004179439029178103,-0.0063062100797086134,0.0011312123891469566,0.01832786766258446,0.007734968855574324,0.0058676229940878375,0.0027952451963682433,0.0007484023635451838,0.004064199086782095,0.019791886613175675,-0.0004605989198427,0.016687341638513514,-0.06503955737964527,-0.0659534351245777,-0.013063946285763302,0.0050593195734797295,0.017154178103885136
7,0.00620156365471917,-0.0018943064921611054,0.0002687557323558907,0.0009397558263830242,0.003251926319019216,0.008682972676045184,0.013642182221283784,-0.0021453032622466214,0.013242979307432432,0.009285591744087838,0.005923709353885135,-0.021500870988175675,0.0042328705658783786,0.0006597042083740188,0.0006180840569573459,0.006969761204075167,0.0020100619341876084,0.008779164907094595,-0.0002078494510135135,0.007518871410472973,0.009937183277027027,0.021091770481418918,0.001539281896642735,-0.006189604063291805,0.003143310546875,-0.007436391469594595,-0.003871969274572424,-0.0013500806447621946,-0.0006964174476829764,0.0027819453059016053,-0.001307493931538351,0.012609017861855996,0.00545707908836571,-0.32133236446896113,-0.04362529032939189,-0.06533071157094594,0.03703019425675676,-8.907833614864865e-05,-0.006193831160261824,0.0546875
8,-0.011128399823163005,-0.0330249683277027,-0.01820992134712838,0.004278750032991976,-0.027104558171452704,0.031962626689189186,-0.014474301724820523,0.012578603383657095,-0.0035439568596917215,-0.0010219264674831052,-0.016665896853885136,0.01615452122043919,0.02727446684966216,-0.0033518816973712,0.034087309966216214,0.002016995404217692,0.002167160446579392,-0.001824043892525338,-0.001512269716005065,-0.008761637919657938,0.0035218934755067567,0.0012316317171663837,0.00042624731321591174,0.0032989398853198863,0.0007507221118823946,-0.004946992203995992,-0.0016407322239231435,0.02625666437922297,0.002663380390888938,-0.0021953325013856647,0.0008854221653293893,2.5917549391041472e-05,0.006663605973527238,0.00013673869339195525,0.005992580104518581,0.0026503124752560187,0.005585232296505489,0.0019414489333694027,-0.0008957321579391892,-0.000756547257706924
9,-0.020194801124366554,0.0060639252533783786,0.0035953006228885164,-0.01779875884184966,-0.00026537920977618394,0.006615922257706927,-0.006269609605943832,-0.009513236380912162,-0.0074952615273965375,-0.04014319342535895,-0.00859286334063556,0.010882403399493243,0.0017386771537162163,-0.035530708931587836,-0.024066615749049832,-0.08296389193148226,0.0041429674303209455,-0.06819441511824324,-0.014174177839949325,-0.002304180248363603,-6.532024692844142e-05,-0.007884876148120779,-0.015080838590054898,-0.02445427147117821,0.007180497453019424,-0.005438108701963681,-0.00044003048458614866,0.0016479749937315217,8.692612519135403e-05,0.001883429449957773,0.0039132607949746625,0.001295141271642735,0.012800062024915541,-0.008459658236116977,0.009549527554898648,-0.006568238541886613,-0.008138708166173986,-0.012537569613070104,0.004253026601430532,0.00576988426414696
