layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,-0.01089070414939122,-0.006525943153782895,-0.002620808562340095,-0.004727279930783992,-0.007431275663320084,-0.020407871893274854,-0.00613358703970212,-0.02685546875,-0.004998279593841374,-0.017502455683479533,-0.0012252539919133778,0.00039242303859420653,-0.005911308422423245,-0.005342031780042148,-0.0038279260111133955,-0.010539629306012427,-0.008043523420367325,-0.007412291409676535,-0.015715125011421784,-0.005980374520285088,0.003314726533945541,-0.0034466124417489043,-0.0006317674067982456,-0.0014983952394005849,-0.0021078544750548246,-0.007770828336302997,-0.009294253343727157,-0.009225566484774763,-0.012016430235745614,-0.0028975860417237765,-0.01754957054093567,-0.016717208059210526,-0.01866033899853801,-0.010189658717105263,-0.015500788103070175,-0.009147777891995614,-0.01577919407894737,-0.01612470303362573,-0.0035233135111847817,-0.00906282837627924
1,-0.0004913151612755848,-0.004618862219024123,-0.002114636159082602,-0.005313092505025585,-0.007397032620614035,0.0003457320363898023,-0.0016196568806966145,-0.03056540684393275,0.0004037618637084968,-0.01575063961988304,-0.0009402447973775585,-0.004504108986659356,-0.008128740634137427,-0.00930964598181652,-0.03492781432748538,-0.00131902081227442,-0.001452217325132493,-0.07586777001096491,0.0029389676991959063,-0.007781625491136696,-0.00046784696523209066,5.942896792763158e-05,-0.0014872411538285812,-0.012315359729075293,-0.003437332242552997,-0.002530103538468567,0.0027966415672971492,-0.035765887701023395,4.747109106409934e-06,-0.044270833333333336,0.00045323511313276663,-0.0026086729172377556,0.002872879742181789,-0.010530706037554825,-0.00783694975557383,-0.005132262469732273,-0.0036255685906661185,0.0054294965420550075,0.000836690266927083,-0.004488047103435673
2,-0.015647843567251463,-0.013588888603344298,-0.005868833664565059,-0.0018949452896564328,-0.03375137061403509,-0.006502653423108552,-0.0024739315635279604,0.0011893378363715269,-0.0030699166638112206,-0.0025731136924342104,-0.011317693699173063,-0.00032445004111842106,-0.0007019266050461438,-0.008102997004637244,-4.054998096666909e-05,0.0008835820426717836,-0.00035259877032006834,0.003991556446454678,-0.049662272135416664,-0.0025104862904688076,-0.04462874563116776,-0.009837725009137427,-0.010581925598501463,-0.004037154348273026,-0.0023771141007629753,-0.0027878075315241227,0.002212435181377924,0.0017660263686152236,-0.018630892212627925,-0.0002505653782894737,-0.004992211771290204,-0.0025989465546189697,0.00030615734078033623,-0.001258537783260234,0.0014751947414108188,-0.023091991045321638,-0.0038089863738121343,-0.003987630208333333,-0.060120342767726605,-0.001072309170550073
3,-0.029972009491502194,-0.005594398543151498,0.0010208219115497076,-0.01069078947368421,-0.012104770593475877,-0.007115191186380665,-0.0007541054173519736,-0.006872255202622441,-0.0045373481616639245,-0.002661230968453034,-0.03633269371345029,-0.012958593535841558,-0.03284655119243421,-0.0162788971125731,-0.027913589923702485,-0.006857442576982822,-0.0007743166204084433,-0.003852219609489218,-0.005184731288262975,-0.008389746236522295,-0.0035128677100466008,-0.006549411349826389,-0.0009750455443622076,0.0018593414485105994,-0.003210948921783626,-0.006151165878563596,0.002105534425255848,-0.00269295318781981,-0.0036867375959429823,-0.006151344343932748,-0.008270085206505849,-0.008475989626165022,-0.003031719497769897,-0.01286766543025859,0.0027880752295778508,-0.0015060469421029794,-0.0014814410293311404,-0.003689236111111111,-0.00762894836782712,-0.0001924302842881941
4,-0.03226653874269006,0.005609791181240863,-0.004560950206734284,-0.0007857160958630305,-0.01169318483586897,-0.0031300148768731726,0.002340841014482822,-0.008689791138409174,-0.003925435027183845,-0.003822014345760234,-0.004209284196820175,-0.0035584656118649487,-0.005833675986842105,-0.009001971685398392,-0.0014968782837627924,-0.008493880779422515,-0.015954268606085526,-0.01634171692251462,0.0011969672309027778,0.005636650219298245,-0.0002679211354395093,-0.014675564236111112,-0.005589356896472953,-0.004592047797309028,-0.012192798636810125,-0.006301344486705044,-0.005140471876713268,-0.00934288515682109,-0.0064518354092425075,-0.009548254180372808,-0.008545635736476608,0.0003199660987184747,-0.02371305052997076,-0.0026980840671829314,-0.0011795222410681656,0.002092908000388339,-0.006044131273414657,-0.00961910493192617,-0.0021033928408260233,-0.0034682959841008773
5,-0.002368413914016813,-0.005865063583641721,-0.00027608592607821636,-9.161490968793699e-05,0.016081514414290937,-0.0007917727643286276,2.813618085539188e-06,-0.0003681238631756001,-5.239631697448244e-05,-0.0010074035466065877,-0.0030091519941363417,0.00016628650196811676,-0.0004273715772126864,0.00044483190391495685,8.642115788152994e-05,9.980675769828245e-05,0.0009308530573259315,0.00028232105991296606,0.006017852247807018,0.0018986930624086257,-0.0010345972072311328,0.00020289002803334036,-0.0019730238886604533,-0.0009478574607804497,-0.000417185108564055,0.006482576069078948,-0.0027118705169499276,0.0012160630254020469,0.0007209777832031258,-0.0001624481022706503,-0.0005390936868232601,-0.0030873616536458335,-0.0002329251919573522,0.0012581473902652134,-0.00043823356516877024,-0.003543098070468125,-0.004719695152595029,-0.0013027748866387995,0.007647597998903508,-0.00022998330188773682
6,0.002037360654239766,0.0003783465826023392,-0.004877012375502559,0.0009058902138157895,-0.003935518320540936,-0.013726128472222222,-0.0037311531646906974,0.006243432474415204,0.0038009554322002924,0.0009859319318804819,-0.0030821861579404235,-0.003391778957076937,-0.00042332543267144213,-0.0019617917244894455,-0.00271639907569216,-0.0033565320466694094,0.0023522627981085527,-0.0007741493091248631,-0.0008977811936049427,-0.0009083218044704866,-0.0010336546870002982,-0.0004095222517760883,-0.001255537334241365,-0.00040547331871345027,-0.002095529210497761,0.0001277031257138614,-0.001522041900813231,0.00037134181686312165,-0.0009226659585160819,-0.000681135389539931,3.46613209149994e-05,0.003805149368375366,0.0013332255402503654,0.00010301425443058211,-0.0026763782166598134,-0.009896261650219298,-0.007117154305441338,0.0008396070603041633,0.0010044030975877192,-0.0009908397295321637
7,-0.00042036402295207487,-0.00015967073496322046,8.916297154119703e-05,-0.0016219295256319128,-0.00024062429952342458,0.0038427163285818713,0.003086023163377193,-0.0008021237557394485,0.001697205660635965,0.001453421966374269,0.00030736198202211226,-0.0027878521478664105,0.000976651732684576,4.439326057657309e-05,0.0024399896811323554,0.0014448556286549702,0.0001134091650533392,0.0004431741279468205,-0.0005883557057520106,-0.0010553605375234153,-0.0006805330689190428,-0.0015540764345760233,-5.4331550821225754e-05,-0.0004857213873612246,-0.0003703379491616416,-0.0003937503747772749,-0.0007690407379328854,4.6777446367588436e-05,-4.5936707167601246e-05,0.00034890537373503684,5.6753381651049926e-05,0.0023069995188573647,0.0018516116672092015,-0.018208553916529605,-0.0017882229989035089,-0.005190486796418129,-0.005770499246162281,0.00019106948584841107,-0.002293056911892361,0.012528625845211989
8,0.0006475504378826286,0.004988107067799708,-0.0006421183982090644,-0.0002590536374097675,-0.002346819604349415,-0.00523287232159174,-0.003642556262992279,2.6412874634502923e-05,-0.00048492387024282746,-0.0021931832296806487,-0.0016649926615040205,0.0013822365922537467,0.002386795847039474,-0.002072139093053271,-0.002933256807383041,-0.0008092846786766731,-0.0005565665618718018,-0.0020639073779011325,-0.0004367716828284897,-0.0010802899187768423,0.0004414368791189808,-0.0005550537890161019,5.6467558208222396e-06,-0.0004431427570811482,-0.00026117849071123563,-0.0008392821975618763,-7.326003403691577e-05,0.00014892935055738305,-0.0008628410205506442,-0.0004160250836645661,-0.00018328951116193767,-1.953926743471096e-05,-0.00047493817513449127,-1.8163426229133028e-05,-0.0008042988024259878,-0.001481898346839594,8.825112504568779e-05,-7.349426983392866e-05,0.00031715526915433164,0.0012427547521758505
9,0.004367672211942617,-7.406312819809941e-06,0.00020047237998560685,-0.003058896427266082,-0.0005041200515122445,0.0032689501667580415,-0.0012681581820660885,-0.0013704132615474228,-0.0017854289004677246,-0.0034455862658762794,-0.0004121769241422252,-0.004108674344960709,-0.004141690438253838,0.0022929007546943535,-0.0009477849592242322,-0.005925451802928544,0.0003001397116142425,-0.0040640133863304095,-0.0015991054780301992,0.00046091191252769614,0.00034637060778879903,-1.771547640973507e-05,-0.003539860597130848,-0.003609239009388706,-0.00026356546502364324,-0.0015454877886855805,-0.00035872654608118593,8.463720132035905e-05,-0.00038478248997738534,-0.0002923179091068741,0.0008425350077668129,0.0008426800108792491,-0.001327693113806652,-0.0022235669587787835,0.0010249266150402048,0.00014278066088581622,-0.0007296110454358556,0.00010946619580363624,0.0004096003303750922,0.002269834105731451
10,-0.0002452992556387916,-0.0005039722598784159,-0.0001971261543140084,0.00039377407720911654,-7.907688966271522e-05,-0.0005038635075440889,-0.0010639436063710707,0.0017553853709795322,-0.0010563142118398222,-0.001465970312642773,-0.001098432038959704,-0.002291963811506305,-0.0060646101745248536,-0.0008385083828753192,-0.0017273774621082334,-0.0032516390259502924,-0.002958752258479246,-0.0022412350303248354,-0.0010686115911829532,0.001168568929036459,0.00010092216625548244,0.00021809583518937235,0.0005762172721282778,-0.0010591138873183954,-9.964502345748536e-05,-0.00024075536002889534,0.0008096527635005486,-0.0003972583346896701,-0.007864567271450112,-0.00029879564430281425,-0.0010567771063910594,-0.0005901961298713886,-0.00021905508654856701,-0.001478276057550083,-0.0006704023706982725,-0.0009473834121436404,9.414048222769555e-06,-0.004881909019068667,0.0006043060481199749,-0.009532443264074493
11,0.0002386081985562885,-0.00035541378266630184,-0.0007017397741128134,-0.0011492737552575923,-0.0024887637088173297,-0.001025442491497911,0.00039482186412253314,-0.0003332854711521408,0.0021136657536378364,-0.0017358880293996707,-0.0010817957203290614,-0.0002940203014172995,-0.003921034740425689,-0.002140022857844481,-0.002170060810289885,-0.002642202098467197,-3.603885048314034e-05,-0.0016005108928122721,-0.00021727740416053055,-0.0029131041632758257,-0.0001704455816257766,0.001235872681377924,-0.0008563772279616685,-0.000352814880728024,-0.00011751944558662281,-0.0010817455269439866,-1.5861109683386552e-05,-0.00035282882333498934,-0.0014768009297331864,-0.0367610105994152,-0.00012655425489994506,-0.0010496231547573176,-0.0008688755551276895,-0.0107640997011062,-0.0016947908011096262,-0.003616243775127924,-0.0005741230925621351,-0.002539629127547058,-0.002039223386530291,-0.0015594303956505849
12,-0.0005229927643000719,-0.00025600752635309,-0.0005831871813500845,0.0006515770627741228,2.07856384634269e-05,0.00017945250572516666,-0.0002963640536481181,-0.0011959522091157246,-0.0003024764925415748,-0.004046479163811221,-0.0009522019771107469,-0.0006327043499862947,-0.0007006550392909356,0.0012714765225237572,-0.000429870092380814,-0.0015332127175135912,-0.001878548783865587,0.0010515793025145063,7.488016496624563e-05,0.0003491730717887656,0.001671015867712901,-0.00028819926300941107,-0.0007615340383429269,-0.0004616899099963444,0.0017425804807428725,-0.00038245128609283623,-0.013827719883612024,-0.003277159573739035,-0.0019393998977036506,-0.00019003215589021464,-5.2524588958560755e-05,-0.0016878250746699124,4.031086525721812e-05,-0.00112686380308274,-0.0007002534922103438,0.0017808278401692708,-0.004550599215323465,-0.004955626370614035,-0.0002928229800441823,-0.0011543809321888712
13,1.3953761050577688e-05,0.0028696339032803363,1.3580099183906458e-06,-0.009245532297948647,0.00018906175044544916,-0.0013962670376426295,-0.0017495964005676636,0.0011048791004203216,-0.0005847919754117561,-0.0004609648944341661,-0.001375159324958309,-0.0009040720978675521,-0.000795726887663903,-0.0004453017697696807,-0.00021528500562522664,-0.00017451508003368742,0.005824038856907895,-0.003185696072048611,0.0017637286269873906,0.002361453764619883,0.00018478973567137138,0.000389595477901707,-8.86136328267807e-05,-0.0005009411371242221,0.0003035723814490254,-0.0017158281036287713,-0.0008393198426006827,5.2982314941824913e-05,-0.0019824825532255125,-0.0007436651932565796,-0.0004658169216579871,-0.0020112935562579958,0.0002713565937956867,-0.003406100802951389,-0.0005878537719012702,-0.01569433379591557,-0.003220229120979532,0.00037852504797149125,-0.0026839406866776315,-0.004069010416666667
14,0.00044256065324036105,-0.0003784218726799497,-0.0014443369636758729,-0.0007892686721177132,-0.0004415316888463446,-0.00016731407210143577,-0.0006900753891258935,-0.002032720554641813,0.017937911184210526,-0.011933756153485929,-0.000752543845371893,-0.001121576766521611,-0.0008070203993055555,-0.0010727107176306662,-6.770529942206444e-06,-0.0031374434978641264,-0.008360115408200272,-0.0006397537320677995,-0.0006075212132861045,-0.005855761076274671,-0.0002766199279249783,0.00028239634999057707,-0.0006588941429093567,-0.002767596328467653,-0.0006749281409191114,-0.000587558188633613,-0.0005642356928329034,-0.0015660113061380652,-0.0005775027804904519,0.0008648543329963912,-0.005386107149179917,0.004015916969343933,-0.0030098965293482724,-0.0108382018686038,0.0015700044687728433,-0.0001972279353448532,-0.007061718500148483,-0.005439033285219068,-0.007566931652046784,-0.0003696910121984641
15,-0.0007140957124051965,-0.0006225429780301982,7.546854298017192e-05,-0.0003829866822002924,-0.0041148537083676,-0.010059602079335709,-0.0014838949281569813,-0.00013714505915056154,0.0011741069325229574,-0.0005479054144251415,-0.0012323926066794579,0.00029977162679036494,-0.0008157819335223612,0.00023750394408465916,-0.001143996478521337,-0.001099904378255209,-0.0014288606699447177,-0.00020016006558959255,-0.0008860470955831965,-0.0018209713941429086,-0.006510282817639802,-0.002908762435466922,-0.02048675358644006,8.465393244871333e-05,0.00011200375027126577,-0.0002845490885059719,-0.000450864869948714,0.00016912661100688828,-0.00045807598627101577,5.961858738235563e-05,-0.005911308422423245,-0.0002292889600608778,-0.010432773166232638,-0.00048613966557017543,0.0006069886057000405,-0.005967591938219573,-0.0010349499551873483,-0.005109820449561403,-0.004325465152138158,-0.0004404581081100393
16,-0.0002427700667353414,-0.0015401338276110192,-7.199753097623434e-05,-0.000839983510692217,-0.0008299085828993058,-0.002429449070266813,-0.0008389141127380037,-0.0001288770932203151,-0.004530789559347588,-0.0003593288667020737,-0.00016946820487752842,-0.00010441757782160914,-0.0006326597336440053,-0.0014987967864811766,0.00030943106489571726,0.00028494227002238655,0.003422475000571089,-0.00039763199655633275,-0.0036578262061403508,-0.008833768074972588,1.7867450825652333e-05,-2.0215385838554925e-05,-0.003363715277777778,9.420649175756699e-06,0.00024339051274528187,-0.00016232052741692315,-0.0006594100193670634,-0.0021191201014825467,-0.004057800560666803,-0.00044914644364027923,0.00022007289685701048,-0.0034803716759932656,-0.0008544517539398012,-4.2313023617398e-05,-0.0008158209728218644,-0.0035813872577154147,-0.0346765350877193,-0.004761545281661184,0.0010406315675255849,0.0019292106405336257
17,-0.0007128115983037224,-0.00107654493454604,-0.0006571387686924618,-0.00015777384328563473,-0.000250597446285493,-0.00025338805906954093,-0.0039986169826217565,-0.002446311259130288,-0.0014996249773348985,-0.00018642171781662405,0.0003925903498777866,-0.002311572693941886,0.0003943861576548794,-5.429530004311739e-05,-0.0003951306928668106,-0.0008939776504248901,-0.0001405303241216692,-0.00021878738849483728,-0.0004530501993078946,-0.00012021036873086812,-1.9879369010702027e-05,-0.0005994874831528696,-0.00022868385091859704,0.0014111814443130935,-0.0003886306494997257,-0.0009670062371861852,0.00041661903872127447,-0.003300254107915867,-0.005002785844412464,-0.0006996428060252753,0.001346164279513889,-0.00039312504885489694,0.00022551330209475513,3.453862597370644e-05,-0.0002571197978237217,-0.006868105882789657,0.0015658283094216524,4.901174913371984e-06,0.009403384916963633,3.7366186666210525e-05
18,-0.002742460596631146,-0.0025326724638018703,0.0012816127977873114,-0.00012882759696558954,0.0006758943635817897,-0.0019425843891344573,0.00035782864219263916,-0.0006769860697071427,-0.001276902985154536,-0.0006863053082025539,5.947219000925963e-06,-0.000177771027325189,-8.105534559103304e-06,-1.6452799066465357e-05,-1.1409082782185835e-06,-1.0520742650615936e-05,0.00013133935761033393,-2.639684063649104e-05,-0.0010753653899968018,-0.001221439294647752,-0.0007060536167077848,0.001278637445460983,-0.0007812544616342287,-0.0033896262185615406,2.656345478972401e-05,-0.007130048428362573,-0.00024431630184776,-0.0063432726943702025,-0.0035307142469618055,-0.00798329135827851,9.128224779987593e-05,-0.00010686171682257132,-2.010959630821298e-05,0.0013705248024031425,-0.000117894501713982,0.0014755070558068338,-9.546781841077352e-05,0.005089207699424342,-0.03219296639425713,-0.028128997624269007
19,-0.00013789795992667425,-0.0090326454207214,-0.0002023141983656849,-5.6782661125673385e-05,-5.389933000531273e-05,-0.003465128223798428,-0.000857593023289017,-0.00161342732390465,-0.0012965732150607649,-0.0015427215754637241,-6.45291735554299e-05,-0.0003606338947140006,-0.0024523818702028508,-0.009832415664405153,-0.0014651114480537294,-0.0016459606544316173,0.0005617769140946268,-0.0005737801044307934,-0.0010397894340649005,-0.0003505617554424807,0.00012836679380539415,0.00010538380048428363,1.545189416899054e-06,-0.0004933410220676017,-4.128475635372512e-05,-0.014340941668951024,-0.0010242573699058841,-4.490634851288419e-05,0.0002122622484352152,-0.009338021975511696,-0.0011009528622989767,6.658989086485729e-05,0.0004107157389322912,-0.00011228260241056783,8.960913496407849e-05,-0.0033341123346696828,-0.016061080129523026,-0.0007701631177935689,-0.0013110066017909356,-0.006568774842379386
20,-0.0017702426129614403,-0.0001555632429513326,1.1542910023735938e-05,-0.0007653264274374088,-0.0017162568387929463,-0.0005272759331597217,-0.006274306983278508,0.005408928408260234,0.0002619871619152047,-0.00450986449481451,-0.00034867113793802444,-0.0002796719645896164,-0.0001826453627201542,-0.005358294436806129,-0.0004335816143548982,-7.289752625582808e-05,-0.0032564129745751096,-0.006395484968932748,-0.0014855903491639258,0.015714678847998903,0.0005825109649122807,-0.00043333692160266055,-0.00033701651277597873,-9.059348301580978e-05,7.21535901402721e-06,0.0010588796515213813,-0.003987005579541301,-0.0015385401876349195,-0.001724064698693348,-0.00025037854735614185,2.809714155587215e-05,-0.0014177288925438596,-0.0005490933245385584,0.0020273665935672514,-0.000143385770028096,-0.002873426292374814,-0.0011520385742187498,0.012039943048131396,6.390942467556071e-07,-0.0005352845666004198
21,-0.006396243446751645,-0.04526614585117987,-0.018981888977407713,-0.0017336349041141277,-0.01401542083561769,-0.004166854055304276,0.0005821094178316878,-0.002376154849403783,-0.00762221130014163,0.0005827117384525773,-0.015225416038468567,-0.0026776943987573093,-0.006027489377741228,-0.0018405091692829676,-0.0003974423771016073,-0.001095152737801535,-0.0028517650581939874,-0.00019769082989609283,-0.0011565504018326246,-6.527370876736143e-05,0.002088624831528691,-0.010365268640350877,0.002378943370796783,0.0012496702852304925,0.01234123720760234,-0.00042265061049433445,0.0018094157614903133,0.0005090390032494971,-0.00015493373424686088,0.0008661370528371707,-0.0019127918265716374,-0.014129476937634207,-0.0003632885670801351,-0.010702211257309942,-0.0003311871088039105,-0.0011110919260839277,-0.0007402757455033862,-0.0007482997158117468,-0.003437019928156981,-0.0007674345496105175
