layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,-0.0010657075679663486,-0.0025477842851118608,0.003756494233102506,0.0014611807736483486,0.0007418141220555009,0.0006512439612186364,0.00012316848292495154,3.5546042702409095e-05,-0.0010814088763612605,0.0011361729015003576,0.0009492816347064454,0.00042886445016570906,0.0001321850400982424,0.0004913768533504272,0.0003290609879927212,0.002017541365189991,-0.00047766078602183717,-0.00033823649088540915,0.0022008491284919575,0.00030494458747631816,0.0041910229307232484,0.0001038060043797516,0.0010330893776633546,0.0039126656272194605,0.003834955620043203,-0.0005826516584916455,0.0005783023256244076,-0.00033901315746884405,-0.0001659393310546818,-0.0017685890197753885,-8.58017892548504e-05,-0.00017017306703508405,0.00044678196762546363,0.0019293698397549817,4.300565430611519e-05,0.0013101371851834392,0.0013973351680871212,0.0009021470040986121,-0.00048421368454440575,0.00012576941287879392
1,-0.0003378897002249091,0.0013628872958096577,0.0001447273023200697,0.001449584960937503,0.00018789190234558495,0.0001891887549198017,1.311392495126198e-05,-5.166751868797071e-06,0.00027173215692692605,9.222028452449968e-06,0.0013290174079663788,-1.2049169251429918e-05,-0.0017393863562381636,-0.0016079526959043575,-4.681673916899992e-06,-0.001193942445697206,0.00016889427647445203,-2.435098091761271e-06,-0.0019686149828361727,0.00017738342285156066,-0.00010762070164535754,0.0004352222789417667,0.008147268584280304,-0.0004095308708422061,-0.0011862552527225393,-0.0001506227435487667,0.004195242217092803,8.523887531323867e-06,7.268449178698269e-05,-9.608991218335696e-07,-0.0016807209361683212,-0.0005965377345229606,-0.0026033285892370977,0.0001023610432942697,0.00029438192194156543,-0.00027267860643790894,-0.0007244456898082455,-0.002475622928503788,0.0014832236550071031,0.00015906131628787878
2,-0.0004015402360395809,0.0005794871937144848,-0.0003078489592581121,-0.0005077015269886394,0.00047273346872040307,-0.0004546136567086667,8.672656434954242e-05,-0.002427997011126894,-9.334448612097234e-05,0.000712828202681106,0.0009627847960501,0.0006861831202651515,0.0025935895515210726,0.01091592962091619,0.0003379007632082125,0.0024933092521898666,0.00012540230245300686,0.00011946938254617576,0.00041836680787982216,0.014173753333814213,3.454360094937416e-08,-0.00017669345393323894,5.828973018761212e-05,-0.00035179022586706967,0.0009985692573316212,-0.00035903670571065747,-0.0027833418412642028,-0.0025801225142045455,5.1953575827861713e-05,-6.211887706410398e-05,-0.001969640905206853,-0.000600699222449097,-0.000673395214658797,-0.0014844663215406,-9.895093513257575e-05,0.001372366240530306,5.0920428651753314e-05,-0.0048370361328125,0.02566204649029356,0.003401467294404003
3,-1.57397466175482e-05,-0.0007991068290941632,-0.006594571200284091,-3.894350745461507e-05,0.00023422819195372826,0.001148296125007394,-0.001968008099180282,-6.0110381155242575e-06,-0.0001359238769068814,-0.0007534641208070615,0.0001560810840491049,0.0016226335005326638,-3.2569422866342805e-05,0.00021917530984590095,-0.0010693001024650879,-0.0001590468666770182,-0.0003281145384817339,-0.0005952661687677576,0.00048535520380195326,-0.00029589190627589407,-0.001130364157936785,0.00021566044200550463,-0.001040371981534088,-0.002016356497099903,0.0011564673799456966,8.872783545291653e-05,0.00019560438213926277,-0.0007392782153505381,-0.0007852352026737047,-0.0015650662508877818,0.001425540808475376,0.00048640280058889995,-0.0008974219813491424,0.001892985719622988,0.006704850630326708,0.0008570931174538395,-0.003396612225156842,-0.0008064327817974667,2.0337827277947706e-06,0.12382738517992424
4,-1.3113021850597396e-05,-0.000667485323819248,-0.0010738372802734408,0.0003462171915805683,-0.0004878685329899721,-0.0008253798340306273,0.0002612489642518818,0.00046271988839814324,0.001108260768832588,0.0006211020729758546,-0.0007458311138731092,7.65829375294518e-06,0.000940308426365697,-0.0035935604211055788,-0.0016571969696969697,-0.00047637477065578176,9.659564856326258e-05,0.0003239024769176121,-0.002697915741891576,-0.0027637192697236093,0.0026869340376420455,-0.00012121056065414437,-0.00020186106363933033,-0.00016356959487452122,0.0001520713170369596,0.0009753487326882002,0.00045094345555160906,0.002888022047100644,0.00025174112030953695,0.003260410193241009,-0.0005654421719637697,0.0008870760599772145,3.2294880259993886e-06,0.0011309710415926889,0.0013435320420698712,-0.001958904844341864,-0.001214865482214719,0.002128485477331912,0.00022954290563409864,0.0006565686428185724
5,-0.0034026521624940754,0.00031513156312882814,0.00470571806936553,0.16443980823863635,-0.004764174421628297,-0.0006777878963586063,-0.0002686936746943971,-5.194093241834343e-05,-0.0005071163177490164,-0.00014990387540873582,0.0012562925165349875,0.00020632147789000923,-0.0003029722155946752,0.0008962262760509138,-2.6847376967921206e-05,4.999565355706665e-05,-0.00027799606323242426,-0.005078864820075758,-0.0036283550840435605,-0.0012600060665246212,-9.966619086987808e-05,-0.0003492037455240844,-0.000358465946081903,-4.2397867549551906e-05,-0.00022215915448737657,-0.0019489635120738696,-5.00688047119965e-05,-5.603197849156872e-05,-7.198434887509306e-05,-0.00012965680974901962,-0.0003121838425144908,0.0005896597197561753,0.007530877084443067,0.0004373563058448599,-0.00018177610455136252,-0.00044341882069904876,-9.745223955674879e-05,-5.534200957337213e-06,-0.006141886566624504,-1.781998258648222e-05
6,-0.0032801772608901515,-0.0005960753469756121,-0.00023495067249644245,-0.00019928903290719697,-0.0015011267228560062,-0.00047203988739937794,-0.0011233705462831455,-0.010199344519412878,0.039896647135416664,-0.001047249996300906,-0.00018708814274179958,-0.0004223440632675493,-3.822012381119432e-05,-8.915409897311912e-05,0.0001390052564216371,-0.0008187149510238928,-0.0005466576778527485,-0.003547899650804924,-0.0006882638642282152,-0.0010073979695638087,-4.043001117127529e-05,-0.0005239862384218237,8.455912272136668e-05,-0.00025637222058844545,-4.5498212178543605e-05,-0.0003949367638790272,-0.0004629655317826697,-0.0020451401219223485,-0.0014165242513020848,-0.00013709790778881212,-0.00011236017400567576,-0.00043451244180853357,-0.00036187605424360604,-0.0006362091411243723,-0.00017351092714251818,-0.0020573572678999415,-0.00025360150770707023,-9.257685054431704e-05,-0.0005623788544625939,-0.0018886219371448878
7,0.0002085042722297191,0.0005140828363823149,0.00023847457134360946,5.3899532014665077e-05,7.586045698156135e-08,-0.0027345599550189395,-0.0038618607954545455,-0.0011502468224727728,-8.322975852269679e-06,-0.0011684533321496212,-0.0002099745201342045,-0.002892696496212121,-0.0005485072280421333,-0.00023054354118576354,-6.2422318891939435e-06,0.0002761898618756032,-0.0002477710897272207,-0.0008424701112689424,-0.00026518648320977806,-0.0025896014589251912,-0.0027119029651988635,-0.0007319594874526515,7.165562022817225e-05,-0.00016911824544269392,-6.204662900981581e-05,-0.00010483192675040217,-7.001558939615165e-05,-5.924340450220612e-07,-1.1236378640840587e-05,-5.425828875916042e-05,0.00021376754298356362,-0.0010736638849431818,-0.0211038300485322,0.06511942545572917,-0.002020055597478694,-0.002167116511951795,-0.004643526944247161,-0.0004940610943418546,-0.0015459927645596577,-0.0014845530192057303
8,0.004745887987541412,-0.0005334868575587264,0.0033976530486887076,0.22020004734848486,6.743091525452988e-05,-0.0013697075121330484,-0.00011042392615117273,-0.0010996876340923837,-0.0002185142401492814,-0.00013724962870279643,-0.00014949567390208776,-0.0019170587713068182,-0.001605871951941288,-0.0035559914328835243,-0.0007477529121167713,-0.00014056581439393634,-6.436466267613632e-05,-0.0004937287532921956,-7.286938753993551e-05,-1.2154832030782783e-05,0.001642342769738409,0.0004294135353781945,4.159320484506955e-05,0.001374909372040715,0.0012049819483901552,9.448690847916192e-05,-0.0005192323164506333,-0.00022072503061004712,0.00012129048506416827,-0.0002044010342973534,-0.0002767353346853383,0.0001464084242329271,0.024584683504971592,0.0015083370786724425,-0.0005023696205832696,-0.0005408778335108909,-0.00022873372742623937,-0.0004630233302260849,-0.0011036034786339971,-0.00012454119595615388
9,0.0004402218442974833,-0.0013931736801609848,-6.764585321600224e-05,-0.0002606854294285666,-0.00015983798287130943,-4.622904640254947e-05,-4.174492575903949e-05,5.9460148666967395e-06,-2.3113958763353093e-05,-0.00021309405565261215,-0.0009046612363873182,-0.002703926780007103,-0.0015094858227354098,-0.00043193499247233676,-0.00107614921801018,4.732992612952997e-05,0.00026058479014670643,-1.2585611054388736e-05,0.00011493581714051252,0.00020520253614945521,4.625455899672387e-05,-2.5308493411915477e-05,-0.0019515355428059908,0.0002748604976769606,-0.0003200155315977069,-0.00042947133382160963,0.00024779998894894367,-0.001519434379808827,-3.4567081567007885e-05,-0.00034355394767992696,0.0003553376053318939,1.4738603071878862e-06,0.0001270741675839219,-6.0630567146063254e-05,6.100354772625529e-05,-0.00035563382235439395,0.0005948326804421243,0.0007027423743045727,-2.2729237874341188e-05,-0.020088557041052623
