layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.0008945025895771408,-0.0013375031320672262,0.0053474526656301395,0.0017631932308799262,6.142415498430486e-05,0.00036922254060444743,-0.0013564260382401315,0.0002830404984323685,-0.0006241296467027947,0.0003180754812140273,-0.00011353743703742104,0.0020598361366673526,0.00037223414370887893,0.0001343551434968703,-0.0004679529290450315,0.0011652896278782948,-0.0007283687591552686,-0.0017750388697574053,0.0012318460564864368,-0.00033368562397203156,0.0036058927837171054,5.8023553145557885e-05,0.0013688739977384893,0.004311009457236842,0.0020543148643092104,-3.7507006996563924e-05,0.00020137586091694207,-0.0003874929327713736,-0.00027224892064144735,-0.0002923513713635936,0.00019856503135279473,-0.0006924679404810895,0.00010098909076892103,0.0011281465229235263,-5.1071769312807075e-05,0.00038729215923108423,0.0008269862124794474,0.0007079275030838878,-0.0003324809827302474,-0.0008874190481085526
1,-0.00048135456285978946,0.0005103663394325632,-0.00015740645559211055,0.00043326929995888424,9.721203854208973e-05,-0.00042749706067537373,-3.17645700354187e-05,-3.0149362589183605e-06,-5.059493215460493e-05,1.7969623992317598e-07,0.0007223831979852,4.896364713969325e-05,-0.0019394723992598685,-0.0014493841873972,0.00018501281738282107,-0.0003999408922697368,-0.00010347366333007139,-3.9707673223395094e-06,-0.001827641537314963,6.223979749176677e-05,0.006098646866647815,2.128199527137893e-05,0.001819008275082237,-0.0007878353721217158,-0.0007306149131373315,0.00021713658383018422,0.0003389057360197368,5.228739035756964e-06,4.026293754576634e-05,8.545423808850082e-06,-0.001273707339638163,-0.00040034243935033154,-0.001744370711477179,-0.00017018067209344213,1.7868845086352638e-05,-5.957954808284736e-05,0.0003057781018708842,-0.005783884148848684,0.0006520873621890459,-0.0001060084292763158
2,-0.0001657887508994569,0.00018511320415295787,-5.932858115748419e-05,-0.00038689061215049997,0.0003543652986225316,4.7382555509861196e-05,0.00024165605243884095,-0.0004214738544664947,-0.00012493133544922105,0.0004123888517680948,0.00037946199115954213,-0.0006380583110608527,0.0047013132195723745,0.005287772730777142,0.00024986267089844737,0.00018752248663651052,0.00010577001069720831,0.0006509580110248684,0.00039268794812654815,0.0050064890008223685,-1.335614605953819e-06,-0.00010108947753906316,0.00031144995438424735,0.0005229146857010737,0.001600165116159542,-9.787710089419739e-06,-0.0006151701274671053,-7.388466282894737e-05,2.7355394865363648e-06,0.00027571226421155986,-0.0012861552991365157,-0.00046720002826892103,-0.0003563228406404053,-0.00016769609953226711,-0.0008753726356907895,0.0008526852256373421,-5.273344485382265e-05,-0.0034356368215460527,-0.0019097579152960527,0.002917239540501653
3,2.5590783671328895e-06,-0.0002734535618832315,-0.002277575041118421,1.1844070334178937e-05,0.00027977792840254743,-0.0005380730879934264,-0.0004525937532123687,-0.0007075259560032895,0.0002468416565342937,-0.000747762228313231,2.303876374897368e-05,0.0014914462440892263,-0.00013464375546103405,2.32395372892569e-05,-0.0006339926468698684,-1.6940267462485706e-05,-0.00032183998509456845,0.0011008413214432526,-0.0002814845034950684,-7.29058918199985e-05,-0.0006750006424753263,0.00015319021124588059,-0.0005011307565789474,-0.0013606422825863421,0.00023188089069566936,6.123592979031602e-06,-0.0001005875436883211,0.000310433538336493,-0.0005872124119808789,-0.0008236734490645685,0.0002410286351254105,-0.0002231095966539895,-0.0012739081131784527,0.0009179366262335474,0.0009002685546875,0.00017908999794407894,-0.0002790752210115105,-0.0007125578428569564,-0.0001749741403680105,-0.0012640451130114052
4,9.908174213609473e-05,-0.001748888116133842,-0.0005465055766858474,0.0002950367174650474,0.0001144409179687464,-0.00031129937422901053,-0.0008283916272615212,0.00014817087273848948,0.00036289817408512105,0.0006286219546669421,-0.000409170200950222,-7.76491667094842e-05,-0.0009477013035824359,-0.001125938013980263,-0.0008303993626644736,-0.0003762496145148053,5.014946586207668e-05,0.00016859958046360523,-0.0002967432925575684,-0.0008116772300318737,0.0019294337222450632,-0.0003063302291067102,-0.00023731432462992626,-0.00033990960372121576,-0.00011579613936575265,9.195428145558416e-05,-0.0005148084540116211,0.001468859220805921,0.0007178657933285316,0.0031306618138363476,-0.0001337151778371737,-0.0007243909333881579,0.00015366704840409325,0.003203341835423526,0.0005771235415810053,-0.0018262361225328948,-0.0003285533503481999,-0.0011998226768092106,-8.673416940790002e-05,-4.5268159163616736e-05
5,-0.0005067524157072314,-1.7254662356876606e-05,-4.522423995167172e-05,0.00010658565320468011,-0.0014107352808902158,-2.8710616262320713e-05,-2.504649915193158e-05,2.817731154592052e-05,-8.753726356907371e-05,-2.8271424142922448e-05,-0.001905541670949842,9.218015168842186e-05,8.452566046464208e-05,-0.0008412411338404686,0.00010319759971216313,-1.2447959498352639e-05,-0.00026686568009225684,-0.0015274850945723685,-0.0010022615131578948,-0.0011082699424342106,7.591749492444391e-05,-0.00010806635806433684,-0.00019758626034385016,1.7843748393807065e-05,-4.514267570094125e-05,-0.0005440962942023105,-4.3922349026329625e-05,-1.7454749659470476e-05,-6.533923902008841e-05,2.8560036107121715e-05,0.00015479639956826743,-0.0001282880180760437,0.0018543444181743421,0.0009527206420898525,3.235434231005085e-05,-0.00023587126480904616,-4.344864895424983e-07,4.917696902626027e-05,-0.0018623753597861842,3.459735920554729e-05
6,-0.0011034513774671052,-0.00014536004317433686,9.235582853621047e-06,-0.0003429212068256579,9.491569117495788e-05,2.8145940680251584e-05,-0.00033880534924959476,-0.003655684621710526,-0.005048249897203948,-0.00023008647717927895,4.1566397014411216e-05,-3.62647207159832e-05,-1.809942094902914e-05,-7.554104453631585e-06,-5.167408993368602e-05,-0.00013960035223709185,-0.00032605622944078416,-0.0021153500205592104,-5.320498817845787e-05,-9.807787443461051e-05,6.751010292440624e-06,0.00010016089991520047,-0.00019816348427220522,9.857980828534704e-05,0.00011527852008217985,-6.976880525289481e-06,-0.0006163747687088896,-0.000579833984375,0.00013251053659539474,-1.209660580283684e-05,-2.7455781635489484e-05,-0.00010129025107936317,-0.00019956889905427895,-0.00016794706645763155,-6.625526829769472e-05,-0.0006648866753829172,-0.0001372287147923421,-1.4706661826689473e-05,-0.00020589326557359476,-0.0006517109118009842
7,-1.5465836775926356e-05,0.00019481934999164517,6.191197194551166e-05,5.2643449682932835e-05,6.972174895433685e-06,-0.002749794407894737,-0.004683645148026316,-0.00039070530941611576,-0.0031409012643914473,-0.002145064504523026,-0.0005443974545127579,-0.0019145764802631579,-0.0004802503083881632,-0.00036862021998356316,-0.00028680500231291055,-0.000433106171457399,-0.00032871647884971547,-0.0006099500154194106,-0.00011288492303144704,-0.00047061317845394735,-0.002361096833881579,-0.0018141897101151315,-0.00020147624768709479,-0.0001060084292763158,-7.594259161697896e-05,-0.00011072660747326842,-5.81741333007806e-05,-0.00034422623483757896,-4.6410058674050534e-05,-4.0957802220389463e-05,-0.00016573855751439472,-0.0007091321443256579,-0.0030826769377055945,0.031241316544382197,-0.0017977262798108528,-0.0017262508994654632,0.00018109773334703692,-0.00038227282072368423,-0.0023806722540604423,-0.000977767141241779
8,-7.068483453047706e-05,0.00024698282542982093,-1.6170504846063042e-05,0.00032590564928556843,5.8036101491788265e-06,-0.0007561131527549315,2.8534939414570247e-05,-0.0012401781584087158,-7.67958791632421e-05,-2.749342667429219e-05,-5.991835343200477e-07,-0.0017250462582236842,-0.00038106817948191054,-0.0012520237972861842,-0.0008344148334704,-0.0005408839175575685,-1.7930018274396454e-05,7.659510562294737e-05,-5.26732520053202e-05,-3.087520599364807e-05,-7.353330913349513e-06,-2.744009620266473e-05,5.48049023276799e-06,5.601581774259476e-05,0.00031094802053351577,7.361173629760742e-05,-0.0001456612034847895,-0.00011924693458957754,-5.599699522377156e-07,-4.760215156955983e-05,-0.00011923438624331099,-4.69161099509189e-06,-0.0003450167806524828,-0.00014345896871466928,-0.00011085209093596331,-0.00023028725071956845,-0.0002084280315198383,4.605243080541166e-05,-0.0011436060855263158,-2.4368888453435036e-05
9,-0.0001813988936574809,0.00016905132092927895,-6.897982798124482e-05,-0.00012018806055972106,1.2002493205833597e-05,-5.683851869482315e-05,-5.1950937823229945e-05,-4.6055567891966774e-05,-1.6513623689341284e-05,-1.7479062080374092e-05,-0.00042097192061574213,-0.005681891190378289,-0.0014552066200657894,-0.00011905870939556316,-0.0005601581774259895,7.187535888270066e-05,0.00013267993927001755,6.0646157515674415e-05,1.0628449289419978e-05,7.387211448267655e-05,-8.815213253624552e-06,-1.1607220298289835e-06,-0.0012383711965460527,-0.0011146946957236842,-4.0907608835320565e-05,-0.0006294250488281263,-0.0005872375086734253,-2.0780061420642075e-05,8.438762865565167e-07,-1.6061883223684223e-05,-0.00027099408601459474,-9.042338321083683e-05,-5.557819416647394e-05,-8.832780938399366e-05,-7.406190821998619e-05,-0.00010470967543752276,-8.849093788548422e-05,-0.0003339867842824813,2.047890111019705e-05,0.0006802207545230264
