layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,-0.0005025831322957573,-0.0003419980000893004,-0.004905270231373112,-0.001516937629721971,-0.0008160848793816508,-0.00033184340955682434,0.000705093725182202,-0.0001744685933747634,0.0003794863066320765,-0.00029481964816379194,0.0005059780313810963,-0.001438089787728131,-0.0005784424362479482,3.633111831278146e-05,-0.00040722658662016874,-0.000756007688054778,0.00014682873677651092,0.0016125538005903053,-0.0013634639027517584,-0.0005107798001181785,0.0016521090199511327,0.0005687869476437152,-0.002111876521129088,-0.004742427558750494,-0.0003172432866077946,-0.0004025864693905139,9.237560316741825e-06,0.0001097945387725204,-5.125118136869972e-05,-0.0010553473164599187,-0.00039777867061154535,-0.0007344470413742363,0.00011100936028743988,-0.0011419489225988665,-0.0002638412356840472,-9.868534622489346e-05,-0.0003532695399184199,-0.000500533367409312,-1.6757022545958944e-05,0.0007517662493635241
1,0.00035954263887516785,-0.0004176573994558611,4.0086790745359744e-05,-0.0003039623512832101,-8.282262527524727e-05,4.1305786904661046e-05,9.195813872934586e-06,-2.3151474283710993e-06,-2.0914852387242844e-05,-1.3643402922427433e-07,-0.00024237799737239832,-0.00018186815054036366,0.0012755932047209394,0.000671457223855103,-5.121268187051749e-05,0.0002620062475538437,0.00010963358303915385,1.0802834530284896e-06,0.0009986435856800609,-0.00018828272355669382,-0.0024818390723796197,0.0003386323090193309,-0.0048900225746956304,0.0008997713081567663,0.00012115699307927822,-0.00033631398983966415,-0.003563392950866937,-3.0087227371416204e-06,-9.62340689695644e-07,1.411754565476847e-06,0.0010139376272951116,0.0001769140072833689,7.270560654220894e-05,-1.3267947542063912e-05,4.117127058570095e-05,-0.0003636337903687018,-0.0006107467621680842,-0.0007296499111309128,-0.0006825803318840048,0.0010024916801007345
2,7.517142982331563e-06,0.0002519555592815222,-0.00011876492184887445,0.0001929474248032572,-0.0001685554415335462,-0.00036565988444168157,5.627791705298201e-05,-0.0004894687044017477,0.00015204054836169648,0.0005900126950750118,0.00010047673251378656,-0.0009694155088194616,-0.002739187344502848,0.0023134376288388007,-0.00022766025961604502,-0.00046564789365701343,-9.149901119535078e-05,-0.004403687636675998,9.170823987820463e-06,-0.0002492578113125459,8.568819974646957e-07,-7.299875934764231e-05,-0.0002614032433654569,-0.0013196658531515544,-0.0020229176324629145,-0.00010240588206725126,-0.0006323194689323926,6.973047664657239e-05,1.939145507515544e-05,-0.00017741844347942795,0.0005248696887539511,5.2533724892463594e-05,0.0005026346050811624,-0.00015167689045116067,0.0004567098060934459,-0.0004116013820069293,2.4102454287533688e-05,0.0009136237059121934,0.0009447368666355708,-0.0017814302258918236
3,-1.3006155303014957e-05,0.0005727482213120512,-0.004846149845345938,-4.188301846210816e-05,3.825365801266341e-05,0.0007990816687795424,0.0002513247241305944,0.0002165267439667842,-0.0005362755129773338,0.00043332808676397206,5.591959341027338e-05,-0.00047144722845767704,0.00023793246495584333,0.00014280600306588984,-1.3710459846468654e-05,-7.32782285964917e-05,-0.00024229264908727852,0.00015895190405938332,0.000514600991275064,-0.0004603677222700886,0.0007750626204078766,-0.00019992974945543183,-2.7385667140381868e-05,-0.0007863091123707158,0.00015867452213272432,0.00030299754458178895,-0.00038226290899491896,-0.00031501031571324733,-0.0002928930497818849,2.0894558977060165e-05,-5.941539423010991e-05,-0.00010691913649265432,-0.00099667245775809,2.762686881572879e-06,-0.0045165050818298585,4.489366182557593e-05,-0.001732850353077692,-0.00023035966004843097,-0.00014035386334133488,0.17827870409776264
4,-8.827691412157198e-05,0.0014408237739295814,0.00014054357773598923,-7.051345439272174e-05,-0.001017114357725658,-0.00020032031062976175,-0.00016281484166007798,0.00014360962210926387,0.00016023444758315114,-0.0002526364901650277,0.00014389164252967388,-4.8267702184301966e-05,0.0009457554798645748,-0.001145527984381649,0.0008163600580237732,-4.6147446688049034e-05,-0.0005039171486049331,-0.00016995162815435722,-4.251086758268561e-05,0.0003050885775673722,-0.0003301123236867706,0.00035240121388713854,-3.731157993064491e-05,0.00014403404428801742,-0.00029995840347230056,-0.0005789800376743663,0.000992042081365326,-0.001267701271443054,-0.0004775155379150652,-0.004424649917661912,0.00022328039087673613,0.00033586034515024253,-0.0002146789999787462,-0.0027107953561419174,-0.00020721867854493338,-0.00019803863555076871,-0.000599615304850417,0.0001673549993492734,6.856493912782751e-05,-4.240974841879647e-06
5,-0.0063684181480556145,0.0004859310701663141,0.0063506248860043775,0.143653008724465,-0.004267902225835761,-0.000155879365794859,-2.2570910620782026e-05,2.324971069621941e-05,-0.0001736962841642542,-2.0658053776634246e-05,0.006515513134373769,-6.655002092572672e-05,-0.0005161827176461453,-0.0005201592983438814,-0.00013020240379214973,9.170534081959614e-05,0.00018805149464291607,-0.001399711876063959,-0.0011054606753100684,8.401239892388321e-06,-0.0001489823894278074,5.1782056979165716e-05,5.8568637194801947e-05,2.5256598506256216e-07,-0.00010961549291350962,-0.0006386064833704172,2.4781993622901163e-05,-6.904513919398605e-06,3.2638529395312e-05,-4.548275053269135e-06,-0.00010939203347677147,0.0003626158729137588,0.0019635871226685556,-0.0007479098056540892,-1.088410963808355e-05,5.686329496506888e-06,-0.00017618118325096155,-0.00013161076645906304,-0.0012233396448513914,-6.24505491340118e-05
6,0.00014130707380836577,0.0003375014442414187,-0.0001712586397326862,0.0006218995565570284,-0.0012647836588700026,-0.0003377870594944949,-0.00020320313449963541,-0.005388193093385214,0.07995082988813229,-0.00021322228101441207,8.02798029977486e-05,-7.266223662557883e-05,6.421907634592937e-06,0.0001760633075283647,0.00037901874646137774,-0.0002290335146833378,0.0005205475402713288,0.0005674844585967907,0.0003298154600863327,-0.0002993609654764317,-1.2095800169706216e-05,2.147332703556655e-05,0.0005118494367785055,8.385642957133274e-06,-0.0002007120314275261,1.217511841295331e-05,-6.340264346349261e-05,0.00040840638750722075,0.00012348783619209138,6.182149690413123e-05,0.00012518738030459767,-9.959170790497314e-05,-7.443854780977828e-06,0.00020544909317669563,0.0001679923283914629,0.00021653926789992433,0.00011852140092663393,-6.429758285270127e-05,0.00031461604374392107,0.00019226603007038378
7,4.465762047452241e-05,-1.0156793817000745e-05,6.928123852622652e-05,-4.621818371783288e-05,2.3201977696398003e-05,-0.0006351396731365522,-0.0010907956134484436,-0.0006603396820187151,0.00108423492787877,-9.600568838156654e-05,0.0001712494787075185,-0.00019771115789153697,-1.2149142847914776e-05,-4.280402038814009e-06,0.00022337130535437743,0.0002595942308002906,1.7110243845531377e-06,0.0004281218413712922,1.7135755561201137e-05,0.0007220168058046579,3.918970605278833e-05,0.000717445106357916,0.00013506087811540748,0.00012263435334083,1.8192172514296967e-06,-3.500346543724028e-05,-3.0743936620335855e-05,0.0002609233911863124,9.017695712670286e-06,-7.2941763855582216e-06,0.00043904874111427877,0.000783371090425128,-0.010064518405305738,0.050577007842898834,1.35212093011863e-05,0.00031045253174778146,-0.00028166418409533033,0.00015112583739284279,0.0009749297501975918,0.00034080497949503656
8,0.008390708656162598,-0.0007619011552881122,0.005779678980432124,0.2712326346668288,-5.4693074193907385e-05,0.0008400293639661737,-0.0004191264104286515,-0.0003698614320866311,-4.640117229655528e-06,-0.0001448337206116945,-0.00019744131351722417,-0.000534395299532998,-2.3199890374208552e-05,-0.0011456560068093394,0.0002933606099525765,0.00034071035422239765,-7.750459218304149e-06,3.462728359356152e-05,-3.554564737623907e-05,8.965715592012478e-06,-6.537493100889713e-05,-9.33756044402669e-05,-2.9455594979368926e-05,0.00012141312490641575,-1.5000656884930214e-05,-6.136930174400618e-05,0.00013535866941459442,0.00011443465600218071,5.27077843706837e-05,-5.851628019651943e-05,-0.00014444049230345795,0.00014515137046226204,0.032751239227413666,0.0015435497120660296,-0.00018733229618592305,-0.0002347671568161825,-1.715001892951316e-05,2.7247903875803738e-05,0.0012918168004848614,-0.00023522555596169962
9,0.0007127270624331494,0.00020761155896613424,0.00017442986195189208,0.0002454150511596913,2.805245061792804e-05,4.2163661829686327e-05,1.3713648810923836e-05,0.0001179871624082025,1.8406702850569686e-06,-0.00011640050763749649,-0.00016283154023760855,-0.0016526804823819765,-0.00011789937891384754,0.0001293856810039037,-0.0003128631569532141,-6.0511861677759145e-05,-0.0002386543993993937,2.965794926946796e-06,-5.351198322575454e-06,-8.073356364947728e-06,3.210214557350153e-05,-1.3840047765798596e-05,-0.0009232012678213164,0.00043436525396799863,1.5375853048691697e-05,0.00019540953728939878,0.00046932755277314476,0.00023609747682563838,-9.748606366404623e-06,-0.0001762980153124634,0.00030030942148735794,-1.4919715168875122e-05,0.00014270262263628352,2.4528934797888744e-05,9.612394098178082e-05,-4.974622206929835e-05,0.00047495671283410664,0.0010597316207588833,0.00011437110863770555,-0.010367669020181502
