layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,-0.010931650797526032,-0.02532196044921875,0.0029703776041666665,0.012725194295247383,0.008950551350911466,0.034200032552083336,0.010448455810546866,0.02349853515625,0.0142971674601237,0.026611328125,-0.0032078425089518167,-0.000701904296875,0.00347137451171875,-0.04390992720921836,0.041997273763020836,-0.01806640625,0.0011088053385416667,-0.0017496744791666667,-0.0146484375,0.0078125,-0.004522959391276033,0.00328572591145835,-0.0013224283854166667,0.0128173828125,0.016581217447916668,0.007647832234700516,0.00360107421875,0.0060272216796875,0.0093994140625,0.0009969075520833333,0.0064697265625,0.020304361979166668,0.0194091796875,-0.004170735677083333,0.0035603841145833335,0.006388346354166667,0.0001220703125,-0.013916015625,0.0033467610677083335,0.011327107747395834
1,0.00095367431640625,0.009450276692708334,-0.003962198893229167,-0.0010350545247395833,0.005879720052083333,0.010250727335611984,-0.0011494954427083333,0.09761555989583333,0.00047127405802409994,0.064208984375,-7.247924804688339e-05,-0.0032087961832682164,0.006481170654296883,0.01740264892578125,0.006368001302083333,-0.0004170735677083333,-0.004130045572916667,0.012898763020833334,0.0014444986979166667,-0.012939453125,-0.005706787109375,-0.018402099609375,-0.0028533935546875,0.0015513102213541834,0.012064615885416666,0.0046844482421875,-0.005513509114583333,-0.0018107096354166667,4.9173831939697266e-06,0.0021158854166666665,0.00414276123046875,0.0013300577799479167,0.0034494400024413997,0.00927734375,0.0047149658203125,-0.012598673502604166,0.001190185546875,0.0229949951171875,0.048360188802083336,-0.0010859171549479167
2,-0.0019938151041666665,-0.0019124348958333333,-0.008249918619791666,-0.007969538370768216,0.004964192708333333,0.007893244425455716,-0.0023396809895833335,0.0009619394938151166,0.0033315022786458335,-0.002881368001302067,0.030359903971354168,-0.019449869791666668,-0.028147379557291668,0.004674275716145833,-8.090337117511665e-05,0.00122833251953125,-0.00014797846476234997,0.017049153645833332,-0.04416084289550783,-0.00034681955973308334,-0.038645426432291664,0.027852376302083332,0.009562174479166666,0.012781778971354166,0.008939107259114584,-0.0016530354817708333,0.0150146484375,-0.013142903645833334,0.003180185953776017,-0.0201568603515625,0.0048675537109375,0.00045013427734375,-0.0172119140625,-0.0078277587890625,-0.005808512369791667,0.11629231770833333,-0.0328369140625,0.0374755859375,0.005330403645833333,-0.0112152099609375
3,-0.001129150390625,-0.0021158854166666665,-0.0188446044921875,0.0032145182291666665,-0.0029500325520833335,0.0016072591145833333,0.007731119791666667,0.014302571614583334,-0.0015284220377604167,-0.00441741943359375,0.013834635416666666,0.0014139811197916667,-0.00958251953125,0.004994710286458333,0.011433919270833334,0.008382161458333334,-0.007509867350260417,-0.082275390625,0.00116856892903645,0.0076904296875,-0.00164794921875,0.0007171630859375,0.004964192708333333,-0.009480794270833334,0.007832845052083334,-0.021484375,0.019694010416666668,0.0021565755208333335,0.0106201171875,0.004038492838541667,0.009653727213541666,0.014689127604166666,0.0015106201171875,-0.0096588134765625,0.0010732014973958333,0.014180501302083334,-0.0028839111328125,0.027099609375,0.004887898763020833,-0.90966796875
4,0.007242838541666667,0.015446980794270834,0.016520182291666668,0.0160064697265625,-0.008829752604166666,0.00537109375,0.024698893229166668,0.0014444986979166667,-0.034871419270833336,0.020538330078125,-0.0399169921875,0.03212356567382813,-0.006612141927083333,0.031351725260416664,-0.006144205729166667,0.0022786458333333335,0.032145182291666664,0.0027669270833333335,0.003265380859375,-0.005282719930013016,-0.010859171549479166,0.012646993001302084,0.005828857421875,0.005884806315104167,0.012308756510416666,-0.0010426839192708333,-0.012766520182291666,-0.017730712890625,-0.013407389322916666,0.0037027994791666665,-0.051272074381510414,-0.000274658203125,0.0003712972005208333,-0.0579655965169271,-0.010416666666666666,0.004887898763020833,0.008265177408854166,0.01708221435546875,-0.0038859049479166665,-0.005564371744791667
5,0.10182698567708333,-2.2838541666666665,-0.0412367582321167,-0.006458024183909085,0.021158854166666668,-0.0054168701171875,-0.0006764729817708334,-0.013333638509114584,0.0014260609944661334,-0.0014940897623697833,-0.05866241455078123,-4.1524569193492446e-05,-0.0001246333122253418,-0.001681566238403343,-0.000408172607421849,-0.0011393229166666667,-0.0033162434895833335,-0.005177815755208333,-0.00775146484375,-0.0012613932291666667,-0.0025539398193359167,-0.000423471132914244,-0.00414403279622395,-0.0015466312567393068,-0.0010960896809895833,-0.007771809895833333,-0.011423746744791666,-5.27699788411334e-05,0.000121275583903,-0.0006713867187500168,-0.006905873616536467,0.040018717447916664,-0.002403259277343733,-0.005214691162109367,-0.0013227462768554833,0.0042877197265625,0.0020548502604166665,-0.0011914571126302,0.034769694010416664,-0.0002682209014892432
6,-0.018961588541666668,-0.037699381510416664,-0.0013783772786458333,-0.00347900390625,-0.0130157470703125,0.007120768229166667,-0.042805989583333336,0.21085611979166666,-1.2903645833333333,0.009470621744791666,-0.0047206878662109505,-0.014963785807291666,-0.0019327799479166667,-0.008054097493489584,-0.016459147135416668,0.007360299428304017,0.0002492268880208333,-0.0026715596516927002,-0.021039326985677082,-0.0023523966471354165,-0.001725435256958,-0.048614501953125,0.0014362335205078001,0.045491536458333336,-0.00396728515625,-0.0014788309733073,-0.004241943359375,-0.005686442057291667,-0.026163736979166668,-0.0011876424153645668,0.0004361470540364667,0.0006001790364583334,-0.02117919921875,-0.0007946491241454834,-0.0015292167663574167,0.011678059895833334,-0.0013987223307291667,-0.00122769673665365,0.0004440943400065,0.0003458658854166667
7,-0.0009867350260416667,-0.009081522623697916,-0.00424989064534505,-0.004778544108072917,-0.0038169225056965835,-0.0005391438802083334,-0.019124348958333332,-0.00823084513346355,-0.006734212239583333,-0.0004374186197916667,0.0030886332194010337,-0.00128173828125,-0.0011698404947916667,7.438659667971668e-05,-0.0036557515462239502,-0.0003916422526041667,9.663899739585007e-05,-0.006184895833333333,-0.004216512044270833,-0.010335286458333334,-0.013814290364583334,0.0035146077473958335,-0.0007680257161458334,-0.0010814666748046999,-0.0003789265950520666,0.0024731953938802167,-0.0022875467936197833,-0.009368896484375,-0.0002243518829345599,-0.0007195870081583691,-0.00144068400065105,0.006014506022135417,-0.08484522501627605,-0.08780924479166667,-0.007527669270833333,0.009114583333333334,-0.022501627604166668,0.0006306966145833334,-0.008861541748046866,0.037015279134114586
8,-3.79296875,0.12345377604166667,-1.0048828125,-0.0050061543782552,0.019597371419270832,0.004244486490885417,0.017171223958333332,0.0007425944010416666,-0.0025177001953125,0.0002644856770833333,-0.0048065185546875,-0.016092936197916668,-0.018595377604166668,-0.0191650390625,0.003946940104166667,-0.0028254191080729165,-0.0007826487223307168,0.010310490926106766,-0.00033346811930336863,0.0007832845052083334,-0.00106223424275715,-0.000793596108754476,-0.0004482269287109333,-0.0003500183423360324,-0.0003508726755777833,-0.00183868408203125,-0.005045572916666667,-0.0040760040283202995,-0.0003681182861328,-0.002117971579233814,-8.392333984373336e-05,-0.0003982384999592932,-0.011800130208333334,-0.0008625984191894167,-0.0018513997395833333,-0.004139820734659836,-0.0016231536865234334,-0.0032399495442708335,0.0022989908854166665,-0.0020357767740885333
9,-0.06529744466145833,-0.00146484375,-0.00031280517578125,-0.005273818969726567,-0.0112457275390625,-0.034276326497395836,-0.008031209309895834,-0.007314046223958333,-7.041295369468335e-05,-0.006734212239583333,-0.00133514404296875,-0.017138163248697918,0.007466634114583333,-0.003173828125,0.008931477864583334,-0.0029449462890625,-0.0010325113932291667,-0.005879720052083333,-0.0037746429443359336,-0.0013370513916015337,-0.0013224283854166498,-0.002730687459309883,0.003957112630208333,-0.019083658854166668,-0.004369099934895833,0.004239400227864583,0.0024922688802083335,-0.00012652079264326667,-0.0005179246266682683,0.0009915033976237,0.0006612141927083334,-0.0008138020833333334,-0.0014389355977376167,-0.00541051228841145,-0.0014190673828125,-0.0015068054199218665,-0.023417154947916668,-0.005282084147135417,-0.004683415095011383,0.13111368815104166
