layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.008732042814555911,0.015967118112664474,0.0024012515419407896,-0.003167403371710526,-0.00801206889905429,0.009547183388157895,-0.0032912806460731895,0.00957689787212171,-0.01243711772717928,0.009312679893092105,0.007049560546875,-0.0014064186497738473,-0.0030373021175986842,0.06106858504445929,-0.009693547299033722,0.006908215974506579,0.001975611636513158,0.010009765625,0.002879895662006579,0.0038966128700657896,0.01298904418945312,-0.002120570132606916,0.023303985595703125,-0.0014552066200657894,-0.009125558953536185,-0.009692543431332237,-0.010605661492598685,-0.0026216005024157106,-0.002719276829769737,-0.001040810032894737,0.0016415244654605264,-0.05393781160053454,-0.008140162417763159,0.03857421875,0.0020848324424342104,-0.0038163034539473685,0.018477590460526317,0.03791246916118421,-0.0006834331311677632,-0.007121839021381579
1,0.002025403474506579,0.0024277536492598685,0.001624860261615958,0.008984415154708058,0.0059525339226973685,-0.001223915501644737,0.005191200657894737,-0.014409115439967105,8.862269552105797e-07,-0.0024928042763157896,0.0008649324115953947,-0.00039431923314145267,-0.0023956298828125,-0.00021603232935855262,0.011956465871710526,-0.0009685315583881579,-0.003411543996710526,0.013490375719572368,-0.0009243613795230264,0.028397409539473683,-0.011260283620733958,0.007851048519736841,0.003024452611019737,-0.0011969114604749212,0.0006842362253289474,0.00036671287135074215,0.005789505807976974,0.08447265625,-7.24666997006065e-06,0.007953844572368422,-0.004128305535567437,-0.005331742136101974,-0.00013411672491776315,0.016746119449013157,0.000810723555715458,-0.0016708374023437472,0.003299110814144737,0.010962235300164474,0.01710911800986842,-0.0031730250308388158
2,0.007960269325657895,0.004773591694078948,0.0019628625167043634,0.0021332188656455683,0.027369449013157895,0.0006372552168996737,-0.0020960757606907896,-0.0023249575966282944,-0.002246254368832237,7.428620990947374e-06,-0.03281763980263158,0.024255049856085526,0.006542005037006579,0.019411588969983552,-0.00016045570373535915,-0.0023932206003289525,7.182673404090625e-05,-0.022107576069078948,0.13811673616108142,-3.214886313989985e-05,0.05039947911312705,-0.02650853207236842,0.02371376439144737,-0.00014455694901315788,-0.006198280736019737,-0.0027618408203125,-0.02691248843544408,-0.0010392038445723685,0.0007436651932565789,0.009468480160361841,-0.002475136204769737,-0.004105618125513984,-0.0007709703947368421,0.009992298326994248,-0.0018149928042763158,-0.05820826480263158,0.05067845394736842,-0.027501156455592105,0.05070254677220395,0.002982792101408305
3,0.015380859375,0.001689710115131579,0.013667056435032895,0.013299239309210526,0.020861173930921052,0.0073563425164473685,-0.054642526726973686,-0.010931316174958884,0.002796373869243421,0.0032645777652138158,0.02237099095394737,0.010384007504111841,0.025800203022203948,0.02309056332236842,0.011474609375,-0.0017925061677631579,0.004735846268503289,0.02530067845394737,-0.0006388614052220369,-0.001644736842105263,0.007404528166118421,-0.001087389494243421,-0.001309043482730263,-0.050501773231907895,-0.0030063829923930945,0.016326904296875,0.0024928042763157896,0.0022486636513157896,-0.0015098170230263158,0.005340576171875,-0.005372147811086553,0.011066637541118422,-0.0010849802117598685,0.0130105269582648,0.0025642796566611842,-0.01354418302837171,-0.007342489142166942,0.012091385690789474,-0.0008287931743421053,0.7456311677631579
4,0.00020800138774671053,-0.03175916169819079,-0.03646208110608553,-0.012694509405838815,-0.0160215277420847,-0.00372314453125,-0.030784205386513157,0.018855044716282895,0.033900210731907895,-0.024640535053453948,0.0060713918585526315,-0.01674451326069079,0.03125,-0.034876773231907895,-0.004709344161184211,0.009148848684210526,-0.009180972450657895,0.01640881990131579,-0.016257838199013157,-0.034835012335526314,-0.00708128276624178,-0.004769174676192431,-0.0038901881167763158,-0.0007637425472861842,-0.0038885819284539473,-0.0023914136384662788,0.035650554456208884,0.017983687551398026,0.013514468544407895,-0.009437962582236841,0.004423041092722039,0.0069290964226973685,0.006909822162828948,0.07107865182976973,0.0003497475071957211,-0.004447535464638158,-0.0037279630962171054,-0.011802271792763159,0.04057874177631579,0.009055689761513159
5,-0.05625887920981959,2.394942434210526,0.03700898822985196,0.005950595203198862,-0.29856310392680924,0.003620950799239305,-0.00048828125,0.0055096274928042735,-0.0006989428871556315,0.0009001681679173473,0.08517917833830181,-7.442737880507494e-06,-0.0001845485285708661,0.0011857144142452137,0.00010795342294792293,0.00028389378597862107,0.0005597566303453947,-0.002158717105263158,-0.004767166940789474,-0.007876747532894737,-0.0009201451351768052,0.0011270422684519,0.004775398655941616,0.002607747128135279,0.00010279605263157894,0.002769068667763158,0.008870175010279611,-0.0011534439890008314,-0.0006767825076454632,0.001306232653166121,0.0014848207172594525,-0.03214785927220395,0.0013549955267655063,0.0017388996325041052,0.0005406831440172736,0.0006115562037417788,0.001953125,0.0007356342516447368,-0.05540064761513158,0.00032534724787660425
6,0.0010279605263157894,0.009894120065789474,0.0006874486019736842,0.0012464021381578948,0.0082602249948602,-0.005049856085526316,-0.056794819078947366,-0.33578330592105265,0.9910567434210527,-0.019722386410361843,0.009702582108347043,-0.0038978175113075627,0.0011279143785175511,-0.0021619294819078946,0.018805252878289474,-0.010163558156866764,-0.002877486379523026,-0.0023032740542763158,0.010417737458881578,0.0016240571674547473,0.0005087099577251264,0.01287841796875,-0.0006786145662006579,-0.018162777549342105,0.007901643451891453,0.0008230209350585948,-0.0010135048314144736,-0.001278525904605263,0.0023514597039473685,0.00017484865690531922,-0.0018969084087171158,-0.01586351896587171,-0.011044150904605263,0.0013085415488795315,0.0005028373316714632,0.020199424342105265,-0.008973874543842516,0.00019956889905427887,-0.0006039268092105317,-0.0008705540707236842
7,-0.020638315301192436,0.010265952662417763,0.0028585132799650577,-0.0016910151431435054,0.0008347159937808368,-0.001606188322368421,0.03504060444078947,0.0054779052734375,-0.006244860197368421,-0.0054931640625,-0.0025118777626439055,-0.004869962993421052,0.0016383120888157894,-0.000576019287109379,0.007389457602249947,-0.0016913163034539473,-0.0005068528024773841,0.003981740851151316,0.009117929559004931,0.0019740054481907896,0.004690069901315789,-0.0027369449013157896,0.00048371365195826844,-0.001262965955232329,8.030941611841877e-07,-0.006619102076480263,-0.001392339405260584,-0.0006312320106907895,-3.756974872790114e-05,0.00033850418893913685,0.0011000382272820894,-0.001769316823858963,0.060364371851870886,0.28018349095394735,0.04708541067023026,0.008941650390625,-0.0029296875,-0.0009621068050986842,0.008534481650904605,-0.021099692896792765
8,3.608963815789474,-0.10985043174342106,1.4346281352796053,0.005154860647101142,-0.017032020970394735,-0.001787637409410979,-0.0024879857113486842,-0.0005155362580951895,0.0017346833881578948,0.0027913545307360105,-0.0013989900287828948,0.010395250822368422,-0.001079358552631579,0.010665090460526315,-0.004772387052837168,0.0031250401547080627,0.001157961393657479,-0.00862001117907072,-0.000877380371093746,0.0016551770662006473,0.0009560334055047244,0.00028797827268901973,0.00043909173262745687,0.00030097522233662343,5.3548499157558335e-05,0.0024365876850328946,-0.003398694490131579,0.020403410259046052,-0.0001989289333945708,0.0021449641177528843,-0.00016081960577713685,0.0003426074981689318,0.013634932668585526,0.0007926037437037053,0.0007040124190481105,0.0006975876657586349,9.135196083463216e-06,0.0006543209678248316,-0.004526238692434211,-0.0014461718107524684
9,0.0585226761667352,-0.004023501747532895,0.0016871377041465338,0.01885986328125,0.001269691868832237,0.06006823087993421,0.00689777575041119,0.01598719546669408,-0.00020358436986019478,0.018302515933388157,0.0014231832403885736,0.021990324321546052,-0.006131423147101147,0.0028983668277138158,-0.005401611328125,0.005026566354851969,0.0004909414994089211,0.011868125513980263,0.005113576587877776,0.0022627177991365053,0.0009381520120721089,0.00410340961657072,0.0009560835988898001,0.025227596885279605,0.0007586228220086422,-0.007223028885690789,-0.004148382889597043,-0.0001993555771677019,0.0007316940709163991,-0.0015324542396946833,-0.0012471048455489264,0.00038909912109375266,0.00019851483796772093,0.003498278166118421,0.0004031532689144737,0.0007984763697573999,0.029041390669973268,0.0034956681100945628,0.005565718600624481,-0.14338282534950658
