layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,-0.004751275949441044,-0.0033609412523559097,-0.0006855916420309462,0.0012518144303258756,-0.0014101846672681501,-0.013886344108136248,0.0022498401686375244,-0.011246076353793015,0.003736629560299884,-0.013251575514500243,0.00033303643015108135,0.0009234313371116557,-0.00017942436010457162,0.0013350401407085986,0.003164751520416616,-0.006822103656219602,2.4669365196375812e-05,-0.001102373293865516,-0.009742944620926557,0.0011255583410597035,-0.0025288548450989484,0.002112422007994893,-0.001987383059490515,-0.001991732111236929,-0.003512564336279487,-0.00415620915156858,-0.0024048326544260697,-0.00199622217319355,-0.001422867236898104,0.0007869223212453625,-0.0007411051353128034,-0.004213978808213764,-0.002094432073808366,-0.0035759001854328795,-0.00036419226501702335,-0.005472621101349709,-0.002367309095330739,-0.003329147160749027,7.957428809733632e-05,0.0020686197837503023
1,-0.00040578285543835095,-0.0008763561916722397,-0.00011206600916524828,-0.004102476839889348,-0.0030113249901203795,0.0011984865953022388,-0.009959298812925583,0.003998633952456226,-7.6074776482473665e-06,-0.0035053653939688717,0.0002105505086104693,-2.037968617004983e-05,0.0010748540381049362,0.0012032178589342166,-0.00267343484010214,0.0008792153592239561,0.0050454046939597515,-0.0024192602254073433,5.818526568579361e-06,-0.009565182696984436,0.00033251691885031624,-0.004675898570494893,-0.0015521995752238102,0.0007747917323724755,-0.002651288815509484,0.0018287985241366726,0.00014160393740880351,-0.024865176427225195,-7.265504696025692e-06,-0.006881535749027237,0.002190356124699811,0.0030628605111563713,-0.00014820173092853204,-0.00249543542527967,-0.0008825309545613455,-0.0007045018533788303,-0.0004679832013200693,-0.0012421960496716926,-0.005380289100023559,0.0009633965993205864
2,-0.001976399106274319,-0.006628756393254499,-0.0001037835147130354,0.0002261803771735167,-0.012257379316634242,-0.001535734777784532,0.0006634010878982245,0.00038705076225072993,0.0009627286562196007,0.0005970669163804113,-0.005263254336345983,0.001494737914564082,-0.00048378376645336806,-0.0015724271187986382,-6.452898571000399e-06,-0.00020884354290795447,5.428893093003784e-06,0.0015864390807393,-0.005058969505102253,-8.358287440199611e-05,-0.007741260157484953,0.0006254322334022377,-0.005594335177529183,0.002331418286037816,-0.004117691099411782,0.0014246781048607732,0.00988502354009606,0.0015267101243312258,-0.0007188700516400168,-0.0020062858492483895,0.0014846445521491968,0.00024943964026781203,0.003092131262159533,-0.0019470689825510695,0.00019830488509241245,-0.0016885601592898833,-0.005365393968871595,0.005675942981289518,-0.014436046437066816,-0.002070749780083445
3,-0.00520906559688108,-0.0005695773469798754,-2.570838779790894e-05,-0.018006558548151752,-0.003479167181230241,-0.002773655991609922,0.007610454633542072,-0.0023917706560068093,-0.0010050242976919685,-0.0006955143078755778,-0.010463848188229572,-0.0031811903422908562,-0.0155625398984679,-0.0014838430204280155,-0.009146248784046693,-0.0038169534289883267,0.00039580823846364276,-0.01368162696927438,-0.000810812419490591,-0.004545575449902724,-0.0038798885122811283,0.0005567157314909116,-0.0018409402453945772,0.029716283894698443,-0.0014547058580450512,6.403347861442099e-05,-0.006065635829584144,-0.0009281959978986794,-0.0015890811667831958,0.003193495338529001,-0.0031726703569582926,-0.005875702498024076,-0.0005439691506471135,-0.0005608050275869409,-0.0033693573354283204,0.0007432796611860113,-0.0026229160768976474,0.0014047288709113568,-0.0016299147550234067,0.004165619727702456
4,-0.012270560060493678,0.010676313467062866,0.008435587010958779,-0.0035998719211682273,0.004709815236844905,-0.001557153486556116,0.002528891953049003,-0.005745349691071863,-0.0053737655224039395,-0.007010255806177043,0.003434474366184338,0.006208879938385366,0.0008229652731335112,0.004032476402906129,0.0007328968567607004,-0.0012160126801130837,-0.0029872493521248783,-0.007676655216439688,0.0024553291528605302,0.0006185746842321257,0.001615732096512495,0.0006825487901264591,0.0002844918098895008,0.00015751582639226728,0.003631999984325602,-0.003504786509948018,-0.001536486213773141,-0.004128303973127433,-0.00299599198515777,-0.0068801108037451365,-0.007513023999878405,-0.0015447742744178624,-0.005043000098796206,-0.008856795641234877,-0.0049478850012159535,-0.003027912243794836,-0.00041736053585542256,0.0006301523646491973,-0.0010254652119796098,-0.002532977538350027
5,0.02130198200389105,0.0004484347332312452,8.402724210390078e-05,1.542936967043127e-06,0.04012930903453307,-0.0004741514703179136,0.00020522180698261127,0.0020709501630137407,9.47236087071741e-05,0.0001401381733816391,0.001318215396153789,-1.0266233279083075e-05,-0.0004179338536837696,-0.00020802113796486365,-7.112321338765202e-05,0.00011142775242430465,0.002356243504624422,0.000784907359557393,0.0015016548364542802,-0.00020062042117582684,-0.0008445546784753478,-6.674606976342118e-05,-0.0008300695901714878,-7.101487556783936e-05,-0.0004511649506565173,-0.002143355195160506,0.000577136236406023,-0.000835656192052225,1.0252926600114782e-05,-0.0005505149930367697,-0.0001776195221837887,-0.0023796920182639985,-3.7792591733227244e-05,-0.0004294558721757579,0.00011146114957935644,-0.0015344879506626946,0.0003738106456712062,-0.0002009859344838656,-0.0028266164579280155,-1.565909107371747e-05
6,0.0012045537451361868,0.007908921297422178,-0.001381877795267662,0.00011470809520914397,-0.0019223402446346062,-0.0038091162299367706,0.0075199112354085605,-0.016377371108949417,0.012283147077152237,0.0032638371686527236,-0.00042747245224533464,-0.0014029328461287092,-0.00022325255991419724,0.0007910227497264105,0.0001902153519804848,0.0002904773222333242,0.0005151251410695832,0.00044476104617582684,0.0009510470735423768,0.00015047482479407234,-0.00017218923754265436,-0.0014538560859887976,0.0007586868820487299,-0.005827729340193336,0.0011946032483290136,-1.4505033827018939e-05,-0.0006465948973184432,-0.00022110400960603113,0.005127071870440175,0.00012485062565785175,0.00011262262841606809,0.0014321961755418599,-0.0010489675321467657,-2.375674154971314e-05,-0.0003130649314316326,-0.011671756492050706,0.0020846355749939206,0.0003185049569096545,-8.319695172142963e-05,-6.688336917862412e-05
7,-0.002386475351534001,-0.00029369829229807795,-0.00041836245050689945,-0.0005689548611177103,-0.00034506126136631387,0.0023613718233219845,0.005453740576361867,-0.00042764685961059105,0.00021540422847762645,0.0030557951574659535,0.0005703139397884631,0.0005714030581225681,0.001841400383975255,8.854699042056654e-05,0.0032144613303099153,0.001466902313529287,0.0003258597526104996,0.0006937108615029183,-0.00014089146476775334,-0.001283281971972276,0.0013886091774075876,0.0009494291669199903,-1.5769023375753767e-05,-0.0002767047065705167,8.623887592716343e-05,-0.0006976591473887404,-0.0003890202666998834,0.0006200534360418066,3.7477638007135296e-05,0.00025832513890841624,0.00017604962397178367,0.0010542442826445466,0.046525650915004865,-0.006846862080496109,-0.002230811211849465,0.006157351838939384,0.00108990502264713,-0.00046927455798197355,0.006470201544260701,0.0007758455981540303
8,-0.0004000088584098382,0.012606669028909289,0.0008100813928745137,-3.987713082756935e-06,-0.003194777418203392,0.0063224154223727805,0.01949629802184346,0.001075607329491048,0.0005094030951711467,-0.0001349801683240364,0.00012299058966135646,-0.0003797479176799611,0.003597511855544747,0.0023065114299610895,0.0030497094536569794,0.00031282744055128296,0.0007083926219420679,-0.002021403628100681,-0.00019000940285767782,-0.0013418995452762089,-0.00047543001314081455,0.0004665151180460283,-0.00014003403919680035,-0.00014640676430227335,-2.0548991192174704e-05,-0.0014432469230681538,0.002472636300766051,0.00244219293854116,0.00010499323388481987,-0.00027546159024368375,3.8840659397583534e-05,8.93076744060744e-07,1.5440560036594117e-05,2.6498047874117695e-06,-1.6587253674459147e-05,0.0008497813332405533,1.892134373289937e-05,0.000529604663180933,0.007186949021157588,0.001449080292816755
9,-0.002507076189211834,-0.0006140697790954818,0.0009010380808017605,0.0017135041233166642,0.0031543909807613384,0.00018375856867096352,0.0006158732254681425,-0.003022546434216926,7.431887467083465e-05,0.0004002018197501214,0.002139752013210193,0.00018157662120774594,0.0001227679419610285,0.0004858321252963891,-0.0009353281458991985,-0.0028756583247203297,-0.0002963227520656947,0.0015308068420172665,-0.00023370401404711156,-0.0007563379488102653,0.00029288145354749626,0.0003229078151836449,0.002057138584003375,0.002930771052141598,0.00033817588123366055,0.002470628760668091,-0.002596866295959235,2.6169454077336878e-05,0.00013691836294032827,0.0003453182339204409,0.0007743687017418533,0.00012863841965968524,-9.569398160110738e-05,-0.00019214125458832414,0.00030863424219510047,0.00043871523341316174,0.0015796334826992647,0.0006613805600177447,5.762864643497665e-05,-0.013884429337913425
