layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,-0.0011444045642038153,-0.0007289187228831103,0.0004230160029527282,0.0009695838886683303,-0.00030381140100256397,0.00042720916988052014,0.0007099606236471095,0.002872007800388971,0.0008367814227298613,0.0016421267860814144,-0.00021141569180266442,0.0003838242001772933,0.00018152466558789913,0.000951950433249915,0.0009620946894540112,-0.0009850734519150786,0.0008866667242679027,0.0010699245039795069,-0.0001589526426265691,0.0005632320895601744,-0.00021006797056665396,0.0002963994390230355,-3.596154113141827e-05,-0.00018605014734100837,-0.0004489342515856585,-0.00018364548034114102,0.00010393030774715956,-0.0007465267931412589,-0.00030660542732141853,0.000126887435128454,-0.00020455823691772527,-0.0013110096787800592,-0.0008829974147383545,0.0004252891286675741,0.00025124846987484875,0.0010193145715029258,9.496819230187538e-05,-0.00048785662550098304,0.00016237617764989324,0.00044143178285574523
1,-2.6874807626639665e-05,-0.0002490734231883081,0.0004119411498506506,0.000354485301198342,-3.6900792061309555e-05,-5.0417236032734484e-05,-0.0002888877393257523,0.0009010624178813143,-1.626554144128322e-05,0.0003069112031155475,-0.0001018371858960265,0.0003627308628015351,0.0007680672554989978,0.0003934561376923582,5.81920183000605e-05,0.00017409950620970855,0.001455573551018744,-9.890519988515207e-05,-0.00016331889019254744,-0.0012495233589998535,-0.0008926195443505885,0.0025533963461320326,2.382310750768661e-05,0.0003912966682632553,0.001609797630610065,0.0005598085545368512,0.00034467047514226016,-0.0015771107751531308,-6.91991265585913e-06,0.003413390190184513,0.0007156872850292319,0.0013029971991029567,-0.0003122565101581994,-0.0003986485568379462,0.00024821840483566827,-9.506280971741719e-05,-0.00021554308808794601,0.00082227380363709,-0.001416007317129367,-0.00010636959087466457
2,0.0008224791926610708,-0.0003518890916255481,0.00047283437997733746,0.0002708896606962246,0.0008846959127344222,-0.0004025117166822629,0.00024653606103249747,0.00014337192357704234,0.00022774527308007695,-0.0005185865158754912,-0.0004121500004873951,0.0007008150427253476,0.00011925313664578852,-0.00016882516222871294,-1.2797492241325322e-05,-0.00012896584512534079,2.070826901425993e-05,0.00040448829757035035,0.0008990709809051158,-1.8356463725970338e-06,-0.001065980573170703,0.002857270560982872,-0.00024126056318058076,0.0009421817620306827,-0.0012440597801877738,0.0006248511044963231,0.00033498257488751487,3.513306180996673e-05,0.00010947465752372553,0.0005469111623146715,8.199406766343433e-06,0.00012144260671884405,0.00014788009726633393,-0.0003865536818414908,-6.959687848561332e-05,0.00018355778615112675,0.002726901608817302,0.0017475144328021022,-0.003996243277824942,-7.959632388909386e-05
3,-0.00118880090176951,0.00034803516274860074,0.0002532031272154321,0.000899022374092559,-0.0007914068910906837,-0.00025218079757921205,0.002968914495838532,-0.0015359175832648027,5.424808749125663e-05,-7.288310286930921e-05,0.0004755794388989716,1.7391142524954627e-05,-9.340815881635663e-05,0.0034624620127230795,-0.00030329266390653357,7.780782396116909e-05,0.00012473460045714797,0.000598769006192576,-0.00041007014815185706,0.0011295011673850574,0.0003185652994200885,0.0003025772639353641,-0.0001254396155900258,0.00837702904047565,0.000471514351643437,0.00022849644304980495,-0.00011946717970167883,0.0001348909723059162,5.104032633020445e-05,0.0008728364274059002,-0.0008505214291922769,-0.0007082644333928842,-0.00026218947395006276,8.580876492905905e-05,-0.0003598271466282304,-6.735490728564065e-05,-0.0003338967823506266,-0.00011483784956565718,-0.0004292140206061778,0.0010376715039889595
4,-0.001498894480885842,-0.00043295083158461907,0.0026359488873213474,-0.0007937737688178807,0.003989642559219979,-0.0005793493585880784,-0.00037312954754376525,-0.000913812691561035,-0.0008083511971013876,1.0412531193284937e-05,0.002641418235488033,0.0013030433539398068,0.0010865425529872296,-7.856014780181863e-05,-0.00026755035825015125,0.00045180046695402284,1.3856835893191491e-05,0.001695544086509377,0.000522304287983732,-0.0008848274540194434,0.0009116266831007428,0.001398060008820374,0.0005750604203738231,0.00025265388465692127,0.0013135931957727188,0.0005438009032464647,4.469980561798126e-05,-0.00045733327802137673,-0.0003049080831962718,-0.00014618159927026617,0.0005948481528021967,-0.0004891841539958716,-0.0007179661800986842,-0.0009651360047346743,-0.00030371382679278674,-0.0006227320205494624,-0.0002913795235801739,5.0458775385898796e-05,-0.0011444579307339226,-0.0008287337499896611
5,0.00456650417210186,0.0004947406194171109,-0.00014019358612448263,-2.726823479134149e-06,0.007477895894774652,5.364115138668436e-05,2.0326590148593345e-05,0.001098699737013432,1.9930091253282797e-05,0.00013190158121670928,0.0005363166079835605,8.034017849745423e-07,-5.130200262006741e-06,5.662260961329667e-06,-1.1354923717050805e-05,2.9880064441013854e-05,0.000406497186844232,6.737683083314428e-05,-0.00017064827828427483,-0.0002527808104582577,0.00027377433799932976,-8.495731636458116e-05,-0.00011426754886283301,-3.935377740600331e-05,-0.00016690526524963138,-0.002061865795617816,7.551104389243766e-05,-0.00018485531400206268,-2.7564678203677512e-05,-5.622524531480769e-06,0.00019098265706158604,-0.00041457024474469934,-1.2105115600881473e-05,6.321164527519233e-05,2.6450904296948842e-05,-4.983799283027072e-05,0.0002425713605471113,8.118145406714942e-05,-0.0009643776230716879,2.2176993448517737e-05
6,0.0001540463834694495,0.0026097606328928462,-0.0002691288536704097,-1.7908076697670902e-06,0.0005869141363477392,0.0006932087256125227,0.0009858673151088928,-0.006114002003932245,0.0019127302867891713,0.0007569693249784955,0.00018922877326129907,0.00041086112666836785,-4.5739010616424884e-05,4.2393217646418045e-06,5.480194553345257e-05,0.00035750065438327697,6.302731439552378e-05,-7.59535533907504e-07,-0.00029760984961941785,2.89333854670668e-05,3.7100988666143955e-05,0.0002020425098416877,7.369831267516794e-05,-0.0010341989294514826,0.0004515137300300941,4.8073796308624026e-05,-0.00032543256220785835,-0.0001379244989578607,0.0013551429337757108,5.3571919131408197e-05,-2.7138467132144046e-05,0.0008640277767931413,-0.0016847761630723495,-1.3246618468168094e-06,-5.812711306074036e-05,-0.0018201298376176837,0.0012277209679429917,0.00017318621737554568,0.0001846685311466869,-5.849664022326849e-05
7,-0.0010675319526243122,8.175550485046797e-05,-7.988262811142789e-05,0.0006370589146091944,-1.1585152516996576e-05,0.00044079715384906233,0.00013750448994252873,-0.00012769947178927708,-2.0455823691772534e-05,0.0007999648632458031,0.00019707307625163042,-0.0001033868345432547,0.0004089410854554218,-4.14665150627964e-06,0.0006580825870280835,8.822727837998152e-05,0.00010351073143342274,0.00018652092667687537,7.423659345992626e-05,-0.0002624473641009599,0.0005239877856578238,2.5512663004114276e-05,-3.9608999230395764e-05,-0.00011352791760231724,3.590730919811935e-05,-5.629332369915694e-05,8.855151610885108e-05,0.0005320938731134118,1.9027349520506937e-05,0.00011451974177605763,7.268761189432494e-05,-2.2247208297000246e-05,0.015253605297386322,0.007772557604190298,-0.0010451808959444004,0.001248022172931318,0.0004389659606970518,-0.00024998743319179663,0.0012838798656798246,0.00028706693101203346
8,0.00026621994507795914,0.005884469384795164,0.0010766354172574485,-5.464299981415292e-07,6.400348919489411e-05,0.0008529546544974452,0.003928804714897511,-0.00014010848814404085,-4.599992967849022e-05,0.000133095260684733,0.00016234444619955883,-0.0009639437676053009,-0.000573870779454023,0.0001375783376814882,0.0012809305716051306,4.8632774653033636e-06,0.00037506228133684456,-0.00023279115061866686,7.583456045199055e-06,9.654582231894227e-05,-0.0002469001253373827,-2.8216160036042915e-05,-9.489337098432494e-05,-0.00011797021247369962,-2.266020394063711e-05,-2.546838320751164e-05,0.0014674941915060922,0.0003827516771559994,-1.0326279341921204e-05,-1.0119520096222243e-05,1.4423494690919444e-05,-8.640622667158346e-07,-1.3576237923151022e-06,1.0756770102666766e-06,-2.6847835893856227e-05,0.00013285929408134043,-0.00023001782185946265,4.920624850089064e-05,0.0025115062162072745,0.000140760425214543
9,-0.003564912481013747,-0.00010472936336011986,-1.5741900393837583e-05,0.0004511300679487817,0.00046688155989465163,0.0001274098501880454,0.00023398425315123092,-0.0010743524836397719,3.163726562019818e-05,1.7762112026133724e-05,0.00018455473062707958,0.00027388741734961055,0.0005324168127374942,9.54632029270882e-05,-0.00014994091073167174,-0.00042794995501195776,0.0003031007607489457,0.0010189453328081281,-0.00016755186566712215,-4.3872408050519476e-05,0.00010998784161594881,0.00014324067075975147,0.0007535319435041163,0.0002739647267013334,1.1089709190188891e-05,0.0008590470929616014,0.00016085133722747245,7.970507622341041e-06,4.350984017198447e-05,4.6538066229383605e-05,0.00016440525966489688,1.521090341926805e-05,0.00034721591439451936,2.1311130512143762e-05,0.00040714537383423964,0.00014602856713933675,0.00031383212090115465,0.0001337120046921376,-2.2261487449651175e-05,-0.0029771808271183077
