layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.00905214037214007,0.004765101841517857,-0.006136757986886157,-0.011132376534598214,-0.013458796909877243,-0.0027046203613281146,0.005929129464285714,-0.003509521484375,0.003906794956752243,-0.004722050258091528,0.0010910034179687428,-0.009440898895263672,0.0005198887416294571,-0.0011761954852512904,-0.0011792864118303715,-0.020078386579241072,-0.007428033011300214,-0.010705130440848214,-0.018755231584821428,-0.007012503487723214,-0.023268563406808027,-0.0021122523716517855,-0.014870779854910714,-0.017793927873883928,-0.020417077200753347,-0.0031375885009765716,-0.0011411394391740999,-0.0023585728236607145,-0.0023716517857142855,0.002065931047712057,-0.010822841099330358,-0.0024893624441964285,-0.011573791503906241,-0.012387956891741072,-0.0078887939453125,-0.0050215039934430866,-0.006256103515625,-0.005959647042410714,0.0020435878208705286,0.004228864397321429
1,-0.006892613002232143,0.014251708984375,-0.018057686941964284,-0.0003302437918526716,-0.0025280543736048997,0.0018125261579241144,-0.001549993242536258,1.6689300537109375e-05,0.00018448063305445545,-0.0011885506766183,-0.047154017857142856,-0.02276611328125,0.008656093052455358,0.016754150390625,-0.0017969948904854715,-0.005445207868303571,0.0009024483816964286,8.446829659598215e-06,0.022151402064732144,-0.014460972377232142,0.016619001116071428,-0.009809221540178572,-0.02614811488560267,-0.0004915509905133857,-0.006176539829799114,-0.040400913783482144,-0.03352137974330357,-3.2458986554819866e-05,-9.514178548538602e-05,-8.545603070939845e-05,0.004795619419642857,0.002832140241350443,-0.03544398716517857,-0.002464294433593743,-0.00027002607073102854,-0.0053321293422154,-0.008074079241071428,-0.013888222830636173,-0.0033198765345982145,0.0010114397321428572
2,0.0019332340785435428,-0.007865633283342627,-0.0035334995814732145,-0.011548723493303572,-0.0019390923636300285,-0.006336757114955357,-0.022133963448660716,0.010517665318080358,-0.009451729910714286,-0.028878348214285716,-0.0012681143624442,-0.011160714285714286,-0.006949492863246386,-0.009137098278318132,-0.018672398158482144,-0.000648021697998054,0.0005449567522321286,0.008478437151227687,-0.0017251968383789125,-0.009958539690290187,-0.0010835634810583933,0.0012989044189453142,0.0002190726143973286,-0.021702357700892856,-0.007530212402343743,-0.006229945591517857,-0.0028446742466517855,-0.0026375906808035715,-0.0022995812552315856,0.00032104764665874866,-0.0037166050502232145,-0.008374895368303572,-0.0019313267299107143,-0.012200491768973214,-0.003840855189732143,-0.007469177246093743,-0.009774548666817798,0.0202789306640625,-0.018981933593750017,-0.015553065708705358
3,-0.00019298280988419597,-0.003982680184500572,-0.013780866350446428,-0.0010914121355329134,-0.006162370954241064,-0.015333993094308043,-0.00152587890625,-0.010720389229910714,-0.06515938895089286,-0.0305361066545759,-0.00034795488630022856,-0.004627772739955343,0.0006975446428571429,-0.0005397796630859714,0.003509521484375,-0.0014299665178571285,-0.0024817330496651716,-0.011138916015625,-0.004002162388392857,-0.004334586007254471,-0.0093400137765067,-0.012617383684430815,-0.016989571707589284,-0.00021512167794363125,-0.007489885602678571,0.00016239711216517138,-0.0030822753906250143,-0.008612496512276786,-0.006079537527901786,-0.0007179805210658571,-0.02899789810180664,-0.005451747349330357,-0.030099051339285716,-0.005671092442103801,-0.017336164202008928,-0.006710733686174671,0.003570556640625,-0.0034964425223214285,-0.013484682355608258,-0.0471038818359375
4,-0.0025874546595982145,-0.011317661830357142,-0.0038354056222098284,-0.004231044224330357,-0.0015454973493303572,0.0014155251639229856,-0.0094451904296875,0.000823974609375,-0.003464835030692,-0.0006741115025111714,-0.001848867961338588,0.0026637486049106997,-0.002166748046875,0.01672908238002233,-0.009255545479910714,-0.016470772879464284,-0.005650111607142857,-0.03800855364118303,-0.009519304547991072,-0.009913853236607142,-0.0019384111676897429,-0.001967293875558043,8.937290736607142e-05,0.00017424992152622769,-0.001788003104073657,-0.003719329833984386,0.004608154296875,0.004268101283482143,-0.0017286028180803572,-0.005226135253906258,-0.0008653913225446429,-0.07074846540178571,-0.0054803575788225575,-0.003968375069754443,-0.025198800223214284,-0.025813511439732144,-0.007363455636160714,-0.026057788303920214,-0.0023501259940011143,-0.0103165762765067
5,0.0022266932896205286,-4.580616950988145e-05,-0.004056658063616071,-0.14453125,0.0001705714634486759,-0.002353123256138386,-0.001355852399553557,-0.0035760062081473284,-0.004159109933035714,-0.0032147339412144363,-0.009396689278738827,-0.007593972342354914,-0.002105167933872743,-0.008065359933035714,-0.002665110996791286,-0.0034364972795759,-0.0012899126325334857,-0.008767264229910714,-0.008863176618303572,-0.004124777657645086,-0.006826673235212043,-0.005790165492466518,-0.005307878766741057,-0.0036520276750837,-0.0037013462611607145,-0.004544939313616071,-0.0008633562496730027,-0.0003350121634346973,-0.00043678283691405713,-0.0006630761282784428,-0.0011239733014787572,0.0034644263131278,-0.009113379887172144,-0.0010474068777901714,0.00016580309186662234,-0.0009745189121791286,-0.001001358032226557,-0.003012316567557201,0.0008968625749860573,-0.006075859069824214
6,-0.0087127685546875,-0.0027400425502232145,-0.0030997140066964285,-0.003880092075892857,0.0013971328735351428,0.0016217912946428572,-0.004939488002232143,-0.002899169921875,-0.11024693080357142,-0.005148751395089286,-0.0006787436349051429,-0.0016086782727922702,-0.0018403189522879571,-0.0009253365652901714,-0.0029820033482142712,-0.015659877232142856,-0.009286063058035714,-0.0009307861328125,-0.0011038099016461946,-0.001373291015625,-0.0025993074689592633,-0.013017926897321428,-0.0037100655691964285,-0.002116612025669643,-0.014116559709821428,-0.007209777832031243,-0.003559657505580357,-0.006429399762834828,-0.0026615687779017855,-0.0034882681710379573,-0.0056768144880022285,-0.002468654087611614,-0.002179282052176343,-0.007993153163364958,-0.0030691964285714285,-0.007805143083844872,-8.317402430940849e-05,-0.00012317086969102953,-0.003138950892857143,-0.000977652413504457
7,-0.006074087960379471,-0.003132666860307946,-0.004253932407924114,-0.0026490347726004573,-0.0031754629952567,-0.006095613752092628,-0.014766148158482142,-0.004708426339285714,-0.004126412527901786,-0.006107875279017857,-0.005183356148856029,-0.003944396972656243,-0.0015226091657366144,-0.00018869127546038036,-0.004274368286132828,0.0010073525565011286,-0.0006806509835379286,-0.003657749720982143,-0.006077357700892857,-0.0010339191981724287,-0.013044084821428572,-0.0145263671875,-0.0021438598632812574,-0.007232666015625,-0.0025215148925781285,-0.002818788800920771,-0.0012574877057756715,-0.004078047616141186,-0.0007648468017577928,-0.0018939971923828285,-0.0032029833112444286,-0.0008768354143415144,0.0014130728585379571,-0.07109723772321429,-0.0011858258928571428,-0.002150671822684157,-0.005724225725446429,-0.003298078264508943,-0.0009133475167410714,-0.009756905691964286
8,-0.002770509038652704,7.663454328263077e-05,-0.0006039483206612715,-0.44419642857142855,-0.0003153937203543714,-0.0022365025111607145,-0.0005179813929966429,0.00024632045200892856,-8.841923304959997e-05,-0.0002950940813336858,-0.00140380859375,-0.007099696568080357,-0.008196149553571428,-0.006720406668526786,-0.005567278180803571,-0.004915509905133929,-0.001382555280412943,-0.004706246512276786,-0.0031719207763671806,-0.001813071114676357,-0.0031754629952566856,-0.003406115940638943,-0.0030766895839146,-0.004673004150390614,-0.005311693464006686,-0.0009532996586390753,0.00012751988002232856,-0.0011844635009765428,-0.00042520250592909995,-0.00017026705401284174,-0.0004362378801618,-0.0004989079066684947,-0.022099086216517856,-0.002833570752825057,-0.0056121689932687,-0.0015449523925781285,-0.00046920776367185716,-0.0009858267647879428,-0.017813546316964284,-0.0011087145124162856
9,-0.005698612758091528,-0.020621163504464284,-0.010125296456473214,-0.0006367819649832571,-0.0029618399483816856,-0.0017371858869279866,-0.0004834192139761681,0.00023433140345981425,-0.00018515118530816786,-0.0013944080897740144,0.004831586565290172,-0.007428850446428571,-0.002101353236607143,0.0004831041608538,-0.00518798828125,-0.0013569423130580286,-0.002708435058593757,-0.0008779253278459571,-0.0006154435021536378,-0.004477364676339286,-0.0016228812081473286,-0.002201352800641729,0.0016512189592633858,-0.005815778459821429,-0.010358537946428586,-0.001971926007952034,-0.0020315987723214285,0.0106487274169922,-0.00011089869907922454,-0.0002343314034598,-0.0038604736328125,-0.002828427723475865,-0.0029672895159040145,-0.005555289132254471,-0.0018434524536132812,0.0007258823939731999,-0.0012534005301339285,0.0005820138113839286,-0.002978086471557603,0.00014713832310267138
