layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,-0.005615449720813387,0.0013470188263923902,-0.0054213000882056455,-0.004443999259702619,0.0012783321642106645,0.0010284916047127001,0.0064436389553931455,0.0007246078983429903,-0.0035538211945564577,0.001001419559601813,0.0005550384521484354,-0.0005672151042569072,0.0014210977861958192,0.0031429884895201607,-0.002941685338174142,0.00433349609375,-0.004341586943595646,-0.0019578010805191546,0.0028253370715725806,-0.0008934697797221516,-0.004484607327368951,-0.0015459368305821614,-0.004048439764207407,-0.005199309318296371,-0.0011031243108933998,0.0004514571159116742,-0.003049727409116674,-0.0007066111410817742,-0.0043403563960906,-0.0030149952057869195,-0.0014426016038463969,-0.010358195151052164,-0.00014231281895791292,0.004501188954999368,-0.0012429914166850423,-0.0023221354330739677,0.000402727434712071,-0.0031218990202872966,-0.00039699769789172033,0.0036020586567540322
1,-0.00520964591733871,0.006815264301915322,-0.0059706164944556455,0.0031281132851877546,-0.0006660184552592641,-0.0007430661109186033,-0.0004892926062307079,-4.31869299181046e-06,0.0006647441656358823,-0.0011829762689528926,-0.011932865265877016,-0.009561354114163307,-0.0043528772169543805,-0.004709797520791333,0.0023744644657258066,0.002768239667338713,0.000572581445017169,3.956979320897707e-06,0.002456849621188258,-0.0001327606939500386,-0.0008355417559223805,-0.004113781836725049,-0.015412361391129033,-0.0006791391680317515,0.0018192414314516128,-0.006378173828125,0.010668846868699598,-3.101844941418917e-06,2.4676236564336048e-05,3.0302232311556443e-06,0.0020969144759639615,-0.0007167323943107387,-0.006475387081023184,0.0035423771027595745,0.002273559570312503,-0.0010332292126071065,-0.0029419929750504033,0.010964608961536039,0.0007148865730531742,0.005099265806136594
2,-0.00034108469563145474,0.005172483382686494,-0.0003223419189453129,-0.0014545532964890995,0.0009317705708165322,3.906988328502898e-05,-0.0007937031407510065,0.0061640585622479835,0.0034382727838331646,0.0016430270287298386,0.0011611753894436676,0.009115157588835687,0.0020457544634419097,0.0007028002892771047,-0.008466443707866053,0.0009679794311523449,-0.00035188274998819056,-0.020516026404596144,0.000603895033559496,0.0076123360664613745,-0.001260355114936827,-0.0001542029842253739,0.0002966850034652032,-0.007113056798135081,0.009709758143271168,-0.0013918722829511065,-0.005342114356256301,-0.001762636246219758,-0.000702273461126513,-0.0002426178224625248,0.0018711090087890614,-0.005957941855153726,0.002959528276997227,-0.0026287571076423874,-0.0051121865549395165,-0.0037403721963205645,-0.0016719275905240096,0.002308137955204139,0.03082939886277722,-0.0014477391396799386
3,-4.212317928190791e-05,-0.007492311539188512,-0.018595295567666332,-0.000605059246863085,-0.001158298984650642,2.75181185814594e-05,0.0019086560895366052,-0.008425558767011086,-0.018445414881552418,0.0031987159482894387,0.0006595734627016064,0.004564162223569807,0.0008454476633379484,0.0008535385131835968,0.005193894909274193,0.00010724221506428057,-0.0028410880796370937,0.00016981555569556451,0.004175555321478067,-0.00010456577424080963,-0.0005427329770980354,-0.0036257159325384287,-0.0026490611414755516,-0.0005652366145964618,-0.0017260582216324356,0.0010405509702620937,0.003306481146043342,-0.003973407130087574,-0.0009443221553679483,-0.0008233285719348547,-0.004813317329652845,0.0009240181215347772,-0.00036338067823840615,0.0025148699360509064,0.019516852594191027,0.0025340664771295353,0.004382164247574345,0.0008101924773185483,-0.0009281404556766669,0.06812710915842364
4,-0.001581253543976816,-0.001957862607894403,-0.0006999046571792975,-0.003807652381158645,-0.002916643696446571,0.003660755772744458,0.0026282648886403674,0.0023168748424899194,0.0036502961189516098,0.0052815098916330645,-0.0006286559566374678,-0.0017268119319792676,0.006656769783266129,-0.007762662826045868,-0.0011578221474924386,-0.007792319020917339,-0.010657525831653226,-0.002056798627299649,-0.005270188854586693,-0.0027337843371975806,0.003500107795961442,0.0006588351341985871,0.004621198100428426,0.002787190098916329,0.0034487016739383806,0.004566069572202619,0.009136153805640436,0.01268251480594758,0.0070958291330645165,0.018169956822549144,-0.0004261001463859287,-0.0033772068638955382,-0.0004830629594864488,0.0006167504095262097,-0.014786997149067543,0.00027312001874370024,-0.005467137982768397,0.013962776430191533,0.0009470755054104664,-0.0028966165358020384
5,-0.002174454350625318,1.9217691113866974e-05,0.004014907344695058,0.10414566532258064,-0.001692679620558214,-0.0022818042385962744,-0.0007543871479649668,-0.0005265051318753093,-0.0014199902934412807,-0.0013484954833984386,0.002229444442256797,-0.002121571571596203,-0.0006977896536550205,-0.0010318640739687074,0.0004928188939248355,-0.00035162894956527097,-0.000868028210055442,-0.0058613438760080645,-0.00929506363407258,-0.0024030131678427417,-0.0019250992805727128,-0.002027234723491055,-0.0022979244109123,-0.0016716757128315528,-0.0011269661688035517,-0.0052076770413306455,-3.3756417612869104e-05,-0.0001977884000347327,-0.00021507663111531777,-0.00017281501523909264,0.0003137127045662132,-0.00085741089236352,0.008667022951187627,-0.000195287889049899,0.0001236623333346544,-3.397368615674443e-05,-0.0016371819280808968,-0.0001466533830089036,-0.004805534116683468,-0.0006052447903540774
6,-0.0055128528225806455,-0.0012787849672379,-0.001507289948001983,-0.0023178592804939517,-0.0001506805419921903,0.0030832598286290322,-0.002818938224546371,-0.01656710716985887,0.044949439264112906,-0.0015878985005040322,-0.0008909048572663294,-0.0012596038080030937,-0.0007148981094360226,-0.00356640354279549,2.1726854385865796e-05,0.0007932109217489935,-0.007075155934979839,-0.0037103468371975806,-0.0005243362918976676,-0.003231417748235884,-0.0007619857788085935,-0.002838380875126006,-0.0009677025579637065,-0.0012876449092741936,-0.0011660668157762065,-0.0005485780777469677,-0.0010390743132560453,-0.0009630264774445549,-0.0011451475081905227,0.00020414783108619363,0.00021596108713458714,-0.0012576387774559613,-0.00046293197139615804,-0.0016783129784368658,-0.0017346720541677198,0.0005119077620967709,2.1815299987795886e-05,-4.339794958790981e-05,-0.0038550592237903227,-0.0024945659022177417
7,-0.0016491490025674202,-0.000763347071986045,-0.0001749377096852968,-0.0016187544791929197,-0.0006051217356035742,-0.002140168220766129,-0.005487257434475807,-0.0023285650437877997,-0.0004169094947076613,-0.0030374834614415322,-0.0007256538637222742,0.0006604656096427741,-0.001423989572832658,-0.0003965131698116097,0.00021768385364163872,-0.0020013009348223173,-0.0008501852712323516,-0.0002162071966355839,-0.0001057040306829613,-0.002361974408549645,-0.0013713221396169355,-0.001957062752016129,-0.0003050527264994871,-0.0008156068863407258,-5.974308136969996e-05,-0.0020734725459929416,-0.0014178368353074517,0.0003337552470545645,-0.0003996741387151711,-0.0007799210086945549,0.0005417946846254498,-0.0019566935877646193,-0.003698225944272929,0.04510015056979272,-0.0023890156899729034,-5.7405041110129e-05,-0.008718675182711693,-0.0006073367211126452,-0.005117108744959678,-0.008687665385584678
8,0.0037663944305912044,0.0002956236562421124,0.0006546974182128831,0.34886907762096775,0.00035532059208039036,-0.007685753606980848,-0.0002551463342481907,-0.004586988879788307,-0.0003550437188917548,-0.0006021991852791096,-0.0023008777249243933,-0.012425576486895162,-0.0012501132103704645,-0.00585297615297379,-0.010243077431955645,-0.0015369538337953613,-0.000658158333070813,-0.0025969474546370967,-0.00023777254166139998,-0.0002907629935972106,-0.00019294215786841003,-0.0004274768214071967,-0.0007382121778303602,-0.0011217671055947641,0.0008811027772964936,5.003906065417351e-05,-0.0023530837028257227,-0.0002459133824994378,-2.51377782513965e-05,0.0003093596427671322,-0.0006641264884702613,0.0001975607968145799,0.01810578377016129,0.001314916918354653,-0.0015866064256237354,-0.0013272685389364935,-0.0007268228838520645,-0.0024847215221774194,-0.0013329290574596775,-0.0005214445052608355
9,0.0013261149006505194,-0.00446442634828629,0.0036437742171749003,-0.0003091442969537595,-0.0004277998401272645,-0.00010708935799135778,-5.658595792708173e-05,-0.004094523768271167,-2.922934870565617e-05,-0.0004915037462788058,-0.002271475330475833,-0.004787322013608871,-0.007864982851089972,-8.278508340159425e-05,-0.0035028765278477805,-0.0014154372676726324,-0.001567102247668845,0.00023575079056524563,0.0002245364650603201,-0.0009684408864667323,-0.000828716062730356,-4.712996944303867e-05,-0.0027140955771169386,-0.0011916622038810483,-0.0006368083338583646,-0.0005243324464367157,0.000502924765309984,-0.0014242356823336675,-0.0002676517732681637,-0.000978085302537482,-0.0017941382623487903,-0.0017791255827872999,-0.0013173011041456644,-0.000987022153792842,-0.0005890630906628,0.00015650256987540588,0.001097948320450312,0.0031797347530241934,0.0014711810696509582,-0.005552891762025893
