layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.0810546875,0.0128173828125,0.1484375,0.1982421875,0.197265625,0.9453125,-0.027587890625,1.2421875,0.0703125,1.1015625,0.00726318359375,-0.0087890625,0.142578125,-0.0262451171875,-0.142578125,0.62109375,0.173828125,0.1572265625,0.671875,0.181640625,0.021240234375,0.05029296875,0.1298828125,0.060546875,0.05224609375,0.15234375,0.2890625,0.0118408203125,0.10693359375,0.009033203125,0.44921875,0.439453125,0.5390625,0.3046875,0.416015625,0.2275390625,0.40234375,0.43359375,0.0191650390625,0.109375
1,-0.01708984375,0.04296875,0.06689453125,0.19140625,0.19921875,0.0103759765625,0.2138671875,1.125,-0.00653076171875,1.015625,-0.091796875,0.1083984375,0.23046875,0.08349609375,1.2265625,0.016357421875,0.263671875,2.921875,-0.08740234375,0.287109375,-0.08935546875,0.11279296875,-0.036865234375,0.37109375,-0.0242919921875,-0.057861328125,-0.09228515625,1.5,-0.001312255859375,1.78125,-0.0732421875,-0.005462646484375,-0.0869140625,0.2099609375,0.11865234375,-0.00775146484375,-0.0986328125,-0.11572265625,-0.091796875,0.12890625
2,0.703125,0.357421875,0.07470703125,-0.0157470703125,1.3828125,0.1923828125,0.00799560546875,-0.0220947265625,0.038330078125,-0.04345703125,0.59375,0.1669921875,0.03173828125,-0.00982666015625,0.0011215209960937,-0.0118408203125,0.0206298828125,-0.1240234375,1.0703125,-0.00775146484375,1.296875,0.36328125,0.52734375,-0.047607421875,0.1513671875,-0.03955078125,0.0031280517578125,-0.0751953125,0.28515625,0.2314453125,0.0576171875,0.048095703125,-0.06494140625,0.021728515625,-0.07763671875,0.74609375,0.455078125,0.03271484375,2.0,0.1728515625
3,1.015625,0.0732421875,-0.150390625,0.5390625,0.85546875,0.177734375,-0.09619140625,0.310546875,0.1318359375,0.01446533203125,1.8515625,0.419921875,1.2109375,0.8125,1.2578125,0.2734375,0.005615234375,0.0947265625,-0.08056640625,0.1318359375,0.1376953125,0.1474609375,0.0859375,0.0908203125,0.0693359375,0.09228515625,0.228515625,0.337890625,0.058349609375,0.1220703125,0.462890625,0.34765625,0.07470703125,0.318359375,0.2890625,0.01080322265625,0.03955078125,0.1806640625,0.09521484375,-0.59375
4,1.6640625,-0.1884765625,-0.0869140625,0.072265625,0.76171875,0.197265625,0.0028228759765625,0.3671875,0.2109375,0.30859375,-0.08740234375,0.004791259765625,0.1640625,0.0634765625,-0.12109375,0.310546875,0.498046875,0.73046875,-0.0712890625,-0.265625,0.0458984375,0.328125,0.240234375,0.1552734375,0.328125,0.142578125,0.171875,0.1318359375,0.14453125,0.2890625,0.83984375,-0.04296875,1.484375,0.158203125,0.1416015625,0.09375,0.087890625,0.08349609375,0.197265625,0.10009765625
5,-0.0025634765625,-0.193359375,-0.2373046875,-0.01397705078125,-0.005889892578125,0.00897216796875,-0.00970458984375,0.02392578125,0.004852294921875,0.00567626953125,0.06494140625,-6.031990051269531e-05,0.02001953125,0.02734375,0.0007553100585937,-0.0079345703125,-0.031494140625,-0.0233154296875,-0.08154296875,-0.037109375,0.07861328125,-0.0023040771484375,0.0517578125,0.034912109375,0.0167236328125,-0.3046875,0.0947265625,0.0296630859375,0.0,0.03955078125,0.00592041015625,0.09326171875,0.01806640625,0.023681640625,7.915496826171875e-05,0.05615234375,0.2216796875,0.048583984375,-0.072265625,-0.003387451171875
6,-0.2255859375,-0.2734375,-0.0380859375,-0.047607421875,0.07080078125,0.458984375,-0.1884765625,-0.283203125,-2.296875,0.06982421875,0.04052734375,0.0234375,0.01214599609375,-0.00677490234375,-0.0147705078125,-0.00836181640625,-0.040283203125,-0.01214599609375,0.0013427734375,-0.02392578125,0.023193359375,0.010986328125,-0.0299072265625,0.00616455078125,0.00811767578125,-0.00872802734375,-0.08447265625,-0.0791015625,-0.062255859375,-0.0054931640625,-0.00885009765625,0.02587890625,-0.1298828125,0.0005531311035156,-0.017333984375,0.04541015625,0.142578125,0.04541015625,-0.030517578125,-0.0250244140625
7,0.0069580078125,0.0311279296875,0.020263671875,0.035400390625,0.0213623046875,-0.052734375,-0.267578125,-0.01226806640625,-0.07373046875,-0.044921875,-0.029052734375,0.0458984375,-0.017822265625,-0.0016098022460937,-0.0947265625,-0.00933837890625,-0.008056640625,-0.052001953125,-0.0052490234375,-0.018798828125,-0.051513671875,-0.0849609375,-0.005615234375,0.048095703125,-0.0257568359375,0.012939453125,-0.0020904541015625,-0.01336669921875,0.00238037109375,-0.0169677734375,-0.0037841796875,-0.0908203125,-0.01251220703125,0.03564453125,0.0216064453125,0.1298828125,-0.181640625,-0.02685546875,-0.01055908203125,-0.400390625
8,-8.125,0.1845703125,0.050048828125,-0.017578125,0.2265625,-0.2734375,0.1865234375,-0.045166015625,-0.00927734375,0.005523681640625,0.07568359375,-0.055419921875,-0.166015625,-0.0130615234375,-0.16796875,-0.00347900390625,-0.0169677734375,0.0361328125,0.0125732421875,0.034912109375,-0.0155029296875,-0.0027618408203125,-0.006134033203125,-0.0030517578125,-0.006256103515625,0.013671875,0.0201416015625,-0.09423828125,-0.01519775390625,0.00396728515625,-0.0036163330078125,-0.0009346008300781,-0.06591796875,-0.00128173828125,0.02392578125,-0.00225830078125,-0.03759765625,-0.004058837890625,-0.1875,-0.0240478515625
9,-0.0771484375,-0.080078125,-0.0201416015625,0.03955078125,-0.04150390625,0.0157470703125,0.034912109375,0.0191650390625,0.0263671875,0.08203125,-0.064453125,-0.11572265625,-0.057861328125,0.08447265625,0.052978515625,0.4609375,0.00848388671875,0.166015625,0.034912109375,-0.0006332397460937,-0.005218505859375,-0.0029144287109375,0.0184326171875,0.0120849609375,-0.029296875,0.0220947265625,0.0028228759765625,-0.002655029296875,0.000467300415039,-0.01446533203125,-0.0223388671875,-0.021484375,-0.0703125,0.01007080078125,-0.05517578125,-0.0006980895996093,0.01239013671875,0.01904296875,-0.03125,-0.0081787109375
