layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.041259765625,0.062255859375,0.041015625,0.06005859375,0.11279296875,0.146484375,0.0419921875,0.1748046875,0.1083984375,0.2041015625,0.0732421875,-0.017333984375,0.1005859375,0.00390625,0.08447265625,0.0966796875,0.09716796875,0.05419921875,0.11328125,0.150390625,0.05078125,0.06494140625,0.13671875,0.06201171875,0.0634765625,0.03173828125,0.01507568359375,0.07470703125,0.01123046875,0.00640869140625,0.1484375,0.2138671875,0.181640625,0.12158203125,0.1669921875,0.08056640625,0.109375,0.103515625,0.044677734375,0.09619140625
1,0.01287841796875,0.06982421875,0.059326171875,0.1318359375,0.173828125,-0.044921875,0.0286865234375,0.12158203125,-0.0019989013671875,0.375,-0.0303955078125,0.0791015625,0.2255859375,0.1728515625,0.224609375,-0.00433349609375,0.2236328125,0.6015625,-0.042724609375,0.06982421875,-0.20703125,0.07763671875,-0.0005340576171875,0.021240234375,0.042236328125,0.053955078125,0.0205078125,0.05908203125,-0.0009689331054687,0.734375,-0.033203125,0.022705078125,-0.021484375,0.1337890625,0.1025390625,0.027099609375,-0.03369140625,0.00726318359375,-0.0419921875,0.06640625
2,0.3984375,0.11572265625,0.056640625,0.0299072265625,0.271484375,0.1796875,-0.00604248046875,0.0234375,0.04541015625,0.00616455078125,-0.0133056640625,0.146484375,0.00823974609375,-0.0272216796875,-0.0008888244628906,-0.003570556640625,0.0018692016601562,0.00213623046875,0.0093994140625,-0.00421142578125,0.0257568359375,0.2080078125,0.07177734375,0.083984375,0.10009765625,0.056884765625,0.0191650390625,-0.0281982421875,0.2080078125,0.048095703125,0.040771484375,0.06201171875,0.020751953125,0.0201416015625,-0.04345703125,0.271484375,0.18359375,0.1796875,0.07275390625,0.023193359375
3,0.039794921875,0.049072265625,-0.06103515625,0.1796875,0.01458740234375,0.0732421875,-0.0830078125,0.025634765625,0.014404296875,-0.04541015625,0.337890625,0.1455078125,0.232421875,0.07958984375,0.1943359375,0.059814453125,0.0240478515625,0.05126953125,-0.0400390625,0.04638671875,0.10888671875,0.10107421875,0.09326171875,0.1552734375,0.2373046875,0.1416015625,0.1123046875,0.052001953125,0.10205078125,0.06884765625,0.0169677734375,0.057373046875,0.01025390625,0.0654296875,0.057861328125,-0.02294921875,0.03515625,0.06787109375,0.03955078125,-0.80078125
4,0.1982421875,-0.228515625,0.0556640625,0.00689697265625,0.1865234375,0.11328125,-0.041015625,0.2236328125,0.052490234375,0.1591796875,0.050048828125,0.123046875,0.1123046875,0.07080078125,-0.01507568359375,0.2265625,0.07861328125,0.1826171875,0.0693359375,-0.1923828125,0.04248046875,0.208984375,0.064453125,0.08056640625,0.1728515625,0.0673828125,0.002777099609375,0.03564453125,0.04736328125,0.0361328125,0.1962890625,-0.07763671875,0.07861328125,0.00457763671875,0.03564453125,0.007659912109375,0.012451171875,0.00384521484375,0.0201416015625,0.0213623046875
5,0.12158203125,-0.125,-0.1982421875,-0.01031494140625,0.0263671875,-0.0020904541015625,0.0008811950683593,0.048095703125,0.0008773803710937,0.01165771484375,0.00201416015625,-0.0001907348632812,0.0027313232421875,0.00286865234375,-0.001007080078125,-0.0023345947265625,0.002349853515625,-0.012451171875,-0.064453125,-0.004486083984375,0.017333984375,0.0002346038818359,-0.0010299682617187,0.0019683837890625,-0.0030975341796875,-0.30859375,0.024169921875,0.00921630859375,-0.0011978149414062,0.01080322265625,0.004669189453125,0.018798828125,0.001983642578125,0.0026702880859375,-0.01055908203125,0.0068359375,0.047119140625,0.0045166015625,-0.061767578125,-0.00628662109375
6,-0.04638671875,0.1123046875,-0.0196533203125,-0.00872802734375,0.07373046875,0.275390625,-0.1298828125,-0.220703125,-1.6796875,0.1328125,0.017578125,0.06689453125,0.001190185546875,0.021728515625,0.0189208984375,-0.0294189453125,-0.055908203125,-0.0140380859375,0.01287841796875,-0.013671875,0.00567626953125,-0.0146484375,0.0010757446289062,-0.002166748046875,0.01123046875,-0.005157470703125,-0.022705078125,-0.0260009765625,-0.015625,0.0020751953125,-0.005035400390625,0.021240234375,-0.06298828125,-0.0003395080566406,-0.0093994140625,0.09619140625,0.02783203125,0.0047607421875,-0.004180908203125,-0.010009765625
7,-0.004150390625,0.012451171875,0.0012359619140625,0.017333984375,0.0107421875,0.0123291015625,-0.10205078125,-0.012451171875,-0.0634765625,0.002197265625,-0.0069580078125,-0.0322265625,0.0016021728515625,-0.0009422302246093,-0.0361328125,0.00726318359375,0.01318359375,-0.00726318359375,0.060546875,-0.0213623046875,-0.0096435546875,0.007568359375,-0.00408935546875,0.0213623046875,0.006622314453125,0.022216796875,0.0016326904296875,0.0072021484375,0.0013275146484375,0.0016555786132812,0.005096435546875,0.0059814453125,0.0,-0.40234375,0.255859375,0.07373046875,-0.07177734375,0.00909423828125,0.10302734375,-0.2216796875
8,-6.375,0.2578125,-0.11572265625,-0.017822265625,0.1396484375,-0.11328125,0.02392578125,-0.015869140625,-0.0166015625,0.004669189453125,0.07568359375,-0.06201171875,-0.16796875,-0.01904296875,-0.0986328125,-0.00628662109375,-0.0135498046875,-0.0279541015625,0.00933837890625,0.0015182495117187,-0.0166015625,-0.0059814453125,-0.004241943359375,-0.0026092529296875,-0.004119873046875,0.002838134765625,0.056640625,0.018798828125,0.0031280517578125,0.0011825561523437,-0.00213623046875,-0.001007080078125,-0.05126953125,-0.0016937255859375,-0.023193359375,-0.00994873046875,-0.01806640625,0.0014724731445312,-0.06396484375,-0.009033203125
9,-0.1611328125,-0.06591796875,-0.0027618408203125,0.033935546875,-0.189453125,-0.039306640625,-0.01806640625,0.00836181640625,-0.003021240234375,-0.0283203125,0.032470703125,-0.11865234375,-0.1318359375,0.0400390625,0.056884765625,0.003387451171875,-0.0035400390625,0.111328125,0.015625,-0.0111083984375,-0.00372314453125,-0.01190185546875,0.052978515625,-0.02392578125,-0.0015487670898437,-0.0018997192382812,0.004852294921875,-9.202957153320312e-05,0.00286865234375,-0.0125732421875,-0.017822265625,-0.0189208984375,-0.0654296875,0.041748046875,-0.0166015625,-0.00469970703125,0.00543212890625,-0.00823974609375,-0.021484375,-0.025390625
10,0.004669189453125,-0.0004081726074218,-0.0030059814453125,-0.0023345947265625,-0.0017929077148437,0.00482177734375,-0.019775390625,-0.0159912109375,-0.0225830078125,-0.00927734375,-0.00909423828125,-0.28125,-0.10302734375,-0.041015625,0.005096435546875,-0.140625,-0.0016632080078125,-0.03955078125,0.002227783203125,0.0024261474609375,-0.0086669921875,-0.049072265625,-0.0084228515625,0.00579833984375,-0.003997802734375,-0.007110595703125,-0.03125,-0.0052490234375,-0.0286865234375,0.00848388671875,0.0034942626953125,-0.0030364990234375,0.00665283203125,0.007293701171875,-0.003936767578125,0.03466796875,-0.0091552734375,-0.2080078125,-0.026611328125,-0.0301513671875
11,-0.0030364990234375,0.0106201171875,-0.006072998046875,0.001739501953125,-0.0011138916015625,0.02001953125,-0.0011138916015625,6.031990051269531e-05,-0.00958251953125,-0.1142578125,-0.009765625,-0.0002250671386718,0.0068359375,-0.0035858154296875,0.0135498046875,0.049072265625,0.0011825561523437,0.0084228515625,-0.000579833984375,0.00970458984375,-0.03662109375,-0.1630859375,0.0004138946533203,-0.035888671875,-0.0283203125,-9.34600830078125e-05,-0.0014572143554687,0.0016860961914062,-0.01904296875,0.13671875,-0.037353515625,-0.01019287109375,-0.0019989013671875,0.0263671875,-0.00909423828125,-0.06884765625,0.01507568359375,-0.0308837890625,0.02880859375,-0.030517578125
12,-0.00811767578125,-0.03173828125,-0.263671875,-0.061279296875,-0.455078125,-0.01806640625,0.0019454956054687,-0.0018844604492187,-0.029541015625,0.06640625,-0.0172119140625,-0.005157470703125,0.0062255859375,-0.04931640625,-0.00799560546875,-0.07666015625,-0.0390625,-0.0208740234375,-0.00872802734375,-0.014404296875,-0.059326171875,-0.050048828125,-0.1591796875,0.0791015625,-0.09228515625,0.0140380859375,0.00946044921875,-0.05419921875,0.018798828125,0.00860595703125,-0.006256103515625,-0.033203125,-0.033447265625,-0.0546875,0.0308837890625,-2.484375,-0.921875,-0.00262451171875,-0.921875,-0.03173828125
13,0.0167236328125,-0.1279296875,0.003570556640625,0.0262451171875,0.0017776489257812,-0.000187873840332,-0.0035858154296875,-0.0361328125,-0.0016632080078125,-0.0042724609375,-0.0022735595703125,-0.0023956298828125,0.0019149780273437,-0.004302978515625,-0.00286865234375,-0.005096435546875,-0.193359375,-0.0274658203125,-0.052978515625,-0.28515625,-0.00933837890625,-0.007720947265625,-0.0036468505859375,-0.0498046875,-0.006195068359375,-1.8203125,-0.283203125,-5.173683166503906e-05,-1.6640625,-0.00762939453125,-0.049560546875,-0.08251953125,0.002838134765625,-0.1572265625,-0.04248046875,-0.373046875,-4.65625,-0.0224609375,-0.8125,-0.8359375
14,-0.006195068359375,-0.0006523132324218,-0.00360107421875,-0.010498046875,-0.0093994140625,-0.005859375,-0.002044677734375,-0.052734375,-0.2119140625,-0.06640625,-0.0703125,-0.07275390625,0.0142822265625,-0.01220703125,-0.02734375,0.0113525390625,0.00811767578125,-0.0017852783203125,-0.004241943359375,-0.0267333984375,-0.0169677734375,-0.00860595703125,-0.0458984375,-0.150390625,-0.05810546875,-0.03515625,0.0,0.08251953125,-0.0003547668457031,-0.0400390625,0.00787353515625,-0.2734375,0.03662109375,-0.1142578125,-0.0693359375,0.0006942749023437,-1.578125,-0.0537109375,0.21875,0.0035400390625
15,0.01251220703125,-0.0286865234375,-0.01483154296875,-0.023681640625,-0.0810546875,-0.009033203125,-0.03076171875,0.00860595703125,-0.04736328125,-0.001434326171875,-0.0017547607421875,-0.023193359375,-0.01226806640625,-0.00732421875,0.006256103515625,-0.06201171875,-0.029052734375,-0.02001953125,-0.041748046875,0.03466796875,-0.21875,-0.07373046875,-0.0537109375,-0.0014495849609375,-0.005767822265625,-0.004241943359375,-0.0037994384765625,0.0125732421875,-0.0537109375,-0.0166015625,-0.515625,-0.0732421875,0.0908203125,-0.59765625,-0.0198974609375,0.007080078125,-2.8125,0.0036773681640625,-1.65625,0.0006866455078125
16,-0.0019149780273437,-0.0137939453125,-0.0003681182861328,-0.004119873046875,0.006591796875,-0.01318359375,0.00518798828125,-0.006744384765625,-0.09326171875,0.0048828125,-0.005096435546875,-0.039794921875,0.0264892578125,0.0244140625,-0.0037078857421875,-0.04052734375,-0.1611328125,0.0004138946533203,0.1962890625,0.0771484375,-0.00946044921875,-0.020751953125,1.0703125,-0.1162109375,-2.46875,-0.002716064453125,-0.021728515625,-0.029296875,-5.1021575927734375e-05,-0.006591796875,-0.00433349609375,0.0005226135253906,-1.4066696166992188e-05,-0.0016708374023437,0.007537841796875,-0.064453125,0.11865234375,-0.01116943359375,-0.07666015625,-0.059814453125
17,-0.0010910034179687,-0.0030975341796875,-0.0027618408203125,8.630752563476562e-05,0.001373291015625,-0.0007362365722656,-0.009033203125,-0.01361083984375,-0.0169677734375,-0.0001964569091796,-0.04638671875,-0.1259765625,-0.1513671875,-0.01043701171875,-0.005615234375,0.001953125,-3.314018249511719e-05,-0.003509521484375,-0.0031280517578125,-0.00970458984375,0.0005645751953125,-0.00970458984375,-0.017578125,0.06103515625,-0.005096435546875,-0.000187873840332,-0.003143310546875,-0.01171875,0.035400390625,-0.0257568359375,0.10693359375,-0.0031890869140625,-0.0341796875,0.0157470703125,-0.00469970703125,0.2490234375,-0.22265625,0.0005455017089843,-0.91796875,-0.01007080078125
18,-0.00067138671875,-0.01275634765625,-0.0247802734375,0.001190185546875,-0.0123291015625,0.004608154296875,-0.031005859375,0.002349853515625,-0.006683349609375,-0.003021240234375,-0.038330078125,-0.04931640625,-0.1904296875,-0.0001602172851562,-0.0008392333984375,-0.0008010864257812,-0.002838134765625,-0.004302978515625,-0.007476806640625,-0.0016250610351562,-0.047119140625,0.09814453125,-0.09375,-0.01513671875,-0.020751953125,0.1416015625,-0.014404296875,-0.140625,0.029296875,0.00823974609375,0.0014190673828125,0.0018081665039062,-0.0018539428710937,-0.038818359375,-0.0015106201171875,-0.01287841796875,0.072265625,-0.038818359375,0.10888671875,1.203125
19,0.04443359375,0.01373291015625,-0.0004787445068359,0.00299072265625,-6.961822509765625e-05,0.0751953125,-0.0277099609375,0.032470703125,0.01806640625,-0.046875,0.006805419921875,-0.0013427734375,-0.0419921875,-0.039306640625,-0.0007095336914062,0.0004787445068359,1.341104507446289e-05,-0.005157470703125,-0.0020294189453125,0.006622314453125,-0.05908203125,-0.6328125,-0.016357421875,-0.314453125,-0.00140380859375,-0.02880859375,-0.00738525390625,-0.01318359375,0.004791259765625,-0.302734375,-0.00775146484375,-0.010986328125,0.005218505859375,-0.00433349609375,-0.0107421875,-0.2177734375,-0.010009765625,-0.006683349609375,0.091796875,-0.06005859375
20,-0.058837890625,-0.00518798828125,-0.0008468627929687,-0.016357421875,-0.019775390625,0.00274658203125,0.059814453125,-0.1240234375,0.00933837890625,-0.05126953125,-0.00189208984375,-0.006439208984375,-0.0028839111328125,-0.0010986328125,-0.0009918212890625,-0.00634765625,-2.3125,-0.396484375,-1.1875,-0.03271484375,-2.5,-0.0283203125,-0.62109375,-6.15625,-0.0189208984375,0.0213623046875,-0.080078125,-0.0007553100585937,-0.0478515625,0.0184326171875,2.5510787963867188e-05,-0.203125,0.01019287109375,-0.41796875,0.0013046264648437,-0.09619140625,-0.1357421875,-0.2177734375,-0.0005645751953125,-0.002471923828125
