layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.0008544921875,0.009613037109375,-0.0440521240234375,-0.0950927734375,-0.076171875,-0.531005859375,-0.01666259765625,-0.57080078125,-0.0596923828125,-0.58984375,0.01025390625,0.0271186828613281,-0.0986328125,-0.00028324127197264996,0.00103759765625,-0.2958984375,-0.105712890625,-0.0471954345703125,-0.297119140625,-0.10498046875,-0.079345703125,-0.013916015625,-0.122314453125,-0.103271484375,-0.1050567626953125,-0.0966796875,-0.333984375,0.0079345703125,-0.06640625,-0.00792694091796875,-0.30224609375,-0.32421875,-0.33447265625,-0.20068359375,-0.25634765625,-0.175537109375,-0.21337890625,-0.24365234375,-0.015533447265625,-0.10498046875
1,0.00208282470703125,-0.041015625,-0.04388427734375,-0.1298828125,-0.16845703125,-0.025421142578125,-0.09832763671875,-0.732421875,0.0030591487884521484,-0.677734375,0.0472412109375,-0.069976806640625,-0.1640625,-0.072265625,-0.64306640625,-0.003173828125,-0.173828125,-1.107421875,0.0643310546875,-0.22412109375,-0.0408935546875,-0.074951171875,0.0364990234375,-0.1365966796875,0.006591796875,0.02459716796875,0.052978515625,-0.639892578125,0.0015268325805664,-1.10546875,0.049072265625,-0.01318359375,0.068603515625,-0.134033203125,-0.0859375,0.042144775390625,0.0718994140625,0.037353515625,0.027313232421875,-0.00994873046875
2,-0.4541015625,-0.244140625,-0.04315185546875,0.0042724609375,-0.7880859375,-0.15087890625,0.00933837890625,0.0018310546875,-0.017791748046875,0.012939453125,-0.459716796875,-0.1416015625,-0.0240135192871094,0.045196533203125,-0.00110816955566405,0.0079345703125,-0.01381874084472655,0.06561279296875,-0.5853424072265625,0.01872444152832035,-0.68450927734375,-0.185546875,-0.3065185546875,0.00557708740234375,-0.1107177734375,-0.00616455078125,-0.06005859375,0.0609130859375,-0.20361328125,-0.175048828125,-0.087158203125,-0.052001953125,0.05645751953125,-0.01934814453125,0.063720703125,-0.5263671875,-0.361328125,-0.057373046875,-0.88720703125,-0.110107421875
3,-0.651611328125,-0.099365234375,0.096923828125,-0.50244140625,-0.4326171875,-0.179168701171875,0.1591796875,-0.19775390625,-0.09228515625,-0.03662109375,-0.9072265625,-0.31689453125,-0.67041015625,-0.490234375,-0.7744140625,-0.2708892822265625,-0.015411376953125,-0.1061248779296875,0.03155517578125,-0.2139892578125,-0.141845703125,-0.068115234375,-0.087646484375,-0.0987548828125,-0.08447265625,-0.0731201171875,-0.1746826171875,-0.236083984375,-0.087158203125,-0.0977783203125,-0.313446044921875,-0.173828125,-0.0355224609375,-0.218994140625,-0.1153564453125,-0.0751953125,-0.062744140625,-0.223388671875,-0.076904296875,0.798828125
4,-0.955078125,0.2060546875,-0.008056640625,-0.0711669921875,-0.33544921875,-0.16845703125,0.0048828125,-0.32080078125,-0.1533203125,-0.26416015625,0.019287109375,-0.0474853515625,-0.12353515625,-0.036376953125,0.086669921875,-0.214111328125,-0.426513671875,-0.43603515625,0.01629638671875,0.1109619140625,-0.0401611328125,-0.2099609375,-0.1407470703125,-0.11968994140625,-0.18994140625,-0.0745849609375,-0.090789794921875,-0.0548095703125,-0.12908935546875,-0.176025390625,-0.58544921875,-0.00048828125,-0.768310546875,-0.12628173828125,-0.1129150390625,-0.06982421875,-0.064910888671875,-0.0767669677734375,-0.11328125,-0.0758056640625
5,-0.0609588623046875,0.2344207763671875,0.18408203125,0.012176513671875,-0.0174102783203125,-0.0107421875,0.0055694580078125,-0.01116943359375,-0.00513458251953125,-0.00378608703613285,-0.04132461547851565,-0.00026750564575192813,-0.0174427032470703,-0.0164794921875,-0.0020006895065307617,0.00518798828125,0.02532958984375,0.02392578125,0.0662841796875,0.0308837890625,-0.0399169921875,0.00160980224609375,-0.031158447265625,-0.0192909240722656,-0.00976181030273435,0.3681640625,-0.048065185546875,-0.03189849853515625,-0.00057029724121095,-0.02783203125,-0.00369739532470705,-0.054901123046875,-0.00722885131835935,-0.01377105712890625,-0.001556396484375,-0.05033135414123535,-0.1346435546875,-0.019683837890625,0.0517578125,0.00164794921875
6,0.094482421875,0.0791015625,0.03955078125,0.0085906982421875,-0.0714111328125,-0.2841796875,0.135009765625,0.2099609375,2.125,-0.107666015625,-0.0290679931640625,-0.01629638671875,-0.0090327262878418,0.006561279296875,0.01995849609375,-0.02191162109375,0.017852783203125,0.005645751953125,-0.016204833984375,0.01275634765625,-0.0255126953125,0.00396728515625,0.0189208984375,-0.0160675048828125,-0.00738525390625,-0.00238037109375,0.035736083984375,0.0440673828125,0.021484375,0.00136566162109375,0.0042896270751953,-0.04541015625,0.06884765625,-0.0009212493896484501,0.02130126953125,-0.103515625,-0.111083984375,-0.028350830078125,0.01861572265625,0.0167236328125
7,0.009521484375,-0.00482177734375,0.00238800048828125,0.0159912109375,-0.00565338134765625,0.022979736328125,0.22900390625,0.01629638671875,0.0711669921875,0.0078277587890625,0.01171875,-0.00457763671875,0.018768310546875,0.0013160705566406,0.0450439453125,0.01123046875,-6.103515625e-05,0.0296630859375,-0.0217742919921875,0.036376953125,0.04345703125,0.051513671875,0.0050048828125,-0.0233612060546875,0.0102996826171875,-0.023529052734375,0.0005340576171875,0.01043701171875,-0.00154018402099605,0.0037841796875,0.0024871826171875,0.029541015625,0.0005645751953125,0.1019287109375,-0.18798828125,-0.126708984375,0.151611328125,0.03057861328125,-0.0308837890625,0.2470703125
8,6.53125,-0.19287109375,0.004638671875,0.0172119140625,-0.141845703125,0.1171875,-0.0130767822265625,0.00984954833984375,0.0068359375,0.002838134765625,-0.0567626953125,0.0377197265625,0.1046142578125,0.0389404296875,-0.0224761962890625,0.0023956298828125,0.00672149658203125,-0.01470947265625,-0.01025009155273435,-0.02508544921875,0.010040283203125,0.00024986267089845,0.0025234222412109,0.00123119354248045,0.00098419189453125,-0.00925445556640625,-0.015899658203125,0.01817703247070315,0.0008544921875,-0.0040740966796875,0.001495361328125,0.000986099243164,0.0589599609375,0.0016899108886718498,-0.1043701171875,0.00311279296875,0.024627685546875,0.0009164810180664,0.083251953125,0.01432037353515625
9,0.1185302734375,0.0584716796875,0.0211181640625,-0.04388427734375,0.27783203125,-0.0579833984375,-0.011260986328125,-0.042236328125,-0.01715087890625,-0.06997203826904295,0.033935546875,0.107666015625,0.0191650390625,-0.0587158203125,-0.0516357421875,-0.29742431640625,-0.00335311889648435,-0.119140625,-0.02703857421875,-0.00506210327148435,0.00104522705078125,-0.003387451171875,-0.04248046875,0.017364501953125,0.020751953125,-0.0039520263671875,-0.02496337890625,0.002197265625,-0.002197265625,0.0077972412109375,0.0011425018310547,0.00580596923828125,0.017425537109375,-0.0169677734375,0.00347900390625,-0.0218963623046875,-0.0051422119140625,-0.01312255859375,0.0118560791015625,0.009521484375
