layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,-0.009167830149332682,0.006220499674479167,0.03850894504123264,0.038492838541666664,0.029395924674140088,0.17884657118055555,0.018143971761067704,0.17081705729166666,0.001708984375,0.1928439670138889,-0.019587198893229168,-0.003460778130425345,0.030354817708333332,0.0652173360188802,-0.017929924858940974,0.1498480902777778,0.06685384114583333,0.043694390190972224,0.15772840711805555,0.05961778428819445,0.022451612684461806,0.014892154269748261,0.018319447835286454,0.026234096950954862,0.03434922960069445,0.018139309353298612,0.11336263020833333,0.004007127549913194,0.0056610107421875,0.0014341142442491277,0.10101996527777778,0.062184651692708336,0.08116319444444445,0.08558485243055555,0.09722222222222222,0.04464382595486111,0.10435655381944445,0.07069227430555555,0.0019101036919487889,0.029938591851128474
1,-0.003022511800130211,0.013224283854166666,0.009166293674045138,0.04958767361111111,0.06464301215277778,-0.000989913940429689,0.033089531792534724,0.2838406032986111,-0.0010108417934841557,0.2357855902777778,-0.017740037706163194,0.014452616373697916,0.053290473090277776,0.033409966362847224,0.3008083767361111,0.001056247287326389,0.057210286458333336,0.5718315972222222,-0.03367784288194445,0.08350965711805555,-0.02478790283203125,0.023594326443142362,-0.05621894200642904,0.0441131591796875,0.0036824544270833335,-0.008843315972222222,-0.028443230523003474,0.3511555989583333,-0.0018678241305881,0.4751519097222222,-0.012941148546006944,-0.0006527370876736111,-0.027581108940972224,0.05219395955403646,0.037241617838541664,-0.012039608425564233,-0.025722927517361112,-0.007283528645833333,-0.007088131374782983,0.021509806315104168
2,0.15836588541666666,0.08867730034722222,0.023150549994574655,0.003594292534722222,0.3400065104166667,0.026685926649305556,-0.000988430447048611,-0.008138868543836806,0.010138617621527778,0.0026957194010416665,0.03737089369032118,0.07255723741319445,0.007156583997938367,-0.04927688174777561,-0.00077184041341145,-0.031500922309027776,0.002050187852647572,-0.05704074435763889,0.4744839138454861,-0.01414140065511069,0.3471086290147569,0.09947374131944445,0.14210340711805555,0.007466634114583333,0.02020645141601563,-0.004425472683376733,-0.008677164713541666,-0.0260009765625,0.0794949001736111,0.07191297743055555,0.04042222764756945,0.007992214626736112,-0.03941684299045139,0.00885009765625,-0.019666883680555556,0.19862196180555555,0.13899739583333334,0.012765672471788194,0.4037543402777778,0.03865220811631945
3,0.22878011067708334,0.020968967013888888,-0.03184678819444445,0.1928439670138889,0.14512464735243055,0.051352606879340276,0.004378424750434028,0.07807074652777778,0.024851481119791668,0.0215911865234375,0.4410807291666667,0.08232964409722222,0.23974609375,0.24641927083333334,0.3028428819444444,0.08487955729166667,-0.003296958075629345,0.0281829833984375,-0.01238250732421875,0.09046088324652778,0.030219184027777776,0.0256752438015408,0.04226345486111111,0.05841403537326389,0.017342461480034724,0.0778927273220486,0.08067491319444445,0.07164171006944445,0.026156955295138888,0.03929901123046875,0.0866122775607639,0.07485792371961805,0.03412967258029514,0.061577690972222224,0.033284505208333336,-0.001285129123263889,-0.0008426242404513889,0.0730929904513889,0.017601860894097224,-0.009273952907986112
4,0.2785915798611111,-0.054144965277777776,-0.005963643391927083,0.020140753851996526,0.09130011664496528,0.043204413519965276,0.011300828721788194,0.0906032986111111,0.04275851779513889,0.0751953125,0.009470621744791666,-0.008439805772569444,0.07172309027777778,-0.009412977430555556,-0.048014322916666664,0.06717936197916667,0.1062350802951389,0.21728515625,-0.040053473578559026,-0.06538899739583333,-0.0015250311957465278,0.052680121527777776,0.04982100592719184,0.03941514756944445,0.05140516493055555,0.023200141059027776,0.049285040961371526,0.02200614081488715,0.042137993706597224,0.0751953125,0.1383599175347222,0.00038697984483507253,0.2185736762152778,0.0666164822048611,0.012773301866319444,0.025839911566840276,0.020330641004774306,0.03799268934461805,0.06833563910590278,0.024427625868055556
5,0.019938151041666668,0.009993341233995217,-0.010958353678385416,-0.0001583099365234222,0.0032823350694444445,-0.0013487074110243055,-0.0007359186808268295,0.01311620076497396,0.0005175272623697944,-0.0019324090745713998,0.03958299424913195,-0.0006232261657715222,0.0039038658142089835,0.0032196044921875,0.00022469626532661564,-0.0021421644422743055,-0.012324015299479161,-0.009847005208333334,-0.034003363715277776,-0.013264973958333334,0.0063896179199218785,0.0009408526950412334,0.019287109375,0.010949452718098955,0.002707587348090278,-0.08072916666666667,0.022128634982638888,-0.005375332302517361,-0.0017193688286675334,0.013012356228298612,-0.00021129184299045005,0.02471033732096354,0.008872350056966148,0.003142462836371528,-0.006354437934027778,0.02820587158203125,0.043416341145833336,0.008656819661458334,-0.04533555772569445,0.0008294582366943312
6,-0.04139539930555555,-0.0889892578125,-0.026860555013020832,-0.009351942274305556,0.04250759548611111,0.1314019097222222,-0.036933051215277776,-0.19444444444444445,-0.049872504340277776,0.006802029079861111,0.010084364149305556,0.027695549858940974,0.0054647657606336835,-0.004190233018663194,0.015743679470486112,-0.00337982177734375,-0.021443684895833332,-0.006212022569444444,0.005499098036024311,-0.0025634765625,0.012293921576605906,0.010861714680989584,-0.003050910101996528,-0.0021578470865885446,0.011962890625,0.0014822218153211833,-0.028242323133680556,-0.013203938802083334,-0.008293999565972222,-0.0020398563808865003,-0.0010663138495551224,0.009090847439236112,-0.049750434027777776,0.0013262430826822833,-0.008193122016059028,0.018468221028645832,0.031794230143229164,0.009206983778211806,-0.010586208767361112,-0.013319227430555556
7,-0.0019005669487847222,0.0034612019856770835,-0.00021659003363715,0.006969875759548611,-0.0014612144894070082,-0.02020263671875,-0.025132921006944444,-0.004327350192599822,-0.029771592881944444,-0.010213216145833334,-0.00876490275065104,0.007120768229166667,-0.019724527994791668,-0.0014064576890733533,-0.009156968858506944,0.0021269056532118055,-0.0014046563042534722,-0.010857476128472222,0.006099277072482639,-0.008198208279079862,-0.017683241102430556,-0.016828748914930556,-0.002712673611111111,0.0009621514214409722,-0.004695044623480906,0.0151824951171875,0.0040211147732204895,-0.0008170339796278166,0.000963370005289711,-0.0017778608534071223,-0.0024861494700113666,-0.015301598442925344,0.07002088758680555,0.3858744303385417,0.029752943250868056,0.0565185546875,-0.0630832248263889,-0.007922490437825523,-0.010904524061414934,-0.10295952690972222
8,0.002234988742404522,0.04925537109375,0.02823617723253038,-0.0014426973130967778,0.0377655029296875,-0.040771484375,0.004340277777777778,-0.009492662217881944,-0.006412982940673822,-0.0006965001424153667,0.009906344943576388,-0.033867730034722224,-0.05066257052951389,-0.012247933281792533,-0.05413818359375,-0.0022135840521918387,0.0017573038736979167,-0.0015174018012152778,0.001449796888563361,0.007350497775607639,-0.0009451972113715278,0.00048494338989257785,-0.0006253984239366333,-0.0024764802720811554,-0.0007305675082736555,0.008757485283745666,0.0067363315158420105,-0.001976860894097222,-0.0019729137420654245,0.0023609797159830723,-0.0007561577690972222,-6.799399852752321e-05,-0.0021050771077473942,-6.99692302279872e-05,-0.00027677747938367774,-0.0023876825968424473,-0.00265206231011285,-0.0010863410101996502,-0.023206922743055556,0.0008110470241970444
9,-0.005864461263020833,-0.016808403862847224,-0.0007882648044162334,0.017917209201388888,0.021157158745659724,0.019950018988715276,0.005551656087239583,0.0062110688951280335,0.009667899873521592,0.0479424794514974,0.008541531032986112,-0.021358913845486112,-0.010739644368489584,0.013149685329861112,0.017103407118055556,0.05412642161051432,0.0002983940972222166,0.07647026909722222,0.018744574652777776,0.0008485582139756945,0.0015059577094184056,0.0021934509277343724,0.010158962673611112,0.010852389865451388,0.002072943581475149,-0.0004454718695746501,0.004306369357638889,-0.0011653900146484332,0.0036876334084404837,-0.0012037489149305555,-0.006861368815104167,-0.007337782118055556,-0.004102918836805556,0.004048665364583333,-0.0120697021484375,0.005828857421875,0.010643853081597222,0.009700457255045567,-0.0023362901475694445,-0.020208570692274306
