layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,-0.0015583038330078101,0.0007041215896606217,0.004715490341186518,-5.831446436843634e-15,-0.001700687408447265,0.0002011299133300556,0.0009104251861572066,0.0013063192367553651,0.01128883361816406,0.003984451293945315,-4.7408044338226315e-06,0.005083847045898435,0.0101318359375,-0.000938987731933595,-0.0017007827758789,-0.1623047011438757,0.011329841613769535,0.000986528396606445,-0.011891365051269535,0.009124946594238285,0.009136044979095462,-0.004137992858886715,0.009319305419921875,-0.003505897521972656,-0.003721427917480465,-0.0011176109313964754,-0.003417786955833444,-0.0016080081462860022
1,6.517022848129273e-06,-0.04497528076171875,-0.00035228729248046504,-2.388656139373873e-05,0.00203428268432616,2.313554286956084e-05,-0.014286994934082031,0.01907806396484375,0.019439697265625,-0.012194061279296875,0.01023273468017578,0.008552169799804684,0.013689422607421875,0.014427757263183594,0.002909755706787103,0.0026705503463745096,0.0415679931640625,-0.0016735807061195398,0.02536354064941406,0.016434478759765624,0.112945556640625,-0.0307525634765625,-0.01034660339355469,0.003013730049133298,0.011830753087997439,0.002631783485412593,-0.052618408203125,0.00412898063659668
2,-0.014442443847656245,-0.04415054321289062,-0.024843835830688478,-0.027450942993164064,-0.069891357421875,-0.026390838623046874,-0.061661291122436526,-0.034089279174804685,-0.04335098266601563,-0.015651321411132815,-0.024840354919433587,-0.043180084228515624,-0.02978124618530273,-0.032930755615234376,-0.021215057373046874,0.0006736755371093701,-0.00507445335388184,-0.034674072265625,-0.009483718872070305,-0.03271751403808594,-0.082855224609375,-0.014307212829589841,-0.01966400146484375,-0.01558837890625,-0.05562744140625,-0.008418226242065424,-0.023822021484375,-0.007198047637939464
3,-0.007191610336303715,-0.00624117851257324,-0.0261566162109375,-0.02735748291015625,-0.023177337646484376,-0.01625404357910156,-0.027126502990722657,0.0016895771026611349,-0.2669921875,0.0008453011512756211,0.0004148364067077559,0.007641983032226565,0.00711803436279297,0.0042083740234375,-0.07030029296875,-0.001726412773132335,-0.0305419921875,-0.019103240966796876,-0.026885223388671876,0.00524654388427734,-0.0010354429483413797,-0.024828147888183588,-0.015540230274200434,-0.011726379394531245,-0.008702301979064936,-0.0032315403223037694,-0.0107471466064453,-0.01052565574645995
4,-0.0148712158203125,-0.00457892417907715,-0.0054370880126953045,-0.0054443359375,-0.00481491088867187,-0.009665679931640626,-0.007476806640625,-0.000399470329284635,-0.0459869384765625,-0.151904296875,-0.007925033569335941,-0.0006991147994994892,-4.814378917216786e-05,-0.013552093505859375,-0.0008149504661559785,-0.0474609375,-0.00677313804626464,-0.017132568359375,-0.0006570205092429858,-0.00177142620086667,-0.0005142211914062369,-0.00183482170104982,-0.0007275223731994572,-0.000599002838134785,-0.005758094787597655,-0.0038520276546478243,-0.004587268829345695,0.000619429349899287
5,0.00933837890625,-0.00026112794876101023,0.0002306252717971608,-0.0021262347698211845,0.00011024475097655486,0.266943359375,0.02957763671875,-0.0180084228515625,-0.01922149658203125,-0.00899658203125,-0.010018157958984374,-0.00800018310546875,-0.02384033203125,-0.006838035583496089,-0.00817489624023437,-0.029119873046875,-0.007865142822265626,-0.01537933349609375,-0.042437744140625,-0.377490234375,-0.00546875,0.00335748195648193,-0.0033877491950988587,-0.0010431766510009685,-0.01330718994140625,-0.000657060742378222,-0.0025385856628417696,-0.00013444870710371083
6,0.001268386840820285,0.0003398746252059574,4.4624879956237764e-05,0.0009265795350074577,0.0004743739962577482,0.0011811256408691298,-0.00011103153228760423,0.0016748428344726452,0.001250934600830075,0.019103240966796876,0.020025634765625,-0.0317657470703125,-0.00592021942138672,-0.01483154296875,-0.0038761138916015548,-0.003556776046752922,-0.0038802027702331356,-0.002822202444076542,-0.06068115234375,-0.0007998645305633573,-0.00101165771484378,-0.007303917407989481,-0.019562053680419918,-0.016045379638671874,-0.002538820356130597,-0.007836902141571036,-0.006593266129493694,-0.0013437524437904236
7,0.0014671117067336812,0.012628173828124995,0.001943302154541015,0.0010109782218932959,0.0008464753627776903,7.158666849135556e-05,-0.016160202026367185,0.0015012741088867149,-0.008305549621582026,-0.01376895904541015,-0.02219963073730469,-0.011626410484313957,-0.008246946334838851,-0.011190670728683466,-0.0019239664077758726,-0.00102086067199707,-0.011681365966796874,-0.00503082275390625,-0.0224273681640625,-0.0008304595947265699,-0.012857818603515625,-0.00251345634460449,0.017022705078125,0.004568767547607415,0.00396556854248047,-0.00019068717956543472,-0.01528778076171875,-0.0036404997110366785
8,-0.02161712646484375,-0.0007216453552246,-0.004063606262207035,-0.0021824836730957053,-0.00562353134155274,-0.014882659912109375,-0.0038863897323608287,0.07606201171875,0.03066864013671875,0.12291030883789063,0.016411590576171874,0.004114270210266105,0.24443817138671875,0.0006901264190673785,0.0005295276641845275,0.00348310470581054,0.003291606903076165,0.0010339379310607766,0.00444335937499999,0.0021066665649413898,0.00041267871856684213,-0.0008197098970413383,-0.30928497314453124,-0.3403564453125,-0.22984237670898439,0.043739700317382814,0.077606201171875,-1.933984375
9,0.0006257772445678793,0.004660224914550775,0.02162666320800781,0.00690193176269531,0.01774806976318359,0.00027650594711303337,0.06660614013671876,-0.00950775146484375,0.0661712646484375,0.002007102966308595,0.006431961059570316,-0.11241607666015625,-0.0005851745605468822,0.001285552978515625,-0.00040388107299805,-0.0131988525390625,-0.00057525634765625,-0.00746784210205078,-0.00492935180664062,-0.005749988555908204,-0.002828311920166,0.011579263210296632,0.02602386474609375,0.11528778076171875,0.0168111801147461,0.153857421875,0.057216548919677736,-0.0010176032781600993
10,0.004274618625640866,-0.010541963577270509,-0.023934268951416017,0.006491279602050778,0.0029860496520995984,0.0006940707564353677,-0.007954931259155276,0.012907600402832032,0.006041622161865224,0.043180763721466064,0.0016928590834140716,0.0061309814453125,0.001999652385711655,0.015223121643066401,-0.0005529522895813138,-0.00271010398864746,0.0007609546184539735,0.001298308372497536,0.0015592336654662877,0.13714275360107422,0.004786491394042955,-0.004808056354522699,-0.0101350963115692,-0.0032352805137634126,-0.0033264160156249905,-0.0012725025415420298,-0.0001834250986575924,-0.00021523814648389655
11,0.06267547607421875,0.0003645598888397226,0.026235198974609374,0.000369739532470685,0.004858636856079094,0.0015813827514648264,0.0038896083831787137,0.007819461822509765,-0.027991104125976562,0.008972215652465814,0.015227508544921876,0.00141248703002927,0.031961822509765626,0.09016265869140624,-0.014574384689331043,-0.003613400459289541,-0.005168724060058585,-0.004595184326171864,-0.0035335779190063263,-3.222227096557367e-05,-0.005027770996093736,0.0007377445697784264,-0.00331330299377442,0.0650665283203125,0.042119407653808595,0.008880424499511715,0.577105712890625,0.02340335845947266
12,0.0003429174423217667,0.018535995483398435,0.0009349703788757281,0.0004673421382903568,0.0020748376846313364,0.00016476362943647355,0.010888195037841799,0.023558807373046876,0.13578338623046876,0.0083428144454956,0.004888248443603515,0.021302032470703124,0.1776153564453125,0.019991874694824215,0.013152980804443359,0.08540811538696289,0.005986976623535161,0.016020679473876944,0.010402441024780263,0.00122442245483399,0.19422025680541993,0.00057320594787594,0.012126684188842775,0.00583467483520507,-0.5435546875,0.004258239269256584,0.00359649658203125,0.038303041458129884
13,0.010764694213867184,0.002252006530761715,-0.00679473876953125,0.00689287185668945,0.005537986755371089,0.047124481201171874,0.00030278563499451055,0.004401350021362301,-0.0007547266781329945,-0.00030732154846189016,-0.0006473615765571633,-0.00602283477783203,-0.00414371490478515,-0.00249876976013184,0.054972076416015626,0.0004248738288879251,-0.0011348724365234399,-0.00399551391601563,-0.00316677093505859,-0.00905332565307617,-0.005668592453002922,0.012345123291015624,0.045381927490234376,0.0074352264404296846,0.0149261474609375,0.011477231979370114,0.00302114486694335,0.015521430969238281
14,-0.950732421875,-0.007139086723327639,-0.28812294006347655,-0.09879913330078124,-0.255224609375,-0.0002170652151107638,-0.09960660934448243,-0.009265708923339845,-0.7072697401046752,-0.009184360504150385,0.05188407897949219,0.188873291015625,-0.0004302978515625,-0.009447640180587765,0.016320085525512694,-0.02205395698547363,0.010522365570068356,0.00506772994995116,0.1890350341796875,0.005833196640014636,-0.013040733337402344,0.000682711601257301,0.0269561767578125,0.013431167602539065,0.07067413330078125,0.0004034787416458036,0.00630054473876953,0.01270828247070312
15,0.007775211334228505,0.01851959228515625,0.0035776853561401275,0.0032891631126403765,0.01893844604492187,0.0010300993919372175,0.001347231864929173,0.0157632827758789,-0.0005511432886123674,-1.5288591385022028e-06,0.0016099452972411971,-8.583720773458355e-05,0.0004871517419814845,0.0034594058990478397,0.008484983444213865,-0.00800809860229492,0.00393514633178711,7.853507995604311e-05,-0.49521484375,-0.0068425625562667835,-0.7715576171875,-0.0001019895076751823,0.00554606914520264,0.000411701202392575,-0.026303482055664063,-0.00599899291992188,-8.03053379058766e-05,0.0008329153060913117
16,-0.03397178649902344,0.037611770629882815,0.0123751163482666,0.015051746368408194,0.01862068176269531,0.04975481033325195,0.009465050697326654,-0.02364063262939453,0.0033397614955902044,-0.006296348571777336,-0.004148864746093735,-0.01254234313964844,0.0037319421768188385,-0.03079986572265625,-0.009327125549316407,-0.00317945480346679,0.04005889892578125,0.022279739379882816,0.025334167480468746,-0.022030067443847657,0.14811248779296876,-2.7635693550109245e-05,-0.0018247753381728945,0.000225174427032476,0.008892485499382019,0.0010075345169752669,-0.00081925392150875,0.0034697413444519064
17,0.0037686645984649518,0.0033347725868225165,-0.00015209913253783994,0.000533866882324225,-0.00187504291534423,-0.004902625083923336,-0.0005642399191856193,0.0005691289901733301,-0.07281951904296875,-0.0014673709869385016,-0.006056594848632805,-0.0003385245800018406,-0.003637886047363275,-0.00465335845947265,0.07488683462142945,-0.021869659423828125,0.0008655637502669985,0.0006124496459960903,-0.2076416015625,-0.008377838134765624,-0.04306869506835938,-0.00370306968688965,0.0015739440917968799,-0.0011531233787536671,-0.10014820694923401,0.001693081855773908,0.011448514461517335,0.0018150806427002
18,0.0073421239852905235,0.0005193829536438135,0.0007337450981140189,-0.00048179626464842995,0.05015177726745605,0.01714496612548828,0.009079921245574952,-1.3954381055457203e-07,0.001206732727587203,-0.00010142773389815723,0.20085372924804687,0.003597140312194836,0.004327499866485599,0.056920337677001956,0.059096145629882815,0.12875137329101563,0.12208709716796876,0.0001294016838073718,0.07935543060302734,0.005664062500000005,0.00096766948699949,0.0005143344402313264,0.007195127010345452,0.00747156143188476,0.02866930961608886,-0.002052402496337885,0.00825672149658203,0.0025484323501586857
19,-3.8697733530982785e-17,-0.010656452178955075,-0.013039588928222656,-0.011370468139648435,-0.0002770841121673334,0.003903532028198241,0.0135706901550293,0.005922126770019515,0.000518989562988254,0.00030958056449887294,0.00386371612548827,0.00386867523193359,0.003996419906616205,0.0006612658500671175,-0.0027491807937622004,0.017465782165527344,0.026573801040649415,0.219708251953125,0.06920089721679687,0.03650660216808319,-0.01937713623046875,0.06840524673461915,0.2698032379150391,0.00955638885498047,0.00607447624206542,0.05176830291748047,0.028641510009765624,0.0020344734191894425
20,0.00010278224945067186,-0.007464218139648421,0.0048367500305175806,0.005812573432922357,-0.007431292533874509,0.0015970706939697266,0.0036041885614395168,0.0010615944862365626,-0.00151672363281251,-0.008248424530029299,-0.002179074287414551,-0.0011616706848144632,-0.008972549438476553,0.0009214162826537978,-0.001234960556030265,4.531145095825991e-05,0.00137572288513184,0.026730251312255853,0.0028808355331420826,0.0005981862545013496,-0.002684681117534636,0.006283426284790035,0.0006675601005554095,-0.007696008682250975,0.00019533634185791424,0.0002834558486938455,-0.004233598709106445,0.024312317371368398
