layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,-0.0011675174419696502,0.0005010366439819334,-0.0010074285360482985,-4.893521485463189e-15,-0.007930902334359977,-0.0002822784277108978,-0.0005100507002610414,-0.00039631128311156744,0.0008093026968149039,-0.003288269042968746,-0.00479262150250949,-6.800431471604617e-05,-3.6973219651442305e-05,-0.0031418800354003885,-0.0038121663607083808,-0.14338565881749143,-0.003803546612079327,0.0014046522287222076,0.009042666508601258,0.0008063683143028846,0.001638852632962746,0.0025871350215031577,-0.0005950927734374961,0.0017739626077505229,0.0023997380183293235,-0.0007606561367328317,0.0011368531447190538,-0.0007110742422250499
1,-3.7601504188306944e-05,-0.03490506685697115,-0.003533436701847958,4.095297593335253e-05,0.00045218834510215775,2.321529273803201e-05,-0.026245850783128008,0.002924992487980769,0.003331111027644231,-0.012445303109975962,-0.0017262972318209152,0.0011553764343261693,0.0011683243971604537,0.004757220928485577,-0.0005450982313889731,-0.0015058150658240576,0.0020904541015625,-0.003991099504324099,0.0017076639028695963,-0.00553087087777945,0.006948617788461538,-0.021781334510216348,-0.012867414034329928,0.002679531390850358,-0.0009069442749023405,-0.0007333388695350037,-0.03422898512620192,0.0006721936739407999
2,-0.007201488201434788,-0.04666489821213942,-0.022411639873798076,-0.01697268852820763,0.03332387484036959,-0.02663421630859375,-0.06386624849759616,-0.030835078312800482,-0.04256850022536058,-0.022983844463641826,-0.020102280836838942,-0.03448706406813402,-0.03399188701923077,-0.030882175152118392,-0.013161585881159859,-0.009577604440542373,-0.007483335641714243,-0.020909236027644232,-0.007523169884314904,-0.016532311072716348,-0.028001051682692308,-0.005990835336538462,-0.012754000150240384,-0.01665540841909555,-0.036093491774338946,-0.00698576523707463,0.0017439035268930307,-0.011224682514484108
3,-0.0022186866173377383,-0.005847930908203123,-0.02435302734375,-0.01056377704326923,-0.020057164705716647,-0.015911395733173076,-0.02173643845778245,0.002453583937424881,0.1569847693810096,-0.0006307822007399224,-0.0027674482418940586,0.0029486142672025192,-0.0006392552302433923,-0.003767380347618692,-0.03319080059344952,-0.0044031143188476545,-0.02158531775841346,-0.01957115760216346,-0.017301119290865384,-0.001064483936016373,-0.0041877581523014915,-0.02512975839468149,-0.017334571251502402,-0.008138509897085335,-0.008211355942946207,-0.0027902080462529105,-0.008371499868539661,-0.009521484375
4,-0.003359867976262019,-0.0010725168081430114,-0.00185394287109375,-0.001331769503079927,-0.0013948587270883384,-0.005540701059194712,-0.004198367779071515,0.0003910305408330773,0.03748791034405048,0.12325815054086539,0.008890738854041465,0.0012241894235977555,8.752254339362901e-05,0.014408405010516826,-0.0011209226571596523,-0.015465369591346154,-0.00539456881009615,0.005935375507061301,-0.0007921067567972005,-0.0015648328340970576,-0.001105443789408751,-0.0028647276071401616,-0.001430089657123255,-0.004543153139261093,-0.0026045212378868732,-0.005580975459172176,-0.003239888411301823,-0.0008308704082782464
5,0.003130582662729112,-0.0003842528049762216,-0.0012056002250084323,-0.0036879319411057656,-0.001863213685842659,-0.028618445763221152,-0.006384042593149038,-0.006879953237680288,-0.01801123985877404,-0.006691565880408654,-0.007041564354529745,-0.0019312638502854578,-0.006470313439002404,-0.004861098069411058,-0.005971248333270731,0.01644325256347657,0.003595645611102768,-0.006760377150315504,0.023795494666466348,0.29175391564002406,-0.00785702925461989,0.0020502163813664385,-0.002399187821608327,-0.00042730111342209604,-0.006028101994441103,0.0002616437581869385,0.0001465219717759207,-2.1010637283318944e-05
6,-0.00020415507830105932,-3.65003943443219e-05,-1.548459896674487e-05,-0.00011002673552586891,3.542622121480674e-05,-0.00014741031023172112,0.00010443650759184333,-0.0013628922975980292,-6.560178903432656e-05,-0.017781184269831732,0.0016230069673978348,-0.021744783108051002,-0.006745081681471603,-0.012478168194110576,-0.0004810920128455538,-0.00365359966571515,-0.004069768465482281,-0.00158731868633857,-0.001239483173076923,-0.0008227091569166982,-0.001786002745995147,-0.010476580032935508,-0.009033203125,-0.01251690204326923,-0.0022998039539043735,-0.005650373605581423,-0.00482894824101375,-0.001169985303511978
7,-0.0004524634434626675,-0.0014550869281475425,-0.005013979398287254,0.00016162028679480873,-0.0002677073845496422,-0.000112437284909746,-0.0032379994025597152,-0.001995820265549881,-0.004015702467698315,-0.004161834716796877,-0.0019771869365985575,-0.008479778583233174,-0.009013065925011261,-0.005976016704852761,-0.0006849949176494884,0.0009281818683330885,-0.005798926720252404,-0.003338006826547477,-0.01129590548001803,0.0015428616450383116,-0.002987201397235577,-0.003110885620117185,-0.003721383901742796,-0.003793890659625703,-0.0010061630835899846,-0.002076002267690792,-0.017246833214393027,-0.0029898423414964
8,-0.03299771822415865,-0.002137376711918752,-0.020183856670673076,-0.009580465463491589,-0.011918874887319712,-0.01685105837308443,-0.0013630940363957348,0.005709134615384615,0.0011998690091646613,-0.009745964637169473,-0.0017196123416607146,0.0024704933166503846,-0.002235559316781851,0.0022403093484731755,-0.00019382054989154523,-0.0001991712130033039,-0.001537506396953882,-0.0011802086463341315,-0.0011236392534696178,-0.0007741451263427923,-0.0001464394422677806,0.0021409644530369604,0.31034264197716344,0.3194110576923077,0.14506882887620193,-0.05084996957045335,-0.05412769317626953,1.5122445913461537
9,-0.0002224995539738577,0.0012093323927659194,-0.006142836350661058,0.00029666607196513845,-0.008093026968149038,-0.00067914449251615,-0.01855307358961839,-0.022935647230881914,0.012870348416841952,-0.002644465519831731,0.005190335787259619,0.0360870361328125,-0.0005964315854586047,0.003253056452824504,0.0011005401611328136,-0.009536889883188104,0.002906065720778242,-0.014215469360351564,-0.004832341120793272,0.0002584090599646944,-0.0020884000338040848,0.007851710686316854,-0.021639603834885817,-0.0032782921424278845,0.008787815387432396,-0.03225575960599459,-0.012930356539212743,0.0027202459482046078
10,0.005005322969876807,-0.005167447603665865,0.00793147087097167,0.0005718928117018462,-0.0012349532200739966,0.00018445803568913432,0.0002051133375901461,0.004558563232421873,0.000971069702735314,0.006880686833308293,0.00012392264146070118,0.0005662991450383154,0.0002217292785644385,0.004564725435697112,-0.0008869171142578197,-0.0068878393906813395,-0.0011010949428264783,-0.0001913217397836423,0.0004447240095872045,0.005828857421875,0.00013800767751840279,-0.0031088315523587766,-0.017412259028508115,-0.0033608950101412308,3.64046830397724e-06,-0.0013488622812124385,-0.0005549473258165126,-0.0005216919458829364
11,0.036801851712740384,0.0006335698641263591,0.002324030949519231,-0.001308862979595469,0.0020614679043109564,0.0007215233949514476,0.0016303429236778808,0.004120028935945949,0.06219893235426683,0.003238334105565001,0.004841144268329327,0.00019975808950571203,0.005434476412259615,0.03201763446514423,-0.007076630225548381,-0.001469425283945527,-0.00025222851679875154,-0.002230644226074219,-0.005210069509652944,-0.00018878739613751992,-0.0038229318765493504,0.0036681975739506424,-0.0023786838238055883,0.025880960317758415,0.17464425013615534,0.009115805992713338,0.24167574368990385,0.012574507639958305
12,-0.00013762712478638598,0.003589630126953123,0.00127731607510493,0.00019337580754205105,0.0017674886263333693,1.3879285408907903e-05,0.00684870206392728,0.015097398024338942,0.08579195462740384,0.006383455716646635,0.004176800067608165,0.017052723811222956,0.07385723407451923,0.011389035444993244,0.014211507943960335,0.021721473106971152,0.010931015014648438,0.0063078953669621456,0.0004147016085111116,-0.0005146540128267692,0.16356013371394232,-0.00013139098882674716,0.00400477189284105,0.007357487311730027,0.38094388521634615,0.007730062191302955,0.0007184835580679116,0.00930023193359375
13,0.0038735683147723848,0.002569900109217712,0.0023648555462177,0.00950813293457031,0.010924706092247596,0.014046302208533654,-2.6556161733780788e-05,0.0009013322683481153,-0.0008206367492675808,-0.0004942142046414857,-0.002163153428297777,-0.0013674956101637692,0.0005850975330059399,-0.004292359718909635,0.06628007155198318,0.0047138287470890805,0.03568348517784706,0.014822593102088341,0.01427364349365235,0.010429015526404743,0.014758403484637913,0.006521811852088338,0.01733779907226562,0.006892351003793569,0.01686903146597055,0.011003182484553406,0.004526734352111802,0.009298434624305137
14,0.8143686147836539,-0.06013679504394531,0.14737628056452826,0.030075660118689902,0.12616436298076922,6.13561043372348e-05,0.10579409966102013,-0.0047944142268254225,0.45921912560096156,0.012818153087909411,0.020273648775540862,0.04634358332707332,0.043553865872896634,0.015176637814595153,0.007730309779827408,0.008362623361440804,0.002292963174673219,0.0010326367158156205,0.06334231450007512,0.0006577601799597976,0.0029500080988957267,0.0009141656068655072,0.02064029987041767,0.01584956279167762,0.006417494553786058,3.6991559542147464e-05,0.002090903428884649,0.004871881925142727
15,0.0008352353022648619,0.005533071664663462,0.0010561988903925938,0.0015936172925508888,-0.0026401373056265036,0.0003045820272885852,0.0003083245112345724,0.003454501812274638,-0.0009918304590078538,-0.0003168330742762502,-0.0006734637113717869,-0.00012123355498680041,4.5407276887163683e-05,0.0005461894548856115,-0.03112646249624399,0.05054598588209886,0.0024794431833120487,0.0007145221416766832,0.3526423527644231,0.0062180929459058195,0.4878396254319411,2.6262723482564084e-05,0.005237230887779816,0.003577028329555791,0.03207485492412861,0.0046543708214393,-0.000680813422569846,0.0032005493457500644
