layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,-0.0019682312011718803,0.0006275177001953132,0.0023856925964355455,0.5899999999999922,-0.001616210937500004,-0.0003017616271972641,-0.0010835075378417792,-0.0007795906066894467,0.00012451171875,-0.002364463806152344,-0.002185993194580071,-0.000752105712890628,0.00022621154785156,-0.003345985412597652,-0.002634773254394524,-0.10720703014871115,-0.0034046936035156284,0.001070213317871084,0.005476169586181644,0.0026551818847656205,-0.0038273620605468683,0.002092132568359376,-0.002366065979003908,0.001058578491210936,0.001645660400390628,-0.0011488723754882841,0.0003535461425781229,-0.001275444030761708
1,-6.126046180723936e-05,-0.027392578125,-0.0035125732421875037,1.0541677474978717e-05,0.000150604248046864,6.796419620514916e-06,-0.02555877685546875,-0.002949371337890628,0.0016845703125,-0.0103155517578125,-0.0027284240722656285,-0.001107025146484372,-0.0013226318359375038,0.002481384277343748,-0.001815166473388668,-0.002756042480468748,0.002083740234375,-0.002575454711914049,-0.007831115722656247,-0.006259078979492192,0.010904235839843752,-0.0134454345703125,-0.007544250488281248,0.001414451599121084,-0.0039002323150634744,-0.0006866073608398338,-0.009431915283203123,-0.0005268478393554679
2,-0.009162532091140752,-0.03473876953125,-0.015487060546875,-0.017827224731445317,0.031751708984375,-0.021767902374267577,-0.03882604598999023,-0.019508056640625,-0.0297381591796875,-0.009177570343017579,-0.0089605712890625,-0.02131591796875,-0.015511932373046875,-0.01962890625,-0.009987487792968753,-0.000583610534667964,-0.0006818771362304679,-0.0016497802734375,-0.0038864135742187524,-0.005863342285156248,0.00355224609375,-0.0021356201171874962,0.0027085113525390603,-0.005912055969238288,-0.01003662109375,-0.0019907188415527323,0.003674240112304692,-0.005974121093749992
3,0.00046829223632812394,-0.0042475891113281285,-0.01602081298828125,-0.00571533203125,-0.011108245849609375,-0.009385299682617185,-0.012245864868164067,0.0029660034179687478,0.17794921875,-0.00047748565673827676,-0.00275665283203124,0.0007730102539062519,-0.00028808593750000806,-0.00247838973999024,-0.0039453125,-0.002708463668823241,-0.0107012939453125,-0.010628967285156247,-0.009888916015625,-0.0023660278320312518,-0.0012091827392578063,-0.014011669158935546,-0.014656715393066408,-0.005687637329101564,-0.007756628990173335,-0.0022752094268798755,-0.005489158630371098,-0.006760482788085939
4,-0.0008130645751953119,-0.000515365600585936,-0.00024757385253906003,-0.000214614868164056,-0.00014373779296873997,-0.003429260253906256,-0.0020708084106445318,0.00020915031433102943,0.017894287109375,0.1116204833984375,0.005324401855468747,0.0010639643669128212,5.678221583365444e-05,0.01366943359375,-5.124390125273659e-05,0.00264404296875,0.0013054466247558695,0.004877624511718744,-0.0009666824340820264,-0.00037793934345244773,-0.0001785445213317787,-0.001228713989257812,-0.0004980036616325308,-0.009644877910613999,0.000329747200012204,-0.003992080688476552,-0.002699890136718752,-0.0005718231201171709
5,0.003008193969726564,7.701873779298124e-05,-0.0011087979376315827,-0.00354419708251952,-0.0005824089050292946,-0.11280853271484376,-0.01055335998535156,-0.0007644653320312481,-0.014677734375,-0.0038412475585937523,-0.00654052734375,-0.002596435546875,-0.0039410400390625,-0.004517526626586914,-0.004895172119140624,0.022075195312500004,0.001808090209960944,-0.00488380432128906,0.027215576171875,0.2319189453125,-0.0028265380859375,0.0074626922607421995,-0.0014839220046997071,-0.00030824661254880636,-0.0007983398437500039,0.0004317691922187927,0.0004701018333435049,-3.0158758163448904e-05
6,-0.0005203914642333857,-0.00011443845927714127,8.511543274013255e-07,-0.0003032147884368849,-0.0001525425910949592,-0.00020521163940429913,-0.00020869016647337942,-0.0007258033752441414,-0.0007892036437987971,-0.02184600830078125,-0.004081420898437504,-0.009228858947753908,-0.005271072387695316,-0.00686767578125,0.000284538269042973,-0.0027023983001708963,-0.002727661132812497,-0.0035810256004333513,0.00400390625,-0.00038589954376219406,-0.0010232734680175686,-0.004048417806625375,-0.009889869689941405,-0.0076898193359375,-0.0012508988380432085,-0.0009390974044799844,-0.0025778865814209007,-0.0006447470188140726
7,-0.00035372257232666094,-0.002577152252197272,-0.003803634643554688,-0.00017217576503753614,-0.00026261091232298683,-0.00011717200279234027,-0.010503692626953127,-0.00525348663330078,-0.004798507690429688,-0.0067308998107910144,0.0001727294921875,-0.0074965667724609395,-0.006005611419677734,-0.008001632690429696,-0.000285682678222656,0.0007811737060546921,-0.003618431091308596,-0.001220550537109376,-0.005806884765625,-0.00024013519287109203,-0.0013269042968750038,-0.0007596206665039,-0.007831153869628904,-0.0034022140502929597,-0.002216520309448231,-0.0013656616210937361,-0.0101666259765625,-0.0023515987396240195
8,-0.017449951171875,-0.000750770568847644,-0.007231292724609376,-0.006689453125,-0.005215454101562496,-0.0015765380859375,-0.00309078216552734,-0.0163995361328125,-0.002743835449218752,-0.0504139518737793,-0.0049751281738281165,-0.002198219299316408,-0.05732421875,0.0005792236328125079,-0.00020150542259216432,-0.0013077926635742144,-0.001268272399902347,-0.000465927124023416,-0.0011725616455078153,-0.0007634544372558667,-0.00019746661186218186,0.001619225069880474,0.44022216796875,0.365615234375,0.288974609375,-0.019629077911376955,-0.05056961059570311,1.846484375
9,-0.0012581825256347513,-0.0007348871231079074,-0.020216407775878912,-0.002725486755371088,-0.018091278076171873,-0.002058944702148432,-0.023329620361328133,-0.02495590209960937,0.0202294921875,-0.003539066314697256,-0.000629100799560552,0.022018051147460936,-0.0006834006309508979,-0.0006803894042968719,-0.0014874267578124962,-0.0060455322265625,0.001208038330078124,-0.008872680664062495,-0.0027632141113281238,-0.004136352539062504,-0.00204463958740234,-0.0015632247924804727,-0.0185162353515625,-0.03776386260986328,-0.0020813751220703043,-0.0601953125,-0.02733978271484375,0.002957382202148434
