layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,-0.042515345982142856,-0.1317196800595238,-0.13527715773809523,0.010918390183199038,-0.047633579799107144,-0.04578218005952381,-0.004904519943963914,-0.05366443452380952,-0.13960193452380953,-0.21214657738095238,0.005177815755208333,-0.14067150297619047,-0.0968656994047619,-0.04429408482142857,-0.02362787155877976,-0.3306361607142857,-0.025204613095238096,-0.11538478306361608,-0.08794948032924108,-0.06819661458333333,-0.05303955078125,-0.004058111281622024,-0.05363537016369048,0.059382484072730654,0.0471954345703125,-0.18071056547619047,0.06746709914434523,-0.21930803571428573
1,0.22133091517857142,0.02246457054501488,0.09586588541666667,-0.07333519345238096,-0.42038690476190477,-0.11408124651227679,0.04550897507440476,-0.025541759672619048,-0.12366303943452381,0.021183558872767856,-0.06331089564732142,0.016220819382440476,0.031313941592261904,0.026978992280505952,0.019899640764508928,0.03301556905110677,-0.008812313988095238,-0.060917445591517856,-0.12606956845238096,-0.08558872767857142,-0.11672247023809523,0.06602114722842262,0.005640665690104167,0.026982636678786514,0.06117175874255952,0.003098260788690476,0.088958740234375,0.014567057291666666
2,-0.057063511439732144,0.09940955752418154,-0.007393973214285714,0.009610857282366072,0.08470226469494048,-0.020188104538690476,0.0017918178013392857,-0.031871977306547616,-0.03992571149553571,-0.003635951450892857,-0.02031744094122024,0.0022775559198288664,0.015223185221354166,-0.04812476748511905,0.027692885625930058,0.08857363746279762,0.10886637369791667,0.15954517182849703,0.09973725818452381,0.07970610119047619,0.15915643601190477,0.16280110677083334,0.06227911086309524,0.026490892682756697,0.11671084449404762,-0.21601068405877977,-0.5418991815476191,0.026041666666666668
3,-0.09372166224888392,-0.041262672061011904,-0.023873102097284226,-0.002855210077194943,0.03158424014136905,-0.02032470703125,0.047619047619047616,-0.17672293526785715,0.07035900297619048,-0.017490931919642856,-0.030710856119791668,-0.06670270647321429,-0.06391398111979167,-0.5525425502232143,0.16364397321428573,-0.0030986240931919614,0.029227120535714284,-0.0014677501860119048,0.036395118350074404,-0.11471702938988096,0.00468117850167411,0.06570289248511904,0.01917666480654762,0.016799200148809524,0.044924781436011904,-0.006213960193452381,0.052242279052734375,0.006273542131696429
4,0.00679597400483631,0.0012274242582775334,0.0021038963681175617,0.013369605654761904,0.0008988153366815476,0.005072275797526043,0.011250087193080358,5.184752600534649e-05,0.0003689726193745535,0.04695024944487073,0.0010264033362978812,-0.054050990513392856,0.0001836788086664426,0.00035451849301652605,-0.005088806152343753,0.018646966843377976,-0.0133605230422247,-0.07943362281436012,0.0207000005812872,-0.017445882161458332,0.002894810267857143,0.018159412202380952,-0.0017201559884207573,0.0011803763253348237,-0.055988856724330356,-0.005551292782738095,-0.0001989092145647285,0.00361024765741259
5,-0.13189842587425596,-0.24916294642857142,-0.003751845586867562,0.0113616216750372,-0.050755092075892856,0.025949024018787202,0.03362310500372024,-0.021327427455357144,0.028012230282738096,0.0049896240234375,0.04022798084077381,0.024478004092261904,0.0213532220749628,-0.035319010416666664,0.010202680315290182,-0.05052675519670759,-0.009708949497767858,-0.03999982561383929,-0.0952729724702381,-0.11506507510230654,0.1291445777529762,0.029935564313616072,0.018123081752232144,-0.09175255185081846,-0.15515282040550596,-0.005411783854166667,-0.060577392578125,-0.0039537520635695616
6,0.0044085184733072946,0.004088295357567921,0.005723391260419577,0.052218482607886904,0.000234899066743396,-0.005560829525902157,0.0013180630547659615,-0.03364780970982143,-0.009457542782738096,-0.01811581566220238,-0.011614118303571428,0.05621483212425595,0.0086929684593564,0.04339744931175595,0.037404378255208336,0.03374662853422619,0.0034701937720889144,-0.34133184523809523,0.03569684709821429,-0.006984165736607143,-0.045619419642857144,0.004016331263950896,-0.009429023379371277,0.013008844284784224,-0.025748116629464284,-0.0009635970706031386,0.0020191555931454615,0.06487696511404854
7,-0.044926597958519346,-0.18532598586309523,0.018222990490141373,-0.0010833740234375,-0.016916774568103605,-0.0011709304082961286,0.03983125232514881,-0.0028889973958333335,-0.011142639886765253,-0.007031395321800595,0.06852213541666667,0.0015058063325427808,-0.0010465440295991477,-0.004339853922526043,-0.005789620535714286,0.0012076241629464285,-0.0038464864095052098,0.002486456008184524,-0.08732750302269346,-0.04214695521763393,-0.013166881742931548,0.026067824590773808,-0.005612327938988095,-0.0068987891787574435,-0.016537620907738096,0.021296183268229168,0.05533599853515625,0.039996192568824404
8,0.04392060779389881,-0.005134400867280504,0.018511454264322918,0.02025840395972842,0.05498613630022321,0.0050237746465773715,-0.0034859975179036434,-0.05857195172991071,-0.0041425795782180095,-0.005147298177083333,-0.02461188180106027,-0.0004374186197916667,-0.09857613699776786,-0.022979463849748888,0.0061932518368675565,0.0029238746279761905,0.005863462175641738,0.01924932570684524,0.03497505187988281,0.001813638777959913,-0.0036081132434663426,-0.061924525669642856,-0.10865129743303571,-0.00044117087409607905,0.09551130022321429,-1.3401227678571428,0.11994280133928571,0.008579344976515996
9,-0.02721005394345238,0.002764747256324405,-0.01704770042782738,0.004333132789248515,0.003830682663690476,-0.00860014415922619,-0.05137761433919271,-0.028199695405505952,-0.05843135288783482,-0.021234421502976192,0.0018167041596912144,-0.23647925967261904,-0.023917311713809057,-0.006007603236607143,-0.09530857631138392,0.04210481189546131,0.024716331845238096,-0.012663932073683966,0.013852074032738096,-0.0055873507545107955,0.006878898257300962,-0.014757428850446428,0.09568568638392858,-0.3196498325892857,-0.013958885556175596,-0.018692743210565476,0.01056907290504093,-0.015954880487351192
