layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,0.00039780139923095985,-0.00031917745416815455,6.162036548960098e-05,-0.0005638816140139467,-0.0012552413073453133,-0.00012338161468506244,-0.00036726756529374384,-0.00015460361133921152,-0.0001298731023615,-0.0007705688476562591,-0.005246855995871814,-0.00035632740367542266,-0.0007164695046164727,-0.00020460648970169543,-0.0017117261886596623,0.07270946829918344,-0.0005220066417347273,-0.00044400041753596235,-0.0009528398513793983,-0.0037576827135953074,-0.0004675821824507221,0.0003849985924633832,-0.0030097527937455546,4.34138558127598e-05,9.72233035347667e-05,-0.00012154470790515225,8.046627044677465e-05,-8.044459603049424e-05
1,-5.5818395181091665e-06,0.002130118283358491,0.0008118369362570955,1.0927969759163661e-05,-6.20768828825493e-05,5.999072031541304e-06,0.005781693892045455,0.00015605579723011355,-0.0043671347878195994,-7.976185191759156e-06,0.0011464953422546456,0.0001918619329279091,-0.0014176802201704502,0.0009163292971524223,0.000837250189347707,0.00039976293390448186,0.0002039129083806818,6.587938828900248e-05,-0.00054931640625,-0.0004885846918279454,-0.006679188121448864,0.002030632712624291,0.0005917982621626409,0.00014955347234553668,0.001895351843400435,-0.0005672628229314591,0.0030607743696732955,-0.00012952089309693294
2,-0.0013989047570661882,0.0005214431069113979,0.00021529197692870896,-0.000683315775611162,-0.06563984264026988,0.00012317570773035907,0.0004616677761077773,0.0006021965633739079,0.00046441771767355894,-0.0003660131584514092,-0.00020692971619692372,0.0006792762062766318,0.000533732500943266,-0.0003942142833362909,0.0017253268848765998,-0.006618033755909316,-0.0011388171802867546,-0.001549113880504259,-0.00012189691716973182,-0.00022385337136008633,-0.0006037625399502818,0.0004942633888938273,-0.0022569136186079545,6.24439933083388e-05,0.0008914687416770273,-0.0005105192011052909,-0.015410336581143463,-0.00013265826485373927
3,-0.0012164115905761727,-1.4925544912156606e-05,0.0007092844356190036,0.0028220286423509718,7.21107829700749e-05,-4.205378619106795e-05,0.0002949156544425188,0.0005589398470791909,-0.13292902166193182,-0.0001476569609208367,-0.0004800232973965712,-0.024482206864790492,0.0009942054748535193,0.01522715525193649,0.005570845170454545,-5.227869207208636e-05,0.0036732066761363635,0.0005611939863725019,0.0005858161232688136,4.508278586648169e-05,0.00026979229666969877,0.00019963221116497563,9.751319885253792e-05,9.404529224742485e-05,-8.286535739899092e-05,-0.00010291554711081055,9.638071060178847e-05,4.419684410095328e-05
4,0.00011851570822976365,0.0006157159805297835,9.472803636030518e-05,0.0005107142708518269,0.0025982423262162634,-0.0008754405108365271,0.0011638294566761363,-0.0005472437901930149,-0.053764169866388496,-0.15165918523615057,-0.007412130182439627,-0.0028453848578712995,-7.938204163853779e-05,-0.009426810524680387,-0.00018276680599560048,-0.00018621032888238782,-0.002574817700819535,-0.002212524414062491,-4.0957873517847966e-06,-2.8847801414400063e-05,-4.1090629317537895e-05,-0.0009299191561612182,-0.0001557577740062246,-0.0005627653815529558,-3.329190340908633e-05,-0.00018259611996735903,-0.0010576248168945271,-0.0002805739641189437
5,-0.0039817203174937815,-0.0002652555704116672,-5.806711587039476e-06,-2.765012058345195e-05,-4.43241812966017e-05,0.006546714089133528,0.006666140122847119,-0.00010962919755415456,0.00033708052201704544,0.0005297660827636682,0.0012664794921875,-0.0002364245328036227,-0.00010169636119495912,0.0007684014060280454,3.188306635075965e-05,-0.017233810641548854,-0.0023642453280362137,0.0029194571755149137,-0.03395011208274148,-0.2509085915305398,0.002896395596590909,-0.02017732100053267,4.774264313957624e-05,-0.00017351026392795283,0.0009342540394176182,6.756321950394988e-06,-0.0004373897205699497,-1.761977645483216e-05
6,-0.00039504874836314554,0.00012932006608356184,2.9506468722083103e-06,-0.0003789554942737892,9.747323664752019e-05,-0.00012458996339276794,-0.00026821277358314837,0.0004514347423206714,-0.00022050061009147007,0.0011477903886274907,-0.0016969333995472226,0.0009091117165305498,0.00030309503728693637,-0.00022569027813997962,-4.350055347788637e-05,4.287199540571236e-05,-2.9113651676611468e-05,-0.001632771708748533,-0.00032763047651811363,-8.375807241959298e-06,-0.00011214749379590087,9.759159928018398e-06,4.50123440135528e-05,7.976185191761364e-05,-1.0397623885759619e-05,3.5905744880433304e-05,4.7777864066038683e-05,6.0030089860612694e-06
7,-0.0003893537954850588,-0.0023982308127663316,0.0017654245549982089,-0.0005384412678805157,-4.7336925159794316e-05,-8.751722899354513e-06,-0.009270061146129268,-0.003099961714311082,-0.0002122467214410813,0.0004286386749961166,-0.006051497025923295,-7.413022897460074e-05,4.9325552853661044e-05,7.356500083749944e-05,-0.0009404962713068136,-0.0035743713378906276,-4.03631817210874e-05,-0.0002470720898021428,-0.0012365254488858274,-0.001976164904507709,-1.0761347683988995e-05,-0.00020409714091907324,-0.0002377466721968182,-0.002043377269398062,-0.00014001672918145908,9.298324584967766e-06,0.0012095516378229326,-9.137933904473992e-05
8,-3.162297335537658e-05,0.00016969984227961017,0.001228668472983622,4.6534971757359814e-05,0.0002659017389470818,-0.0011523636904629765,0.00012658130038868809,-0.00018067793412641816,-0.0009074319492686753,-0.0001651590520685363,-0.0008662830699573818,-8.932026949794647e-05,-0.0010590986772017045,-0.0010607892816716937,1.9921921193600128e-05,0.00019232251427392022,-0.0005627924745733045,-0.00042630325664172534,-1.226771961558184e-05,9.419159455733547e-05,6.301294673572901e-05,-0.005298805507746599,-0.3516138250177557,-0.16897028142755682,-0.12294769287109375,0.20114664597944779,0.0556288632479581,-0.9432705965909091
9,-0.0020464983853426847,-0.0016010891307484002,-0.01462069424715909,-0.002882610667835582,0.00028852982954545456,-7.992441003976244e-06,0.0006920207630504227,-0.002363031560724427,-0.028379960493607956,-0.0014470273798162228,-0.001221142031929716,-0.03157164833762429,1.1473894119252326e-05,-0.0027471238916570474,-0.0008158060637387314,0.000723296945745297,0.0015825900164517454,0.00045540116050026865,-0.001995086669921877,-0.004139791835438109,-0.00027452544732527656,0.00023235516114668614,0.002580816095525568,-0.0049670826305042584,-0.003576278686523436,0.004299163818359372,-0.0022711211984807796,-0.00020670890808104932
