layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,-0.0022132992744445822,0.0002690901729597987,0.00044697967927847507,0.0005900254889832641,0.00039070399839487253,0.00024307841685280323,0.00037323939266488046,0.0006484301732991979,0.0011760868243317066,0.0014337194499684793,0.004021318101171241,0.0010900746530561269,0.0014196367406133343,0.0007991328168271137,0.0006722443139375173,-0.04085525814526244,0.0011523659549542284,0.0009614175824976634,-0.0006007409807461388,0.000546274790123335,0.005867374477101791,-0.00022738193398091035,0.0035292568491466013,2.8807280668564535e-05,-4.233419895173017e-05,0.0002347413283675337,3.389124550035954e-05,0.00023028210027893173
1,1.1778408800488088e-05,-0.0025822582529551994,-0.0017080324799267205,1.0670346916830562e-05,0.00010763086489775614,-1.1908835661945058e-05,-0.0083862987916861,0.00516690247094453,0.00408534149625408,-0.0017302534473476099,0.0010249063150206594,0.0009041948994593817,0.001103226818255518,-0.002956183988656571,-0.0006159450580824746,0.0016638111712327618,0.002267026189547867,-1.81960414594734e-05,0.004023726306744475,0.0025245978761075155,0.02339965194018919,-0.005482840893873527,-0.0010621334189799278,0.0014216793117238485,0.0019089316031825985,0.000894781368881906,-0.002314332705825123,0.0011283595170547662
2,0.0011328761257342309,-0.0002797619620365827,6.18358156574251e-05,0.0007294865686501794,0.07651189547866138,-3.0074546586215776e-05,-0.0006225700698681668,-0.0004949907758342588,-0.00036677540238223496,0.0005631402357300522,0.00029774833081372615,-0.0003156555232716994,-0.0006923462027933955,0.006125738371664017,-0.0042465551575617995,0.0015112321768234007,-0.0008819556947964356,-9.320387199743535e-05,-0.0022883984579968775,0.00174639829948767,-0.006704209455803257,-0.0006855993128534584,-0.0016857759276432775,0.00016492805374201415,-0.002422978628927202,-0.0005249567885897106,0.014129980286555504,-2.5814148917125356e-05
3,0.0013620853424072322,0.00033579321939552467,-0.0008490281318550647,-0.005246678395057795,-0.0002546719650723921,0.0003518982609706047,-0.0003827078573739231,-0.001611339512156015,0.1387786295876574,3.319111332963482e-05,0.0011288728286970868,0.017485348146353195,-0.0037007438602732227,-0.015244695677686094,-0.014081471001923973,-8.354191459825757e-05,-0.011494423026469216,-0.0007199066788402891,-0.0009903231663490404,0.002178049799221665,-0.0005521311688779001,-0.0001370582117963109,0.0001375124748073414,-0.00023228575044603167,5.634373693323119e-05,8.234581840570713e-05,-0.00014522493775210083,5.303078622960265e-05
4,-0.0016791927280710686,0.00016048773011164468,-0.00031573692364478473,-0.0009577301011156632,-0.004962177418950777,0.0007402861296240919,-0.007231982786263993,0.0006014894860893712,0.055013855891441234,0.13129430742406134,0.010360376158756996,0.004339609573136495,0.00010510856535895705,0.009920307059786209,-5.282344880387995e-05,-0.0002894526097312018,-0.0002820329434836072,0.0015437496242238467,-4.014417306690255e-07,3.800997093541785e-05,-6.533269561934048e-06,0.0009605012722869305,9.250507425904929e-05,0.002087631276739175,-0.0017179517603632254,0.0006875511425644618,-6.183759490056772e-05,0.00019305330047854878
5,0.008975651726793883,0.000289364036784227,2.45320374396232e-05,0.0001152213940869389,0.000368045781975347,0.03736514475808215,-0.0018610598436042457,-0.0007093112860152979,-0.010392601810284514,-0.00334715487352058,-0.004466896626486707,-0.0011430178115616914,-0.0007086280566542876,-0.0009282542698418896,-0.00020849170969492364,0.014455421647029135,0.0019941098654448096,-0.01107141864833547,0.02545324724111984,0.2414366309322528,-0.019209221227845148,0.02244150816504635,-4.297389245744349e-05,0.0003673490970881952,-0.004372070084756881,3.146809011474671e-05,0.00040164300754888234,-5.094534647998092e-05
6,0.0009478962243492843,0.00016783811707993861,3.870676702527533e-05,0.0014397243955242053,9.065705226427453e-05,0.0003929274962909022,0.00037045954768336574,0.0017223393739159427,-7.019336543865342e-05,0.005438377608114215,0.003069699700198953,-0.0013112345738197444,-0.001491247718013935,-0.0006401183000251375,-6.862318337853504e-05,2.1450999957325057e-06,0.0002025937411322446,0.00042147867715179577,-0.0028774916236080313,5.410289141668113e-05,0.0002011006225400756,4.374800917150183e-06,-1.784603097545301e-05,-0.004619655324451959,8.04190162513615e-05,1.1321685429829083e-05,3.0980348142220054e-05,1.0319321491032306e-05
7,0.000337934316094233,0.0025652273377375816,-0.001065994376566877,0.0003273994175355711,0.00036324377157793644,3.3172208871406926e-05,0.0007750240724478208,0.005285476570698759,-6.140079071272395e-05,-0.0004959471190153633,0.003520638195436392,1.7026578312486027e-05,-7.202509623853623e-05,-0.0001781547247473722,0.0002840739577563805,0.00479930906153437,-1.8771793415297723e-05,-0.0001635506971558435,0.001991094048343488,0.0022867402034019327,-0.0002735728648171375,0.00019108037005608768,0.004473063483167048,0.0022982003083869534,0.0008355645991083359,0.0001464156962152731,0.0012553716773417464,6.440415311214272e-05
8,0.0014391639339390052,0.00026957223664467774,-0.0003294482159970394,-0.0009748330756799486,-0.0033094206852699393,0.0023511061027868428,-6.616426937614332e-05,0.0010356956453465693,0.002220783660660929,0.004635455003425257,0.00508147567065794,0.0006200315347358352,0.00653508883803638,0.0010611007907497354,1.923595346621114e-05,0.0005367327092298715,0.0011149116082867553,0.00025016158374386975,0.0010610062684585787,0.0004911120258160424,7.136255057889005e-05,0.007797762807180617,0.42322392250174906,0.20703216097248134,0.17668390985745103,-0.28234211722416663,-0.08950965084246736,0.954892286613806
9,0.0034218635132063605,0.00029807482192765165,-0.0010372987434045593,0.0003890777701762209,0.0011458895099696828,-0.0004609627510184559,0.009317675633216973,0.008719785889582847,0.023027544590964247,0.0009992834347397506,-0.0007114899692250687,0.03596849583867771,3.513304600074573e-05,0.0013166239012533244,0.0016597189120392288,-0.0027939953021149143,-0.002414269233817476,0.0026388808862486874,-0.0032954429512593282,0.0037273115186548943,2.8293524215480372e-05,0.0007376395054717571,-0.004954181500335239,0.01624019110380714,0.012976717593064948,0.017170237071478543,0.009204586940025215,-2.27858771139095e-05
