layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,-0.00016418723172919328,-0.000583834149116681,-6.379859392033273e-05,-3.485790518655003e-05,-0.00034899157147074816,-0.00022791845853937682,0.00038829248311907896,0.0006361911463183048,0.0011277991671894889,-0.00022226377975108976,-0.0019309664881506637,0.00023696588915447821,0.00010951729707939392,0.0005049095597378075,-0.000411934076353556,0.013167598456289911,0.0006327496018520616,-0.0008608219235442347,-0.0015901155250017049,-0.0005543021268622833,-0.000952834861223079,0.0005096499309983257,-0.0030819493670796233,0.0002268592978632576,0.00035780737566391585,-0.0001577635144078402,0.00030130536057227064,-0.00011752927026083194
1,2.4257470355474856e-05,0.002578313960585485,-4.768038904943777e-05,2.0648365796992136e-05,5.796828935312692e-05,-3.2749633456385414e-07,0.0016721858534702037,-0.00032799299373183156,-0.00455544493919195,-0.0021980307823003748,0.0005708968916604708,-0.00029033339300821027,0.0028924187948537474,-0.0008162565009538534,0.00023810489233150057,0.0002402980660283255,0.004112700528876726,0.0001626347733098195,0.0012962563093318483,0.001968242401300478,-0.025206663442212483,0.004943226659020715,0.0012511652569438144,-0.0006963200347368039,0.002863822011060491,-0.0005915309107580788,-0.0019173455792804077,0.0005015151445255634
2,-0.001560796658660071,0.0005784932957139108,0.00040599579034847534,-0.0009303705636844827,-0.09598417060319768,0.0002602728993393376,0.0005176288097403558,0.0007292148678801649,0.00031689322272012186,-5.612317905868724e-05,0.0006694017454635261,0.001752864482790915,0.00014012497524882708,0.002085864266683892,-0.0004200203474177883,-0.002481353005697559,-0.0015227118203806355,-0.004237254830293876,-0.0012168385261713095,-0.0019228181173635052,-0.005318699326626091,-0.0008521900620571345,-0.0030130397441775294,-0.0003879742566929141,-0.0008342022119566426,-0.0011927443881367412,-0.009660522327866666,-6.541401840919043e-05
3,-0.0018180070921432125,0.0002546472604884596,0.0011799418649008112,0.0021039918411609806,0.0004411593426105519,0.00030387792476386935,0.00028765007506968395,-0.001688117759172311,-0.22317476494367733,-0.00026659036791599696,0.0005830290012581432,-0.022394344418547873,-0.0013074813887130365,0.0034963025603183496,-0.001876476199127907,-0.00011368844398231616,-0.002372067473655523,-0.0003324641737827061,0.0004947440568790872,0.00042561375817587113,-0.0005129209784574286,0.00015110914097274917,0.00032424185165136994,-0.0004939332950946696,0.00020008745581602574,-8.92700844032686e-05,9.002685546873674e-05,0.00011047208031941027
4,-0.0014286152152128044,0.00018167052158089435,-0.0003128437108771706,3.363476243130538e-05,-0.0003874135571856859,-0.0014795225720072845,-0.00042234908702761626,-0.00042001955037890813,-0.03784279047056686,-0.17916664300962937,-0.00937236519747002,-0.0026616024416546294,-7.670494013053161e-05,-0.018658074667287423,-0.00017315974069194467,-0.001749004874118532,-0.001325254523476884,-0.006149651283441587,1.2054432963213252e-05,-7.0890368417247e-06,-4.855163048865405e-05,-0.001398307223652677,-0.00017532581506770497,0.001112683983736259,-0.006508549978566721,2.978846084262664e-07,-0.0016576589539993528,-0.0001457188018532581
5,-0.0017916391062182018,-6.861042361272344e-05,1.7968218686966368e-05,8.421148671603775e-07,4.563636558007451e-06,0.1195498178171557,0.00668661871621775,-0.0006828915241152633,0.0030026458030523256,-0.0004739805709484028,0.0008876711823219479,-0.0011451188908066922,-0.0016150108603544058,0.0004877389863479973,-5.110502243041287e-05,-0.03207591966141102,-0.0024409976116446476,-0.0010766195696453721,-0.03051027918970862,-0.4407634468965752,0.006087972951489826,-0.011164678529251454,-1.1233430962230845e-05,-0.0004244121701218181,-0.002179081495418101,-6.31163524853541e-05,-0.001101701282138032,-3.4461811531417635e-05
6,0.0006832505121480607,0.00014242917992346834,-3.8076980515967775e-05,0.00011418974676796982,-8.6664443099229e-05,-0.00023494279661844173,-0.0006165493366330041,0.0006464736406193244,-0.0002598176168840769,0.012533090280932052,0.0012787175732989666,-0.00021686886632165149,1.3528868209485125e-05,-0.0020299007726270074,-0.0011003717433574433,8.117210033326457e-05,4.966048480465453e-05,-0.001761510829592844,-0.00923412012499432,-0.00010367195273552935,-6.217998127604146e-05,-2.2729988708045547e-06,0.00013667251481564095,0.0006981783134992736,2.73758198979228e-05,-5.1630782180046175e-05,-7.054977292237609e-05,5.568868242377343e-06
7,-0.00024123808672260694,-0.0021926863248958118,0.0018728691478108184,-0.0008488929548928623,1.3384292292039965e-05,3.153674824292512e-05,-0.00974882480710052,0.00010479771813681116,-0.000426569095877698,0.0002759383168331296,-0.017020992900049967,-0.00015497561111005678,-5.949319795120172e-05,8.74431327331823e-05,-0.0020058393478393434,-0.005127307980559592,-0.000298494065916808,-0.0005089105561722128,-0.0023237538892169327,-0.0038328614345816657,-0.0004007439280665067,0.00014884361000948486,0.0001539097275844851,-0.0002301582070284076,0.00030950945477153626,4.496823909670314e-05,0.002065398803977078,-5.317080852595849e-06
8,0.0015846152638280123,0.0004989337089449795,0.0026176131048867854,-0.0005712575690690833,0.00033789734507716246,-4.748993141706604e-05,0.00031167857868726024,-0.0006797468939492872,3.465469493422342e-05,0.005367228042247686,0.000529969015786814,-0.00032177969466807286,0.0059451702029206036,-0.001776447684265839,-3.411366149435794e-05,0.0003813294477241061,0.0004360615514045505,-0.0011499280153318674,0.00013401674669842695,-4.8091938329293006e-05,2.8589229251065207e-05,-0.02156125289593757,-0.7825416742369186,-0.25063426882721657,-0.55432831520258,0.07730890845143518,0.06220853273258653,-1.5507040334302327
9,-0.00011954418448514491,-0.000596091913622468,0.025345403094624363,-0.001988202472065768,0.013412803827330124,0.00023966889048731576,0.006190388701682868,-0.000949433792469113,-0.0020340653352959215,-0.00018761490666589014,0.0003096608228461698,-0.020923248557157294,-5.156792873559019e-05,-0.0013497463492460023,0.00013305711191753653,0.0002896303354307679,0.0008623390696769388,0.001334336746570678,-0.00219614117644554,-0.0014975991359976813,0.000599206394927432,-0.00013546403064283431,0.006626335410184638,0.010306469229764716,-0.0007075686787450032,0.021602078371269758,0.0004237463307935121,-0.00046031641405682713
