layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,0.0005226655938159431,0.00043632895096964677,-8.177026478262926e-06,7.082858760033833e-05,0.00013056203323306073,0.00023248574742868293,-0.00032181665301323447,-0.0002867920873722362,-0.0006078728314103801,0.0004401343992386768,0.004045150517503878,5.96281669148986e-05,0.00011586594855648507,-0.00025741167908884275,0.00030168811023463554,-0.019789351964742238,0.00015942803744611802,0.0009728409778112599,0.0016987342030609248,0.0007046757986719135,0.004133681227877673,-0.0006179726215157856,0.003103824410858739,-0.00023269790342483147,-0.0004056806308556237,0.0001696058160043673,-0.00029552085646266193,0.00014409776848394397
1,-1.4775678857987827e-05,-0.002960126518746446,-0.00044319912848345133,-1.0702573476621805e-05,-2.0054507986344024e-05,-1.564643335068363e-06,-0.003175216616341894,0.0010192622626878291,0.004535046573799687,0.0015303549638653192,-0.00042410714416211975,0.0007326918086786365,-0.0016914217864873338,0.00011277290139618661,1.3935040696826839e-05,0.00019762867711969342,-0.002974641734156116,-0.00013336425083349438,0.00039599042285904675,-0.0010797522990639659,0.028738438397988505,-0.005504547864541241,-0.0014797590701516128,0.0011341144755425553,-0.0013057897830831612,0.0005324626791066088,0.0011584804432602219,-6.0438196321094235e-05
2,0.0015544766895615586,-0.0006256108083030679,-0.00037551634156382947,0.0008728275810621471,0.09656369731800767,-0.00019143904305963952,-0.0005362331867217864,-0.000700336306487907,-0.00036797509796317727,0.00015566312490294894,-0.0005945145398720948,-0.001780913707396986,-0.0002580954197266096,-0.0007101183193396801,-0.00038166155760315494,0.002351253882221791,0.0011981648046851653,0.0034714548980595977,0.0006137213944475332,0.001973930446580908,0.0031603962982294656,0.0005936366844907973,0.0021662460889852824,0.0004026364549366294,0.00024362085422793335,0.0010647029255541676,0.009947678138469827,3.1510417945541634e-05
3,0.0017897571183712537,-3.678211763900048e-05,-0.0012128700241731901,-0.0034403762141406854,-0.0005250577725669859,-0.00016288305151050726,-0.00041293525547359466,0.0009602413323647243,0.20903906694317229,0.00019550229283582827,-0.00030878283283263414,0.023545213129328585,0.00016116913251036234,-0.007397539314182329,-0.0020200648983776342,5.309095327881047e-05,-0.0005993605573515326,-0.00011281857545347784,-0.0005529146084840256,0.0003590565531646613,0.00025029109355590335,-0.00018737530799659984,-0.00023183489211216118,0.00040745872190627665,-0.0001567654682758466,6.697021453315683e-05,-9.215267739075489e-05,-6.944706156791257e-05
4,0.0005368546964565021,-0.0003697936105545479,0.0001761433151033137,-0.0002955855994389009,-0.0008693307752353491,0.0011280519295469495,-0.0015386237951987547,0.00048611511501313445,0.03972478844653601,0.16878138282746646,0.009456954239885467,0.0034824815289727354,8.961712491921994e-05,0.016540019448232832,0.00012636709944040988,0.00114069291001535,0.0005368890661846135,0.004948073420031317,5.049902189287031e-06,9.649672270734193e-06,4.8631010041836987e-05,0.0013646709507909186,0.0001601158316564469,-0.00012930651049047526,0.0043381036926503375,0.00018966540522959087,0.0013225110554603682,0.00017724251838478313
5,0.0034911988795488734,9.8481831422699e-05,-9.373972242362319e-06,1.7774616050537372e-05,7.530478796282454e-05,-0.09161420800220008,-0.00528468208751459,0.00029684391971748303,-0.00469970703125,-0.00016623895287056856,-0.0018081665039062507,0.0006788521434155547,0.0009081354543167084,-0.000689057098037897,-2.981225649516192e-05,0.028813514216192836,0.002273621687030421,-0.002216088817494126,0.022165943379603127,0.4277815252428311,-0.008022987979581985,0.010531228164146684,3.0070514742895403e-06,0.0004005354197545831,0.00023620430080369652,4.89341537557263e-05,0.0007084777928403334,1.7392067274367747e-05
6,-8.40371967047107e-05,-9.29063849749849e-06,6.287702683972692e-05,0.0006391892487975398,0.0002553086742130733,0.00042610938064896833,0.00048044158352744394,-0.0002767416252487033,0.000188770193706511,-0.010142707276618345,-0.0005741229002503156,-0.00033027732966046605,-0.0003978950310484199,0.00109024614209873,0.0007395468281146502,-6.844491565820224e-05,1.2004626665084671e-05,0.0018000982673231991,0.005975339604520251,9.138707314184726e-05,7.442676130381695e-05,-8.802896658123725e-06,-0.0001224278547297791,-0.0015354375729615664,-1.4349550608242933e-05,5.018105195171074e-05,7.138049436939527e-05,-1.9902880820958447e-06
7,0.0002040257855850079,0.0018373188844585757,-0.0017505897872749409,0.0007159345679812723,4.2036575375848e-05,-1.355153026765338e-05,0.007771660084925394,0.0010717833179166934,0.00022285902637173965,-0.00042165604587715344,0.014252892855940193,3.705305043764947e-05,7.300198763270481e-06,-0.00015874512465062927,0.001526171676957279,0.004794420410390102,0.00021706247466733196,0.00033069661750647223,0.0014805209134273593,0.003720924772065259,0.0001847689179168296,-0.0001405218894454307,0.0009808494670180978,0.0006361336543642196,-8.778051398266073e-05,6.338679927518433e-05,-0.0016592581153372702,7.806004692310922e-05
8,-0.0018003028014610578,-0.0004160885781163835,-0.002581305887507295,0.0001039313173842134,-0.0008237051324369337,0.00013270414652038576,-0.0002761592810181274,0.0011552615640720648,0.00017842958713399729,-0.0029466353157014246,0.000667512645209885,0.000356859631008558,-0.0033986906438951752,0.0019497168018443361,3.6473346738517274e-05,1.6662923769014317e-05,9.564889801873314e-05,0.0008468267104634688,0.00018456281373327045,0.00014254439379519945,1.928701254596535e-06,0.01839456474943749,0.666847959788823,0.2407174238299958,0.45208284224586925,-0.15524025529737218,-0.07317626704658128,1.3753105543582376
9,0.0010673332945140344,0.0006546691002973494,-0.022907834400162388,0.0015558155103661542,-0.012229247111470307,-6.140648633584249e-05,-0.004323283374537913,0.002183541484262751,0.00667070337639001,0.0005532854818292987,-0.00015951162097098095,0.021647661581806754,6.006863610497261e-05,0.0013860829488527748,0.00012482480071057244,-0.0013536447766183462,-0.0013437072436014693,-0.0021179937311515944,0.0006197056094348659,0.0014864996475278192,-0.0004430357295434429,0.00024683573693607525,-0.0074209162101891765,-0.005302063806760358,0.0025681298354576355,-0.016825420189634593,-0.001091513140448209,0.00025991073513396664
