layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,-0.00510406494140625,-0.014770247719504614,0.005481546575372868,0.0003235556862547786,1.1270696466590933e-06,-0.01896112615411932,0.003277171741832395,-0.017541191794655537,-0.007093949751420455,-0.023271040482954544,0.13818359375,-0.011879660866477272,-0.012761896306818182,-0.0015980113636363637,-0.0034644386985085225,0.6377840615512631,0.006625088778409091,-0.04310781305486506,-0.05431088534268466,-0.008909745649857954,-0.01131161776455966,-0.022799405184659092,0.005810997702858669,0.014959161931818182,-0.015636097301136364,-0.03477894176136364,-0.015303178267045454,-0.029873934659090908
1,-0.005914861505681818,0.01028164950284091,0.007110595703125,-0.019276012073863636,-0.01410189541903409,0.03621604225852273,0.009497902610085228,-0.004656011408025568,-0.10626775568181818,-0.0009899139404296862,0.0023652857000177542,-0.009124062278053978,-0.011319593949751417,0.024122758345170456,-0.002625031904740759,-0.003068793903697621,0.016156283291903408,-0.02714746648615057,0.0018445795232599454,-0.030850497159090908,-0.08269153941761363,0.009584600275213068,-0.006353204900568182,0.001415642825039959,-0.003931218927556818,-0.021964333274147728,0.02508544921875,-0.015373923561789772
2,-1.2096724076704546,0.0032337362116033404,-0.007824030789462005,-0.7384729602120139,-0.08329079367897728,0.006974653764204545,-0.013553966175426136,-0.005064530806107955,-0.0034637451171875,0.017533042214133522,-0.006061900745738636,0.0082855224609375,-0.0020835182883522725,-0.013075395063920454,0.003079501065340909,-0.016389326615767044,-0.0029768510298295455,0.01264676180752841,0.018771778453480114,0.003343408757990059,0.010178999467329546,0.007745916193181818,-0.006136807528409091,-0.0106201171875,0.01501742276278409,-0.004239169034090909,-0.2951882102272727,-0.015547318892045454
3,-0.045995538884943184,0.0007532293146306819,0.0013479752974076683,0.011783339760520246,0.007119265469637781,-0.00974551114169034,0.0017905668778852954,-0.012213967063210228,-0.21295720880681818,0.041182084517045456,0.009425770152698864,-2.0191539417613638,0.08390669389204546,0.21158669211647727,0.03162730823863636,0.012296676635742188,0.015280983664772728,0.020899685946377842,-0.0036308982155539775,-0.0064697265625,0.010694330388849432,0.004708030007102277,-0.0015019503506747134,-0.02044122869318182,0.01565725153142756,-0.014629017223011364,0.010362798517400568,0.0007990056818181819
4,-0.003519231622869318,0.0009283585981889227,0.0005404732444069591,0.013042731718583533,0.012473366477272728,-0.008028203790838068,0.006120161576704545,-2.8856098651880447e-05,-0.003735802390358645,-0.01833837682550604,-0.0050569014115767,-1.3006813742897727,-0.0025700655850497047,-0.0009841051968661045,-0.004487471147017041,-0.0635102011940696,-0.026684847745028408,-0.10474048961292613,0.004331697117198591,-0.030073686079545456,-0.008830677379261364,-0.06578480113636363,-0.0034092989834872186,-0.0004910826683044434,-0.06042411110617898,0.0022971413352272725,-0.00183573636141691,0.001663424751975324
5,-0.15040172230113635,-0.48987856778231537,-0.00011734528975052733,0.0001547553322531998,-0.005805102261629973,0.011910525235262781,0.012094671075994318,-0.00234222412109375,0.0037730823863636365,0.001355257901278409,0.021391435102982956,-0.004313382235440341,0.0020897605202414775,-0.00419321927157315,0.0008105364712801864,-0.18108021129261365,-0.27748524058948865,0.07994287664240057,-0.14029485529119318,-0.4647549715909091,0.05585080927068537,-0.01295922019264915,-0.00881680575284091,-0.03560569069602273,-0.01889592950994318,-0.058923894708806816,-0.1944247159090909,-0.0006424080241810209
6,-0.00040869279341264076,0.003894679417664352,0.0014131719415838044,-0.07219071821732954,0.0025633898648348727,-0.0069224726070057216,2.9656020077781003e-05,-0.028866854580965908,-0.00181128761985085,-0.05057594992897727,-0.03745547207919034,0.0013522234829989313,-0.007364446466619318,0.0007084933194247136,0.002660404552112923,-0.0216064453125,-0.0030364990234375,-0.16167519309303977,0.0027738050981001407,-0.0033486106178977275,0.0009203824129971591,0.005980751731178982,0.002472964200106536,-0.016998637806285508,-0.03001525185324929,0.0005273493853482379,-0.004454092545942823,-0.0008309104225852318
7,-0.07960332523692738,-0.13801713423295456,0.00071638280695135,0.006268241188742895,-0.014571449973366478,-0.0023550228639082514,-0.5360821810635653,-0.05392733487215909,-0.001940293745561082,0.0009502064098011364,-0.011957341974431818,-0.007415207949551673,-0.00016368519176135877,0.002893274480646309,-0.04250266335227273,-0.022988406094637783,-0.0010848478837446726,-0.007783282886851917,-0.010526310313831678,-0.009801604531028053,-0.005040949041193182,0.0033033110878684315,-0.00698106939142401,-0.012113397771661932,-0.0012520660053599864,-0.0001707944003018409,0.0025544600053267,-0.0015165155584161954
8,-0.0008340315385298273,-0.005040949041193182,-0.0025360801003196046,-0.0019630952314897,0.016705599698153408,-0.006640174172141336,-0.00035112554376775905,-0.010872233997691765,-0.0005025863647460962,0.003160996870561077,0.004120740023526282,-0.006860212846235795,-0.01300048828125,-0.01141357421875,0.00213267586447975,0.0015412243929776228,-0.00048065185546875916,0.013830705122514204,0.008211656050248583,0.0002707134593616793,0.003635699098760431,-3.192471590909091,-2.5355113636363638,-0.012196454134854396,-0.6203835227272727,1.0078915682705967,0.12844016335227273,-0.18744451349431818
9,-0.04463785344904119,0.004293268377130682,0.01722960038618608,-0.017420682040127842,0.014867609197443182,0.00971221923828125,-0.011636213822798296,4.404241388494097e-05,-0.07120323181152344,-7.308613170277272e-05,-0.002362337979403409,-0.17036117206920276,0.006029996004971591,-0.007329550656405364,-0.018070567737926136,0.0008943731134588046,-0.005998091264204545,-0.009047074751420454,-0.00888824462890625,-0.020962281660600147,0.002914948896928263,-0.002514925870028409,0.01969372142444958,-0.07874644886363637,-0.011378721757368605,-0.03480859236283736,-0.00277848677201705,-0.004966042258522727
