layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,0.0023174285888671996,-0.00026782353719075346,0.0009113417731391111,-8.09229226837892e-15,-0.002770953708224828,-6.479687160915869e-05,0.0008266766866048195,0.000773777564366666,-4.7471788194444445e-05,0.00044886271158854445,-2.6093588935018224e-06,0.00044727325439453336,0.002005683051215278,0.0009860992431640556,0.0009987089369032055,-4.9408602765856534e-08,0.0016581217447916667,-0.00036387973361544444,-0.009361876381768115,-0.002182854546440972,0.001838472154405389,-0.0009573300679524778,0.0021165211995442666,5.1710340711811145e-05,-0.00042491488986544444,0.0008217493693033632,0.00014872021145291212,0.0007555219862195951
1,8.629676368500704e-05,0.013156467013888888,0.0036023457845052,4.109740257262021e-05,0.00013812383015951668,3.518329726325141e-08,0.00991058349609375,0.0020451015896267386,-0.0015869140625,-0.00037384033203125,0.004356596204969622,-0.00018056233723958334,0.0023689270019531337,-0.0031019846598307334,0.0010590023464626833,0.002360767788357217,0.0014444986979166667,0.00012967983881630055,0.005736456976996528,0.006760703192816839,0.005777994791666667,0.012978447808159722,0.0009162690904405334,-0.00169266594780815,0.001363118489583337,0.0005249049928453223,0.011155446370442705,-2.9100312127003523e-05
2,0.0011785295274522724,0.013346354166666666,0.006455255879296189,0.0031323432922363277,-0.054473876953125,0.005420062277052124,0.026262071397569444,0.014903982480367025,0.016958448621961806,0.005583763122558595,0.007715861002604167,0.019532097710503474,0.011658138699001733,0.008565054999457467,0.0060708787706163225,0.0015347798665364554,0.0006633334689670167,0.0031907823350694445,0.00274658203125,0.005859904819064672,0.00634765625,-0.0032688776652018223,-0.004706488715277773,0.008646223280164934,0.007970174153645834,-0.00036806530422635417,-0.004988776312934028,0.004991054534912106
3,-0.0019910070631239058,0.0024873945448133723,0.013427522447374133,0.005978054470486111,0.008920881483289934,0.008707894219292533,0.008039898342556423,-0.003284348381890172,-0.24525282118055555,0.000489991572168141,0.0025553769535488686,-0.005865732828776039,-0.0033676359388563333,0.004350238376193583,0.007717556423611111,0.0021992259555392766,0.004594590928819444,0.0045687357584635385,0.010266304016113278,0.002236260308159722,0.0008300145467122417,0.01453929477267795,0.008323245578342017,0.004026525550418445,0.00524748696221244,0.0010954671435885856,0.005550569958157017,0.0069400999281141445
4,0.00046306186252169444,0.0006724463568793387,0.0003244611952039944,-2.3735894097222223e-05,-0.00045829349093967766,0.0017757150861952068,0.0017530653211805555,-0.00023626453346673796,-0.026959737141927082,-0.1390380859375,-0.008225758870442705,-0.0033091968960231983,-5.902681085797433e-05,-0.014773050944010416,0.0005108250512017149,0.005686442057291667,0.00011828210618759877,-0.009607103135850694,0.00024631453884971146,4.098150465224148e-05,0.0002902762757407237,-0.00010712941487630553,0.00033277604315015414,0.0019153700106673667,-0.0023089514838324668,0.002390543619791645,0.0002670155631171263,0.0004490481482611779
5,-0.006613307529025605,-4.359748628404666e-05,0.00016913811365763278,0.001183470090230287,-0.0006376372443305056,0.09760379791259766,0.007898754543728294,0.0016918182373046832,0.013373480902777778,0.0028699239095052054,0.0038392808702256945,-0.0017524295383029556,-0.001964145236545139,0.003128899468315972,0.003599961598714194,-0.027434878879123267,-0.0014264848497178722,-0.0008227030436197889,-0.025666978624131944,-0.3576931423611111,0.004371113247341572,-0.010520511203342011,0.001634822951422802,0.00044944551255967225,0.005642361111111106,0.0004430264234542892,-0.0009119775560166993,4.1621426741287876e-05
6,0.0008824831909603647,8.576611677803812e-05,4.177623324922552e-05,0.0004374550448523582,0.00024452971087562166,0.0004200405544704778,-5.7829750908743224e-05,0.0005269580417209165,0.0002879401048024304,0.016444736056857638,0.004605505201551656,0.011416117350260416,0.0007917616102430611,0.004772451188829205,-0.0018418629964192554,0.0006633202234903936,0.0009595288170708501,-0.0002464271254009607,-0.009183247884114584,8.097125424278135e-05,0.0001092147496011418,0.003110759788089343,0.009518411424424915,0.006688435872395833,0.0015379322899712244,0.0018844736946953783,0.0010320908493466072,0.00074912359317144
7,0.0007385677761501792,-0.0006111992730034722,0.007077217102050778,-0.00016689300537110004,0.0005133946736653722,0.00019353131453194816,-0.0014597574869791778,0.003626823425292978,0.002263360553317606,0.005065812004937067,-0.00862418280707465,0.004203690422905822,0.003816505273183177,0.006023459964328345,-0.0005270110236273888,-0.0030918121337890504,0.004374821980794266,0.0011459986368815111,0.004900826348198783,-0.0012626647949218668,0.003160688612196178,0.002608140309651689,0.006053765614827467,0.0029935836791992057,0.002034452226426867,0.0011014805899725979,0.013733969794379339,0.0011816422144571837
8,0.03507232666015625,0.0018086300955878387,0.009326934814453128,0.002609464857313361,0.0027940538194444445,0.0074272155761718715,0.001981510056389699,0.010722266303168406,0.004636128743489583,0.030080159505208332,0.007373279995388461,0.003118515014648433,0.05172390407986111,-0.002905951605902778,0.00029863251580132224,0.0009876887003580834,0.0020577112833659,8.222791883679996e-05,0.0008379618326823,0.00045500861273872783,0.00013464026980928602,-0.01001176569196912,-0.7963595920138888,-0.3939615885416667,-0.3948160807291667,0.03450283739301893,0.04450183444552951,-1.7483723958333333
9,-0.0017650392320420945,-0.0011303391721513509,-0.017742580837673612,0.0009805891248915,0.012060377332899306,0.0004318290286593927,0.010509067111545133,-0.00418716006808811,-0.031240675184461806,-0.0005420578850640167,0.00015857484605576665,-0.07099745008680555,0.0010027686754862416,0.0022574530707465223,0.0006521013047960111,0.0027898152669270835,-0.0015323426988389723,0.0013413959079318556,0.00164031982421875,-0.0008348888821072056,0.0023947821723090223,-0.005693250232272675,0.0131178961859809,-0.02934816148546007,-0.004000027974446616,0.017445882161458332,0.005147298177083333,-0.0011298987600538238
10,-0.005200280083550344,0.008037249247233078,-0.02383677164713541,-0.001070261001586906,0.001830259958903011,-0.0003319051530626033,-0.005719926622178811,-0.005264282226562495,-0.0024181074566311344,-0.009849336412217878,0.00020115905337864332,0.002009497748480911,-0.0003497865464952222,-0.0015652444627549831,0.00034420357810125785,0.0018230279286702343,0.0004034108585781351,0.00010236269897882674,0.0001603960990905616,-0.0072021484375,0.000879353947109622,0.0028675927056206556,0.0005443758434719228,0.0009317398071289076,-9.674496120877225e-05,0.000215296943982421,0.0002376735210418531,9.029027488495752e-05
11,-0.024831136067708332,0.00034285253948633493,-0.004377524058024089,0.0012243191401163636,0.0005203617943657779,0.0004937648773193407,-0.0015870200263129368,-0.010286543104383684,-0.1641879611545139,-0.003197987874348961,-0.005794631110297311,-0.0006545384724934944,-0.0038892957899305555,-0.017707400851779517,0.005891376071506083,0.0015268193350898005,0.0017804569668240001,0.002939754062228739,0.001803199450174964,3.4946948289865314e-05,0.0027582380506727517,-0.0022405452198452315,0.0008955001831054501,-0.02899954054090712,-0.18516710069444445,-0.0044098960028754386,-0.3467746310763889,-0.00863926940494114
12,0.000292463435067062,-0.015379375881618917,5.7551595899756634e-05,6.772246625687402e-05,-0.0012307680315441524,8.745325936217034e-06,-0.005391756693522133,-0.021393669976128474,-0.008743709988064239,-0.002306620279947922,-0.0003369218773311983,0.0003931257459852446,0.007420857747395833,-0.00318861007690429,-0.0041525099012586775,-0.0022599962022569445,-0.009935590955946177,0.0015841590033637111,0.0027798546685112824,0.001033385594685889,-0.06820170084635417,-1.753783888288284e-05,0.002850532531738283,-0.00960219403107961,-0.6626519097222222,-0.0018900367948743958,0.0008165571424696167,0.01197220881779989
13,-0.0023271772596571167,-0.002642366621229383,0.0006586710611979167,-0.006342569986979161,-0.008959982130262584,-0.0046602884928385446,-4.324648115369087e-05,0.00021976894802517495,0.0007549391852484672,0.00043399135271707197,0.0017319553428225807,6.696912977430556e-05,0.0007901721530490444,0.002137237124972859,-0.017369588216145832,-0.006436083051893445,-0.019856823815239802,-0.01189295450846354,-0.008530060450236,-0.008780585394965278,-0.014353434244791666,-0.001246982150607639,-0.005237367418077262,-0.0019533899095323234,-0.008812215593126083,-0.0066020753648546,-0.001474512947930239,-0.0017644564310709666
14,-0.9154052734375,0.02159319983588325,-0.18666881985134548,-0.030020395914713543,-0.19196912977430555,-4.2188498708931e-05,-0.1862301296657986,-0.0002856784396701389,-0.5485297309027778,-0.0030841694937811964,-0.032753838433159724,-0.07357067532009548,-0.020300123426649306,-0.01328325271606445,-0.011803521050347217,-0.026723649766710073,-0.003594292534722217,0.00036174390051100575,-0.06086391872829861,-0.0013493961758083764,-0.0028523339165581613,-0.0008320742183261332,-0.010118974579705132,-0.020445717705620654,-0.0013597276475694445,-0.0007743305630154056,0.00041876898871527775,-0.007612811194525821
15,0.002129289839002828,0.0006561279296874946,0.0010537306467692162,-0.00014559427897135416,0.0021832784016927054,0.0004820558759901276,0.00016132328245375066,-0.0018967522515190998,0.00035918752352395673,0.00020529578129449474,-0.00030181143018935086,0.00013658735487194376,0.0003157539500130586,0.00037352244059245005,0.025346544053819444,-0.036384794447157115,-0.0009952386220296228,-0.0006910231378343283,-0.4618869357638889,-0.008918709225124761,-0.6315104166666666,-9.864237573411523e-05,-0.002386464012993711,-0.0020162794325086614,-0.038588629828559026,-0.008256700303819439,0.0004731019337971939,-0.005733569463094071
16,-0.3019979265001085,-0.2386050754123264,-0.030371771918402776,0.015648108389642496,-0.05792956882052951,-0.016146341959635418,-0.03669982486300999,-0.10263866848415798,0.0022748046451144845,0.030417760213216145,0.0009356405999925392,-0.011601765950520834,-0.003279262118869361,-0.011593500773111977,-0.03120655483669705,-0.004492547776963972,-0.021573808458116323,-0.009312099880642362,-0.016261630588107638,-0.010693868001302077,-0.06754408942328559,0.0013656329570545047,0.0006860229704115064,0.0006703531576527362,0.0026755299833085802,-0.00019491353951809105,0.0002059671613905057,-0.009023798836602105
17,-0.0014205773671467992,-0.001432147290971529,9.240168664189497e-05,-6.804201338024872e-05,0.0006648037168714711,0.002125514878167043,0.0002702656719419641,-0.003299196561177568,-0.027727762858072918,-2.157688140868442e-05,-0.003361172146267361,0.0002922614415486588,-0.0006722344292534666,-0.0019190046522352335,0.00046708848741319444,-0.011712286207411023,-0.0006151439415083965,-0.018441942003038194,-0.14830123053656685,-0.02544784545898437,-0.01805213424894545,0.0013551712036132778,-0.00040862295362684305,0.004970047208997928,-0.5430467393663194,0.0010832415686713294,0.013495392269558381,0.0009719183047612392
18,0.002858188417222772,-0.000351713763342956,0.0007462898890177208,0.0012685457865397,0.011560228135850694,0.0026166703965928833,0.0023695098029242767,2.788461313703769e-10,-0.00032658378283182955,-9.364551968033766e-06,0.060352444648742676,-0.0020029015011257464,-0.0008602142333984334,-0.012900458441840278,-0.003459294637044266,-0.06514188978407118,-0.061455620659722224,-0.0022956430912017835,-0.0293532477484809,-0.012294769287109384,-0.0019763708114624015,0.00047229064835441117,-0.0038549635145399275,-0.005202399359809028,0.004497528076171884,0.0005170239342583557,-0.0025119384129842124,0.0007353425025940004
19,-1.8793003680755246e-16,-0.0011533101399739557,0.002582973904079861,-0.0010994805230034779,0.00018806227793295103,-0.0037500063578287785,-0.008760293324788416,0.0018237431844075555,0.0010432551304499315,0.0005342364311218305,-0.0003157721625433945,0.002532217237684461,0.005631128946940117,0.0016957802904976884,-0.016922738817003045,-0.002525329589843745,0.011689530478583439,-0.06414031982421875,-0.03478580050998264,0.010125160217285163,-0.0831332736545139,0.021371629503038198,-0.0883284674750434,-0.03236341476440429,-0.013792938656277128,-0.011848873562282983,-0.020074632432725694,-0.002212444941202788
20,0.0002560019493102902,0.0027243296305338558,-0.010498762130737305,-0.00024746523963080407,0.0034837722778320334,-0.0023111502329508445,-0.005550384521484385,0.002289983961317272,0.0077606836954752555,0.0014602873060438333,0.002157105339898,0.0008534855312771299,0.0038192537095811554,-1.3033548990888886e-05,0.0005848209063212073,9.372499254014598e-05,-0.0025844838884141906,-0.024139404296875,-0.0009459654490152915,0.00047485033671061053,-0.0001389185587565247,-0.005107482274373371,-0.004055629173914581,-0.002583185831705722,-0.0106914308336046,-0.001661778324180172,-0.0023841857910156276,-0.004663202497694234
21,-0.0016926990614996933,4.567040337457224e-05,-0.005505296919080955,-0.0018774933285183276,-0.005095574590894903,-0.03600067562527126,-0.0031981468200683555,0.001816802554660378,0.0009007983737521562,-3.9661924044284935e-05,0.001410375038782742,-2.907796038525124e-06,0.0006713469823201487,0.0020838843451605887,-0.009205765194363062,0.006157716115315769,0.00030969248877631573,-0.00032933553059895555,0.0009455945756700374,-0.004393365648057711,0.0002769364251031,-0.009681277804904506,-0.003904183705647795,1.5722380744084115e-05,0.05658152368333605,-0.008396625518798835,-0.0012600322564442887,-0.0060336391131083165
22,-0.0032220813963148263,-0.025291019015842017,-0.00024744537141588725,-0.004609773970312524,-0.00463132725821601,-0.025575425889756944,0.0013098087575700663,0.0015674167209201333,0.00854296154446071,0.0009521113501654745,0.0037629869249131997,0.0004066096411810925,-0.004169079992506234,-0.02419100867377387,0.001791901058620872,-0.00015273359086778472,0.001053969065348311,-0.005566487709681185,-0.0007887019051445771,-0.0006242824925316785,0.0003435545497470373,0.00041945775349934997,0.0017924838595920112,-0.003676169448428673,-0.023710038926866323,-0.009557194179958761,-0.013013786739773206,0.00011926227145725487
23,-0.004884367187817895,0.00039434432983399457,-0.004934754636552592,0.00026961167653403155,0.0011671913994683277,-0.001855936315324573,0.0010632938808864945,0.0009867979420555774,-0.0006692674424913168,0.020312839084201388,0.00021154019567700197,-0.01862536536322699,0.006712595621744784,0.01793750127156575,-0.0001237922244601889,0.0029707418547736198,0.0011632442474365104,0.00182003445095485,0.04055139753553602,0.008361763424343523,-0.007130808300442161,0.0003684552179442438,-0.00030589352051416287,0.0010075039333767425,9.894371032707712e-06,0.0009818606906467054,-0.012591838836669925,-0.009324285719129766
24,0.0007712079419030074,0.0005013909604814328,0.0015980402628580834,0.0011888725890053598,0.0008167690700954846,0.0004456506835089789,0.00450652175479465,0.0008428891499837168,0.06805258327060276,0.0047908359103732605,-0.0001797411176893421,0.004731920030381944,0.0029809739854600777,-0.0013905631171332335,0.022056367662217885,-0.00017584694756402218,0.0005470315615336079,0.003117773267957883,0.0006303787231445221,0.004798889160156255,0.0006980366177029122,-0.044226381513807506,0.0023801260524325845,0.01025261481602986,0.002987596723768445,0.0025912564661767713,0.007877614763047967,0.000826454824871468
25,0.005141841040717218,0.0016922487152947355,0.0003883043924967427,0.0005613499217563246,0.0009403228759765612,0.0003485083580016951,0.0006044043434990631,-0.0006853209601508278,-0.01583056979709201,-0.0013843642340765946,0.0001931455400255002,-0.0032003190782335165,-0.01861370934380425,0.030190997653537333,-3.679665840334502e-05,-0.0006345113118489556,0.00022387380401294637,0.000815755791134295,7.53428580032406e-05,-3.4263667960963736e-05,-0.006169848971896706,0.003380537033081033,0.0015309651692708222,0.002557595570882161,0.002915806240505645,0.022635989718967017,0.00020175509982638297,0.0009227593739827279
26,0.008510377671983501,0.001988357967800561,0.012138790554470483,-0.00518592198689779,-0.0012965732150607612,0.003617948955959744,0.1704779730902778,0.049178229437934026,0.0013229929738574524,0.004646155569288462,0.005083719889322917,0.0016553931766086101,0.007350709703233512,0.011771308051215278,0.0221099853515625,-0.0025056203206380223,-0.02677154541015625,0.0032374064127604165,-0.019987742106119796,0.049845377604166664,-0.0006001790364583278,0.0014728572633531355,-0.010383764902750638,-0.002302699618869367,0.008687337239583334,-0.007184717390272343,0.0019504725933074838,-4.4133928087038955e-05
27,0.0008735126919216499,0.005809333589341902,-0.004831949869791667,-0.007417466905381944,0.009084065755208334,0.004847208658854167,0.004540337456597222,0.001665698157416455,0.0006035334534115109,2.9991070429481977e-05,2.2852090590200995e-14,-0.02310360863339157,-0.1995353622409238,4.631388659618691e-08,0.040282355414496526,0.008722517225477434,0.0005155139499240498,-0.000490082634819883,0.010296609666612416,0.0149993896484375,-0.0007735358344184057,-0.004752529991997611,-0.004758410983615456,-0.00012641482883030516,-0.004030863444010417,0.0023869408501519056,0.006082124180263952,0.018673366970486112
