layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,-0.051215277777777776,-0.5006510416666666,-0.1037326388888889,0.06327311197915825,-0.0467529296875,-0.4292534722222222,-0.0024244520399305555,-0.13484700520833334,-0.012586805555555556,-0.17860243055555555,0.04406907823350695,-0.14518229166666666,-0.18153211805555555,-0.07682291666666667,-0.018685234917534724,0.5791015625,-0.13758680555555555,-0.062337239583333336,0.019225226508246523,-0.05178493923611111,-0.012228224012586799,-0.09868706597222222,0.025712754991319444,-0.1828342013888889,-0.1851128472222222,-0.333984375,-0.20768229166666666,-0.3721788194444444
1,-1.6064453125,-0.059397379557291664,0.0020887586805555555,-0.3593207465277778,-0.3697916666666667,0.016289605034722224,0.0069580078125,-0.1738009982638889,-0.10545518663194445,-0.022549099392361112,-0.14905855390760633,-0.08299424913194445,-0.1617702907986111,0.061693827311197914,-0.025380452473958332,0.0012938181559244792,-0.16292317708333334,-0.7029758029513888,-0.03721788194444445,-0.4623633490668403,-0.3193630642361111,-0.013227674696180556,-0.059733072916666664,0.003913005193074544,-0.392822265625,-0.243896484375,0.0537109375,-0.3019748263888889
2,-0.7483723958333334,0.011949327256944444,-0.0958251953125,-0.2726779513888889,-0.0684144761827257,-0.10651312934027778,-0.08986409505208333,-0.12384711371527778,-0.06791178385416667,-0.04354943169487848,-0.0651668972439236,-0.13106282552083334,-0.07331678602430555,-0.1501549614800347,0.008043077256944444,0.09385850694444445,0.16444227430555555,0.09358723958333333,0.0705837673611111,0.016021728515625,0.10118272569444445,-0.0641818576388889,0.058919270833333336,-0.1092800564236111,0.040852864583333336,0.0966525607638889,0.20203993055555555,-0.4150933159722222
3,0.020199245876736112,-0.13509114583333334,-0.08412000868055555,-0.0583343505859375,-0.028364393446180556,-0.048177083333333336,-0.0621596442328559,-0.2798936631944444,-0.11897786458333333,-0.3479546440972222,-0.1449195014105903,-1.4312405056423612,0.06282552083333333,0.4523790147569444,0.1318359375,-0.07417805989583333,0.010009765625,0.0955539279513889,0.030938042534722224,-0.0988498263888889,-0.023457845052083332,-0.037665473090277776,-0.0998263888888889,-0.0008884006076388889,-0.14842393663194445,-0.4768337673611111,-0.1312934027777778,-0.5459798177083334
4,0.007113986545138889,0.001071506076388889,-0.00035264756944444444,0.038228352864583336,0.017333984375,-0.0004085964626736111,0.0010782877604166667,-2.7015805244440244e-05,-0.006805207994249111,-0.0582275390625,-0.007698721355862078,-0.9823133680555556,-0.0010710822211371222,-0.00057796637217202,-0.0723537868923611,0.09373304578993055,0.0035451253255208335,-0.057183159722222224,-0.06268988715277778,-0.1052186754014757,-0.04077487521701389,-0.2125922309027778,-0.021228366427951388,-0.016121758355034724,0.0901150173611111,-0.05680677625868055,0.005423651801215278,-0.007091946072048622
5,-0.5564778645833334,-1.6942274305555556,-0.010854085286458334,-0.13044908311631945,-0.07795206705729167,-0.028767903645833332,-0.015061272515190979,0.11249457465277778,-0.010043674045138888,0.016099717881944444,-0.001220703125,0.042046440972222224,0.0052490234375,-0.0007731119791666666,-0.021428426106770832,0.014102935791015622,-0.1556633843315972,0.2727864583333333,0.045355902777777776,-0.282470703125,-0.03305392795138889,-0.08445909288194445,-0.14512803819444445,-0.6448160807291666,0.1174282497829861,-0.042724609375,-0.07725694444444445,-0.015484491984049489
6,-0.05456627739800348,-0.021623187594943576,-0.0361328125,-0.07239447699652778,-0.013408237033420133,-0.032112969292534724,0.00038931104871963335,-0.04043240017361111,-0.07251188490125866,-0.20698038736979166,-0.13736979166666666,0.010832044813368056,-0.006310356987847222,0.003000471327039933,0.07581922743055555,-0.6477322048611112,-0.05079481336805555,-0.61181640625,-0.01458740234375,0.030046251085069444,-0.12022569444444445,-0.07551214430067273,-0.03521389431423611,0.008824666341145834,-0.08113606770833333,-0.013548109266493056,-0.27844778696695965,-0.2689700656467014
7,-0.1371527777777778,-0.2377387152777778,-0.034995185004340276,-0.033684624565972224,-0.17631975809733072,-0.0214631822374132,-0.7341579861111112,-0.11138237847222222,0.005506727430555556,-0.004357231987847222,-0.11414930555555555,-0.0030992296006944445,-0.006460401746961811,-0.016421847873263888,0.022054036458333332,0.009989420572916666,-0.007286707560221355,-0.008633083767361112,0.0783420138888889,0.037634955512152776,-0.014872233072916666,-0.014804416232638888,-0.06974283854166667,-0.033894856770833336,-0.003233591715494789,-0.013108995225694444,0.006585015190972222,-0.020426432291666668
8,-0.09052191840277778,-0.037224027845594615,-0.023885938856336813,-0.008914523654513888,0.0040283203125,-0.0507401360405816,-0.00411266750759549,-0.17657979329427084,-0.020809491475423166,-0.0677761501736111,-0.024044460720486112,-0.06299336751302083,-0.24960496690538195,-0.012553744845920133,-0.026648627387152776,-0.09059206644694011,-0.01044580671522351,-0.002072652180989578,-0.2718946668836806,-0.039925469292534724,0.006525675455729167,-2.0616319444444446,-1.7621527777777777,-0.008758544921875,-0.3552517361111111,1.8802354600694444,0.11414930555555555,-0.1444769965277778
9,-0.030533684624565977,-0.002298143174913211,-0.03544871012369791,-0.015987608167860243,-0.0221956041124132,-0.036214192708333336,-0.03627840677897135,-0.1164279513888889,-0.08307562934027778,-0.030446370442708332,-0.012797037760416666,-0.23692491319444445,-0.0016593933105468665,-0.009891086154513888,-0.11409505208333333,0.013980441623263888,0.010562472873263888,-0.0458984375,0.0056902567545572885,-0.033365885416666664,-0.016976250542534724,-0.010578579372829855,-0.03410508897569445,-0.2854342990451389,0.003562079535590278,-0.1596408420138889,-0.021796332465277776,0.007627699110243056
