layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,-0.01434795673076923,-0.07701697716346154,-0.01866736778846154,0.009414672851551013,-0.05206298828125,-0.07393704927884616,0.0014422490046574613,-0.00811298076923077,0.025615985576923076,-0.07782451923076923,0.02387061485877404,-0.0006385216346153846,0.023399939903846152,0.05194561298076923,-0.011268028846153846,0.39152635318728596,0.02062049278846154,-0.13038517878605768,-0.06591327373798077,-0.026066706730769232,-0.01294414813701923,-0.012939453125,0.032029371995192304,-0.026893028846153848,-0.044546274038461536,-0.058443509615384616,-0.03201998197115385,-0.05521334134615385
1,-0.3660231370192308,-0.002873347355769231,0.02294921875,-0.0863506610576923,0.018329326923076924,0.09160907451923077,0.018977238581730768,-0.024479792668269232,-0.07909217247596154,-0.005536592923677885,-0.03896625225360577,0.00017723670372596153,0.015763502854567308,0.08803382286658654,0.02070676363431491,0.003942049466646638,0.08484825721153846,-0.18025090144230768,-0.011460524338942308,-0.08139272836538461,-0.06280048076923077,0.0007887620192307692,-0.018902118389423076,0.0029935103196364076,-0.10201791616586539,-0.06914813701923077,0.011117788461538462,0.10293344350961539
2,-0.7109398475060096,0.035341702974759616,0.002997178297776438,-0.11962890625,-0.17875319260817307,-0.026313194861778848,-0.010831392728365384,-0.043211716871995196,-0.030010516826923076,-0.03438626802884615,-0.0026456392728365385,-0.026423527644230768,-0.010819068321814907,-0.06644381009615384,0.015475933368389424,0.004244290865384615,0.030818058894230768,0.004122220552884615,0.01447002704326923,0.008803147536057692,0.04075270432692308,0.03238384540264423,0.012319711538461538,-0.042887174166165866,0.0031456580528846155,-0.05817119891826923,-0.3527644230769231,-0.017512394831730768
3,-0.05355130709134615,-0.045015775240384616,-0.0431365966796875,-0.012917151817908654,-0.006087083082932692,-0.026334322415865384,-0.004072922926682692,-0.08022836538461539,-0.19420447716346154,-0.10884915865384616,-0.034158559945913464,-1.5027043269230769,0.017803485576923076,-0.001605694110576923,-0.010216346153846154,-0.025728665865384616,-0.006742037259615385,0.02190223106971154,-0.018593421349158652,-0.06351412259615384,0.011953207162710346,-0.004761915940504808,-0.020939753605769232,-0.026404747596153848,-0.02006119948167067,-0.14768629807692307,-0.005643404447115385,-0.15807166466346154
4,-0.004612849308894231,-0.008786714993990384,-0.0007564838115985614,0.016791710486778848,0.004762062659630408,-0.0046539306640625,0.0016150841346153845,-0.00010930574857271611,-0.011248882000262908,-0.1734337439903846,-0.011464045597956716,-1.3376652644230769,-0.0015924160297100308,-0.002005677956801187,-0.041582547701322116,-0.08707838792067307,-0.005044790414663462,-0.1390052208533654,0.0027741652268629766,-0.05725567157451923,-0.020348182091346152,-0.0950458233173077,-0.008009690504807692,-0.004416245680588939,-0.02806678185096154,-0.016573392427884616,-0.002539708064152631,0.0006445371187650307
5,-0.3605769230769231,-0.7721228966346154,-0.005659836989182692,-0.032269991361177884,-0.02095090425931491,0.004895136906550477,0.0021197979266826925,-0.0006132859450120235,-0.003908597506009615,0.00796978290264423,0.014423076923076924,-0.01573768028846154,0.0024249737079326925,0.034639798677884616,-0.007021390474759615,-0.18163123497596154,-0.2007117638221154,0.07031484750600961,-0.24813138521634615,-0.5985952524038461,0.06583345853365384,-0.042349008413461536,-0.05992478590745192,-0.34531578650841344,0.0005047137920673077,-0.03003868689903846,-0.1727582491361178,-0.009307861328125
6,-0.01670309213491587,-0.0036240357619065464,0.004658185518704923,-0.016084524301382207,-0.002722520094651446,-0.015550466684194707,0.0013601138041569574,-0.039029634915865384,-0.05299289409930889,-0.0710308368389423,-0.021559495192307692,0.006766686072716346,0.00189208984375,0.02594727736253005,-0.022554837740384616,-0.3090256911057692,-0.029658390925480768,-0.5492037259615384,-0.006122295673076923,0.0313720703125,-0.007587139423076923,-0.026711390568659857,-0.011952546926645139,-0.02991661658653846,-0.055025540865384616,-0.005757551926832939,-0.16556351001446062,-0.03991992657001202
7,-0.10101083608774039,-0.31460336538461536,0.002338115985576923,-0.053060091458834134,-0.11630454430213341,-0.01623359093299278,-0.9579326923076923,-0.07345346304086539,-0.01107318584735577,-0.01930383535531851,0.025550255408653848,-0.014054518479567308,-0.005858201246995192,-0.014977088341346154,-0.007327740009014423,-0.007283137394831731,-0.006585341233473562,-0.005532191349909861,-0.018028846153846152,0.0008638822115384615,-0.009570782001201924,0.002512418306790869,-0.023259089543269232,-0.012406569260817308,0.009384742149939899,0.023857410137469948,0.017672612116887025,0.010291466346153846
8,-0.020240196814903848,-0.017523545485276446,0.0036151592548076925,0.01679405799278846,0.02359801072340745,-0.01391132061298077,-0.002159705528846154,-0.02857032189002404,-0.006564287038949813,-0.014466505784254808,-0.014514629657451924,-0.014768160306490384,-0.08562997671274039,-0.05595104510967548,-0.008908785306490384,-0.024166400615985576,-0.003534390376164362,0.004587026742788462,-0.055222731370192304,-0.011286295377291153,-0.006823108746455266,-2.581280048076923,-2.9537259615384617,-0.014448312612680285,-0.9056490384615384,0.37216421274038464,0.0010892427884615385,-0.20256159855769232
9,-0.07900061974158654,0.0009002685546875,-0.052023080679086536,0.0038011991060697154,0.0001220703125,-0.014464158278245192,-0.035811204176682696,0.01143939678485577,-0.2823744553786058,-0.01820960411658654,-0.004605880150428192,-0.7860576923076923,-0.016018207256610576,-0.00885479266826923,-0.10357196514423077,0.015146108774038462,0.012552114633413462,-0.0074615478515625,0.0028064434344951925,-0.003331111027644231,0.0004325279822716307,0.002486962538499101,0.05861722506009615,-0.31219482421875,-0.01429220346304086,0.017957247220552884,-0.0007312481219951849,-0.004426222581129808
10,0.0707256610576923,0.00046304556039663836,-0.38070913461538464,0.00926677997295673,-0.08338253314678486,-0.17121769831730768,-0.006436861478365385,-0.10225736177884616,-0.01804058368389422,-0.050307053786057696,-0.009367722731370192,0.005598214956430285,-0.0045227637657752305,-0.07883159930889423,-0.020047701322115384,-0.07065523587740384,-0.012489612285907446,-0.003535637488731969,-0.005061222956730769,-0.10496168870192307,-0.0026223109318659846,-0.09307920015775241,-0.41142669090857875,-0.08676910400390625,-0.050912710336538464,-0.054064237154447116,-0.022271468089177057,-0.1959097935603215
11,-0.040513258713942304,-0.0014914732712965708,0.024834266075721152,-0.059255746694711536,-0.0027137169471153845,-0.46126615084134615,-0.011817345252403846,-0.6120981069711539,-0.3346980168269231,-0.059312086838942304,0.022117614746093747,-0.046142578125,0.03977614182692308,-0.4603846623347356,-0.12109375,-0.053394629405095026,-0.058485764723557696,-0.13663776104266828,-0.09590090238131009,-0.4733434823843149,-0.12472064678485577,-0.019103600428654596,-0.026655930739182692,0.052842360276442304,-1.0720027043269231,-0.009201636681189907,-0.9719473031850961,-0.0160058828500601
