layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,0.017768012152777776,0.09903971354166667,-0.024549696180555556,-0.8313284979926244,0.008524576822916666,0.12312825520833333,-0.0033521652221679722,0.022433810763888888,-0.08452690972222222,0.03379991319444445,-0.03759426540798611,-0.021375868055555556,-0.011935763888888888,-0.04405381944444445,-0.0007353888617621556,-1.1672634548611112,-0.0033772786458333335,-0.0015665690104166667,-0.024685753716362845,-0.020423041449652776,-0.009657118055555556,0.033467610677083336,-0.06989034016927083,0.055409749348958336,0.061279296875,0.023383246527777776,0.04342312282986111,0.025987413194444444
1,0.4999321831597222,0.012156168619791666,0.03443739149305555,0.13232421875,-0.13292100694444445,-0.057332356770833336,-0.002677069769965278,0.07702467176649305,0.07667965359157985,0.026273939344618056,0.07055579291449653,0.04641766018337674,0.06312179565429688,-0.09433831108940972,0.002953423394097222,0.0029629071553548166,-0.014851888020833334,0.29718017578125,-0.018459743923611112,0.1832953559027778,0.0651584201388889,0.03894382052951389,0.0421905517578125,-0.001963827345106328,0.1446295844184028,0.14360555013020834,0.011420355902777778,0.027262369791666668
2,0.5538126627604166,0.027825249565972224,0.051876068115234375,0.1927608913845486,0.1172824435763889,0.056264241536458336,0.03685357835557726,0.061104668511284724,0.004285176595052083,0.024821387396918405,0.020227644178602434,0.05546739366319445,0.026251898871527776,0.0953030056423611,0.0035582648383246495,-0.0025227864583333335,-0.05987887912326389,-0.017306857638888888,9.324815538194445e-06,-0.016796535915798612,-0.009494357638888888,-0.0411376953125,0.006374782986111111,0.03706698947482639,0.0012885199652777778,-0.12143622504340278,-0.01318359375,0.12126329210069445
3,-0.014044019911024306,0.04510837131076389,0.05563524034288195,0.021451738145616316,0.039398193359375,0.012789408365885416,0.028099907769097224,0.07499186197916667,0.1398383246527778,0.13279893663194445,0.0455873277452257,1.032045152452257,-0.0062255859375,-0.3294864230685764,0.041666666666666664,0.0262451171875,0.009772406684027778,-0.05058712429470486,0.009368896484375,-0.004774305555555556,0.007326126098632811,0.023017035590277776,0.007297092013888889,-0.017296685112847224,0.051168335808648005,0.15751139322916666,0.06999291314019097,0.2351345486111111
4,0.0031890869140625,0.005040486653645833,-0.0035146077473958335,-0.032446967230902776,-0.012705061170789927,-0.009933259752061628,0.0017946031358506945,5.96410698360827e-05,0.011790699428982193,0.1695488823784722,0.012664582994249123,1.3529459635416667,0.0010276900397406406,0.0011047323544819939,0.02343368530273438,-0.027855767144097224,-0.007878409491644967,0.05204645792643229,0.012351274490356445,0.061177571614583336,0.011998494466145834,0.0892605251736111,0.005172941419813367,0.0070455339219835005,-0.03591579861111111,0.031218210856119793,-0.007949617173936628,0.0025990804036458335
5,0.450439453125,0.9320746527777778,0.0007510715060763889,0.054128011067708336,0.042597452799479164,0.019644843207465276,0.015090306599934896,-0.07355584038628472,0.020619710286458332,-0.02184878455268012,0.034016927083333336,-0.011745876736111112,-0.0063667297363281215,-0.029669867621527776,0.013170030381944444,0.012533399793836806,0.10328812069363064,-0.2415500217013889,0.14469401041666666,0.3836568196614583,0.04594590928819445,0.0941433376736111,0.054972330729166664,0.3011338975694444,-0.04983859592013889,0.014960394965277778,0.0842556423611111,0.0043610466851128505
6,0.03160460789998373,0.011148982577853711,0.021388371785481784,0.03614849514431424,0.013613753848605682,0.02420997619628906,-0.00032647450764975133,0.024895562065972224,0.03194771872626409,0.12671407063802084,0.035441080729166664,-0.007249620225694444,0.0034627914428711,-0.0153908199734158,-0.07423316107855903,0.25543975830078125,0.015610165066189233,0.3539903428819444,0.008844163682725694,-0.062160491943359375,-0.06174045138888889,0.03962845272488064,0.020252863566080734,-0.016365263197157122,0.004530164930555556,0.006426864200168178,0.1270279818110996,0.07376903957790798
7,0.0932345920138889,0.06361219618055555,0.047294298807779946,0.012388441297743056,0.08970001008775501,0.009506013658311638,1.2082248263888888,0.06817457411024305,0.005466037326388889,-0.0008494059244791666,0.10288492838541667,-0.002259148491753472,0.001379648844401039,-0.0012789832221137168,0.018107096354166668,0.0012071397569444445,0.00079345703125,0.009145948621961806,-0.003173828125,-0.025206671820746526,0.005177815755208333,0.006810506184895833,0.03915744357638889,0.018625895182291668,-0.003554238213433156,-0.010253058539496528,0.017264472113715276,-0.009351942274305556
8,0.049855550130208336,0.01765632629394531,0.01884587605794271,-0.0057987636990017395,0.001133388943142361,0.025543212890625,0.004284222920735678,0.07534546322292751,0.012319352891710078,0.035786946614583336,0.010747273763020834,0.03742361068725585,0.12544080946180555,0.020820405748155375,0.015947765774197046,0.041697343190511056,0.0018767250908745575,0.0065357420179579,0.10468377007378472,0.01976712544759114,0.003160264756944439,1.6929253472222223,2.009982638888889,0.0069567362467447885,0.6102973090277778,-1.3733995225694444,0.029866536458333332,0.1706271701388889
9,0.04140133327907986,0.0019010967678493832,0.06659952799479167,0.022429360283745654,0.026818169487847224,0.008644951714409722,0.03700086805555555,0.018798828125,0.0784725613064236,0.023804346720377605,0.011128001742892794,0.1359320746527778,0.002288818359375005,-0.0005323621961805555,0.08927408854166667,-0.002293056911892361,-0.0277557373046875,0.03152126736111111,0.007249620225694444,-0.0062255859375,0.012342664930555556,-0.008694542778862844,0.0017729865180121558,0.15096028645833334,-0.0017265478769938167,0.10308837890625,0.007872263590494795,-0.017538282606336813
