layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.0020618438720703095,-0.0024200439453125,0.03560295104980469,0.0189208984375,0.019711446762084965,0.12200775146484374,0.011669921875,0.13651504516601562,0.00289134979248046,0.12158203125,-0.01321258544921875,0.006133866310119634,0.01522369384765625,0.03508949279785155,0.01214752197265625,0.0928466796875,0.033428955078125,0.02552490234375,0.1082061767578125,0.025528335571289067,0.01695556640625,0.007025146484375,0.0319366455078125,0.02710418701171875,0.03774566650390625,0.00186614990234375,0.078515625,-0.01707611083984375,0.01634750366210937,0.00282745361328125,0.06173095703125,-0.003857421875,0.0453369140625,0.039617919921875,0.046978759765625,0.00450439453125,0.09071044921875,0.0684814453125,0.00394744873046875,0.0169952392578125
1,-6.141662597656996e-05,0.001104736328125,0.00248260498046874,0.027203369140625,0.04659423828125,0.00804443359375,0.0477294921875,0.06251220703125,-0.00037474632263182346,0.07626953125,-0.00662841796875,-0.00097694396972656,0.01182861328125,0.00478973388671875,0.05357666015625,-0.00043983459472656005,0.0219451904296875,0.031890869140625,-0.00801544189453125,0.100439453125,-0.014479255676269532,0.018206787109375,0.0095794677734375,0.00519561767578125,0.031982421875,-0.00868053436279297,-0.02055587768554687,0.2239013671875,-0.00015033185482023271,0.1955078125,-0.004644775390625,-0.00377349853515625,-0.00502071380615234,0.006463623046875,0.00311279296875,-0.0139801025390625,-0.0079681396484375,0.03440399169921875,0.02307281494140625,-0.00877685546875
2,0.0615234375,0.034490966796875,0.008465576171875,-0.00174560546875,0.166943359375,-0.00781402587890625,-0.00561676025390625,-0.0035030364990234404,-0.0062110900878906295,-0.02366294860839843,0.01827831268310547,0.01949920654296875,0.0010406494140625,0.003729248046875,-0.00023465156555173592,-0.0052413940429687405,0.00076217651367186,-0.023541259765625,0.12649784088134766,0.00023598670959470094,0.060861015319824206,0.066033935546875,0.0775634765625,0.00503387451171875,0.0060272216796875,0.00253791809082032,-0.024432373046875,-0.016748046875,0.0226531982421875,0.058195877075195315,-0.0019134521484375,-0.00514030456542969,-0.0541748046875,-0.00797500610351562,-0.013433837890625,0.1048828125,0.180712890625,-0.025201416015625,0.06604690551757812,0.02473602294921875
3,0.04662628173828125,0.02147216796875,-0.01225128173828125,0.215185546875,0.0346923828125,0.0354736328125,-0.0379913330078125,0.03564453125,0.0270263671875,0.014862060546875,0.1313232421875,0.0410400390625,0.13988037109375,0.13955078125,0.093603515625,0.0609375,0.00151519775390625,0.02229766845703125,-0.01234073638916015,0.091162109375,0.03770751953125,0.00474090576171875,0.006719970703125,0.0924072265625,0.0061981201171875,0.038287353515625,0.10003662109375,0.0114410400390625,0.0154296875,0.018585205078125,0.01349754333496094,0.0401824951171875,0.0004133224487304801,0.0213043212890625,0.014996337890625,-0.00302276611328125,-0.00283889770507813,0.0574951171875,0.0032867431640625,-0.0118988037109375
4,0.062322998046875,-0.01337890625,0.0108062744140625,0.05806121826171875,0.0673187255859375,0.010888671875,-0.00418701171875,0.0573974609375,0.04786605834960938,0.095166015625,0.011948394775390619,-0.00238742828369141,0.0544677734375,-0.0332183837890625,-0.02122802734375,0.0191162109375,0.03209228515625,0.1293701171875,-0.00938568115234375,-0.00020904541015625,-0.00485382080078125,0.042022705078125,0.033380126953125,0.01036834716796875,0.02298126220703125,0.00494766235351562,0.041455078125,0.0240966796875,0.039947509765625,0.102880859375,0.125634765625,0.0210174560546875,0.05916748046875,0.062164306640625,0.0344879150390625,0.02699279785156249,-0.002508544921875,0.0160400390625,0.059814453125,0.0034637451171875
5,0.00391845703125,0.00262451171875,-0.00490350723266601,-0.0003370761871337591,-0.037060546875,-0.00046920776367186996,-0.00222988128662109,0.008294677734375,-0.0018302917480468798,0.0015445709228515702,0.01870269775390624,9.000301361081735e-05,0.00374107360839843,0.0034649848937988196,0.00037994384765624,-0.00277099609375,-0.00889739990234375,-0.0094451904296875,-0.01832275390625,-0.0134124755859375,0.006345939636230461,-0.00191030502319335,0.00077972412109375,0.002243280410766597,-0.00132598876953125,-0.13638916015625,0.00495491027832032,-0.00369796752929687,-0.0029613018035888625,0.00570144653320312,0.0029684066772460915,0.01979827880859375,0.0012098312377929706,0.00345458984375,-0.0010595321655273398,0.01136627197265625,0.0155303955078125,0.00970001220703125,-0.0824462890625,0.0012582778930664
6,-0.024542236328125,-0.0081695556640625,-0.01354598999023438,-0.00537109375,0.00157623291015625,0.06892013549804688,-0.03441162109375,-0.2474945068359375,-0.1537841796875,-0.03145751953125,0.0052703857421875,0.0142852783203125,0.0004030704498291066,-0.00511341094970703,-0.00958671569824219,0.00385360717773438,-0.0037132263183593797,-0.00599365234375,-0.0002088546752929762,-0.00059261322021483,0.0021873474121093797,0.00261993408203125,-0.0081817626953125,0.005877685546875,0.00296673774719237,0.004102897644042961,-0.02016143798828125,-0.00945549011230468,-0.01044158935546875,-0.0015655994415283117,-0.00136833190917968,0.00612411499023438,-0.08489990234375,0.00075874328613281,-0.00384521484375,-0.02218017578125,0.021124267578125,0.00030288696289062014,-0.004399490356445291,-0.00441589355468749
7,-0.0084442138671875,0.004962158203125,0.0007681131362914901,0.00810356140136719,0.0015472412109375,-0.00476455688476562,-0.042071533203125,-0.00688056945800781,-0.0286834716796875,-0.005710983276367191,-0.0012804746627807563,-0.0103790283203125,-0.002348327636718746,-0.0008991241455077899,-0.0038787841796875,0.00044746398925783,-0.0018733978271484298,-0.006939697265625,-0.00299797058105468,0.0011688232421875,-0.016571044921875,-0.006201171875,-0.0017852783203125,0.00087127685546875,-0.00046815872192381,0.01456985473632812,0.00107650756835937,-0.00052585601806641,0.00021905899047850434,0.00021209716796875,-0.0007079124450683407,-0.00392379760742187,0.2428070068359375,0.1806640625,0.014837646484375,0.026861572265625,-0.00293960571289063,-0.0118572235107422,-0.002960205078125,0.001776123046875
8,-0.00844879150390625,0.074267578125,0.016241455078125,-7.507801055905892e-05,0.03194580078125,-0.0075836181640625,0.01229400634765625,-0.005000686645507809,-0.00455322265625,0.00323047637939453,0.0018043518066406202,-0.005572509765625,-0.00826416015625,-0.016943359375,-0.00853452682495116,-0.0044464111328125,0.01346893310546875,0.015594482421875,0.0033041000366211,0.0093841552734375,-0.00251741409301757,-0.0012588262557983324,-0.0013526916503906199,-0.00321140289306641,-0.0003727942705154228,0.0058753967285156295,-0.004815673828125,-0.009040069580078131,-0.0005892753601074001,0.00141906738281249,-0.00052318572998046,-5.275011062715827e-07,-0.0001331269741058465,1.8440186977386475e-05,-0.003057861328125,-0.00100326538085937,-0.00063514709472655,-0.0005803585052490134,-0.016680908203125,-0.00459022521972656
9,-0.04454345703125,-0.03175048828125,0.00114688873291016,0.0104888916015625,-0.00904674530029297,0.0451568603515625,-5.7220458984500115e-06,-0.01019287109375,0.00114707946777342,0.010882568359375,-0.008599853515625,-0.03922119140625,-0.00415802001953125,-0.010107421875,-0.01291046142578125,0.023291015625,0.00801124572753907,0.0114959716796875,-0.0017585754394531298,0.0022613525390625,-0.00101957321166992,0.0005018234252929831,0.004164886474609381,-0.008225250244140631,-0.0011707305908203,0.0031890869140625,0.0016059875488281202,-0.0007554531097411909,0.00038490295410154246,-0.0017560005187988233,-0.00424652099609375,-0.00207586288452149,0.00281600952148438,0.0025596618652343798,-0.00182151794433593,0.0034156084060668916,0.0040548324584961,0.00261192321777343,0.0017011642456054798,-0.1215576171875
10,0.00287113189697266,0.006551074981689453,0.0032958030700683504,0.00306377410888673,0.0142242431640625,0.00026054382324219,-0.00680751800537108,-0.0019186496734619218,-0.01123046875,-0.0034423828125,0.00087738037109375,-0.01969757080078125,-0.00912017822265625,0.0144012451171875,-0.010870361328125,-0.0978851318359375,0.0036125183105468702,-0.04720535278320313,0.00314178466796875,0.03704681396484375,-0.00308380126953126,-0.0006019115447998171,0.00228519439697266,0.0017730712890625,-0.00031185150146483,0.00025157928466796995,-0.00191192626953125,-0.0006561279296874799,0.0077850341796875,-0.0036643981933593703,0.009478759765625,0.00160961151123046,0.005420255661010742,0.00209178924560546,0.00746936798095704,-0.01475067138671875,-0.002880859375,-0.005560159683227532,-0.0001498222351074,-0.00153026580810546
11,0.0028523206710815317,0.0062473297119140705,0.0042572021484375,0.01792659759521483,0.024537372589111334,0.008995819091796869,0.007552719116210929,0.0005071640014648475,0.00491867065429687,-0.04864501953125,0.01085891723632813,0.01346359252929687,0.00902099609375,-0.0001953125,-0.0148590087890625,0.030635833740234368,0.0091888427734375,0.027072048187255855,0.00055236816406251,0.00511627197265625,-0.0098175048828125,-0.011224365234375,-0.002459716796875,-0.037640380859375,-0.0205169677734375,-0.0021461486816406203,-0.00011811256408690031,-0.00026807785034179,-0.009857177734375,0.018830490112304678,0.0020538330078125,0.00384063720703125,0.00289020538330079,0.02733154296875,0.003289794921875,-0.00974769592285156,0.012030029296875,-0.00640487670898437,0.0006107330322265702,-0.02451171875
12,-0.0021666288375854466,-4.2366981506338594e-05,-0.01882305145263671,-0.03050537109375,-0.000649333000183098,-0.005816650390625,0.004185485839843741,-0.0312744140625,-0.0194793701171875,0.0196258544921875,-0.010292816162109381,0.00082702636718749,-0.01214752197265625,-0.00851554870605469,-0.00275726318359375,0.00638427734375,-0.0255218505859375,0.00184783935546875,0.00140647888183593,-0.011187744140625,-0.00370101928710938,-0.00752687454223633,-0.007419204711914059,0.00580978393554687,-0.0083740234375,0.0038143157958984404,0.0325897216796875,0.001708984375,0.013409423828125,0.00419769287109375,-0.01146240234375,-0.00478363037109375,-0.00796966552734375,-0.0081298828125,0.006842041015625,0.019384765625,0.0303253173828125,0.038922119140625,-0.0028572559356689516,-0.00516815185546875
13,0.012321567535400391,-0.03955078125,-0.00117168426513674,0.02467117309570313,-0.00094947814941406,0.00274734497070312,0.00431556701660157,-0.016546630859375,0.0016132354736328202,0.001235640048980718,0.00493927001953125,0.00235939025878905,0.00029792785644529996,-0.000340652465820295,0.00024971961975096905,-0.00117568969726562,-0.012796592712402341,-0.00395355224609375,-0.0146148681640625,-0.0090179443359375,-0.0070098876953125,-0.00130062103271484,-0.00138168334960936,-0.04429931640625,-0.0014649391174316301,-0.018481471203267576,-0.00635528564453125,-5.292743444441999e-05,0.0084442138671875,-0.00609054565429687,-0.00845947265625,-0.00508632659912109,-0.00500984191894531,0.00020828247070312015,-0.02636260986328125,-0.41727294921875,-0.7489166259765625,-0.05245552062988281,-0.01685333251953125,-0.60400390625
14,-0.0022021770477294897,-0.0004638671875,0.00121459960937499,-0.00237503051757813,-0.00019311904907227,-0.0034855842590332197,-0.00041332244873047,-0.205377197265625,-0.7427001953125,0.1666259765625,-0.055704498291015626,-0.05851898193359375,-0.0041774272918701245,-0.02076873779296875,-0.00134239196777343,0.00085601806640625,0.0271951675415039,-0.00033187866210934995,-0.00148487091064453,-0.0073493957519531194,-0.0019695281982422,-0.00850524902343751,-0.009161376953125,-0.028570556640625,0.0002635955810546999,-0.00593795776367187,-7.677078247071311e-05,-0.011993408203125,0.0005132675170898412,-0.02524871826171875,0.000103759765625,-0.0802490234375,0.09599609375,-0.064666748046875,-0.04169921875,0.00039284229278562763,-0.0258819580078125,-0.00256996154785157,-0.19150390625,0.00153055191040038
15,-0.00502243041992188,-0.00227203369140625,-0.0010780811309814503,-0.0035587310791015702,-0.005853271484375,-0.0195404052734375,0.0197662353515625,0.00150299072265626,-0.0146820068359375,0.01884613037109375,0.00328521728515625,-0.00782470703125,0.02216796874999999,0.00115814208984375,0.00263404846191406,-0.020831298828125,-0.00887298583984375,-0.01978511810302733,-0.0152679443359375,0.007239913940429681,-0.07130126953125,0.01321067810058594,-0.001861572265625,0.0003343582153320184,-0.00620803833007813,-0.00083236694335938,-0.00264472961425781,-0.00133171081542969,-0.048860549926757826,-0.00276622772216796,-0.027874755859375,-0.013433837890625,0.0629150390625,-0.055865478515625,-0.05754928588867188,-0.022613525390625,-0.004276275634765629,0.0042258262634277295,0.106756591796875,-0.00285911560058595
