layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,-5.543696415888813e-05,5.5391551096202064e-05,-0.0005270007024767767,-0.000382116518667422,-0.00035016199985107843,-0.0019204771363890015,-0.00018047701572787022,-0.0019033605402166193,-2.688522118682647e-05,-0.001935335464807816,0.00013139994457514608,-1.798125056477379e-05,-0.00016301844543192777,-0.000461966444403578,-3.617150442940842e-05,-0.0011878509026069148,-0.00036395404589984685,-0.00029514293477992813,-0.0013312533132269612,-0.00035172004204291806,-0.0002405220295959736,-3.527631663312818e-05,-0.0004894551088627626,-0.00032550225526223456,-0.0004626366311165506,-0.0001354210648529802,-0.0013535597279646352,8.906327284775829e-05,-0.00024731265862094713,-2.6906723583931572e-05,-0.0008105708751155529,0.0002438378712487598,-0.0007307911332035478,-0.0006133859807794744,-0.0006398755578595666,-0.000334030966050009,-0.001527486253438402,-0.0010732620481460813,-4.930035204426358e-05,-0.0001874830127622489
1,-2.7047607289763887e-05,-0.0001298710381313838,-2.0233583656739537e-05,-0.00039298124987669663,-0.0007383998854335769,-0.00015754651541661778,-0.0008168420062264666,-0.0007800216454620141,1.4641519748804532e-06,-0.0014189572905393218,2.7875363568723345e-05,-5.065345488929493e-05,-0.00011826937676852278,-0.00012303912450396806,-0.000661665571028364,1.726620985143941e-05,-0.0001637416140513675,-0.000487316566456276,8.378985296252144e-05,-0.0013948966242362238,0.00010497367055213102,-0.00022250749332048143,-0.00011257192961237311,-1.8322106563683623e-05,-0.0004114148248669733,9.815001384520354e-05,0.0002966511989224697,-0.003324522428526335,1.2711034536703803e-06,-0.0026828165866251805,4.8194268737176555e-05,0.00011370467589187023,1.656544672978338e-05,-0.0002498571662847788,-0.0001245776640216336,0.00016261660863482768,0.000114976241647079,-0.0002339336951229651,-0.0002786813876329563,4.833119600194181e-05
2,-0.0007219851275027056,-0.000468262346275957,-9.964933299054975e-05,-5.175712992790872e-06,-0.0021857279547709235,-0.00010733583788851155,6.908221334261948e-05,1.908243132532046e-05,3.918046387071032e-05,0.00020143032762051316,-0.00017875820011287522,-0.00021163175288388912,-3.818447283680145e-05,-3.6748800786886726e-05,2.558908894292992e-06,6.395672994946689e-05,-6.774115183995846e-06,0.0003760194709634712,-0.0021021740261094393,-2.4851180430266545e-06,-0.0007998731745269904,-0.0004729068640506629,-0.0009349256022840007,-4.3711448988701126e-05,-9.365205640916688e-05,7.203131011038126e-05,0.00010406884968194779,0.0001976073734343999,-0.00025858335508756666,-0.000792460696177737,-2.5972143396154693e-05,-1.1894782040198204e-05,0.0006425067631885259,-4.779793655373482e-05,0.00013304307175233038,-0.00140689117739899,-0.0018661080672799423,0.0001394538824348395,-0.001235353998291544,-0.0002819476877628123
3,-0.0005285936000543239,-0.00034488916053056364,0.00016854576562218146,-0.002372686653082161,-0.000503179830906195,-0.0003686109490552849,0.0007877900314881516,-0.0005206249837063436,-0.00024649247118576945,-0.00021964027768089637,-0.001805953649215368,-0.0005302704429901695,-0.0017238530245694246,-0.0016577639449038375,-0.0015545028972763348,-0.0007349264742148043,-8.081460927988278e-06,-0.00023331511416304512,8.225337767497815e-05,-0.001105711745665359,-0.000439958998995254,-6.845881584574797e-05,-0.00017323982491981749,-0.0009020960864222583,-0.00014000159149390112,-0.00047992180608223673,-0.0012090966471001872,-0.0001259627624335573,-0.0002411626290105294,-0.0001846233659664446,-0.0001261401142048802,-0.0003796033184937756,-2.1180721244428417e-06,-0.00023223414565577656,-0.0001453341859759707,2.469644918070206e-05,7.663798366617971e-06,-0.0007636619336677319,-5.7484680440002676e-05,0.0002490314742359419
4,-0.0008020841370069275,0.0001115097111953801,7.071364321577929e-05,-0.0007870166332690746,-0.0003726072985716541,-0.0001848573120469483,-0.00025126015469109343,-0.0005735752386448187,-0.0006346509914205532,-0.0013717056868912338,-8.257333334390184e-05,4.824793872035097e-05,-0.0005869445690688975,0.0003883229705678435,0.00023007083248782469,-0.00040011660533205944,-0.0004516040091906791,-0.0019188642845869408,9.37449467646611e-05,-2.1992995797469367e-05,9.262234961659659e-05,-0.0005075680401074079,-0.0003386637865206895,-9.48059610474162e-05,-0.00022910958932763746,-1.7872104397067706e-05,-0.00046609008811080956,-0.00024554705378985146,-0.0003462835479780366,-0.0010994234126367611,-0.001507028356775061,-0.00026358911313363825,-0.0007212007200563109,-0.0009163189760018221,-0.00039089706553009147,-0.00030692762454694815,-1.262964796366278e-05,-0.00017383294704156522,-0.0008418233191640174,-2.998019021654893e-05
5,-0.0006565710510870423,-7.143165125991343e-05,6.370239959650723e-05,3.7676002964651816e-06,0.0017824049119825487,-3.67054519543138e-06,1.9261417278823712e-05,0.00010992128611643075,1.0798288802219958e-05,7.792468710895262e-06,-0.0002132624946803413,-1.10437319456742e-06,-4.4522046354769766e-05,-4.475475604744109e-05,-5.438552919404249e-06,3.2605288864730486e-05,0.00011973016361825566,0.00012640519575639203,0.00023402314509492244,0.00016070048702399625,-3.7733438555124195e-05,9.527540138101413e-06,-3.2967733270334756e-05,-3.893181015058741e-05,8.999355255611734e-06,0.0015153320664795275,-7.861396795055375e-05,2.7506210415222027e-05,3.125923880595005e-05,-5.754385503683614e-05,-7.299590764451988e-06,-0.00018298367917279651,-8.398427763715386e-06,-2.875042512131244e-05,1.6145031861584215e-05,-0.0001684767859322684,-0.0002648063208289652,-0.00010942767708848555,0.0007598568694760101,-1.1510652467113556e-05
6,0.00026173233813881717,7.477587607687848e-05,0.00013298183292537551,5.927780833939267e-05,-1.7644351006930392e-05,-0.000527242905477769,0.0006488384450496876,0.0026320757459940506,0.001768054384173769,0.00042035844590928813,-5.0024380759587414e-05,-8.989171720342371e-05,-2.6988389688137204e-05,6.452267304127392e-05,5.1151622425425605e-05,1.0793515270062408e-05,5.424960179074345e-05,5.7386844533174455e-05,-1.3148629820192478e-05,5.174799140912743e-06,5.750171033851862e-06,1.2842607704592193e-05,7.94360475966768e-05,-5.230518302532158e-05,-2.422528865533476e-05,-4.885301617488825e-05,0.000245655769909615,9.84939661892976e-05,0.00010595091149576477,8.963123716488462e-06,2.2563497397462493e-05,-0.00010610177231385408,0.0010890740508813018,-1.117204346870117e-05,2.282333236408033e-05,5.7605781940498586e-05,-1.190372703739404e-05,-1.0304636769480298e-05,4.114543892776445e-05,4.164685332585935e-05
7,0.0001105763351418412,-2.8450681705667184e-05,-1.0830886436231245e-05,-5.538075689285518e-05,-1.9803793743403324e-05,7.165871657334416e-05,0.0003884929255145625,5.308907441418593e-05,0.0004643170004455214,4.926870051572479e-05,1.2718495868501097e-05,0.00010649672834388101,1.3205310138960921e-05,9.621774393413663e-06,4.408335444903112e-05,-1.644038878822e-05,2.588815503306179e-05,6.653331918977914e-05,7.676114939680015e-05,4.595311689170418e-05,0.00022041814839857154,7.578046806962985e-05,2.2198902752148795e-05,-2.3438214911699e-05,5.8216342506304295e-06,-0.00010062210143558579,-5.097960324858422e-06,2.7358875990258285e-05,1.4193194769161623e-06,-9.771979388392452e-06,3.1578527900558423e-06,3.9769457532213625e-05,-0.0018178826630717577,-0.0039718457286664075,-0.0002426117185562376,-0.0005333970635484307,2.6907755698993198e-05,0.0001088193312695876,8.065635163718662e-05,6.341521358077147e-05
8,0.00013795972386479896,-0.000906048399029356,-0.00044542748862702787,7.208732385487921e-07,-0.0006895392144053183,0.00010982512739657625,-1.8241601588922226e-05,5.1314352566717476e-05,3.223708181670235e-05,-4.787551720249027e-05,-1.4545597555317443e-05,5.999108585616361e-05,8.073341622841141e-05,0.00018611339607624094,3.903493564710295e-05,-1.678889964050023e-05,-0.00010062571383829927,-0.00018274285232521947,-3.88291577068077e-05,-0.0001296705497807759,1.3197131164662052e-05,8.504305567060192e-06,9.90148832615544e-06,2.3659173544350702e-05,2.5334527439197873e-06,-8.228081473368416e-05,-1.044775672461202e-05,-7.273142816012378e-05,7.30023583636395e-06,-1.9781861298355874e-05,2.081475044569283e-06,-3.818449433918547e-07,-3.0695478207428004e-07,-1.5614906387746578e-07,4.160868657099741e-05,4.758566488951501e-06,-9.142819249095838e-07,2.596113416883546e-06,0.00011556179492504558,-1.5848126762357747e-06
9,0.00028090765981963193,0.00037776236926322337,-2.0002465141455876e-05,-0.00017340771563641432,-0.00010765097702048391,-0.0005909443589688036,-3.318163911673577e-05,-2.4168522326977148e-05,-2.745043319713247e-05,-0.00017695922356147274,9.832598946311263e-05,0.0003883147136473553,-8.533389709384625e-05,0.0001194280979437229,-2.165377398073994e-06,-0.00026578803427119654,4.326045771181829e-05,-0.0002576062861631097,8.612398117307518e-06,-5.197451916263891e-05,2.0068187218211777e-06,-3.1564744864018905e-05,-9.330492171030202e-05,5.965969091197958e-05,-5.748837885230231e-06,5.012914043828324e-05,-3.984243666798813e-05,4.892870461268792e-06,-5.966302378353562e-06,-3.952506128671541e-06,2.956665611542298e-05,9.092675659047207e-06,-4.796840755798416e-05,-4.660601567740333e-05,6.395629990152251e-06,-4.7914737574809994e-05,-7.239581874610728e-05,-3.462143962689445e-05,-2.5746110197782832e-06,0.001236951368367689
