layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,-0.0028365518450994085,-0.00043258901502265265,-0.0009827434348072639,-6.856719824237165e-05,0.00048826427887595236,2.737781732014449e-05,0.000346453669155537,0.0001023783058416648,-5.222169153643368e-06,0.00021193066581350823,8.407284001835702e-05,-3.6642286441159867e-05,-0.0005481767695560999,0.00044182310647444725,-6.694213597295083e-05,0.0005505045906442108,-1.2130753761550772e-06,0.0013109463057299942,-0.0007266625954839461,-0.00014921526542709774,0.0013773797194025865,-0.00010662268111168192,-0.0007492689555631404,-0.002120759592064503,0.0013771435636400248,-4.693132932069235e-05,0.00023858849605267002,0.00035770641795719225,-0.00016456374430882958,-0.000997939122144876,-0.0002344211594003152,-0.0008925202337187682,0.00010936264337600479,0.00021432236004122673,8.505377098853681e-05,-3.152900569083157e-05,7.510493807590911e-05,-0.0004325123878261737,-1.9574854474725692e-05,0.0014286177028758078
1,-5.504404089387014e-05,0.00020485936412531518,-7.811530691678306e-05,0.0001494113076237173,-2.348186436969658e-06,-8.692306316135098e-05,-1.798071950751483e-05,-9.62319183609319e-07,7.462512213185346e-06,-5.9091799047343856e-05,0.0003392984375447627,-0.00017040839372162704,-0.0002093409751385209,-0.0002524756068706101,0.00010859050865930271,-7.849016304773096e-05,-6.597681329412982e-05,-1.187021245438978e-06,-0.0003657283404451485,5.2908250645766165e-06,0.0020913998560210157,-9.840454285879182e-05,-0.0002951949089122702,-4.890357964608394e-05,0.00040987208549887847,-0.00014790077472782217,1.1843684626818714e-05,2.452674963872917e-07,1.7978238525241967e-05,2.0040068984336957e-06,0.00021268788651210527,-0.00010742083821860383,-0.0006602059365141696,2.3207035015326145e-05,0.00019923914497118407,-0.00024280144902937782,-0.00016715261214143514,-1.4651531387342351e-05,-6.541329483413979e-05,-9.551019479325363e-05
2,-9.842336537819333e-05,0.00031525930317441735,-3.5162523350291475e-05,-0.00013552831101767263,0.00010763436581576083,-0.00023856051941180636,0.00028082355535471857,-0.00038398433287047075,0.00019251467134542632,0.0005462895805615628,0.00042679666270718076,-0.0006696624525463511,-0.0006446918606038155,0.0016673451339355124,1.338275986761368e-07,-0.0002157787653369209,-1.6987902322037413e-05,-0.002112469660814102,0.0003344239642951284,0.0033630378499331427,4.151698453611691e-08,-0.00013384960971071303,-0.00015053798455015843,-0.0013156210789914988,-0.0010653710550434933,-0.00016911087414640225,-0.001287528211644644,-0.000984013337735167,0.00010251050061249725,-7.124722158220186e-05,7.164159450580406e-05,-0.00022083196895095823,0.0003165849022457981,-0.00041760279249795354,-0.0006666389182274256,3.1553330968638225e-05,3.452345727266836e-05,-0.0010803895741315415,0.0036524575753290145,-4.650087990155735e-06
3,-2.534794834111838e-05,-7.759136203242786e-05,-0.006254251297431532,-3.679304980737632e-05,0.0003312605017727083,0.0008454059505380399,0.0004670979958140105,0.0004123931716905782,-0.0004577857343362716,0.0001553625151245032,9.096922341660123e-05,0.00015787002441695764,8.272598847116994e-05,0.0001708293129546145,-5.4302865621653156e-05,-0.00010494757974013645,-0.00032889956127887587,0.00022407437934250014,0.0008965324388689947,-0.000885732221233116,0.0003393434881649718,-0.00021779928051057323,-2.6126274062805717e-05,-0.0013091936514642976,0.00047153249910106125,0.00030930033009868757,-0.0004848643970242629,-0.00014892480206757033,-0.0009029010331661509,0.0005031670857545535,0.00035219052621678846,0.00017127741812836663,-0.0009093619915202743,0.000610959848728131,-0.0012535472899495353,0.0003380364030471056,-0.0014764244336316684,-0.001058120373716841,-0.00014323016710585852,0.1747754601387241
4,-5.580785718839719e-05,0.0003819002788369269,-0.00023180714344751954,6.266443558660861e-05,-0.000699794014740651,-0.0002592725934809539,-0.00039590032477127723,0.00028064006150437475,0.0003443956889398583,0.00015865223895279566,7.833328300554917e-05,-0.0003066083498305501,0.0017234013963095371,-0.0012870205178972555,0.00045588450559364403,-6.9362732539205e-05,-0.0003319892315539539,-0.00011230420202300127,-0.0005423051720554199,0.0005138250545142864,0.000659737353493573,7.267055889982214e-05,-0.00012726424787454175,-7.20628898034754e-05,-0.0001733760261864672,-0.0004367976995045239,0.000740976864351499,0.000210861176432364,-0.00012745478731275903,-0.0009074751110916211,-1.0790240672049191e-05,0.00025648922628117873,-8.968236222162546e-06,-0.00038325053746583054,0.0002486374585972047,-0.00012148167163365089,-0.0008861053802516513,0.0004374564362559676,0.00012007635970687723,3.6513733390696284e-05
5,-0.005812582036767976,0.0007051642698085318,0.008817605256417168,0.17518459053467428,-0.005953403692805003,-0.00015842257593087346,-4.595790035874541e-05,-9.436597461017635e-06,-0.00026292786503578734,-4.9242217855476654e-05,0.005091463894654807,-3.509472563826142e-06,-0.00039905651670987764,-5.77221871245178e-05,-9.69184895236584e-06,0.0001922521846267731,5.710747244031095e-05,-0.0011103105915323016,-0.0016299915066867992,-0.0007480460060784489,-0.00018658084638988417,-3.916601151407913e-05,-0.00014616365161201444,-2.3637060156353275e-05,-0.00021065682867048372,-0.0019396846925934616,4.8055685574478453e-05,-4.609753285326256e-05,-1.884656182849406e-05,-1.5984253188063998e-05,5.001343330295763e-05,0.00025654705667207793,0.0048847434539235415,-9.05399182626697e-06,-2.5389572996005074e-06,-9.044369713204677e-05,-0.0003042213869465131,-4.348883966210483e-05,-0.0026893222558282462,-5.177266387922757e-05
6,-0.0003241472351232204,3.3058361106131e-05,-9.456480032827953e-05,0.000576550843285735,-0.001333399617126835,-0.0003221261285316128,-0.0004531504060812742,-0.0076951791337073324,0.10618218725564872,-0.0006327806000466806,-1.443664095749252e-05,-0.00013812813293943643,-9.8206944975798e-06,-8.386615229845823e-05,0.0002897823674602618,-0.0003848691969929916,-3.971885873697411e-05,-9.290893289732556e-05,8.636121609995084e-05,-0.00023230043745329045,-2.4899072154415177e-05,-2.3689329932742944e-05,0.0004891468801819283,-6.268446665575179e-05,8.578694926139282e-05,-3.191931583019295e-05,-6.249179297011804e-05,3.796594733303383e-05,-0.00018317376466739396,-1.2473467612080775e-05,9.755768376862035e-05,-0.0002063123559108334,-6.038215368137235e-05,0.00021662467944405568,-0.0002312298166638715,-8.22930833818162e-05,3.038898328956676e-06,-7.0715806831871e-05,-2.3439179421293243e-05,-0.0004940269526168122
7,1.2815612544264038e-05,0.00010569554989043391,4.984433356932584e-05,-4.091067721776405e-05,-5.786812593446738e-06,-3.41728689652042e-05,-0.0027072649767318616,-0.0005068288371931181,2.1117426795730035e-05,-0.0003866627876670132,7.648974322779182e-05,-0.000740319104725375,-0.00015707351299480034,-4.0666991724236925e-05,2.537625323502534e-05,-2.2779651969747673e-05,3.1461789754058844e-05,0.00035720240771513746,-7.551862208158564e-05,0.00016630228168497497,-8.04759902723687e-05,-0.00010128613686746551,9.51126719261695e-05,0.00012087725533608232,-7.386642369192659e-06,-7.592978291823862e-05,-6.579229089080409e-05,2.8205995316956646e-05,-1.1235931156984016e-05,-4.595869105884419e-05,0.00028479975472245757,1.939696623808015e-05,-0.008582272747655283,0.04838928999419455,-0.0007501158146533225,-0.0005251205204065968,-3.79937182632977e-05,2.7767227475660616e-05,-0.0003503720445608243,4.703793883632274e-05
8,0.008784560729348518,-0.0007289675826960491,0.006616254762213633,0.2472000714516825,-6.395331049551774e-05,-0.00024104951475075945,-0.00020500360582284067,-0.00025025786666442364,-9.856826277824111e-05,-5.8172989035598765e-05,-0.00020852672117757933,-0.0003481643584599456,9.536228887576301e-06,-0.0009805956619170543,-0.00017616129620924803,-5.916072131231701e-05,-1.9327407129062058e-05,-0.000217812677413045,-5.994834860816587e-05,-3.7449266604042343e-05,-0.00014041266801853044,-1.7958207054317552e-05,-1.699679930524898e-05,0.00010305745936962276,0.00028691210681966586,3.610411297282261e-05,-0.00011266203560224313,0.000147059444109872,3.6355964614454414e-05,-1.874873679809512e-05,-0.000269197538250785,0.00021339857804555823,0.02577441185069969,0.002460044452710009,-0.0006845970288549057,1.9778951526826162e-05,-8.516341473545976e-06,-1.108921530742568e-05,0.0004027967210264436,-0.00010286479854089973
9,0.001024412018559541,-0.0014312243646748405,2.9985231248539515e-05,8.835815169669401e-05,-4.2479915979915355e-05,-1.6537910396417806e-05,-1.3319246721635073e-05,-1.2938746406255929e-05,-5.743453058962192e-06,-7.313631339973463e-05,-0.0004750586358301597,-0.004720648369776781,-0.00030834444439339074,-0.00037163526874044807,-0.0007454201103388189,-8.151325701742281e-06,-0.00010618480039733294,6.446342616373022e-05,6.032459971408823e-05,-5.1838780550021135e-06,6.99009743098606e-06,2.532800767213268e-05,-0.0011577293521068135,0.0003289754684882727,-4.1518550015807724e-05,-3.9980316902663345e-05,4.14321194238135e-05,0.00021078136072167196,1.1085551087460813e-06,-0.00013777639353655446,0.00034624119582518165,-2.1573538611527098e-05,5.750807453785608e-05,1.775020150093554e-05,5.673833763527399e-05,-9.343577058691798e-05,0.0008934420486068311,0.0007041862702143399,0.0001212350053453966,-0.020243553790272675
10,9.532243244803128e-06,3.3149056978721395e-06,1.3519372594983577e-05,8.782098026394132e-05,6.677748392736701e-05,-2.2102446263982388e-05,-0.0003136302038345824,5.301412731745576e-06,-0.0006415068434681528,0.0006764899871799852,0.00010146248227465206,0.01633370241489361,-0.00042686131208286205,-6.341340214759947e-05,-0.00045761597166809947,-0.0006597685957901201,1.201481012767068e-05,-0.0006303816030928596,-2.6935578112563198e-05,9.892776775606792e-05,0.0018476714750525235,2.452160285607491e-05,7.402219321834454e-06,3.3126502740579135e-05,-2.1670209734058826e-05,7.382908239769768e-06,0.00041156064805745936,-0.00012954093702297997,-0.0008944763614763164,0.00017500751691197882,-8.85075136594672e-06,-3.702827987226101e-05,8.156594785767494e-05,-7.054706628821475e-06,-3.6504791408285505e-05,-0.0006310686764787066,5.434277347699947e-05,0.00012706522287430665,-7.820086645297975e-06,-9.52145308127668e-06
11,1.2696214569464638e-06,9.799780078213004e-05,0.00015565119137323866,1.3766098748228884e-06,-6.834843788196556e-06,-1.750810584495335e-05,-0.0010374373048415355,6.569896256543221e-05,0.0014177523456944596,0.0003144654917038158,-5.655137241863154e-05,-5.819395223085472e-06,-3.4730241821173316e-05,-0.0003780563835237808,-0.0007723754495253746,0.0004185839291787324,0.0004196786823922749,-0.0009405324950724252,-0.0005331023743278085,2.157041438187101e-05,-0.00014424712314391918,0.0022805582561608202,5.3683959584075876e-05,-0.0013237772983554317,-0.0002997341060350461,0.00043526119564606564,-1.0729318193773352e-05,3.005454929045473e-05,-9.555538362524573e-06,-2.643990557804791e-05,-1.897930301809048e-05,-1.0770077819551437e-05,-2.061737648261739e-06,-9.146712662539398e-06,-1.6138478277975218e-07,0.00015232710101874402,0.000567461186385143,-0.0003843228425107387,0.00011202088710663692,-0.0003756077974597594
12,0.0007135392495328727,0.0072262320792860065,0.01151036290488849,-0.019513606870863537,0.11778767979073052,9.149652716926648e-05,7.582230234681092e-05,-8.72435088400388e-05,0.0006432381038320213,-7.79416871749703e-05,-0.0009304934066364328,0.00017898945689098566,-0.0010609087808261762,0.0004818853990490674,-6.312413448089906e-05,-0.00012004565740063787,-1.3941516448856749e-05,5.480237112310199e-06,-1.335660247991937e-05,-2.0476295978366943e-06,-0.00019417052591947585,7.941899780984026e-05,-9.616502304340124e-05,-0.0001460991613406179,-6.485486128290712e-05,-1.1834787643600396e-06,-1.4971719927786935e-05,5.5493441401520395e-05,4.241377600597454e-06,-1.7561015252724443e-06,-0.0002856355375828083,-5.785631043217658e-05,-1.127392413597624e-05,-0.00023143017878297982,5.028744624338001e-05,0.20793520817991162,0.0021379323317842077,0.0025672417156546055,0.023478972181562103,7.477621254579856e-05
13,-0.0005615637979186554,-3.531073783367659e-05,-1.4431582566114955e-05,3.5692604195942054e-06,2.2884840796591713e-05,-5.139097108524044e-05,1.231939037675253e-05,-0.00031675646488166334,-0.0002639815436292064,-7.259349135409829e-05,0.0003037617009091357,-5.208256046148932e-05,-1.3549224737901859e-05,-8.072485509259188e-06,1.237257299389975e-05,-0.0005526422065738164,-0.0014101675196492138,0.000439512706502342,-0.0005628488205752595,0.00043560691801405865,-0.00034187300849104936,-6.272131376244545e-05,-1.4205795099647026e-05,-0.00022821327650516057,0.00027512007483744945,0.6149153162221439,0.06538183263296501,1.9852496479493936e-05,0.30172874312446074,-0.0031145459315815886,0.0049188508362066575,0.000463126482790767,-1.639498010393293e-05,-8.227210090117523e-05,0.008919342722329117,-0.02175090022905825,0.09122123257469987,-0.04810663870020711,0.0030168546002110764,-0.027584098967320968
14,0.00026783308559084695,0.0003735761224863554,-4.1034204420910104e-05,-0.00010163288778843433,-5.4880500971179535e-05,5.042016895115705e-05,-6.177639741388789e-05,-0.03176052165093146,-0.04424984378995723,0.00043344198114610226,0.0005900237558215117,0.0009610824691930457,-0.00026874896701396675,-0.001240778582635062,1.9120954047821498e-05,3.834394697899618e-05,-4.8652304154827614e-05,2.016366890939265e-05,-8.161304272691232e-05,-0.0006372108605527226,-4.1557821454005704e-05,-0.0018083286038547673,0.001141912174492273,-0.0036607636162903526,0.0005870019957564774,-0.0001268758791289107,-2.4037777162553625e-06,-0.00018046553326228872,-1.1622114327990578e-05,3.278510833064203e-05,-0.00010661751263300133,-0.004307899935889388,-0.0004150533825287606,-0.00025870388082845157,-2.4035486221512938e-05,2.0875705597310827e-05,0.06399011817649071,0.009743686787931952,-0.06427254360024533,-1.2748639281705323e-05
