layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.008378465970357265,-0.0004415512084960889,0.0013788011338975665,0.0009979671902126779,0.000371032290988489,-0.00040562947591145,0.0006707509358724,-0.0007378790113660945,0.0001931720309787389,-0.0002743403116861889,0.00036083327399359427,0.0014580057726965967,4.4829315609414634e-05,0.00015576349364385619,0.0025290913052029088,-0.002368503146701389,-0.0009527736239963212,0.0007606082492404443,-0.0020887586805555555,-0.00021680196126302222,-0.00078116522894965,0.00032909711201985464,0.0021322038438585053,0.002934137980143234,0.0014199150933159722,0.00017409854465059445,-0.0006181399027506445,0.0007209248012966601,-0.00011592441134982779,-0.00046539306640625,-0.00025786293877495,0.0011181831359863333,-0.0002731747097439111,-0.0013665888044569158,-7.819467120700482e-05,0.00023360053698221188,7.510185241697147e-06,-1.6053517659522243e-05,0.0009588135613335386,-0.00018395317925347222
1,-2.8663211398661092e-05,0.00034777323404948336,0.00024954477945963755,0.0006596247355143167,0.00012981891632081328,-0.00021209981706407508,4.489554299248589e-05,1.5211860752767989e-06,0.00018026596970028904,1.0880305328302916e-07,-0.0004861619737413333,0.00037703249189588727,-0.0008987850613064279,0.0008871290418836777,-0.0005782445271809666,0.000159766938951263,-0.000741932127210822,-5.648781855901082e-06,-0.0026567776997884164,0.0015584097968207443,0.004904005262586811,-0.0014057159423828168,0.023184882269965276,-0.003321700625949439,0.0016305711534288167,0.0028326246473524223,0.0042593214246961775,6.840823011265861e-07,-3.0493570698663364e-06,-5.6823094685865276e-05,-0.002702077229817711,-0.00032816992865669235,0.001124911838107639,0.0008830494350857166,0.0001827875773112,0.002644220987955722,0.005141999986436633,0.01371002197265625,0.0003787941402859155,-0.0065820482042100665
2,0.0001180569330851164,-0.001184675428602428,-0.0006375047895643373,0.00028986401028102774,-0.00017975436316595094,-0.00040915277269150537,0.0008268886142306834,0.0013550652398003498,0.0003537336985270009,-0.0005377663506401945,0.000302642583847053,-0.0031659868028428777,-0.0031525293986002603,0.0013786819246080213,0.0006273057725694556,0.002908673551347515,0.0004407962163289447,0.0172539816962348,-0.00010758638381958076,0.001987725496292115,4.7613543251322375e-07,0.00014321671591862434,-8.646647135415556e-05,0.005309210883246528,3.772311740451107e-05,-0.00017119778527151312,0.0018357170952690944,0.002154880099826389,0.000917961200078328,-3.292825486925816e-05,0.0021144019232855944,0.0004412333170573,-0.0016142527262369723,0.0018744998508029556,-0.0003857082790798557,-0.0019596947564019113,5.148053686650964e-05,0.005162556966145833,0.00379180908203125,0.001121362050374339
3,-2.3063686158911577e-06,4.4504801432288845e-05,0.0033073425292968776,-7.107522752550468e-05,-0.0005437533060709674,-0.000735547807481561,-0.001145468817816839,-0.0009618997573852517,0.002252790662977428,0.0008617507086859722,-0.00011956029468111218,-0.00045119391547308895,-0.0003145005967881889,-8.476442760890604e-05,-0.000567886564466689,-0.00012082523769801024,0.0007598665025499111,0.0001280042860243111,0.0002681414286295611,-0.001985232035319011,-0.0009477403428819445,0.001364919874403211,5.6160820855055444e-06,-0.0012031131320529445,-0.0002084970474243164,-0.0015375349256727445,-0.0005386140611436612,0.00132984585232205,0.0005619260999891333,-0.0007404751247829833,0.00023576948377820555,-0.0005824300977918781,-0.0006086561414930555,-0.0005287594265407945,-2.4159749348955635e-05,0.00032660696241591894,0.0025785234239366277,-0.0016013251410590334,0.0003315673934088799,-0.0023920271131727387
4,5.557139714559006e-05,-0.00017865498860677222,0.0002225240071614666,0.00018824471367730105,0.0009340511427985339,0.0004803869459364,5.875693427191108e-05,-0.0007586744096544012,-0.00014974011315238724,-0.0010219150119357555,-3.0464596218532974e-05,5.4981973436138805e-05,-0.002878506978352872,-0.0015121565924750388,0.0007090303632948182,0.0015114678276909722,0.001479731665717239,-0.00018702612982854445,0.0007992850409613833,-0.0003236399756537647,0.0003356138865153047,-0.00024853812323675557,0.00013332896762424112,-3.4835603502165956e-06,0.0003991590605841722,0.00025855170355902775,0.00020726521809895,-0.0010826720131768134,-0.0003394285837809318,0.0028012593587239554,-0.0006201002332899334,0.0013079908159043907,-5.8333079020184024e-05,-0.0012590090433756524,0.0013241834110683827,0.00042547119988335,-8.328755696614722e-05,-6.251864963111108e-06,-8.17775726318302e-05,0.00025198194715710554
5,0.003238889906141483,-1.0770228173997668e-05,9.61555374993208e-05,0.0030470954047309,-0.004257626003689245,0.0004050400522020041,0.00022543635633255935,0.00019384755028617614,0.0008438958062065944,0.00027086999681259945,-0.0014565322134229845,0.00010570635398228669,0.00016527705722387172,0.00013426939646404384,0.00010352664523656249,0.00044780307345918327,0.0004361205630832047,0.0031556023491753444,0.002303229437934028,0.0013097127278645833,0.00017204549577500635,0.00037553575303818885,0.00036078029208712223,0.00012042787339950695,7.856223318312234e-05,0.003153059217664928,9.074807167052979e-05,5.697210629779923e-05,6.103515624998124e-05,0.0002453956339094259,2.2013982137044615e-05,-0.00019627147250705782,-0.0018824471367730076,-4.532602098253018e-05,8.087853590646095e-05,4.389550950791963e-05,0.0008911556667751779,7.20810559060802e-05,0.0005069308810763889,0.0001671049329969493
6,0.0022328694661458335,0.000306765238444,0.0007317695352766221,0.0007879469129774278,0.0015328725179036445,0.00010738107893201828,0.0008260938856336723,0.0034724341498480887,0.0020881228976779498,0.001688639322916661,-4.8266516791454006e-05,-0.0002073182000054229,-4.559755325320161e-06,-0.000535117255316833,-0.0007668071322970833,0.00023627281188963383,0.00056833691067165,0.0006776385837131056,0.0002492268880208222,0.0003538595305548666,2.1040439605710112e-05,5.006003710958311e-05,-0.00037121772766113135,-0.00011793772379557085,0.0009355545043945365,0.00017139646742076665,0.0002724329630533666,0.0016610887315538167,0.0008053249782986055,5.999538633557009e-05,9.886423746744426e-05,4.363059997559842e-05,0.0004384252760145278,-0.00017070770263672816,0.0012772878011067723,0.002137872907850478,4.296501477555757e-06,3.0818084875748494e-05,0.00023799472384981112,0.0011872185601128444
7,0.0005604426066080723,0.0003304878870646256,6.813473171657604e-05,0.0002315317591031193,7.672773467169312e-05,0.00022727913326687384,0.0048425462510850665,0.0028269290924072166,0.002362569173177078,0.0008083449469672333,0.00020662943522134443,0.0005758073594835,0.0002426306406656899,4.101461834378494e-05,0.00010761949751110668,2.5894906785753037e-06,0.0001553429497612771,0.0016448630226982965,0.0005719926622178705,0.00035259458753799446,0.002584159374237058,0.0001706547207302444,0.0004378292295667787,0.0011076397365993834,7.497933175829122e-05,-8.617507086859255e-05,2.1957688861427593e-05,-0.00023635890748765925,-3.4032596482166084e-05,-6.908840603298993e-05,3.290176391600521e-05,0.0009081098768446111,-0.00900469885932075,3.8570827907988807e-05,0.0002805921766493,0.0007559458414713499,-6.755193074545002e-05,0.0004160669114854545,0.000931845770941839,0.0002489884694417349
8,-2.0219220055463063e-05,0.00013380249341328468,-2.6785251167080574e-05,0.0012931823730468555,-5.232625537447661e-05,-0.00013036198086209395,-0.00024345848295425146,-4.503462049696103e-05,0.00012207031249998507,0.0003713241053952107,0.00048071808285183513,0.0015942255655924445,-4.792875713773565e-05,0.0028136571248372332,0.0003263685438368,0.0009725888570149666,5.5614444944588775e-05,0.0006419287787543347,9.788696964580175e-05,8.99483760197952e-05,-0.000171409712897415,-9.720193015205403e-05,2.5997559229531832e-05,0.00040402180618710027,-0.00023069646623399243,-0.0001038056280877862,0.0013230641682942723,-0.00020132462183634857,-6.217095586980154e-06,1.5113088819710846e-05,0.0002253717846340572,2.442134751213852e-05,-0.0001379383934868835,4.050425357284268e-06,0.0010166168212890556,0.00021472242143418915,2.106941408581152e-05,0.00018350283304850606,0.0016547309027777834,0.0003758271535237578
9,0.0001364549001057762,0.0013438330756293333,-2.039472262064616e-05,0.0008198420206705722,-0.00016493929757012207,1.4293524954056175e-05,5.7847963439086394e-05,0.00022122595045300574,1.1588136355080804e-05,-0.00013066993819341435,0.0013559129503038167,0.010013368394639755,0.0009770923190646668,-0.0001919004652235309,0.0033715565999349,-3.5607152514993425e-05,0.0001544339789284593,-0.0003094673156738278,-7.362829314338461e-05,0.000415629810757118,0.0001218236154980008,-1.9444359673393403e-05,0.002614763047960067,0.00150844785902235,-7.894304063583856e-06,-8.466508653429446e-05,0.0003706680403815358,-0.0008379618326822944,2.3742516835551425e-06,8.013513353133316e-05,0.0008434719509548555,0.0003877215915256014,1.364863581127122e-05,0.00032721625434027217,5.965431531268817e-05,-0.00036082002851697614,0.0006766584184434666,-0.0005919138590494722,-0.0001320706473456482,0.00879806942409939
