layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,-0.00383106536335416,0.0006720548794593331,0.0008605821633044586,-0.00045426318674911514,-0.0002296721493756339,0.0008004462277447698,0.00017409265777210988,0.0005479418201211018,-0.00044187351509376995,0.0006815886791841466,-4.7361409222646874e-05,0.0001453129965582012,0.0008565761424876955,-0.00013350575794407685,1.9373717131437372e-05,0.0029026549539448304,0.0002845187246063627,-0.0009903024744104475,0.0039893491768542635,0.0007661036503167768,0.0004513528611924913,0.0007159857102382254,0.0009424156612820099,0.005424146299008971,0.0035141897790225943,0.0002649882693349606,0.0004952200400976531,-0.00020479272913049163,0.0004939554650106616,0.001066213772620684,0.0002673908516212736,0.00035002202163508464,0.00022487728684036833,0.001018141522819614,2.4394120699090053e-05,-0.00014539265338285354,0.0003043987132884883,0.0004918781327612499,-0.00011118547416027715,0.0006615320841471315
1,-0.0009235040641125329,-0.00010299682617186913,-0.0004379219479031039,-3.848841160903681e-05,-2.1895508707313635e-05,8.598448317728561e-05,-1.0120279995007934e-05,1.1270339773209006e-06,1.4756748705741973e-06,-2.0657492841788036e-06,0.00016198334870515244,-0.00022431950510284416,-0.0006238619486490886,-0.0012518623728811,0.0002809453893590849,-0.00016237629784477873,0.00020348437038468755,1.4871496845174718e-06,-0.0008275243971082889,-0.0002357385776661011,0.0007469271436149692,0.00017382186136127875,-0.004960401558581694,-4.923785174334602e-05,-0.0003943502167124803,-0.000630412572695883,0.0008493926790025483,-9.196562502799498e-07,4.476462318388944e-06,1.7046560475854037e-05,-0.0001287548630325895,-0.0002433017448142692,-0.0010892491281768433,-0.0004427344710738543,-0.0004619904506353628,-0.0008807476655936505,-0.001292573081122505,-0.004930301948829934,0.0003386691764548978,0.0007383911697952834
2,-8.120176232890918e-05,-4.2856475453320226e-05,0.0002868970235188852,-0.00045380768952546415,0.00019631268065652238,-4.265043470595271e-05,-0.0003331840774159378,-0.00044448876086576356,-0.0005269315507676841,-0.0010172113960171963,-0.00013068723089901184,0.0012243176683967483,0.001900781819849843,-9.508739099090714e-05,-0.00032040729750821954,4.328474586392205e-05,-0.00014813615722053045,-0.0008493941507221686,9.726291453396525e-05,0.00014036525914698668,-2.7718128820444327e-07,-5.314379562565823e-05,0.00026182775144223766,0.0007222081408088605,0.0008789609979700109,5.6561128592784325e-05,-0.0008393158147364494,-0.0018385604575828277,-0.00028054728920077116,0.00012080904878216166,-0.0012129795404128094,-0.0009635937066725752,0.00012366565657250618,-0.0003469814488917185,-0.001768277015215084,0.0009439153435789495,-2.6876776605657442e-05,-0.0029191735350055452,0.0008537268932954784,0.0005601144131319017
3,4.121353044921327e-05,-0.0008328520221474701,0.004707289330753281,6.551599061046971e-05,8.799117288471356e-05,-0.0011219816443360862,0.0003139001351815651,0.0005979493812278453,-0.0005914576259660154,-0.0009631757382993323,4.326947677281903e-05,0.0006595437909350028,-0.00011615988648968191,-1.4743135299211782e-05,0.0004021885954303519,0.00013140910937461448,-1.6802622948164464e-05,-0.0007842337643658656,-0.0010831665109705029,0.0012845235106385814,-0.0005953370788950945,-0.0003790884842107301,0.0003438466860924253,0.0003887311911877319,-0.00020995846501103136,0.0005874206990371593,0.00037629957552309443,-0.0005398289656933425,0.00036932803966380207,-7.330046759711896e-05,4.9241531042402955e-05,0.0004732211430867535,0.00156254532896442,0.00034185692116065955,0.0014656267048400067,1.5570793622782257e-06,0.0010164667058874073,0.00162001892372414,-8.687193011059899e-05,-0.2308281792534722
4,2.5718484395812764e-05,0.0002987531968104935,-0.0002149402359385612,6.764759252097246e-06,-0.00019771081429940268,7.943165155105632e-05,-0.0002625430071795426,0.0002792161188007849,7.54624237248893e-05,0.000538378586003808,-0.00022839984776060434,0.00029408343044327705,-0.00023932221495075046,0.0014935099048379037,-0.0008906221684114407,-0.0008427360911428191,-0.000610836126186234,0.00010200783058448682,-0.00018240787364818086,-0.0004897139690540422,0.0004183094442626602,-0.000615559978249634,0.0001643366283840633,-3.6865104863673904e-05,0.00016613488579973518,0.0008552692554615203,-7.81659726743358e-05,0.0008534384362491487,0.0004696154300077461,0.001779997790301286,-5.772084365656184e-05,0.00048717451684268675,0.0001559329253655901,0.0010409149122826834,0.00037162833743625275,3.8264710226174684e-05,0.0007955836661067998,-0.0007431433524614487,-4.640920662585619e-05,-0.00011796090337965311
5,0.009492213159431644,-0.0007893575562370945,-0.011672596872588734,-0.19959098910108025,0.007323806852470199,-6.567254478548103e-05,-4.0250427928971056e-05,-0.00011832391222318123,-0.00033650574860749285,-1.4087852136588487e-05,-0.009073135293560264,3.7281141604904334e-05,0.00047914996559237386,0.00030242808071183266,5.6541260377858176e-05,-0.0003196810498649679,-0.0004072969342455436,-0.0020190580391589506,-0.0006230672200520834,-0.00070053854106385,-9.007365615279807e-05,-0.0004021580572481511,-0.0002526074279973483,-0.00011102064156236757,0.00020881273128368108,0.0005059183379750198,-0.00010053979025946577,2.6623959894532562e-05,-0.00017684192201237493,-0.000111606937867616,-3.489447228703174e-06,9.089340398340861e-05,-0.0001902133226394743,0.0006374315715130482,4.7125198222962154e-05,-7.228525700391933e-05,-9.877151913112189e-05,8.508986161078253e-05,0.00047925592940531214,8.809143378411423e-05
6,-0.0015501799406828704,-0.00024050253408926633,-5.0790515946751584e-05,-0.0010931344679844242,0.00042920642428928335,0.0007478131188286691,-0.0005200409594877222,0.006568343551070602,-0.18373842592592593,-0.0005417929755316858,-0.00011492741328697988,6.019443641473893e-05,-2.5051289502485476e-05,2.5757301000896853e-05,-0.0004906768416180938,-0.0005297940454365329,-0.00023805285677497607,-0.0010446339477727402,-0.0002640677087100907,-6.829220571635041e-05,-3.47238217974868e-05,-0.00013620296010265144,-0.0014278219069963512,4.152567298324579e-05,-0.0005331028390813748,-0.00012621485892636808,4.5929426028410514e-05,-0.0019688076443142373,-0.0005379665045090643,-6.1370708324283e-05,-0.00020096846568731528,0.0005419559684800419,-0.0002853378285596355,-0.0004147408921041599,-0.0005631520424360101,-0.0011464121900958792,-0.00017863843176099177,7.965682465353242e-05,-0.0003674405592459185,-0.0023251403996973857
7,-0.0002387265364329018,-0.00014766402266643163,-6.104821776166249e-05,7.686189111368784e-05,2.211442700138566e-06,1.1453657974429087e-05,-0.0036846678933979554,-0.0009806645505222237,-0.0012640305507330247,2.7266549475400997e-05,-0.0002077437109417329,-0.0006764155847054968,-0.00018898719622764822,-5.450559619032214e-05,-0.0001343955964217943,-6.970064139659159e-06,-8.582222608871885e-05,-0.0005017975230275876,-0.00032100854096588397,-0.0001810009096875539,-0.002097377070674191,-0.0007745719250337581,-0.00032108507038634517,-0.0008324899791199465,-3.930963115926856e-05,-0.00025239108521261065,-7.779362760943531e-05,-0.00013031221834229324,-9.838905599380512e-06,-0.00010151894372185487,-0.0003592485998883639,-0.0010220430515430604,0.0059738983342677,-0.06755423840181327,-0.0005112511140328836,-0.0004375952261465562,-0.0007891713837046699,-0.0007301730874144019,-0.0026139153374565988,-0.000661519942460238
8,-0.0195572700029538,0.0008519738912582303,-0.007737631829064565,-0.3505226417824074,9.707904156342648e-05,-0.00047378775514202284,9.61693348707961e-05,-0.0003956247259069356,-0.00014475944601458738,-4.910098181829356e-05,5.864287600105249e-05,-0.0007617620774257339,-8.529351081376765e-05,-0.0011571719322675555,-0.0006705206117512279,-0.0003790207851080247,-3.0285598319251934e-05,-0.00020417111155426963,4.0810141298504564e-05,-3.873989169979975e-05,0.00030004168734138717,5.6799731136834875e-05,3.5603197268498775e-06,2.0882229746120766e-05,6.321330129363715e-05,1.8372832808959886e-05,-0.0007653839794206057,-3.1399506109739095e-05,-4.275386900076673e-05,-7.128182016753508e-07,0.0003478192252877411,-0.00022911878279694578,-0.03557407708815587,-0.0033058354884018086,0.000253498554229739,-0.0002722478943106613,-4.3424559228202316e-05,-0.00013171522705642363,-0.0021359626157784186,4.511556507632654e-06
9,-0.001274364965933348,-9.069913699303132e-05,-0.00010919846870280639,-0.0002131653420719048,-3.921571705075694e-05,1.355637738733699e-05,-8.837676342622229e-05,8.506539427213644e-06,-1.1738263254545287e-05,0.00012128441422073703,-6.398153893741548e-05,0.0024549696180555555,0.00017703462530065515,-1.3762050204807008e-05,-0.001505492646017192,2.8713709778254462e-05,9.903610672479902e-05,3.8300031497150024e-05,7.817958608085494e-06,-0.0003297356083805161,-7.797060189422691e-05,-2.496615972048021e-05,-0.00046944618225097586,-0.0013689700468086914,-4.5438469560063176e-05,0.0003292678314962461,-0.0006414202996242136,0.0006270761843080883,-3.6844086867781626e-05,-3.71634960174465e-05,-0.0007836965867030778,-0.00034820297617971224,-0.0001308588702001611,-0.00016214818130304078,-8.381388069670006e-05,0.00024610279518880775,-0.0010251366061928783,-0.0006009082735320754,-0.0001269087747291188,0.016668511025699568
