layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.00400689754584065,-0.0004896856334111446,-0.0012324868816218938,0.00042929347247293477,0.0002323372723305065,-0.0010190793912704674,0.00016689300537109315,-0.0006437464936138884,0.00038952860113692576,-0.0008065251454915094,-0.0005761703399762645,-4.8469650010542285e-05,-0.0009521719527571075,-0.00015657854406801033,2.4584874714888338e-05,-0.0016683650343385455,8.240791216288627e-05,0.0010705745383484731,-0.002954770440924657,-0.0009840710522377328,0.000998252058682377,-0.0005804022697553148,-0.0003318819281173069,-0.00487622169599141,-0.0004744856324914398,-0.0001650175003156251,-0.00048010398263800765,0.000328647763761756,-0.0005107799621477567,-0.0008871016437060175,-1.7842201337419328e-05,-0.0001506135888295601,1.9636872696590664e-06,-0.0012685974983319846,8.463043056121714e-05,0.00036146216196555875,0.00014520671269664898,-0.00018310138624007716,0.00029034238972075796,-0.0001287264366672433
1,0.00040258773385661847,-0.0007186915776500965,0.00022345536375699044,-0.00014337448224629394,9.76454721737979e-06,8.184942480637325e-05,5.460152887315299e-06,-1.5729623655342076e-06,-3.640348576521406e-06,-1.786098885668533e-06,-0.0006798881373993303,0.00016180660626659567,0.0009533934397240206,0.0011555136066593533,-0.0005081761373232494,0.0001348428530235694,-0.00023401926641595212,8.76208690747823e-08,-0.0004408457507825883,-9.411981661025958e-05,0.0005076682730896843,-0.001296291612598991,0.010387943215566138,2.8714741746037946e-05,3.663154497538563e-05,-0.00022909086044520962,-0.0016654807410828047,1.2145359356159158e-06,1.9896303443890595e-06,-3.942479825998958e-05,-0.0008143268219412206,-4.271285174644543e-05,5.787366057095275e-05,-0.0002896001894180104,-0.00016335591877976403,0.0006773896413306645,0.0009307469407173058,-0.0005386039002300946,-0.0007467955759126792,-0.001142632471372005
2,-7.0982599911668084e-06,3.1846843353688845e-05,-0.00027109825447813924,0.00021655918800666933,-0.00022473727187065256,-0.0004160306225084178,-9.786919371722372e-05,-0.0004443795713659856,-0.00014979871985030253,0.0006324689682215899,0.0002656078399860673,-0.0002073082205367404,-0.0009387453941449769,0.00037012305365849977,0.0005665250020484384,0.00014309590197589337,0.00018642128330387004,0.003924425334146571,-0.00015971421787183658,0.00027790543151228484,4.745714449361987e-07,-0.0001883359804545299,-0.0002847828277169877,-0.000993258332552974,-0.001608247626317688,-0.00025643877787133007,1.0666781908846709e-05,0.0011638353948723796,-6.028417855092526e-05,-0.00019506558980027418,0.000772724412891961,0.0009020779230823254,-0.0008573270823857552,-0.00036481635211265686,0.0013756556053684185,-0.0015381982881728924,-7.4180034435755265e-06,0.0007816602105963726,-0.0005059225918495484,-0.00029641634797396917
3,-2.9310073754554326e-05,0.0003784209081571364,-0.005922990302516988,-0.0001767773742545038,-0.00025239382704642945,0.00044322340455773835,-0.0011979145546482065,0.0001194509741378169,0.000978762156342805,0.001278568620551121,-2.903807653138968e-05,-0.0007761725007671216,7.370400102171831e-05,9.489386049033383e-06,-0.0005630532356157732,-0.00020566786805243322,-0.00012297907920733302,0.0006367049805105513,0.0008280571192911151,-0.001946220659229855,7.709738326399247e-05,0.000292865380848924,-0.0006119649704188505,-0.0014082275024832169,-0.00013719029622534314,-0.0013190222113099827,-0.0010796409763701984,0.0009000823922353252,-0.0005636590800873174,-0.0013205286574690276,-0.00016728982533493922,9.709637459010467e-05,-0.0006584957854388488,-0.0002507363280204865,-0.0013945617087899802,-8.705789095734903e-05,-0.0008189188290948767,-0.0014474751198128514,2.7188699539393125e-05,0.22772718455693494
4,-4.622125870559645e-05,0.0005128595926990266,9.481221029200694e-06,-0.00010606524062483227,0.00013049028507650107,-0.0002344499712121028,-0.00013313064836476018,-0.00034236989609182463,-2.3519339626780752e-05,-0.0007234468852003925,0.00016732575142220098,-0.0004755911761767122,0.0007980686344512549,-0.001351297718204863,0.0004997473873504194,0.0003671058236736137,0.0007050441552514889,-0.00023287779664339964,-8.676803275330274e-05,0.0004782529726420318,0.0002836691190118641,8.025071392320958e-05,-0.0003391879878632062,-9.098771500260858e-05,-0.0002689910669849272,-0.0012298152871327924,0.001058294348520776,-0.000916456523006904,-0.0007586654734938106,-0.0019262000306011875,-0.00019659898052477303,0.0005842594251240745,-0.000172873065896237,-0.0008578774047224514,-0.0002396302680446727,8.863945529885136e-05,-0.0008618390723450526,0.00019226008898591378,4.233562783033508e-07,-5.266437791798771e-06
5,-0.010254678660876128,0.0007890270997399947,0.009567522022822132,0.1542274788634418,-0.00953407947943634,3.380114085053925e-05,6.148443646626578e-05,0.00025117887209539586,0.00015726481398490824,5.91504655472211e-05,0.009529235836577745,-2.7190536668860283e-05,-0.00037209628379507884,-0.0004818159831713316,5.945359190849597e-05,0.00019461488070552992,0.00029281108346703485,0.001305462562874572,0.00010911079302226028,-0.00013283507464683357,-2.337890128566582e-05,0.0002667324183738368,0.00028707638178785685,7.206221965894258e-05,-0.0001520910491682115,-0.0018548834813784266,0.00010312792577155557,-1.9824872278188914e-05,7.794082981266607e-05,4.857839786842746e-05,1.5590084742223566e-06,-0.0005657930080204792,-0.0001312935189024996,-0.0004989339472496373,-0.0001033483302756397,1.3889106985637258e-05,0.00013095385407747975,-0.00010611912975571606,-0.0014388295885634785,-4.564133817202659e-05
6,0.0006235723626123712,0.0001856805118795927,-0.00016585033233852006,0.0007593860364940089,-0.0005288124084472651,-0.0009095244211693289,0.00043106936428644526,-0.006242098873608734,0.1504240689212329,-0.00029441101910317126,-1.6570907749531977e-06,-0.00011482896053628085,6.866679616168781e-06,-0.0002840920670391812,0.00017963941783120737,0.000155025965546908,8.231483093679829e-05,0.0009854958481984588,0.00018914758342585754,-1.736199610854204e-05,6.9968096197456185e-06,0.0002254437246959461,0.0007453862934896354,-4.673208275887122e-05,0.0002824382422721568,0.00010895749477490753,-3.6814441419632885e-05,0.0010862481104184515,0.0002572569128585164,2.6094178630876212e-05,0.00017529664790793818,-0.00018633575472112588,0.0002289365415703742,0.000553200914435189,-0.0001399206788572561,-4.854594191459559e-05,0.00012109214312409036,-3.115077541299165e-05,3.142144582042842e-05,0.0007469752063489942
7,0.0001718850984965308,0.00019151401029873788,9.031098795260952e-06,-1.559093313879101e-05,3.376215288083565e-05,0.00013083995205081795,-3.307812834439312e-05,0.00040969701662455367,0.0005331561989980198,8.736407920105321e-05,0.00019489473676027947,0.00015779635677598956,6.0446254194597334e-05,3.733424699469876e-05,9.730590941154999e-05,-8.372834896388178e-05,8.551623315027135e-05,0.00050141060189025,-0.00014597749056881738,-0.00017387573033162985,0.0007364455967733309,0.0002956129100224767,0.0001628373889890412,0.0004184262393272071,2.1198024488474558e-05,-4.1759993932011644e-05,4.62013564697616e-05,1.2048099138964142e-05,1.0493581425649122e-05,-4.3414482106901365e-05,0.00036126456848562113,0.0002531286788313342,-0.01100499662634445,0.04411044186108733,0.0003234964527495872,0.0005090661244849632,0.00014380396228946924,0.0004157693418737979,0.002657041157761665,0.0002631736944799612
8,0.014462386092094524,-0.0009722942358826819,0.007646326128750627,0.325753825984589,-9.784704610092412e-05,0.0004917889425199316,-0.00014560332853499506,0.00019834466176490265,4.8799465780387016e-05,-9.948056038112089e-05,-3.2569447608840285e-05,3.1458188409674644e-05,-0.00028965897756079987,0.0003556290717974096,0.0004912794452824013,0.00020049369498474862,3.540617962405528e-05,0.00019291206581951767,-1.964054695547114e-05,6.193284914917861e-05,-0.0002226339627618665,-1.3230802261665709e-05,7.488139688149889e-06,0.00021583025586115027,-8.464390284394714e-05,-2.4985471000406722e-05,0.00017761530941479722,-0.00024083093421098682,3.2780462340124994e-05,-4.2732600888155284e-05,-0.0002769460416820068,0.0001968566889631986,0.032757693774079624,0.0028474102281544236,-0.00014461229925286968,0.0001328324210153877,2.2221101473353674e-06,0.0001132432116220991,0.0010510340128859403,-0.00014305522997085454
9,0.0011881099988336461,-0.0005725377226529081,0.0001608863064687506,-0.00021180714646431263,3.529329822487027e-05,-3.793600895632773e-05,2.1149850871463094e-05,-8.478878091459646e-05,-5.234555940922613e-06,-8.030786906203302e-05,-0.0001480318095586082,-0.006150493883106806,-0.000338211451491263,0.0001404269100868581,0.000901091588686589,-4.780170035688508e-05,-3.373451301292462e-05,-0.00023282411163800154,-8.064161424766752e-05,0.0004302452586285064,2.7770457202437988e-05,2.8785062979343654e-05,-0.0004323606621729192,0.0002571964917117604,8.76355661104795e-05,-0.0008342266082763661,0.0005016335069316618,-0.00039416796540560757,-2.7619200210026032e-06,-0.00011136842100587629,0.0006181899815389569,0.00014800813100109518,0.00012492909006876071,0.00014203868500173972,7.711130207123363e-05,-0.000291019269864849,0.0005229368601759806,0.0003565174259551597,-7.711412155464696e-05,-0.01668871918769732
