layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,-0.009327062671048643,-0.007719402280290304,0.0002191770879715834,0.002354752008573173,0.0065993904449779235,-0.014090913565047665,0.0008388199748564671,-0.013022442555798151,0.0036133171569086315,-0.014218185437981534,-0.00284087802050233,5.221737481151895e-05,0.0015321329673543085,-0.033369661509887745,0.0019410706554669791,-0.009798493821798005,-0.0024503105044982594,-0.006763494488282937,-0.008604299219161117,-0.00041683638445865715,-0.005875337103282026,-0.003522289849315901,-0.013173490402406155,0.005682843130899011,0.00762537723995861,0.0033470822533589366,-0.008759971315584859,0.0028115685945553645,0.0014973633853470922,0.0008951032305834411,-0.0005204887587789427,0.02060706051314227,0.004559706323916842,-0.014646925456783314,-0.006879101557229261,0.0007591906400953958,-0.011962890625,-0.022981686501511226,0.00015584092477854465,0.0055322992986965676
1,-0.0004606889319543394,-0.0006325677268863344,-0.0005885850580245099,-0.00243928971891782,-0.00386925600147412,0.00021466031181585767,0.00010458340093055949,0.01663534793623165,1.7659471648550136e-05,0.003172062427474633,8.75568554603171e-05,0.0011921159549904195,3.72674181053678e-05,-0.0016873776397968616,-0.00717642723175734,9.262273554563053e-05,-0.0010431467560288816,-0.006635558831671153,0.00043103114310941485,-0.0068014141603249135,0.0031495646079793085,-0.007160562307723445,-0.0007039989008598785,0.0007768031434897493,-0.0012460092600557265,-0.0002694088766200147,-0.0025078620317686403,-0.05668663855043718,1.0065843764569345e-05,-0.014726655265004317,0.0005436536561639813,0.0007738449412924024,0.00031701970800422766,-0.007230449011082888,-0.00031356284449549326,0.0015201239182335517,0.0001391755072769932,-0.004775437666344519,-0.0036890790870152605,0.0012828846669567682
2,-0.005488552165978519,0.0003353112308060773,-0.0010173464892029964,-0.0005489408661046788,-0.0132580165830095,0.001392326618517413,0.000823958138315995,0.000585406143636491,0.0009613037109374995,-4.8695038843236963e-05,0.011977801051164538,-0.012386674502147088,-0.0009224089522024099,-0.01645125420394133,4.667975330187626e-05,0.0015594370418673795,-0.00025007813293905157,0.006543398315218858,-0.04955024927185401,4.4347953199315195e-05,-0.016963928268775214,0.01614485297590134,-0.005112774837408247,-0.0023293766950696244,0.005620860888756207,-0.0015818673300207798,0.0002570835831663566,0.0014037460037257797,-5.362812101532166e-05,-0.0016452314940141274,-0.0012712528050872326,0.0012856715701404628,0.000918940147175896,-0.0031408909483071233,0.0005204327571783231,0.03495027611292706,-0.02476878322673791,0.011329071097629264,-0.019620210189687567,-0.00327294766388203
3,-0.005312746670579663,0.0011587587662929082,-0.008046530688982553,0.02068185229787349,-0.007842989577324691,-0.007387553266087138,0.025626628921851385,0.001098751404124838,0.0016741316141448083,-0.0029067927279826477,-0.011339256800518135,-0.006297725881731366,-0.009714548246024598,-0.02207464504736075,-0.0015076421497193437,0.0045739867320744275,-0.0010324784511111565,-0.00011152306986596286,0.0017446022165459867,-0.0005961666864846448,-0.0011666549919800435,0.0013275459434496102,0.0025171945338010376,0.02626513940682683,0.006350260324428736,-0.00458551317916633,0.006105577801587462,0.0001954620572157676,-0.0006970749823746492,-0.009169217836053878,0.006433841272133413,-0.0009347293043383663,0.0005635325772774676,-0.007191984146987836,0.00021005376838855415,0.009260920457065827,0.007053945142782208,-0.0018433816280595584,0.001804448162335806,-0.8625260585330311
4,0.007460854419978377,-4.971459739566467e-05,0.02378445956373462,0.0005474238815702923,0.0024687498550546813,0.004778509518849006,0.007895639317435098,-0.005279106179667261,-0.012565035482350615,0.016255946974680215,-0.0006719730884505887,0.0069435363400579524,-0.0230725342745608,0.006560752222986831,0.0005758084575541073,-0.004487533437567465,0.004456917033088433,-0.014963522270347583,0.00388404701246087,0.0030887740469555374,0.0033900762469039683,0.003788419338087962,0.0033761981443625865,0.0012455974835805944,0.003103872243192735,0.01204351316461909,-0.0259922518425449,-0.011230220037009018,0.0044270270023115356,0.014482958535044511,-0.008943607152434828,-0.004001215537800896,-0.005909802794250594,-0.04463159523273791,0.002944953701039053,0.0024553218242006187,0.0029449339357682453,0.002728620341404732,-0.014218331206853731,-0.003128458592969931
5,0.0621172867084826,-1.9935300626079446,-0.034199280957072094,-0.009944670043872816,0.48907367573706806,-0.0032546804358922136,0.0005130257219436474,-0.00035126139257032354,-0.00013282385514807975,-0.0005997971137776462,-0.06120902186642451,8.563022089025822e-06,0.0012384166937829712,-0.001206087736679891,-0.00018036764417493563,-0.00022234581089184687,-0.0009118386500857662,-0.0014108713838514681,0.0022833236140908353,0.005121063074299708,-0.0021609222333048295,-0.00035749754139796495,-0.001805093827848815,-0.0018587838182795233,6.130167857352903e-05,0.012044060003778065,-0.0022239903300125576,0.0021907010844334418,0.0007247354494269428,-0.0003665387115742052,-7.970664579427727e-05,0.01662379101768059,-0.0005479662941321532,-0.00039829141323636554,7.277166081627405e-05,-0.0002184729501991082,0.0004958019355418151,-0.0003143914417075775,0.05110065677623057,-0.000415079964771995
6,0.0023454228007525773,-0.0015616482815388364,-0.0005568626219332733,4.977389320808316e-05,0.0022156374442145,-0.006401421080805065,0.015830674113799046,0.16308795355762223,-0.8485732531506369,0.007267373831160945,-0.0024121915326423193,0.004751408038361702,-0.001308745053148025,-0.0006250087461323328,-0.009995643339008865,0.0022418807825276277,-0.00020420386589458604,0.000653412778554598,-0.0005408082807208177,-0.000927871553185473,-0.0001488612105809343,-0.00024179967573887383,-2.0245402176352466e-05,0.001723181810197847,-0.004168890918474742,-0.001812004260654482,0.002125850407364866,0.0013027909712058482,-0.0001929946925767758,1.3918971356537922e-05,0.0011330105891911302,0.004934608215700983,-0.0011731660016048343,-0.0010526896115000044,-0.0006898808355776143,-0.006529150849179283,0.003981619918902304,4.4495330573363517e-05,0.00010658411987910622,0.00042982046880046706
7,0.008124209026804448,-0.006332376872113743,-0.0017069201910022234,0.00028043450057403636,-0.0003702539648210857,-0.001958058905725034,-0.013850405632111281,-0.002249378408586835,0.008923690347885633,0.0014736080004967146,0.00018821098232104614,0.0009823796662641936,-0.00045002206825427713,-1.5742420532543595e-05,-0.0002248735007844445,0.0006365297371859385,-0.00021704696826572772,-0.0013438238792880643,-0.003953236166471438,-0.001072916136298566,-0.0012621047789156952,0.0019891698537506997,-0.00018344255926695753,0.0010531002169857813,-2.4987574480157235e-05,0.0030915033014327136,-0.0016068487793258653,7.083342894782777e-05,-0.00016428036084446847,-0.00012187569664343953,-0.0006367573659346028,0.0006631256591058957,0.09762222120387155,-0.26249971538010036,-0.01585463621043994,-0.008762412326529441,0.0002891628235732947,0.0007489859954886705,-0.005044474297031014,0.003251678173612025
8,-3.268067249568221,0.15862076846634993,-1.5130938857742335,-0.003797661249295823,0.00312853477161783,-4.1253826161122674e-05,-0.004090310790172307,-0.00012004581346001372,-0.0009191672419019329,-0.0021975818693329013,0.0001741653896984042,-0.0054059073920900555,-0.0005627518490806138,-0.007663726806640625,0.0011327023744994904,-0.0017551898132745888,-0.007488762982356939,0.002852799361233884,0.000752987124553407,-0.0027961914197562683,-0.000509464846270886,7.986350046126477e-05,-3.645670743392239e-05,-4.440448238853768e-05,1.5120457902880934e-05,-0.0015674858307385472,-0.005028348306711885,-0.02059937099924565,0.00013118426416822073,-0.0016759625267694293,0.00010954800973901915,-0.00028457632851309323,-0.013939259583468264,-0.0013480194697931581,-7.763211591255948e-05,-0.0012024918986107932,-0.0004894261944891076,0.000118067433385236,-0.0002877411652929012,-0.0031695456496586252
9,-0.033272573573189905,0.004966882432268897,-0.000563241579989685,-0.007472280393610346,-0.0023882590839076332,-0.015067352326216888,-0.0024707786777476595,-4.3679601376126766e-05,0.0003481241705504069,-0.013442499032292343,-0.0005036454538401349,-0.024661958526453205,0.0018095327782507392,-0.001031363360416498,0.0026640620256335,-0.006280309795715648,0.001067912949181592,-0.007124661987515517,-0.0011377478716492868,-0.001091266182831944,-0.0010247800840203186,-0.0032568674836957585,-0.0007729505627884145,-0.019588893765200812,-0.0005741230049693308,0.0010130343659554124,-0.00044802248169103435,-2.257726661900326e-05,-0.0001761180337434722,0.0005266223752642726,0.00019258621031344463,0.0005013713153120952,0.0023014139840845825,-0.0017856340951870157,-0.0007081822410148685,-0.0008310544882001881,-0.018830768802623056,-0.003542127386893631,-0.0010335121130078536,0.15118694964262283
