layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.007953091671592317,0.004785638106496711,0.0027322267231188317,-0.001117907072368421,-0.005368684467516457,-0.0018030969720137736,0.010450664319490132,-0.0031794497841282896,0.0007304141395970421,-0.005843313116776316,0.0026430832712273948,0.0006464907997532895,0.0009564851459703842,0.001177081936284111,-0.000762939453125,-0.011313187448601974,-0.013511657714843747,-0.01355944181743421,-0.013670068038137341,-0.01591180500231291,-0.012309024208470395,-0.007137499357524668,-0.01605626156455592,-0.007335060521175984,-0.011330453973067431,-0.0008484689812911159,-0.007079676577919411,-0.0013757002981085527,-0.008164255242598685,-0.001860367624383221,-0.004946658485814142,-0.003852442691200658,-0.003772133275082237,-0.0029698422080592104,-0.0035496761924342104,-0.0025281404194078946,-0.0018378809878700684,-0.0027620415938527944,0.0002807316027189684,-0.000517293026572779
1,-0.0016270687705592106,0.013312088815789474,-0.013308073344983552,0.0025969053569592894,-0.002239026521381579,-0.005679080360814142,-0.0009773655941611736,6.439262314846641e-06,0.0003676665456671263,-0.0015122263055098685,-0.06104158100328947,-0.024645353618421052,-0.001509917409796463,0.013276752672697368,0.0021049097964638158,1.2648733038657889e-05,0.003030475817228621,3.176300149214632e-05,0.026412160773026317,-0.006585372121710526,0.010120191072162832,-0.013151469983552632,0.009423908434416116,-0.0004035548159950632,-0.0010287636204769736,-0.007182874177631579,-0.025406686883223683,2.9174905074105663e-07,3.147517379961252e-05,-0.00011228260241057186,0.007914492958470395,0.006014773720189142,-0.030369808799342105,0.0023038763748972,0.004665575529399668,-0.007761905067845395,-0.004321248907791936,0.0019097579152960527,0.0058553595291940845,0.003261365388569079
2,0.0027850929059480356,0.0039594549881784525,-0.007482026752672694,-0.006595410798725332,-0.00031727238705283684,-0.0013500012849506527,-0.01663368626644737,0.01457776521381579,0.0009321915475945736,-0.007537841796875,0.002063951994243421,0.008079127261513159,-0.00010962235300164209,-0.0026349519428453946,-0.030140926963404605,0.005670647872121711,0.00038287514134456645,0.005545164409436679,-0.002073187577097037,0.012022319592927632,-0.0021829997238359904,-0.0005840502287212263,0.0008456079583418905,-0.017716257195723683,0.007114811947471222,-0.008627640573601974,-0.025689376027960526,-0.003784480847810442,-0.006805620695415295,0.0005553396124588896,0.0034276058799342104,-0.006516306023848684,-6.424753289473684e-05,-0.006948370682565789,-0.004587073075143911,-0.01681920101768092,-0.0033376593338815745,0.025520324707031253,0.004092567845394737,-0.007220017282586347
3,-0.0005424869687933636,-0.027077122738486843,-0.050749126233552634,-0.007773750706722856,-0.016062686317845395,-0.01647045737818667,-0.008165861430921052,-0.018423783151726974,-0.07032555028011925,-0.020483719675164474,0.001247506392629521,0.0025711059570312526,0.001737895764802621,0.000757876195405649,0.008756938733552632,-0.0012818386680201472,-0.0008368241159539474,-0.005782277960526316,0.004459983424136521,-0.010840566534745069,-0.020541542454769735,-0.0135498046875,-0.0128021240234375,-0.0023449345638877424,-0.02021388003700658,0.0008741679944490157,-0.003398694490131579,-0.009449607447574017,-0.013999938964843747,-0.003999308535927221,-0.031235544305098683,0.0043989482678865105,-0.03154393246299342,-0.0006560275429173578,0.030352943821957235,-0.0057083932976973685,0.0063155324835526315,-0.00665283203125,-0.004588880037006579,9.476511101973684e-05
4,-0.002345311014275804,-0.018222608064350325,-0.004604138826069079,-0.01695813630756579,-0.0019170861495168528,0.005712709928813737,-0.0012102629009046052,0.003548873098273026,-0.0013427734375,0.005406429893092105,-0.009749161569695727,-0.002022341678017058,0.0007757889597039474,-0.0034284089740953946,-0.019341719777960526,-0.010019804302014795,-0.014487818667763159,-0.023663169459292765,-0.03674958881578947,-0.05571546052631579,0.005694740696957237,-0.005912027860942637,0.0037341870759662783,0.0004794472142269788,0.0033309334202816583,-0.0005729072972347895,0.014002749794407895,0.015239514802631578,0.0069617221229954784,0.016366255910773026,-0.0075147528397409525,-0.06925241570723684,-0.02238404123406661,-0.003170590651662726,-0.048487613075657895,-0.03254298159950658,-0.024312471088610194,-0.017542788856907895,-0.003450594450298121,-0.034123470908717105
5,-0.0036171361019736842,2.217292785646209e-05,0.0003258554559005053,-0.004502647801449422,-0.0020041214792352,-0.0073495162160773,-0.004636262592516448,-0.006064967105263158,-0.009259675678453948,-0.006757234272203948,-0.003028468081825663,-0.0015977558336759843,-0.0014087275454872526,-0.013586546245374177,-0.00158337542885228,-0.0038660952919407896,-0.0015395315069901315,-0.007526598478618421,-0.015535053453947368,-0.007068834806743421,-0.010546433298211352,-0.009451615182976974,-0.009326734040912832,-0.01105027449758429,-0.008015482049239304,-0.009996916118421052,-0.0010336825722142104,-0.0006232763591565523,-0.0009401221024362685,-0.001124934146278779,-0.0006730619229768425,0.0006908617521587158,-0.000484466552734379,-0.0007519972951788685,-0.002910011693050984,-0.0013999938964843737,-0.005078365928248352,-0.003798133448550568,-0.0022326017680921054,-0.0044818677400287835
6,-0.022036903782894735,-0.0113473189504523,-0.007403725071957237,-0.013100071957236841,0.002576928389699837,0.003152746903268916,-0.006751612613075658,-0.02308092619243421,-0.017337196751644735,-0.015114232113486841,-0.0034345074703818904,-0.007069637900904605,-0.0033388263300845535,-0.009998522306743422,-0.004837839226973684,-0.011054591128700659,-0.013877467105263159,-0.0038195158305921054,-0.0013150666889391422,-0.0032521298057154578,-0.005440962942023026,-0.020136782997532895,-0.0034497913561369266,-0.0055831106085526315,-0.007268403705797694,-0.010425768400493422,-0.003776148745888158,-0.005139802631578948,-0.008628443667763159,-0.0018053556743421052,-0.004073695132606911,-0.009239196777343743,-0.0034231888620477003,-0.010703839753803452,-0.010127017372532895,-0.004749900416324016,9.026652888247134e-05,-0.0004493249090094293,-0.008792274876644737,-0.001970993845086347
7,-0.004822580437911184,-0.002358687551398026,-0.0038958097759046054,-0.0020430715460526315,-0.007408543636924342,-0.0054168701171875,-0.011665745785361841,-0.006604646381578948,-0.005958958675986842,-0.010350277549342105,-0.003318385074013158,-0.0032120252910413263,-0.003330029939350332,-0.0006725913599917579,-0.0017565677040501631,-0.0037586814478823946,-0.003134476511101974,-0.006381386204769737,-0.006804165087248143,-0.008728830437911185,-0.01632529810855263,-0.006082635176809211,-0.0017222354286595368,-0.003837585449218753,-0.0014676545795641472,-0.006070588764391448,-0.005880656995271384,-0.005839297645970395,-0.0014724731445312474,-0.0035099230314555893,-0.0012455990439967054,-0.003776148745888158,0.0032099171688682263,0.01268969084087171,-0.014321578176398026,-0.0017242431640625054,-0.02769068667763158,-0.004723548889160148,-0.004599721808182563,-0.017759222733347037
8,8.268732773629617e-05,0.0005917800100225947,0.00014756855211758353,-0.0029035869397615105,0.00028841119063527897,-0.020266884251644735,-0.0012658520748740794,-0.007353933233963816,0.00020167702122738418,-0.0017541584215666104,-0.0056746633429276315,-0.01385498046875,-0.0086212158203125,-0.005697551526521384,-0.030646073190789474,-0.004843460886101974,-0.005973414370888158,-0.010268361944901315,-0.004285109670538647,-0.0036223562140213785,-0.002820567080849084,-0.003037465246100168,-0.002779308118318258,-0.001810519318831597,-0.003387451171874995,-0.0009638133801911916,-0.005185980545847043,-0.007136746456748558,-0.00045655903063321053,-0.00024105373181795375,-0.001983642578125,-0.00022336056357933075,-0.00013125570196854212,-0.0004633853310032789,-0.017695376747532895,-0.0071607890881990105,-0.001231946443256579,-0.001757973118832237,-0.016800729851973683,-0.0030364990234375
9,-0.0035424483449835527,-0.01274671052631579,-0.02087562962582237,-0.0008999673943770577,-0.013663442511307569,-0.0034659002956591227,-0.0013145145617033316,-0.002566488165604437,-0.0005198252436361591,-0.002520009091025895,-8.402372661389463e-05,-0.01386461759868421,-0.020796926398026317,0.0018425489726819476,-0.004282098067434211,-0.0019017269736842106,-0.0037603378295898438,-0.0007890400133634895,-0.0012742092734889052,-0.0025626734683388158,-0.003894605134662832,-0.0036502637361225366,-0.004294144479851974,-0.00772950523778012,-0.018008583470394735,-0.002244723470587463,-0.003983347039473684,0.0028364783839175526,-0.0003646423942164139,-0.00069680966828998,-0.004110235916940789,-0.006142064144736842,-0.011715537623355263,-0.0056304931640625,-0.0023651123046875,7.27302149722368e-05,-0.0008845580251593263,0.0023534674393503262,-0.002451344540244658,-0.019407222145482118
10,-0.0044463308233963685,-0.006023607755962174,-0.003658896998355263,-0.0017096870823910314,-0.01573341771175987,-0.00582825510125411,-0.00441400628340871,-0.007706491570723684,-0.004252985904091283,-0.003893802040501642,0.0012255216899671052,0.0024303637052837212,0.0024663021689967104,-0.0026297820241827736,-0.002908204731188316,-0.013427734375,0.0001786884508634948,-0.0011197265825773548,-0.0017154091282894736,3.315273084139126e-05,-0.01445569490131579,-0.021741365131578948,-0.007201345343338816,-0.00668395192999589,-0.0027337325246710527,-0.007539447985197362,-0.017364501953125,-0.0057051809210526315,-0.004188637984426395,-0.0005862587376644787,-0.0018640819348787,-0.0031900907817639843,-0.0013359471371299316,-0.0011753283048930947,-0.001730918884277342,-0.01331530119243421,-0.0040716873972039425,-0.020951120476973683,-0.0025044491416529578,-0.007394489489103616
11,-0.0016021728515625,-0.0016863471583316212,-0.0008861893101742344,-0.001750544497841279,-0.0014419806630987732,0.00016198503343683594,-0.0030995419150904634,-0.0006060851247687053,-0.002920853464226974,-0.00032565468236019475,-0.011819939864309204,-0.0018108016566226262,-0.004935402619211293,-0.01239013671875,-0.006526746247944079,-0.0036637155633223685,-0.02059545015033922,-0.0891466642680921,-0.002169257716128679,-0.009194813276592044,-0.004559165553042763,-0.006085044459292763,-0.0027692568929571855,-0.0069869192023026315,-0.003920705694901316,-0.003984953227796052,-0.0011617760909231052,-0.0028034009431537844,-0.0001169160792701978,5.734594244696124e-06,-0.013990703381990132,-0.006956602397717937,-0.0009514909041555272,-0.004350059910824418,-0.0037430211117393105,-0.014073422080592105,-0.0038737246864720422,-0.001939873946340458,-0.006609464946546052,-0.008750513980263159
12,-0.003147326017680921,-0.000687247828433379,-0.0007209526865105742,-0.024857370476973683,-0.0022020841899671054,-0.005466661955180921,-0.0017623869996321855,-0.0011916913484272052,-0.002020986456620063,-0.004186027928402547,-0.00224786055715461,-0.0004858719675164368,-0.0031874807257401315,-0.0030023675215871686,-0.00041971708598887895,-0.03278551603618421,-0.023287923712479442,-0.013019712347733347,-0.0183258056640625,-0.0042654338635896285,-0.0018969084087171052,-0.007647464149876642,-0.009823447779605263,-0.0068917023508172255,-0.0005641046323274281,6.206412064401893e-05,0.00032286894948859525,-0.007176323940879425,-0.0001741773203799494,1.6337946841606753e-05,-0.0030276147942793945,-0.01061449552837171,-0.006167763157894737,-0.0020623458059210527,-0.010515714946546052,0.002700102956671463,-0.0017031870390239452,-0.0019088544343647156,0.00020940680252878882,-0.008969633202803763
13,-0.028182180304276317,-0.0023489500346936735,-0.001414575074848358,-0.003873925460012321,-0.04763593171772204,-0.0036245647229646368,-0.008881418328536185,-0.012174907483552632,-0.006161338404605263,-0.013575026863499689,0.000441501015111021,0.0004623312699167264,-0.0007546575445877905,-0.00037310625377454386,3.613923725328947e-05,-0.0024530511153371686,-0.09056332236842106,-0.0066849557976973685,-0.011034513774671052,-0.017677708675986843,-0.0069443552117598685,-0.009604203073601974,-0.006468722694798515,-0.00640869140625,-0.013433556807668579,0.0005041047146445853,-0.008118679648951485,-0.0002180024197226945,0.002342926828484779,-0.012467233758223685,0.0006192483400043603,-0.024124948601973683,-0.003627576326069079,-0.07281172902960527,-0.009564048365542763,-0.005079269409179679,-0.029292056435032895,-0.02332667300575658,-0.0019955886037726104,-0.032639001545153166
14,-0.002081218518708879,7.308156866775786e-05,9.696107161673021e-05,-0.00036555842349403155,-0.0019692872699938317,-0.0006830206042841894,-0.007990686517012737,-0.0022109182257401263,0.00018431010999177353,-0.00077596463655171,-0.005419680946751642,-0.014475069547954359,-0.012505782277960526,-0.0018589622096011472,-0.002988714920847037,-0.0006984660499974182,-0.0010252124384830031,-0.00020894251371681816,-0.0014265712938810525,-0.007525193063836341,-0.001816598992598679,-0.011587845651726974,-0.003884566457648026,-0.018048738178453948,-0.015393708881578948,-0.006660862972861842,-0.0006484483417711684,-0.0018473173442639737,-0.004544308311060858,-0.0021922462864925945,-0.0016980422170538632,0.00018636803877981013,-0.014876516241776315,-0.0005187109897011073,-0.00023934715672541796,-0.0006690699803201693,-0.004986010099712168,-0.020050048828125,-0.07635498046875,-0.0020824733533357266
15,-0.0010877910413240157,-0.02248583341899671,-0.001562419690583879,-0.01246080900493421,-0.01681679173519737,-0.0027789567646227314,0.0007903450413754105,-0.0016146208110608472,-0.01220703125,-0.004607351202713816,-0.011310778166118422,-0.0086824517501028,-0.0027574238024259895,-0.0095317238255551,-0.019134521484375,-0.009262888055098685,-0.004366272374203326,-0.002261312384354442,-0.011599892064144737,-0.0004374353509200263,0.003085286993729442,-0.005843112343236021,0.002843254490902542,1.1393898411792906e-05,-0.0005488991737365755,-0.005846525493421052,-0.003241288034539474,-0.000879475944920579,-0.007109993382504106,-0.004383011868125513,-0.05159759521484375,-0.008610775596217105,0.013311687268708879,-0.020247509605006167,-0.020645944695723683,-0.023085343210320727,-0.0007331245823910318,-0.008459793893914474,-0.002720017182199563,-0.02001390959087171
16,-0.0006512340746427672,-0.0024464255885074,5.395788895620642e-07,-0.003549776579204358,-4.6679848118831585e-05,-0.0013054295590049314,-0.0005299919529965053,-0.0012581473902652158,-0.063720703125,0.00022968493009868952,-0.009467275519120064,-0.015017057719983552,-0.009376124331825659,-0.005567149112099094,-0.004488794427169,-0.0018241280003597894,-0.13119988692434212,-0.0007813855221396945,-0.003927833155581821,-0.01163803903680099,-0.00013756752014159462,0.00023229498612253288,0.027228104440789474,-0.004290480362741574,0.00017868845086346937,-0.0016557793868215394,0.001210902866564297,-0.0024889393856651,-0.001951117264597042,-0.001882352327045637,-0.011399921618009868,-0.0008349167673211361,-0.0008156425074526948,-0.006563688579358552,-0.009920622173108552,-0.04682360197368421,-0.0017547356454949558,-0.0010303698087993473,-0.013819644325657895,-0.004963925010279605
17,2.740558825042335e-05,-0.0002872943878173744,-0.0006758539300215737,-0.0014119399221319893,-0.0013730902420847106,-0.0010814666748046895,0.001166895816200663,0.0002558858771073211,-0.0008243761564555946,-0.0005047446803042651,0.0006113052368164023,0.0007942601254111842,-0.008120085063733552,0.0005509727879574684,0.0015895743119089263,-0.003609506707442431,-0.0014392733573913548,0.0012495141280324897,-0.0036033831144634157,-0.0019860518606085527,-0.0023857919793379813,-0.0016974398964329682,-0.0032489174290707213,-0.0019339511269017313,-0.0019098583020662,-0.003771330180921038,0.00013842080768786537,-0.019940225701583054,0.0016848915501644736,-0.001145036597000921,-0.0018382825349506579,-0.002505051462273837,-0.004290129009046052,0.001127694782457858,-0.00010791577790911578,0.009470588282534952,-0.0009841918945312526,0.002841146368729426,0.003065736670243111,0.001393769916735195
18,-0.0015756707442434277,-0.008563995361328127,-0.011265001798930922,-0.0012328499241878895,0.007700920104980469,0.0010828720895867578,-0.007329840409128289,-0.0005179580889250038,-0.0006548229016755621,-0.00030447307385896846,0.0005328529759457212,-0.0006453865452816628,-5.71547762343758e-06,-1.7702187362464872e-05,4.0418223330842194e-05,-0.0023728420859889052,-0.00656820598401521,-0.001387144389905421,-0.0016057867752878264,-0.0016063890959087158,-0.009310270610608552,0.008491516113281257,-0.003555699398643095,-0.0022598567761872948,-0.0030921132940995,0.07796919973273027,-0.000542239138954558,-0.0022992585834703946,-0.006988926937705589,0.0013521094071237685,0.00042965537623354213,0.001184262727436271,-0.0008120285837273895,-0.0006027221679687474,-0.0104775679738898,-0.013256675318667763,-0.008136347720497527,-0.007376620644017274,0.012780440481085526,-0.03132227847450658
