layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,-0.027674624794407895,0.03899825246710526,0.002331382349917763,0.019736842105263157,0.09835976048519737,0.22327302631578946,0.04360239129317434,0.3042763157894737,0.06201171875,0.26680715460526316,0.031343158922697366,-0.04048397666529605,0.054173519736842105,-0.031068927363345492,0.021532560649671052,0.10045744243421052,0.09359580592105263,0.027909128289473683,0.15869140625,0.06283408717105263,0.017645584909539474,0.0012560392680921052,0.04529772306743421,0.059681942588404605,0.055177387438322366,0.13587068256578946,0.14412006578947367,0.04860325863486842,0.0914049650493421,0.017830296566611843,0.16755756578947367,0.16272615131578946,0.20816200657894737,0.142578125,0.1767064144736842,0.10621402138157894,0.13019120065789475,0.14278371710526316,0.019555342824835526,0.062474300986842105
1,-0.010373567280016448,0.04120194284539474,0.033781352796052634,0.09400699013157894,0.1444798519736842,0.020780061420641448,0.043631553649902344,0.4318976151315789,-0.0016150223581414473,0.42495888157894735,-0.011391087582236841,0.1084241365131579,0.1601048519736842,0.11466899671052631,0.3711965460526316,-0.00018641823216488415,0.08683696546052631,0.9077919407894737,-0.10801295230263158,0.13169459292763158,-0.0825090910259046,0.06636770148026316,-0.17452521073190788,0.13060880962171054,-0.027186343544407895,0.01612693385074013,-0.054337350945723686,0.38691149259868424,-0.005164698550575658,0.8955592105263158,-0.02167711759868421,0.009433144017269737,-0.08403577302631579,0.09986636513157894,0.08467824835526316,0.010249890779194078,-0.030495894582648026,-0.08838211862664473,-0.02678479646381579,-0.013687936883223685
2,0.4089226973684211,0.14972245065789475,0.08339329769736842,-0.008846885279605263,0.5030838815789473,0.10698499177631579,-0.008640490080180922,-0.022621556332236843,0.020719026264391448,0.02025805021587171,0.09614643297697369,-0.04308439555921053,-0.030828375565378294,-0.0655774568256579,-0.0029206024973016053,-0.03491853412828947,0.0014062178762335475,-0.03807951274671053,0.193359375,-0.03556422183388158,0.28204666940789475,0.21217105263157895,0.11419356496710527,-0.025440015290912825,0.0631665681537829,-0.015526219418174341,-0.012170088918585526,-0.009931664717824838,0.1395970394736842,0.10748612253289473,0.08677271792763158,0.02186022306743421,-0.026955052425986843,0.031070106907894735,-0.03331877055921053,0.2737972861842105,0.20741673519736842,0.07430146869860198,0.5214586759868421,0.05838815789473684
3,0.26071006373355265,0.0389404296875,-0.06679173519736842,0.18020148026315788,0.20357152035361842,0.024998715049342105,-0.0363616943359375,0.11595394736842106,0.007931357935855263,0.030093544407894735,0.7692228618421053,0.1963404605263158,0.3696546052631579,0.2546515213815789,0.31623278166118424,0.029601247687088817,0.0013331363075657894,0.02821751644736842,-0.017847964638157895,-0.005499588815789474,0.08399802760074013,0.08562911184210527,0.06868703741776316,0.07931357935855263,0.07248085423519737,0.05654264751233553,0.04587595086348684,0.09637772409539473,0.040376362047697366,-0.01319323087993421,0.1328120984529194,0.05383622018914474,0.007799650493421052,0.06902915553042763,0.0637969970703125,0.06524015727796052,0.031143991570723683,0.05311343544407895,0.04825391267475329,-0.5175267269736842
4,0.5465152138157895,-0.14005962171052633,-0.021166349712171052,0.016567832545230265,0.20340768914473684,0.12628495065789475,-0.08780067845394737,0.12502569901315788,0.03022203947368421,0.10523745888157894,-0.12894479851973684,0.003768519351356905,0.06064967105263158,0.046158640008223686,-0.04602693256578947,0.19253700657894737,0.13157252261513158,0.2212428042763158,-0.05296566611842105,-0.16067023026315788,-0.03071995785361842,0.1244860197368421,0.050440738075657895,0.025801809210526317,0.11248458059210527,0.036883303993626645,0.05426246241519326,0.0022791812294407896,0.08123136821546052,0.1139173005756579,0.2274876644736842,-0.023490504214638157,0.26034385279605265,0.03429533305921053,0.03389699835526316,0.007899234169407895,0.019360994037828948,0.05391813579358553,0.045668752569901314,-0.017762033562911183
5,0.09463260048314144,-0.2588854337993421,-0.23102208187705592,-0.04544830322265625,0.034419310720343335,-0.0011733205694901315,-0.003805863229851974,0.03560437654194079,-0.0013343409488075632,-0.010306910464638152,0.022307998255679484,-0.0012373045871132272,0.003561722604851974,0.003946003160978621,-0.0020346892507452628,-0.005814401726973684,-0.021873072574013157,-0.01827039216694079,-0.02407997532894737,-0.015743857935855265,0.01510057951274671,-0.002789547568873353,0.02830103824013158,0.006632754677220395,0.004393728155838816,-0.16272615131578946,0.007434041876541936,-0.01164807771381579,-0.00016824822676808954,0.009590550472861841,-0.004693131697805305,0.03356672588147615,0.005034496909693664,0.002343930696186268,-0.002659546701531679,0.00939607620239257,0.02509508634868421,0.005661512676038248,-0.04089997944078947,-0.0017307683041221137
6,-0.08619449013157894,-0.16688939144736842,-0.025429173519736843,-0.04582776521381579,0.05574758429276316,0.13784950657894737,-0.04604881688168174,0.027549342105263157,-0.9794921875,0.06016138980263158,0.006815057051809211,-0.009556820518092105,0.0001983642578125,-0.014537610505756578,0.010634572882401315,-0.03423269171463816,-0.028313887746710526,-0.0045105281629060495,-0.002068770559210526,-0.01047716642680921,0.00562858581542969,-0.007767827887284121,-0.012530276649876647,-0.008042184930098685,0.004860325863486842,-0.009412263569078948,-0.01894017269736842,-0.021306088096217105,-0.041413959703947366,-0.01128186677631579,-0.004674911499023437,-0.008170679995888159,-0.04688303094161184,-0.0005915039464047074,-0.021754214638157895,0.09833727384868421,0.09718724300986842,0.019012451171875,-0.024247018914473683,-0.02230674342105263
7,-0.01139269377055921,-0.007172032406455589,-0.006261223240902547,-0.008709556178042763,-0.005361858167146379,-0.02783765290912829,-0.07134688527960527,-0.0032549406352796054,-0.019627621299342105,-0.016007272820723683,-0.00890149568256579,0.0067459909539473685,-0.025610672800164474,-0.0010757759997719173,-0.025474146792763157,-0.018007780376233552,-0.006721898129111842,-0.02511757298519737,2.971448396381579e-05,-0.03228438527960526,-0.02921495939555921,-0.02367039730674342,-0.003922311883223684,0.013571086682771384,-0.009140817742598685,0.0033946790193256637,-0.004098867115221521,-0.003278431139494242,-0.0003783451883416539,-0.012555172568873353,0.001691642560456923,-0.011445697985197368,-0.06756772493061267,-0.1377824482164885,0.05814401726973684,0.06424753289473684,-0.06108655427631579,-0.009853061876798927,0.014266164679276315,-0.07626182154605263
8,-3.9507863898026314,0.0944567228618421,-0.0808972810444079,-0.04361152648925781,0.049483449835526314,-0.12591231496710525,0.03021240234375,-0.029701634457236843,-0.0005115709806743421,-0.014746414987664474,0.04243870785361842,-0.01574305484169408,-0.06341392115542763,-0.011932373046875,-0.08537212171052631,-0.0051100881476151315,-0.010572132311369243,0.002575924521998353,0.0029974485698499157,0.0006151701274671053,-0.011349326685855263,-0.003029672723067437,-0.0022960964002107266,-0.0032079596268503262,-0.0017784520199424316,-0.0017623901367187472,0.0036974455180921054,-0.07023219058388158,-0.0019377658241673528,-0.001925819798519737,-0.0018694024336965475,-0.0008686090770520391,-0.09522608706825658,-0.0025898029929713206,-0.02629049200760691,-0.00767637553967928,-0.009166918302837168,-0.00052120811060855,-0.032678302965666116,-0.010861848530016448
9,-0.06692123413085938,-0.02729235197368421,-0.018197912918893906,0.0024695145456414473,-0.07199257298519737,-0.06583926552220394,-0.0032252261513157896,0.0003083881578947368,0.0023045790822882367,0.025688572933799343,0.0011436060855263158,-0.09885968660053454,-0.07051166735197369,0.03895970394736842,0.031468441611842105,0.011023672003495069,-0.008833232678865132,0.04350842927631579,-0.0022857063695004053,-0.004682942440635279,-0.006565169284218242,-0.007747549759714227,0.035490337171052634,0.011305959601151315,-0.07872912758275082,-0.002529746607730263,0.0016428294934724473,-0.005077161287006579,0.005276730186060852,-0.0021277979800575684,-0.010257921720805922,-0.01104736328125,-0.0470583062422903,0.013777682655736014,-0.027533280222039474,1.3000086734173425e-05,-0.0062396400853207265,-0.0026301333778782896,-0.024972815262643916,0.057774593955592105
10,-0.0036669279399671054,-0.005954541658100332,-0.002952073749743016,0.0021896362304687526,0.007190001638312084,-0.00024915996350739463,-0.01778211091694079,-0.05071057771381579,0.0019442909642269736,-0.0029391238563939103,0.01098672967208059,-0.18706954152960525,0.04161272550884046,0.014208341899671052,-0.022650467722039474,-0.11482319078947369,-0.0014190673828125,4.2965537623352344e-05,0.0077746039942691155,0.03980455900493421,-0.006970656545538647,-0.056443063836348686,-0.006086098520379313,0.000953875089946542,-0.0024978236148231895,-0.030895835474917765,-0.03596898129111842,-0.006507471988075658,0.07399388363486842,0.0021667480468750056,0.0045671588496158,-0.0017813632362767263,0.001676459061472042,0.0037621949848375843,0.0006334405196340527,0.006684152703536184,-0.006577341180098684,-0.22623564067639804,-0.017224763569078948,0.010480378803453948
11,-0.0010823701557360105,0.019039756373355265,0.009905564157586347,-0.0021685550087376577,0.005008095189144737,0.0004593698601973684,0.0010609877736944893,-0.004003022846422694,0.010058252434981499,-0.07128464548211348,0.007376419870476974,-0.0015095660561009476,0.062411258095189145,0.01444445158305921,0.0020516044215152106,0.03303487677323191,-0.005132123043662626,0.023900082236842105,-0.008735054417660357,0.030112818667763157,-0.01764879728618421,-0.0921984220805921,-0.0005724053633840474,-0.03141383120888158,-0.002646797581722858,-0.008060254548725332,-0.0016559801603618421,-0.0021454660516036102,0.017195852179276317,0.3119860197368421,0.0017403050472861842,0.00948602274844521,0.0035209153827867965,0.035181949013157895,0.008746900056537821,-0.03075047543174342,0.00558351215563322,-0.010015788831208884,-0.014545340287057984,-0.02176867033305921
12,-0.006230404502467111,-0.04206466674804688,-0.09853965357730263,-0.021807218852796052,-0.5557435688219572,-0.007669549239309211,0.0023570813630756633,0.0003454308760793633,-0.004483975862201889,0.03257992393092105,-0.022339670281661183,-0.001438843576531658,0.0012904719302528735,-0.04145411441200658,-0.007089313707853621,-0.01655177066200658,-0.02289260061163651,-0.017648395739103616,-0.001664312262284126,-0.005898927387438321,-0.001293784693667763,-0.03296139365748355,-0.02670544072201378,0.032362285413240134,0.009930259303042763,0.01980751439144737,0.04250295538651316,0.023545114617598683,0.044713070518092105,0.02508384303042763,0.003765608135022616,-0.014201917146381578,-0.030293514854029605,-0.00567626953125,0.007843017578125,-1.7079050164473684,-0.4794660869397615,-0.05882885581568668,-0.21451187133789062,-0.007159584446957237
