layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,-0.012201782883397794,-0.020510742995912667,-0.014884999256260347,-0.012046965542218542,-0.019895427274388193,-0.061319717508278145,-0.012110577513840025,-0.0752389667839404,-0.013601593623887624,-0.0615299048013245,-0.0049542559693191235,0.003103812009293512,-0.023960542994619204,-0.025341469720499405,0.0022723974771057536,-0.02920683803937293,-0.024143244257036425,-0.010417155082652112,-0.03998530305774007,-0.01583316626138245,-0.01459872012106788,-0.0065100461441949505,-0.005102700745033112,-0.019935759487531044,-0.020527163878181914,-0.03176849567337541,-0.04328968982822848,-0.025012489975682946,-0.03260328280215232,-0.006787003270837646,-0.05489445364238411,-0.029558800703642384,-0.05572550186258278,-0.037638076883278145,-0.05643367135761589,-0.021145549041545943,-0.044962295633278145,-0.040239548841059604,-0.006385285333292374,-0.024231765443915563
1,0.0006025705905939563,-0.012053837049875827,-0.008368435284949296,-0.02076852558464404,-0.036947288260554635,-0.0074277966227752484,-0.005046503433328592,-0.10392468180877483,0.00014529322946308463,-0.0671823261589404,-0.004118963582626241,-0.02251045277576573,-0.037874133381622516,-0.035306614755794705,-0.12785046305877484,-0.0004224840378919188,-0.023353425082781456,-0.3093245550496689,0.02492700033629967,-0.032564377942622104,0.0007406575790304226,-0.02488465972294081,0.036666535383818165,-0.050333591486444534,0.001646281867627276,-0.00804507021872413,0.0016098527718853477,-0.13999443812086093,0.0009722362290944499,-0.2158009105960265,0.0012196420833764483,-0.008378894123810017,0.023459327141970198,-0.03134973791261383,-0.029261304842715233,-0.0064395121391245865,0.005124628938586506,0.028206629468905214,0.004993059777266142,-0.004987855620731581
2,-0.09296422288907284,-0.04335719228580298,-0.025257792693889693,-0.0011643163415769868,-0.14073494412251655,-0.01625475346647351,-0.0020840878518211922,0.008432603040278352,-0.004021044598509934,-0.0067919800613100165,0.00010630626552152318,0.011636696114445365,0.0022171727868894866,-0.002520959108870551,0.0010660128877652423,0.012199957639176324,-0.0011227762462287546,0.014389745447019868,-0.13579776587075745,0.006875448669029388,-0.10025049676958299,-0.042132042891142384,-0.03943113617549669,0.0033901795646212756,-0.005615840684499172,-0.0012094358734737172,0.006313601866463162,-0.000744345961817053,-0.04147844125103477,-0.01356354770281457,-0.030005448701365893,-0.0032422400468232614,0.006628579651283112,-0.01059354062111962,0.0069082904335678805,-0.05186775662251655,-0.02507736509209437,-0.012256445474182533,-0.18833306925186258,-0.014975440423220198
3,-0.07285526098794495,-0.005303540766633899,0.005443951941483858,-0.033193424048013245,-0.06526560499178653,-0.014292584349777525,0.005783889467353063,-0.02472929291377794,-0.004079048207264073,-0.012783530532129554,-0.19638607201986755,-0.0498721899575745,-0.11603571405473924,-0.08473458195364239,-0.07022842508278146,-0.0022599176065811258,0.0021964066865428383,-0.006901216822744205,-0.003636694901826366,-0.0025638807688327814,-0.007759548970405629,-0.018486780836092714,-0.01135819795115894,0.005022566839559189,-0.006680014907129553,-0.005004983864083196,-0.005299953435430464,-0.027080712728942465,-0.005345527699451572,0.0003930401328383696,-0.030739158984051634,-0.023181940546098925,-0.008003613806718234,-0.02409948892151283,-0.008413630605533424,-0.007323233497063845,-0.004516247881958816,-0.004752203328719991,-0.011466373670969577,0.006605489364522972
4,-0.13818036009933773,0.020933845974751654,0.001004856943294702,-0.00455060542024524,-0.04081796810326987,-0.02243951456436258,0.008600904452090231,-0.02970512339610927,-0.010026590713602028,-0.0166735112272351,0.00612837431446606,0.005974447490363721,-0.018868755820571192,-0.006918799798220199,0.004523068863824503,-0.03657905629139073,-0.030969783959799255,-0.05017332367549669,0.006449920452193708,0.03068734478476821,0.006338081612492238,-0.02637527162665563,-0.012620888008976615,-0.009008748641866722,-0.022164452154904802,-0.013114676570260761,-0.022125143089041805,-0.012177423136123758,-0.02430528047069019,-0.028626296693915563,-0.04249663700331126,0.0001268955255975781,-0.08395284690604304,-0.01681452871158423,0.006730641750310431,0.0014669532017992026,-0.00708204863087231,-0.014395758016219992,-0.009884360610254554,-0.0010754414741566643
5,-0.005766205440293874,-0.0023674491225488927,0.0041220456559137005,0.00026056387566572874,0.03292907310637417,9.462217621455895e-05,0.00046128784583893904,-0.01073804438508899,-0.00040392844092767085,-0.00011236936051324504,-0.009145566169789296,0.0008702179454020319,-0.0009064705956061159,0.00022121770492452596,0.0003771608238978101,0.0005991348367653146,0.0036390696140314567,0.001743695593827608,0.00465524433464404,0.002893814187965646,-0.002660902920148232,6.62266813366596e-05,-0.009247432481374173,-0.003308056206103195,-0.0017863898877276475,0.006140601556032699,-0.003956156850650611,0.0026922920681782913,0.0007744530178853252,-0.0015755836537342193,-0.0007866076286265378,-0.005684530498176221,-0.0016909845617433257,0.001300464402760892,-0.00038368022994489956,-0.0036633756776519215,-0.010041420033435947,-0.004114372051314803,0.01100573002897351,-0.000598219056792606
6,0.007372723509933775,0.017044572640728478,-0.0016097011945105542,0.005660909690604304,-0.01500024858689466,-0.017513451986754965,-0.005213150125465645,-0.011589808179842715,0.015498685521005794,-0.003943639085782284,-0.004756662229828486,-0.007089324344862376,-0.0012218083766911986,-0.0007856255335523596,-0.007687094985254553,-0.0008817571677909007,0.007138991198002897,-0.0008804624443812073,-0.001380225680521782,0.0007075884484297391,-0.002933691668984115,-0.0036138572440242134,-0.0003505226792089199,0.001375046786883019,-0.0018406419564556602,0.0013412892423718184,0.0011768846322369106,-0.00046867724286009935,0.001379354110616722,0.0010511069897784298,0.00031140308506441257,0.006691433736030631,0.005113412212851822,-4.601636469759274e-05,0.0045359782035777115,-0.03182670138529595,-0.02865277220871275,-0.0046254088547056085,0.001157444833919702,0.0033722934343956954
7,-0.003898266924927566,-0.0003307355160744775,8.311650610917205e-05,-0.0020286957949202586,-0.0008419270547020508,0.0019446366670115894,0.003654429454677152,-0.002276982692693242,0.0026313832264072846,0.0009886886899834438,0.001013749482615894,-0.005568750646730132,0.001776082626241722,0.00012917076515046232,0.000990406566897765,0.00329416792913778,0.0004148988534283166,0.0023505608767073675,-0.00097636039683361,0.000488407564478994,0.00026788774705091057,0.00013520701831539736,0.0001189661341787168,-0.003083099592600435,0.0006219219687758689,-0.003537095935139435,-0.0014829951406314674,-0.0008028390391772947,-0.00021242937504850826,0.0011541038159503046,-0.0005812952850038637,0.003288167991385556,0.04833110910377755,-0.08759535227390315,-0.012033222526903973,-0.015536680916287252,0.00045675315604304633,-0.00229638459666675,0.0011464807371430053,0.01182950253518212
8,-0.002856399839287562,0.0002593994140625,-0.004946500260308878,0.0007929896676777205,-0.008935587295633278,-0.00403114975682947,-0.009457190305191949,0.003848246391245861,-0.001531398848982047,-0.0008361134308063432,-0.006136736332975476,0.0009435944209825126,-0.0012599111392798013,-0.0028706481125181094,0.002349247206125828,-0.0013584048542755337,-0.0017350304205686073,-0.0035372348810663286,-0.0009588626836309376,-0.006143809943799152,0.0006696151581821062,-7.55928999540845e-05,0.0001499447601520446,-0.0010632268640379243,0.0002346528286965446,-0.0016581143764470598,-0.0005030347811465232,0.006124483828513038,-0.0005527900544223391,-0.0010045569464070916,0.00022510503301557353,7.975377783868535e-06,0.0008563340104968337,1.711531585414651e-05,0.0007030411271859477,-0.0017533018099551187,0.0002927464365169703,-2.0573470766184093e-05,-0.0023661228205194536,0.0004074968249592583
9,-0.0017056749356503525,0.0017158558826572848,0.0013314335551482947,-0.0070012578901076155,-0.0031648345340956124,0.008401757044507968,-0.002804585640004139,-0.00038480442880794633,-0.0015273631013781829,-0.018129576120945002,-0.002990141609646626,-0.0031780217657026073,-0.002325196929325331,-0.008397386563534769,-0.0058797368940138655,-0.027189760018658166,0.00045009954086202615,-0.020064802359271522,-0.002078378437370653,-1.490195065934052e-05,0.0002851612520533695,-0.0024105349913338165,-0.005759637087386175,-0.006702524147286321,0.004511182671351149,0.0009457670300212125,-0.00011911455369153577,0.0006812076694917987,-0.0006422112319643137,-4.57889986354226e-06,0.0010288314314078019,0.0011075758776127886,0.0016050275587877689,-0.002787735288506312,0.0023300979311103058,-0.0018532165628395336,-0.0010579595502638662,-0.0027953078415220147,0.0026038466699865484,-0.0076357355180955095
