layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,-0.000228857599360674,0.00016641249252351379,-0.000445486932011359,-0.00018464240813973685,5.9512000695424636e-05,-0.00012692522985916912,0.00013074493942848904,-0.00011769122983829643,8.386001774039993e-05,-9.841524644088561e-05,-2.398119995288339e-05,0.0002609685757775039,-4.0196670714005825e-05,-1.6153981281313214e-05,7.090237730436059e-06,-0.0003561088064791189,3.36517716256066e-05,0.0001899395777616116,-0.0004978694528153334,-5.380524232325804e-05,-0.0004451741016069824,7.59785043332832e-05,-0.00024022434504615225,-0.0006391851736602032,-0.0003729608398095326,0.0001342672523118925,-9.663901131890073e-05,5.406070273492141e-05,8.042692386276918e-05,9.53604979538468e-05,2.0050050164741264e-05,4.821251386014643e-06,-7.927960754692417e-06,-0.00013607535733154222,2.036799729580716e-05,-9.300371275634152e-06,-5.358904495720626e-05,-6.242231129764588e-05,8.884709284033232e-05,0.0001448395374193846
1,3.884669025209865e-05,-6.290374306756899e-05,8.60194852490744e-06,-8.745300410590845e-05,-2.5912357028246972e-05,-6.460917939985928e-05,-9.898987834322483e-06,3.9181306066683727e-07,-1.2403882037491722e-06,2.336421771465792e-05,-0.0001433428635359963,-3.6563377072950116e-05,0.00019157926937710107,0.00016795628206163444,-8.301636349010362e-05,1.8618202075798326e-06,8.459557330765727e-06,1.5703188523012752e-06,0.00019237856473969437,-2.611827917174594e-06,-0.0013753340306111625,0.00014471556644132333,-0.0005971504911811686,0.00018601059997173691,-3.2698974462347387e-05,0.00012792117460340514,-3.643380902242922e-05,-1.3062657335462547e-06,-1.0803113440174346e-07,-1.5992903592458741e-06,0.00012393087963165716,0.00013720980873455503,0.0001855254089740413,1.8564069195902792e-05,1.3372993335575177e-05,-3.905587039297936e-05,7.105074149374346e-05,0.0009887236853788675,-1.2698170181413777e-05,-3.298496815735579e-05
2,6.510982500059942e-06,-7.50559062997857e-05,2.006308215434643e-05,3.467545111695611e-05,-5.757867162179189e-05,-4.459346351543139e-05,-5.465248872453501e-05,8.227128454581325e-05,-2.7623473971392444e-05,-0.00013313513998393887,-5.2654991721304566e-05,-0.00017604764391679185,-0.0003507131764165321,0.0002418400245942521,-9.140067491693302e-05,7.88767018682402e-05,-3.723913285497416e-05,-0.0004634607815625549,-5.2514093775972026e-05,0.0004074204277140163,8.487505135459315e-06,1.4136200111565354e-05,-4.073217271004104e-05,0.0003922741648694727,-0.00022953293418750514,5.766772355077549e-05,0.00034316436510948195,0.0003064452306992039,5.001368519302422e-05,-3.0025396007880996e-05,0.00022083040543511445,6.800259253990406e-05,-3.7137494692037145e-05,5.648398449475962e-05,0.00018528281347519364,-0.00022894265188900162,-7.475924057482252e-06,0.0007690872106839496,-0.00033999282994634625,-0.00010024323359852436
3,1.303414985819495e-06,9.544863096048636e-05,0.0007112071325332865,4.092373669187333e-06,-9.156351082794448e-05,5.8902086874114625e-05,3.849115084332095e-05,-0.00028331679068166395,-0.0001538876645115591,9.723284399918775e-05,-8.962395814388947e-06,-0.0001995952796000391,1.7666699757672207e-05,-1.6367260024692385e-05,0.00015335143155456845,1.762534825217295e-06,8.739928891797351e-05,4.665986925217435e-05,7.1948278008757094e-06,-2.781160243676587e-06,0.00016351939083064662,-1.3155793508784888e-05,2.256188262319296e-05,0.0002002324269380953,9.852518296867607e-07,-1.0300117016840197e-05,-1.6209790150267332e-05,-4.600342454489231e-05,8.489773168209716e-05,-2.6545327446556083e-05,-4.232330763348308e-05,2.9003194101889828e-05,0.0001043874062937126,-5.935411312902524e-05,-4.2422760092636965e-05,-5.6769685805385386e-05,0.00010465088639129048,0.00010337007572037747,5.4621412441623996e-05,2.9452797743350218e-05
4,-2.2108749484547266e-05,0.00017494744325569626,0.0001559910777572498,-2.63987593326689e-05,-3.5307920304895055e-05,2.1580390021277258e-05,7.35004213863769e-05,-9.298474954071807e-05,-5.027804244374833e-05,-0.00010018458964529005,0.00010488107643849108,4.501416287224988e-05,0.00021850269159906432,-3.708436427286847e-05,0.00031902110067045435,5.302449248433515e-05,1.3625843172401295e-05,-4.5694750175661574e-05,0.0002506205312171514,0.00027088159936745877,7.447435376355086e-05,9.69117224091136e-05,2.5528999333959524e-05,4.3161949580085105e-05,-1.6611630714431787e-05,-4.217903682545551e-05,7.347703063579887e-05,-5.7450857877564214e-05,-5.265592108594913e-05,-0.00021632735179534905,-1.589702239968789e-05,-1.0455665508182485e-05,-2.5848314406240653e-05,-0.00013950502613498068,-0.00012346139385220668,0.00021632217241486471,3.65360182486122e-05,5.512539957817844e-05,-5.458189878077023e-07,1.6254733806735557e-05
5,-0.00021105733215182333,-8.578056870282864e-07,1.3686669566199545e-06,-0.00012181836070092176,0.0001716034013070488,5.51942352155919e-05,3.5016621921808274e-05,1.5142138136292864e-05,3.621356004422207e-05,1.4770841297777202e-06,9.320433021176518e-05,-3.608858660530041e-07,-3.3415175227743534e-05,-7.974945880686548e-05,5.600466206928066e-07,6.651769757020135e-05,5.2005365835508054e-05,0.00019503876138752627,0.00014970080369656623,0.00012662816732683302,1.6427825361017006e-06,4.645453187746052e-05,5.4006486316619405e-05,4.4021810278986374e-06,1.6275660174662793e-05,0.00025060315523100753,1.4541053279094714e-05,1.498993640189859e-05,3.106592414925457e-05,2.68184353441483e-05,4.123987730515303e-06,4.2187808356921664e-05,-0.0005068066409190554,2.834903103702251e-05,6.131049879963696e-06,3.49033020891009e-05,3.0008474261758535e-05,3.5241089588965233e-06,0.0002883073743941819,2.912353115977399e-05
6,0.0003063426455502421,0.0001251378423614608,4.548688576450164e-05,0.00017598933411713827,4.9505771751912384e-05,1.6254608499142828e-05,5.604691161253889e-05,0.0008868061752693588,0.0008794146980868405,7.203549209306027e-05,4.017428242416712e-05,3.275427687978306e-05,7.66922146102833e-06,4.4243270563929364e-05,5.026881145110471e-06,1.6488641312510674e-05,8.124543305619577e-05,0.0001640400021077871,7.076036203300238e-05,6.963760600509786e-07,2.8530868017000187e-06,-6.293051712314959e-06,7.794558291846166e-05,6.85595430188254e-06,1.3948969683950255e-05,5.547818221992386e-05,9.220308077945197e-05,0.00021345062362788543,0.00020029483011909993,2.0322761254955312e-05,1.3209926388692377e-05,3.5921802199965056e-05,8.496188916939432e-05,3.930974357514219e-05,4.310873562252081e-05,0.00021990580248014026,1.4315264661074563e-05,-5.808576012127087e-06,5.395811758596075e-05,0.00014794232048350123
7,-1.4989492604175095e-05,-2.8257112696859336e-05,-2.054499427004061e-05,-2.033824457433345e-06,-3.8159503415501036e-06,9.37185508016948e-05,6.362284157104065e-05,1.9489507534825456e-05,0.00016343585243572622,8.527064707701914e-05,1.3321700761094916e-05,6.591112528468815e-05,4.149920136759797e-05,1.749895466067374e-05,6.007613547631817e-05,-2.4377756713573316e-06,4.3710003219956995e-05,0.0002491729779099783,3.4173009440709946e-05,0.00018520904907247965,0.00021669224750435945,-0.0002477678621074246,1.8286888801557646e-05,-5.620329548782936e-05,1.0418908614416075e-06,2.9439515138557466e-05,4.2750105293128995e-05,7.638487685536999e-05,6.670180575030799e-06,4.528752138502493e-06,3.089072325050722e-05,0.0001956509307454996,0.0005738854658879339,-0.004926254136126277,8.670633793211364e-05,8.115922143263888e-05,0.00038676773156832387,3.2193692480674e-05,0.0004890638376836101,0.00022098695638719405
8,3.646152027436981e-06,-1.5295880109904423e-07,-9.975767450976436e-06,6.367254691601859e-06,2.089218244992232e-06,0.000427974214400122,-6.83960270530785e-05,6.92775555231724e-05,1.1156489987763444e-05,3.6914530715995814e-05,-5.092772054104892e-06,-0.0001319158135716866,0.00016099385807542642,8.276349276868138e-05,-2.346092282932124e-05,1.938892730734225e-05,1.3557566198003305e-05,1.4309667588615602e-05,-5.10043670185025e-07,8.703479001633916e-06,-1.262115822359568e-05,-2.2043688738352858e-05,-8.700931080589128e-06,0.00012766671665247707,-4.112065757331688e-05,-6.8269455942454225e-06,0.00015164825075894046,7.92924306905597e-05,-1.7674531482204262e-06,1.181149365773786e-06,4.371094302689979e-05,-4.239612700814079e-07,1.7705378034521026e-05,1.4253608104475468e-05,8.099072449008465e-05,1.9398283607572885e-05,1.4780082732708678e-05,2.895165091222532e-05,0.00018747018280777802,1.9154998916966654e-05
9,5.963879109431447e-05,0.0001334032146932365,1.6468550328518805e-06,-1.4770548913389793e-05,2.667471797798649e-05,2.06535419719416e-05,2.1079874949263912e-05,-3.2193525403885764e-05,1.4907296044715134e-06,4.007639630992013e-05,0.00012591266097434267,0.00010617329010031148,0.000395732737957554,-3.777706464354529e-05,0.00010182277756966935,-3.35782552275005e-05,-1.5162787783287361e-05,-2.0868172993088432e-05,-1.3822022650569485e-05,-3.128628277160447e-05,-3.066558727618287e-06,4.550154675281275e-05,0.00017103032791789956,0.000123867390451518,3.5565281215043415e-05,0.0001602067593184908,-1.3605104765862295e-05,3.123433755341384e-05,-3.2276625222227165e-06,-1.0737910417719356e-05,9.475593058980641e-06,-2.325892699040524e-05,-2.984899946584402e-06,2.9020695395626174e-05,1.4411333815232577e-05,5.749362953574265e-06,-1.7346162936364833e-05,1.775667060900161e-05,-7.80868881134711e-06,-0.0002931587831407637
