layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,-0.018433041042751726,-0.022517734103732638,-0.008388943142361112,0.003292507595486111,0.0038324991861979274,-0.0544340345594618,0.004309760199652778,-0.059561835394965276,0.016347249348958332,-0.048491583930121526,0.0003969404432508722,-0.00012037489149304996,0.0004984537760416611,-0.06301258007685344,0.012820773654513888,-0.047081841362847224,-0.0078887939453125,-0.014151891072591146,-0.05548434787326389,-0.011874728732638888,-0.015050252278645834,0.0010825263129340278,-0.025355445014105905,0.0007137722439236111,0.0038687388102213558,0.00030432807074652775,-0.01220703125,0.00721025466918945,-0.003281487358940972,0.0005283355712890667,-0.020114474826388888,0.051310221354166664,-0.010014428032769094,-0.05001491970486111,-0.015699598524305556,-0.014845106336805556,-0.05239529079861111,-0.06118435329861111,-0.003490024142795139,-0.0013749864366319445
1,-0.0013817681206597222,-0.0016835530598958333,-0.0015205807156032944,-0.015690273708767362,-0.020538330078125,0.004274050394694012,-0.033757527669270836,-0.009507921006944444,7.367134094238455e-05,-0.04603407118055555,0.002191119723849822,0.0033389197455512168,0.0034014383951822946,-0.001797146267361111,-0.025214301215277776,0.0006372663709852388,-0.0028071933322482666,-0.018680148654513888,0.003650241427951389,-0.07469346788194445,0.002362993028428822,-0.011030409071180556,-0.006786134507921006,0.002457194858127178,-0.005915323893229167,0.004320780436197917,-0.0029652913411458335,-0.2442084418402778,-7.722112867567274e-06,-0.09351942274305555,0.007196850246853305,0.011208428276909722,0.0009622044033474405,-0.025539822048611112,-0.0017051696777343724,0.014887491861979166,0.003974066840277778,-0.038628472222222224,-0.026974148220486112,0.010614183213975694
2,-0.024641248914930556,-0.022732204861111112,-0.004687839084201389,-0.002776251898871528,-0.09198676215277778,0.0011834038628472222,0.004530164930555556,0.0044203864203558995,0.004469977484809028,0.00402598910861545,0.011549207899305556,-0.017683241102430556,-0.004230075412326389,-0.030409071180555556,0.00011878543429903281,0.0033302307128906276,-0.0002535714043511111,0.038421630859375,-0.14058388604058158,0.0001066790686713238,-0.0483762953016493,0.004955715603298611,-0.055948893229166664,0.0015936957465277778,0.006863276163736984,0.002137078179253472,0.025655110677083332,0.006069607204861111,-0.005076090494791667,-0.01964569091796875,-0.0057462056477864554,0.0031890869140625,0.027926974826388888,-0.00921397738986545,0.005640665690104167,0.004957411024305556,-0.1139865451388889,0.041792975531684026,-0.08812459309895833,-0.015816582573784724
3,-0.03950330946180555,-0.005645751953125,-0.01257514953613281,-0.0875515407986111,-0.03802490234375,-0.021453857421875,0.09250556098090278,-0.03608534071180555,-0.006796412997775605,-0.009119669596354166,-0.0732421875,-0.028828938802083332,-0.07173326280381945,-0.0666927761501736,-0.0601806640625,-0.017178005642361112,-0.0028758578830295053,-0.08950127495659722,0.0030252668592664947,-0.038567437065972224,-0.014173719618055556,-0.00390858120388455,-0.002657148573133683,0.025202433268229168,-0.0004895528157552057,-0.0135040283203125,-0.032938639322916664,3.496805826822213e-05,-0.018771701388888888,-0.013465033637152778,-0.0046738518608941005,-0.026909722222222224,-0.000876161787245011,-0.01971562703450521,-0.004313998752170139,0.010353300306532117,0.007525973849826389,-0.019049750434027776,-0.006303045484754772,-0.5991753472222222
4,-0.029093424479166668,0.05839326646592882,0.041982014973958336,-0.025020175509982638,0.022432115342881944,-0.00238037109375,0.005130343967013889,-0.04486083984375,-0.045856475830078125,-0.011984931098090278,-0.003302680121527778,0.016812218560112845,-0.049140082465277776,0.055791219075520836,0.011284722222222222,-0.013685438368055556,-0.007181803385416667,-0.05929904513888889,0.0177001953125,0.026146782769097224,0.003376695844862195,0.002686394585503472,-0.013159857855902778,-0.010876973470052084,0.001636928982204861,0.00206756591796875,-0.051137288411458336,-0.026282416449652776,-0.018022749159071184,-0.04135470920138889,-0.08486133151584202,-0.018590291341145832,-0.036875406901041664,-0.1145464579264323,-0.004130045572916667,-0.008762783474392367,0.001175880432128911,-0.009913126627604166,-0.07508002387152778,-0.012647840711805556
5,0.06373087565104167,-2.1842447916666665,-0.03078221612506442,-0.008260726928710917,0.2779218885633681,-0.0028156704372829834,0.002310858832465278,-0.0004768371582031277,0.0015883975558810778,-0.0009421242607964445,-0.07612885369194879,-6.023711628383227e-05,-0.0007201830546061166,-0.0030673477384779066,-0.00042899449666338753,0.0005211300320095445,0.0022761027018229165,0.003726535373263889,0.008931477864583334,0.011678059895833334,-0.004597134060329861,-0.0015603171454535612,-0.004612604777018228,-0.0035351647271050224,-0.0025917689005533835,0.043023003472222224,-0.006952073838975701,0.0006768173641628832,0.0015198389689127722,-0.0028995937771267386,-0.0037572516335381387,0.0113067626953125,-0.0017927487691243556,-0.004839473300509984,0.0010825263129340221,-0.003520541720920139,-0.012554592556423612,-0.0017289055718315998,0.07591417100694445,-0.0005131032731797846
6,0.008978949652777778,-0.003818088107638889,0.001095241970486111,0.0015869140625,-0.003210703531901039,-0.022264268663194444,0.07237413194444445,0.2990993923611111,-0.5693359375,0.012471516927083334,-0.01029390758938259,-0.013856675889756944,-0.002105818854437939,0.002577887641059028,-0.015143500434027778,0.00582122802734375,0.002953423394097222,0.0016161600748697943,-0.006721284654405383,-0.0017624033821953618,-0.0009273952907986034,-0.002139621310763889,0.0018825531005859332,0.003863864474826389,-0.005079481336805556,-0.002243889702690972,0.005335489908854167,0.002371258205837672,0.010335286458333334,-0.0007266932063632558,0.0011990865071614557,0.010433620876736112,0.0189208984375,-0.0021954377492268895,-9.926822450425823e-05,-0.050801595052083336,-0.0004145304361979167,-0.004515700870090057,-0.00011465284559461665,0.0013597276475694445
7,0.020410113864474822,-0.009258694118923612,-0.003937085469563794,-0.0005857679578993055,-0.0022394392225477447,0.009572347005208334,0.012396918402777778,-0.0030153062608506945,0.021369086371527776,0.006591161092122395,0.0031702253553602387,0.006920708550347222,0.0028688642713758723,0.0008481343587239667,-0.001058048672146272,0.0008184644911024332,0.0009727478027343723,-8.477105034722223e-06,-0.004595120747884117,0.0031984117296006945,0.008782280815972222,0.0073597166273328945,0.0005503760443793333,-0.0009824964735242999,0.0001574622260199611,0.0003516938951280389,-0.00038316514756944444,0.0005442301432291666,-0.0001214345296224,-0.00046343273586696665,-0.001062605116102461,0.001896328396267361,0.0008776452806260851,-0.2716200086805556,-0.031331380208333336,-0.024203830295138888,0.0006493462456597222,0.002587212456597222,-0.005712509155273439,0.012930976019965278
8,-2.6725260416666665,0.08646647135416667,-1.7629631890190973,-0.003600438435872389,-0.0004708899392022027,0.0020353529188368055,-0.004732767740885417,0.00271309746636285,8.943345811631674e-05,-0.001848432752821178,0.0010558234320746502,0.00010850694444444444,0.0028076171875,0.0022989908854166665,0.018870035807291668,-0.0015305942959255722,0.0006257163153754332,0.0016532474093967056,-0.0005350112915039055,-0.007952372233072916,-0.0018201933966742556,7.417466905380803e-05,7.563167148162745e-06,-0.0012413395775688885,-0.00015158123440212675,-0.004540125528971349,0.009341769748263888,-0.01585769653320313,0.0006981160905626061,-0.002694487571716315,0.0005065070258246445,-0.00040945741865366556,-0.016960991753472224,-0.0011302100287543056,0.0005946689181857667,-0.002313296000162761,0.0003292560577392578,0.00047005547417535,0.004706488715277778,-0.0007828606499565944
9,-0.0827975802951389,0.021718343098958332,0.00039842393663193896,-0.0305129157172309,-0.01007270812988281,-0.0640152825249566,-0.007811175452338321,-0.006935967339409722,-0.0005557007259792674,-0.029238382975260418,0.0013737148708767445,-0.010599772135416666,0.0077629089355468785,0.0014495849609375,0.003584967719184028,-0.017916361490885418,0.00082100762261285,-0.012285020616319444,-0.0034001668294270835,-0.003499905268351234,-0.0010431077745225613,-0.006554709540473089,-0.001984914143880211,-0.014901902940538194,-0.0014551480611165446,0.004688474867078994,-0.011806488037109372,-1.92854139540111e-05,-0.00025029977162678276,0.001342482037014419,0.002762688530815972,0.0024333530002170114,0.0032072067260742222,-0.0022557576497395835,0.0006294250488281222,-0.0015855365329318612,-0.025994194878472224,-0.0050926208496093785,-0.0020800696478949555,0.2010158962673611
