layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.008705305545888041,0.011862848160114693,0.004208438954454787,-0.0045038750831117025,-0.00907184925485166,0.0421783447265625,-0.00371902141165226,0.04729831776720412,-0.013570168677796708,0.03851531008456616,0.002736517723570478,-0.00032455768991024254,-0.002803867421251663,0.05472544101958579,-0.012003277717752659,0.03758546545150432,0.0022037587267287233,0.017673768388464097,0.041100717098154924,0.008724764560131316,0.008423760596742021,0.00032572644822141103,0.030435115733045214,-0.0018221266726230056,-0.006417944076213431,-0.005774396531125332,0.0033395970121343085,-0.005956004528289148,4.349566520528682e-05,-0.002728320182637964,0.004142533971908244,-0.05482434211893285,-0.0013244953561336442,0.041142759931848405,0.005423233356881649,0.0034464085355718085,0.030415766289893616,0.04355260970744681,0.0013433131765812005,-0.006766120423661901
1,0.0022380260711020615,0.0039029222853640294,0.0008076119930186165,0.012847462106258312,0.011767318400930852,0.004586978668862201,0.014922965841090426,-0.013909847178357714,-0.00010577262716089742,0.009023853058510639,0.0014390499033826467,-0.000512013536818483,-0.001366473258809841,0.0007258313767453451,0.020440024517952127,-0.00015896736307346638,0.004982221887466754,0.016933944377493352,-0.0017614161714594406,0.029192985372340427,-0.00812899812738946,0.00931467908494016,0.003915072501973905,-0.0009536215599547035,0.0034070603390957445,-0.0019326879623088437,0.0013103079288563813,0.16151817808759975,-9.468958732928838e-06,0.041429105718085106,-0.0018601762487533242,-0.0020315779016372997,-0.0012583874641580765,0.017585072618849736,0.0004037735310006647,-0.0024495875581781916,2.6719113613695332e-05,0.021164687136386303,0.023229201296542552,-0.009023917989527926
2,0.014678046043882979,0.007355385638297873,0.0023593172113946133,0.0017851484582779254,0.05132563164893617,-0.002589010685048206,-0.0021392172955452134,-0.0018375640219830459,-0.0025530470178482386,-0.0032210654400764618,-0.016983714002244014,0.017073935650764628,0.00098257064819336,0.0324951171875,-0.00012633359812675094,-0.0029340054126496032,0.0003432902883976,-0.024761962890625,0.12279491424560547,2.198067117244613e-05,0.03194261510321435,-0.010706962423121675,0.032610434674202125,0.0018607281624002654,-0.0048528306027676195,-0.001631862559217087,-0.013791283140791224,-0.0038240473321143617,0.003298852798786569,0.0052456226754695814,-0.0009215496956033911,-0.0028839598310754664,-0.013981466090425531,0.005173395035114695,-0.001130091890375664,-0.04337294558261303,0.07113011136968085,-0.02247379384142287,0.056331942943816486,0.006501558993725067
3,0.024890331511801863,0.0026455493683510637,0.00923299586519282,0.031108839968417554,0.02655496800199468,0.01031305840674867,-0.06501731060920878,0.005854342846160239,0.004575112525452958,0.004569601505360705,0.04267058676861702,0.02026743787400266,0.041758857889378324,0.05391209379155585,0.030271359707446807,-0.0010695437167553192,0.0030922341854014287,0.001688466173537234,-0.0014599698655148724,0.006777629446476064,0.005799265110746343,0.000983769842918883,0.0004648249200049868,-0.04557433432721077,-0.003020152639835439,0.0115823136999252,0.012835303773271276,0.0003806986707322145,0.006325709566156915,0.007501058375581783,-0.002756828957415642,0.014569221658909575,-0.0008879965924202123,0.013547158748545547,0.0017229810674139802,-0.012120031803212267,-0.007308659654982546,0.025279463098404256,0.0010498452693858047,0.637749335106383
4,0.00500066229637633,-0.005042120750914229,-0.03670258217669548,0.0034163535909449818,0.005129225710605053,-0.002812032496675532,-0.02216394302692819,0.035090150224401595,0.024711742806941904,-0.014492635524019281,-0.005938688237616356,-0.014926179926446143,0.03785867893949468,-0.03670823117519947,-0.007436159823803192,0.007390448387632979,0.002115452543218085,0.030615234375,-0.015466828041888299,-0.024676107853016955,-0.006455961186835106,-0.0041185906592835775,0.005583807762632979,-0.000571652676196808,-0.001188099637944647,0.00015664607920545188,0.04611043727144282,0.014689441437416888,0.004823408735559342,0.012781800615026595,0.026078179542054523,0.010390715903424202,0.020152509973404256,0.07923003663407996,-0.00227526400951629,0.0033904948133103396,-0.004364257163189828,0.0022155112408577126,0.04833406488946144,0.00826461467337101
5,-0.055309636542137636,2.101595744680851,0.0349378210432986,0.009871060797508706,-0.32433478172789226,0.0015074547300947443,-0.0017339828166555852,0.002764977800085187,-0.0008440738028668292,-0.00013997098232838173,0.06925860871659949,1.4080646190232176e-06,0.00046665414850762953,0.0018941950924853041,0.00010469416354564337,0.00012073922664561362,0.0013884524081615693,-0.001798069730718085,-0.005711072556515958,-0.006820094331781915,0.003602259209815491,0.0008618892507350176,0.002236043645980509,0.0024007099740048707,0.001012777774891956,-0.01570057970412234,0.004094310517006732,-0.000752844709031131,-0.001062421595796629,0.00084803155127992,0.0002264063409034252,-0.018826618600398935,0.0013033045099136666,0.00250540185481944,0.000411654025950336,0.003517150878906251,0.004445177443484043,0.001304171947722738,-0.06449779753989361,0.0003709541990401825
6,-0.0032205784574468087,0.004766456117021277,0.0005142536569148936,0.0005851583277925532,-0.0005045951680934179,0.005210779068317819,-0.039698304521276595,-0.25679438164893614,0.7518222240691489,-0.010390894463721743,0.007341198211020612,-0.005730681723736702,0.0011023673605411594,-0.002820311201379654,0.017365378521858377,-0.006775608468563,-0.0017563190866023936,-0.0016036337994514635,-0.0002045286462662068,0.0014554987562463582,0.0006125754498420841,-0.002338750311668883,-0.00128441262752452,-0.007460573886303191,0.004059846350487245,0.0010558473302962874,-0.002682754841256649,-0.002847192642536569,-0.00146484375,2.3621193906091412e-05,-0.0013009152513869283,-0.007060404026761968,-0.013003734832114361,0.0018951986698394153,0.0004920178271354524,0.00920903631981383,-0.005340641102892286,0.0005101630028257987,1.8937537010676282e-05,-0.0009874059798869667
7,-0.01641790917579164,0.010153691312100026,0.00310678482055664,-0.00046797711798485567,0.0013849380168508988,0.001675122849484708,0.021758124168882977,0.004412906727892288,-0.010110278839760638,-0.001240458387009641,-0.0012176219453202913,-0.0030140978224734044,0.0016918669355676544,-0.000280566925698137,0.0026809225691125736,0.0006589524289394928,-0.00035051183497651904,0.002009485123005319,0.004682792501246677,-0.002178435629986702,0.0035028335895944153,-0.0027480348627618024,0.00010173929498551117,-0.00015172552555166,4.121496322307702e-05,-0.0010311309327470514,-0.00014623682549659355,-0.0011383421877597247,0.00016731632516738174,0.0008157628647824528,0.0008614012535582362,-0.0018460091124189665,-0.04793306513035551,0.252373358543883,0.029083998659823803,0.018881631404795544,-0.008514201387445977,-0.00113571248155959,0.005837249755859375,-0.008607377397253159
8,2.776313164893617,-0.11415028673537234,1.7298261926529255,0.0043625283748545485,0.010150560419610205,-0.00750059574208361,0.018232410512071976,-0.0026648298222967937,0.00042586630963264754,0.002940896216859209,-0.00015810296890583276,0.005283696600731383,-0.0014264045877659575,0.009229424659242022,-0.002550782548620346,0.003467989982442651,0.004843600252841382,-0.003458834709005153,0.0007170555439401169,0.00448656792336322,0.0010239519971482192,-0.00027975566843722817,-0.00034402634235139104,5.4308518450307244e-05,-1.6585563091526153e-05,0.0036946722801695477,0.0021752458937624656,0.01756690005038647,-0.00022947230237595326,0.0019447123750727256,-0.00020817898689432096,0.00048203582459304393,0.01708516871675532,0.0012143398853058213,8.227571528008724e-05,0.0012608670173807342,-0.00024486095347303274,-0.0006336658558946962,0.0014456241688829787,7.438253849110935e-05
9,0.049946626703789895,-0.011289750768783245,0.0018248558044433579,0.023718196787732713,-0.00015377288169049095,0.053306644520861035,0.006934892370345744,0.0034338626455753403,0.0001731981622411798,0.028966375107460834,0.00124851389134184,0.020143995893762468,-0.010286379875020778,0.0012591585199883645,-0.008347872470287567,0.011170407559009308,0.0025952034808219737,0.00899271863572141,0.0030725884944834605,0.0025080061973409445,0.0015855363074769315,0.007217386935619599,0.0018174922212641285,0.01634860748940326,-0.0008801439975170368,-0.007210337862055352,0.008885451073342186,-0.00012883328376930977,0.0006358765541238803,-0.0009103282969048675,-0.0012365138277094408,-0.0011136968085106373,-0.0006476097918571322,0.0021267059001516793,0.0008615757556671818,0.001132534919901094,0.02584728484458112,0.004161094097380938,0.0031878643847526394,-0.16241735904774768
10,0.0043219769254643865,0.004692873041680519,0.0007083060893606581,0.001535170129004943,0.0017573031973331535,-0.00019269293927132953,-0.002401295114070812,0.0015636281764253666,-0.004444917719414894,0.0027610880263308265,0.0024727232912753506,0.07898919937458444,-0.017096734554209608,0.008107063618112118,0.007650659439411569,-0.007019302692819149,0.0018236160278320306,-0.017261448312312997,0.0015076779304666714,0.007158750168820645,3.499376012923813e-05,0.0008399983669849148,0.0002278956961124502,0.0005540665159834168,-0.0003396942260417505,0.00092868297658068,0.0026049431334150596,-0.00044372233938663286,0.003871325229076629,0.000848879712693232,0.001005527820992977,0.0017814255775289358,0.011196441853300055,-0.0008880156151791802,0.005584367792657081,0.00537315530979887,3.5062749335106386e-05,0.011096116583398053,0.0006565048339519106,0.00812845433011968
11,-0.00010522172806111444,0.0037908878732234867,0.06326745215882647,0.006378076431599069,0.003718770818507415,0.0644279845217441,0.00463177295441323,0.00029555026521073207,0.0012645376489517496,0.02269728640292553,0.010375858875031167,0.023138803877729052,0.005908641409366689,-0.004425081293633643,0.000538878745221077,0.06613470848570478,0.0018468674193037277,0.006224853180824442,0.011093845773250498,0.0016619499693525596,-0.0026761968085106383,0.0360773614112367,0.0004514755086695898,-0.010801924035904254,-0.017836031000664894,1.656045304967985e-05,7.630206168966815e-05,0.0008025149081615782,-0.010726344331781915,0.04165136459025931,0.005056889767342422,0.005620059561222154,0.002284727705285902,0.008746045701047207,0.004651529738243592,0.011187220634298122,0.012095658322598072,-0.001944927459067486,-0.0015617056095853774,-0.021656312333776597
12,0.001824603435841004,0.004166682349874625,0.09987292999916889,-0.02825271931100399,0.06343967242443815,-0.0017919662150930851,0.004137409494278279,-0.035079111951462766,-0.010165340342420212,0.034428884627971244,0.013599373431915933,0.0008416987480001244,0.0011490152237263137,-0.0022969672020445478,-0.00048074925199467674,0.01255152276221742,-0.01760218194190492,0.019322496779421543,0.002410105441478973,0.0012392084649268617,0.00031303040524746536,-0.009528870278216422,-0.028224604180518618,-0.002605714189245346,0.0037909325132978724,-0.0004152095064203791,0.002333231175199468,0.02468073418799867,0.0020883073198034413,-0.0005846307632770975,-0.015380339926861702,-0.00023855655751329745,4.675033244680851e-05,0.00019174129404920214,0.0027888927053897933,1.154069226853391,0.7446694232047872,0.40012908286236704,0.1252208283606996,0.00033746272959607747
13,0.013133264095225233,-0.02272105115525266,0.0005064781675947415,0.04948594925251413,-0.0026006171043883,0.002491804893980636,-0.00024686164044319324,-0.004669189453125,0.002672189347287442,0.0004037400509448729,0.006621908634266955,0.002471752369657476,0.0009305005377911501,3.2699869034141943e-05,0.00019083327435432838,4.6588258540377484e-05,-0.019691759474734043,0.001583886653818983,-0.018355349276928192,-0.0015590586560837766,-0.002171033494015958,-0.0003770868828956072,-0.00013187489611037235,0.0006046376329787234,0.0018590247377436213,0.6720854333106507,0.29190595910904255,3.3891833129711613e-05,1.1957529920212766,-0.0026618957519531296,0.005882157670690657,-0.011800875562302608,0.001358632838472407,0.0021698241538189826,0.01679316987382605,-0.2231694647606383,1.3031275972406915,-0.03541513605320707,0.21365759524893255,0.06456948138297873
