layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,-0.003061685806665668,-0.0006484496287810488,0.009724641457582133,0.008873572716346154,0.006054606957313344,0.04393435747195513,0.005393688495342547,0.043717506604316905,0.002537849621895032,0.04728014041215946,-0.002552032470703126,0.0010330738165439718,0.003347201225085136,0.005223323137332232,-0.0004193843939365499,0.02083137707832532,0.006940303704677484,0.011080619616386218,0.018901727138421476,0.011251009427584134,0.0019095983260717182,0.0021372085962540065,0.00829608623798077,0.004050817245092147,0.005580804286858974,0.002884644728440505,0.01472942645733173,-0.001963688777043269,0.0014252295860877411,-0.0007990934909918371,0.004317259177183494,0.0025527171599559295,0.0035451253255208335,0.015626565004006412,0.003943418845152244,0.003702359321789864,0.019590720152243588,0.008330516326121794,0.000491778055826827,0.0032141758845402645
1,0.0007414206480368576,0.0005505390656300064,0.0035384251521183895,0.008718343881460337,0.012945713141025642,-0.0010196979229266819,0.007445115309495192,0.011130308493589744,-0.00011909695772023183,0.01573768028846154,-0.0011869088197365822,0.0003760900252904667,0.002231793525891427,-0.0006104493752504,0.010505089393028846,-1.9272168477326638e-06,0.005990297366411259,0.001322624010917468,-0.0016328860551883013,0.005009577824519231,0.0009893515171148835,0.0008391355856871,0.003313309107071314,0.0021108236068334333,0.006281094673352363,-0.002863981784918368,-0.011617709428836137,0.050844632662259616,-4.036934711993864e-05,0.06229341947115385,0.0013109353872445923,0.0015098376151842974,-0.0014569209172175539,0.0024878673064403036,0.0024204743214142612,-0.0017649332682291667,-0.002632923615284455,-0.0029056255634014407,0.00041785606971153844,0.0006841512826772847
2,0.014905098157051282,0.010022285657051282,0.0027142549172425845,-0.0007880528767903628,0.04749161157852564,-0.0014361357077574115,-0.0006936880258413461,-0.0003323677258613782,-0.0007155491755558885,-0.005818098019330929,-0.004296889671912558,0.005431933280749199,0.005722339336688701,0.0006647354517227564,-5.2944971964923916e-06,-0.0014798091008112989,0.00016785890628129998,-0.014538104717548076,0.04776851947490986,0.00017665594052045628,0.007246751051682692,0.021263513809595354,0.01244804186698718,-3.716884515224359e-06,-0.0021942334297375796,-0.0014325166359925872,-0.008632562099358974,-0.0029022999298878205,0.0031948334131485373,0.0076307150033804085,-6.719735952523977e-05,0.000628593640449718,-0.012161646133814102,-0.0014978555532602167,-0.002113733536157854,0.01605224609375,0.03250200320512821,-0.0001537616436298077,0.01899885519956931,0.007029631198980871
3,0.005054571689703526,0.006434440612792969,-0.0023380181728265216,0.04504551031650641,0.00502185332469451,0.0021224388709435104,-0.007620787009214744,0.006259918212890624,0.0029812837258363398,0.0005518962175418176,0.037131285056089744,0.011726575020032052,0.034012232071314104,0.03861256134815705,0.033406575520833336,0.006707607171474359,-0.0008443441146459307,0.022360923962715346,-0.002906346932435649,0.016288561698717948,0.0040047963460286455,0.0020333803617037256,0.002348092886117787,0.017609425080128204,0.00098419189453125,0.0035106952373798093,0.01704548566769331,-0.0002825810359074513,-0.000335693359375,0.0018787873096955128,-0.0013252649551782846,0.00787959954677484,4.8319498697915424e-05,0.0030152736566005614,0.0029886196821163873,-0.0008978232359274857,-0.0016641372289413064,0.011193202092097355,-0.0003220973870693103,-0.002012888590494791
4,0.013251280173277244,-0.0038878612029246795,0.00592803955078125,0.0128021240234375,0.01337882799979968,-0.0021482614370492794,-0.00470117422250601,0.004487746801131812,0.0031276605068108975,0.016365246895032052,0.001272739508213141,0.002258007342998799,0.013734279534755608,-0.006100972493489583,-0.005893805088141026,0.005809001433543671,0.004077422313201122,0.036965394631410256,-0.0022240663186097755,-0.008244049854767628,-0.000934221805670323,0.01184380360138722,0.0072289980374849756,-0.000413258870442709,0.003413273737980769,0.003924443171574519,0.004589349795610477,0.0013988201434795681,0.0026309184539012424,0.012659317407852564,0.016981858473557692,0.001780387682792468,0.004673297588641827,0.020044473501352165,-0.00010245885604467306,0.001348348764272838,-0.0010248819986979167,0.008036197760166267,0.006103857969626401,-0.0027808164938902245
5,0.04138340094150641,0.004716958755101912,-0.000834189928494968,-1.752147307762857e-05,-0.09047757662259616,-0.00012418551322741208,-0.0009286342523036859,0.000615242200020032,-0.0010933417540330138,0.0005523424882155193,0.002944567264654699,4.138702001326459e-05,0.0005599199197231213,0.001108647539065435,8.675532463268738e-05,-0.0012787060859875822,-0.002175869085849859,-0.001711723132011218,-0.004070575420673077,-0.0018318371895032052,-0.0014447187766050667,-0.0005143666878724807,0.0011165080926357153,0.0003523796032636568,-0.0007865367791591513,-0.03170854617387821,0.0020307394174429055,-0.0015306900709103324,-0.0007338890662560116,0.0006214166298890725,0.000951525492545884,-0.004679655417417868,0.000506501931410567,0.001903020418607272,-0.001712597333467928,0.002187826694586337,0.005339793669871795,0.0014386727259709296,-0.01336826422275641,0.00016862727128542587
6,-0.006214630909455128,-0.0019687750400641025,-0.0044102057432517045,-0.0016741630358573718,0.004618229010166264,0.043887407351762824,-0.024470402644230768,-0.05946076221955128,-0.04187833345853365,-0.0009178748497596154,0.003233188237899388,0.0051309879009540284,0.0001559716004591758,-0.0015493539663461538,0.0006034557635967538,-0.0010015536577273629,-0.0015681584676106807,-0.0009730901473607781,0.001222231449225009,5.7102778019050006e-05,0.0007236920870267449,0.008516507271008614,-0.0012320004976712777,-0.014009182269756611,0.0008968940147986743,0.0005041360855102544,-0.005201975504557291,-0.0015884790665064103,0.0008388421474358974,8.573593237461362e-05,-0.0003556716136443308,-0.00577721228966346,-0.020352681477864582,0.00027314210549379104,-0.0008389307902409459,-0.008772043081430288,0.0032658210167518,0.0016191189105694127,-0.00029193743681296956,-0.0009346986428285244
7,0.007538966643504606,0.0012569916553986371,0.0008116502028245192,0.002957808665740183,0.0007506394997621218,-0.00474704840244391,-0.005314753605769231,-0.0003057137513772013,-0.012903458032852564,-0.0025493915264423075,-0.00029554122533553714,-0.002947685046073718,-0.0012638140947390832,-0.0001576007940830359,-0.00010085717225685902,-0.00021778008876702947,-0.0007333021897536064,-0.002232478215144231,-0.0006978572943271731,-0.002141414544521235,-0.010296063545422675,-0.0017682711283365886,-0.0006768642327724358,-0.00015114515255658988,-6.390840579302181e-05,0.0009386845124073514,-3.441174825032386e-05,-0.0008734923142653219,6.99705038315205e-05,-7.861546981028725e-05,5.389482547075128e-05,-0.0012614421355418666,-0.02677154541015625,0.0872331276918069,0.0006864009759364987,0.011448542277018229,-0.0022232593634189694,-0.003132019287500625,-0.0029770288711939105,-0.012574024689503204
8,-0.0015303293863932284,0.020780123197115384,0.009897085336538462,-1.9294329178639986e-05,0.00886222643729968,-0.0027968088785807295,0.004223334483611278,-0.0033398774953988884,-0.0026201468247633707,-0.00023091145050831158,0.001379061967898638,-0.003033173389923878,-0.0030987079326923075,-0.0025908641326121795,-0.007503216083233173,-0.00034488775791266025,0.002048981495392632,0.001813644017928686,0.00017252946511293077,0.001463413238525391,-0.0006087743318997879,0.00044973462055891114,-0.00038826924103956743,-0.0007641880940168395,-3.405354726008929e-05,0.001665995671198917,0.004483638665614983,-9.414477226061806e-05,-0.00044514888372176566,0.00025275731698060956,-0.00025025392190004104,-2.082652197431747e-06,1.1805349435566833e-05,-8.055701469766936e-07,-0.0015952770526592565,6.0374920184798654e-05,-0.0016051744803404215,-3.919845972306027e-05,0.007220537234575321,-0.0004901030124762126
9,-0.012302154149764623,-0.0063112821334447644,-0.00026833094083346403,0.002808326329940405,0.0057984376565004,0.00662830548408704,0.000667474208733977,-0.002844908298590242,0.00022214651107788655,0.004877127133882963,5.609561235477048e-05,-0.010334503956330128,-0.0038976913843399453,-0.0009217629065880462,-0.0008424367660131232,0.0030237833658854165,0.0021356405355991447,0.007020216721754808,-0.001904829954489682,0.0003280150584685487,-8.286573948004653e-05,0.0005235182933318308,0.0019598373999962448,-0.005404325631948618,-0.002403393769875551,0.00039262038010817306,0.001061482307238455,-0.00015337344927664526,0.00014719214194860907,5.012903458032316e-05,-0.0010849879338191114,-0.0008085079682179,0.00034055954370743323,0.001818656921386718,-0.001543045043945313,0.0026963062775440705,0.0013558314396784846,0.0006045072506635627,0.00028116275102664105,0.0021350567157451925
