layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,-0.007106236049107143,0.006971086774553571,-0.021915980747767856,-0.020529610770089284,-0.02215576171875,0.0034632001604352715,0.006349836077008929,0.002598966870989122,-0.0013497216360909572,0.0011416843959263286,-0.0021482195172991144,-0.009571620396205372,0.004753112792968743,-0.000301535640444073,-0.0054152352469308,0.006805419921875,-0.0033503941127232145,-0.010075160435267858,0.004826136997767857,-0.0005580357142857285,-0.029296875,-0.009788513183593741,-0.009281703404017858,-0.011003766741071428,-0.018410818917410716,-0.0019207000732421855,0.0021825517926897285,-0.007082257952008929,-0.004486083984375,0.003438132149832586,-0.008710588727678572,-0.014399937220982142,-0.0084686279296875,-0.004002707345145086,-0.00775146484375,-0.007908412388392858,-0.005634852818080357,-0.007258823939732143,0.001885005405970986,0.012782505580357142
1,-0.019679478236607144,0.031040736607142856,-0.032017299107142856,0.005610874720982143,-0.0030048915318080286,0.003704343523297971,-0.002014296395438043,2.1423612322126117e-05,0.0002903512545994091,-0.0018670218331472998,-0.03757585797991071,-0.031014578683035716,0.0117917742047991,0.005094255719866071,0.004423958914620529,-0.00017874581473212848,0.006943838936941957,4.839897155761719e-05,0.0207672119140625,-0.014144352504185258,0.028329031808035716,-0.009129115513392858,-0.0249448503766741,0.01031494140625,-0.006243024553571429,-0.06402587890625,0.0064544677734375,-6.800038473946618e-05,-8.045938531200116e-05,0.00011178425380158348,0.018205915178571428,0.011858258928571428,-0.0430908203125,-0.0005700247628348142,0.0011732918875557857,-0.010744367327008928,-0.016008649553571428,0.021719796316964284,0.0005831037248883857,0.011836460658482142
2,0.0005707059587751285,0.0034089769635881574,0.011339460100446428,-0.017735072544642856,-7.356916155134286e-05,-0.004732404436383929,-0.028799874441964284,0.025059291294642856,-0.007371085030691957,-0.03948102678571429,0.0010310581752232145,0.014214515686035148,0.0018185206821986573,-0.0050574711390904,-0.037353515625,-0.00012043544224330011,-0.00031825474330358575,-0.010572160993303572,-0.00024509429931640533,0.003069741385323657,-0.0011320800653525762,0.005028860909598214,0.0019411359514508713,-0.05939592633928571,0.015812465122767856,-0.008339745657784586,-0.031467982700892856,-0.008924211774553572,-0.007218565259660993,0.003364018031529,0.0019160679408482143,-0.019827706473214284,0.010428292410714286,-0.016649518694196428,-0.014386858258928572,0.0067018781389509,-0.008965202740260525,0.026279994419642856,0.01813806806291853,-0.015264238630022313
3,-0.0003019315855843421,-0.003430502755301343,-0.018319266183035716,-0.0006574903215680857,-0.007737840924944186,-0.011744907924107142,0.018685477120535716,-0.0159149169921875,-0.10442243303571429,-0.028307233537946428,0.0025013514927455286,0.0016484941755022142,0.002116612025669643,0.0006211144583565571,0.02178955078125,-0.002469744001116043,-0.0077329363141741,-0.0172119140625,-0.002589634486607143,0.0006343296595982143,-0.003570556640625,-0.023036411830357144,-0.014040810721261157,-0.001435416085379457,-0.001567295619419657,0.014135088239397313,0.006098066057477686,-0.024483816964285716,-7.847377232142858e-05,0.002973011561802443,-0.014096941266741072,0.009316580636160714,-0.016518729073660716,0.006275721958705343,0.05794525146484376,0.00026375906808035713,0.011189052036830358,0.012363978794642858,-0.012482030051095145,-0.00897925240652903
4,-0.0043182373046875,-0.025547572544642856,-0.003893715994698657,-0.007513863699776786,-0.0081939697265625,0.008510044642857142,-0.008919852120535714,0.008677891322544642,0.0039018903459821287,0.007040841238839286,-0.002668108258928557,0.0013984952654156999,0.021580287388392856,-0.0007504054478236712,-0.027587890625,-0.03218732561383929,-0.030133928571428572,-0.03783307756696429,-0.03233991350446429,-0.030308314732142856,0.008837018694196428,0.0016959054129464285,0.012172154017857142,0.007829938616071428,0.0038234165736607145,0.008599417550223214,0.025791713169642856,0.03125871930803571,0.017691476004464284,0.024871826171875,0.005727495465959814,-0.07805524553571429,-0.0004953656877790286,0.0008122580392019991,-0.03809465680803571,-0.011247907366071428,0.004752567836216528,0.01339013235909597,-0.00011725085122245058,-0.004983084542410714
5,0.004512241908482143,-5.369101251874383e-05,-0.007932390485491072,-0.23200334821428573,-0.0003070831298827857,-0.0096435546875,-0.006737845284598214,-0.012141636439732142,-0.009351457868303572,-0.010698590959821428,-0.007081712995256714,-0.008370535714285714,0.00045599256243025445,-0.0026234218052455425,-0.0018885476248604715,-0.009996686662946428,-0.0027520315987723146,-0.029279436383928572,-0.026506696428571428,-0.009695870535714286,-0.009798322405133928,-0.011618477957589286,-0.006801060267857143,-0.005408150809151786,-0.0054073333740234375,-0.021458217075892856,-0.001428876604352643,-0.00046212332589281425,-0.0012790134974888286,-0.001538957868303557,0.0003425053187779143,0.007681710379464286,0.003133092607770658,0.0038159234183175114,0.00035783222743444507,-0.0002802908420562691,-0.00022820063999721429,-0.00043705531529020003,-0.003199441092354914,-0.014404569353376114
6,-0.027247837611607144,-0.009510585239955358,-0.007542201450892857,-0.01959228515625,0.003146580287388386,0.0089111328125,-0.013392857142857142,-0.016863141741071428,-0.31368582589285715,-0.016514369419642856,-0.0035487583705357145,-0.004015241350446429,-0.003969464983258929,-0.009144374302455358,-0.0025101048605782575,-0.026053292410714284,-0.017050606863839284,-0.004282270159040186,-0.002551487513950886,-0.0038670131138392855,-0.004961286272321429,-0.028363909040178572,-0.009621756417410714,-0.009031023297991072,-0.021612984793526784,-0.012612479073660714,-0.005922589983258929,-0.018083844866071428,-0.010598318917410714,-0.005674089704241071,-0.008283342633928572,-0.0004937308175223142,-0.006622314453125,-0.013813563755580358,-0.007077898297991071,-0.015622820172991072,0.0002997006688799043,8.915151868547704e-06,-0.009456089564732142,-0.007051740373883929
7,-0.008326939174107142,-0.0051727294921875,-0.005366734095982143,-0.004280090332031243,-0.006134033203125,-0.01007080078125,-0.028337751116071428,-0.015424455915178572,-0.015620640345982142,-0.014317103794642858,-0.009926932198660714,-0.005693708147321429,-0.0038779122488839285,-0.0010072163173130285,-0.005759102957589286,-0.0009723390851702,-0.002637590680803557,-0.021798270089285716,-0.0072986739022391145,-0.0036980765206473146,-0.04154750279017857,-0.017900739397321428,-0.004551478794642857,-0.016972133091517856,-0.003950936453683029,-0.005761282784598214,-0.0031226021902901716,-0.009798867361886171,-0.0008719308035714,-0.006262642996651786,-0.004878452845982143,-0.007184709821428571,-0.0021078927176339,-0.12350027901785714,-0.0047574724469866,0.0006177084786551429,-0.036167689732142856,-0.008296421595982142,-0.010734558105468759,-0.034153529575892856
8,-0.0004649162292480143,0.0016092572893415,0.00038221904209678525,-0.8069196428571429,0.0011993135724748573,-0.03846086774553571,-0.0029054369245256856,-0.015167236328125,-0.0009602137974330285,-0.0015019008091517714,-0.003252301897321414,-0.017207554408482144,-0.013375418526785714,-0.015572684151785714,-0.03935895647321429,-0.01641845703125,-0.003863743373325886,-0.015864780970982144,-0.003003256661551328,-0.003070286342075886,-0.0012619410242353023,-0.004504612513950871,-0.0033471243722098146,-0.004362446921212343,-0.0032569340297153855,-0.0006675464766366105,0.0003291538783482143,-0.0017277853829519856,-0.0004495893205914857,0.0003239427294049346,-0.002359117780412943,-0.001449040004185257,-0.038661411830357144,-0.008479527064732142,-0.010888235909598214,-0.007254464285714286,-0.0017318725585937285,-0.0031760079520089285,-0.029645647321428572,-0.0022572108677455286
9,-0.013087681361607142,-0.039829799107142856,-0.030561174665178572,-0.0025427682059151716,-0.005293709891183029,-0.0026261465890066713,-0.0022168840680803427,-0.005377633231026786,-0.0003026212964738868,-0.0021440642220633245,0.00018460409981864285,-0.03528703962053571,-0.0322265625,-0.0010043552943638286,-0.020010811941964284,-0.002476283482142857,-0.003497532435825886,-0.00026387827736987934,-0.00048576082502089596,-0.006450108119419643,-0.004965645926339286,-0.005453927176339286,-0.007520403180803571,-0.01629638671875,-0.020533970424107144,-0.0012893676757812428,-0.010772705078125,0.014504568917410714,-0.0003764288766043,-0.0012907300676618142,-0.010729108537946428,-0.008852277483258928,-0.009534563337053572,-0.011757986886160714,-0.004799979073660714,0.007036481584821429,-0.002308436802455357,0.006646292550223214,-0.0026882716587611427,0.009057181222098214
