layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,-0.009191513061523438,0.001461744308471675,0.0029268264770507873,-0.0002160072326660126,0.0046749114990234375,0.00039005279541014996,0.0055694580078125,0.0015115737915039125,-0.0077075958251953125,-0.001617431640625,0.0017547607421875,0.0030330419540405247,6.29425048828125e-05,0.0018761157989501953,0.0001683235168456875,0.003387451171875,-0.0091562271118164,-0.00650882720947265,0.002655029296875,-0.0031585693359375,-0.006112098693847662,-0.0007305145263671875,-0.0047054290771484375,-7.62939453125e-05,0.002033233642578125,-0.00018477439880371265,-0.0020694732666015625,-0.0005838871002197248,-0.006096839904785162,-0.001489877700805675,-0.0044994354248046875,-0.01236820220947265,-0.0038170814514160126,0.0038013458251953125,-0.0028805732727051,-0.005007743835449225,-0.002888679504394525,-0.006913661956787113,-0.001050114631652818,0.008087158203125
1,-0.00598907470703125,0.011932373046875,-0.0096435546875,0.005589485168457025,-0.0007494688034057626,-0.0001220703125,-0.00019038468599318512,-1.2442469596862793e-06,0.0008934736251830875,-0.001142637338489305,-0.026782989501953125,-0.007415771484375,-0.00894927978515625,-0.00421810150146485,0.005950927734375,0.0010389834642410278,0.0009899139404296875,-1.0209158062934875e-05,0.0035982131958007873,0.0023946762084961,0.00847625732421875,-0.015697479248046875,-0.0309600830078125,0.005421638488769537,0.00786590576171875,0.0004730224609375,-0.01895904541015625,-1.8995720893143825e-05,5.061179399488794e-05,-5.155801773072861e-06,0.00174713134765625,-0.0005941390991210877,-0.00154876708984375,0.0066623687744140625,0.00444793701171875,-0.001009941101074225,0.0003681182861328125,0.025653839111328125,0.0030965805053710877,0.00730133056640625
2,0.00039196014404296246,0.01026153564453125,-0.0058689117431640625,0.0006406307220458876,0.0013456344604492125,0.0049276351928711,-0.001368165016174325,0.00920867919921875,0.008573293685913088,0.0021266937255859375,0.002811431884765625,0.001750946044921875,-0.0011007189750671387,0.0015640258789062374,-0.0036555528640747122,0.005564689636230463,-0.00016736984252929996,-0.02320098876953125,0.0006504058837890625,0.011798858642578125,-0.006723728030920029,-0.0013456344604491999,0.0003957748413085749,0.0066673755645752,0.01549530029296875,-0.0048999786376953125,-0.028472900390625,-0.00048542022705077496,-0.0016031265258789,0.00011348724365231246,0.006095409393310537,-0.0046329498291015625,0.0026187896728515625,-0.001277923583984375,-0.010478973388671875,-0.016811370849609375,-0.0026571750640869123,0.00618743896484375,0.043548583984375,-0.001053988933563225
3,-0.00027486681938173105,-0.0079665184020996,-0.01630401611328125,-0.007328510284423838,-0.00205326080322265,-0.006234049797058087,-0.007171630859375,-0.014192581176757812,-0.027688980102539062,0.0006623268127441372,0.002017974853515625,0.003093719482421875,0.00037217140197752345,0.0008126199245452818,0.0095367431640625,-0.00011014938354493754,-0.0038943290710449123,0.0005779266357421875,0.0099717378616333,-0.005573272705078125,-0.00405120849609375,-0.007326602935791012,0.0047607421875,-0.0050945281982421875,-0.007411837577819825,0.00482940673828125,0.005944252014160162,-0.005755424499511725,-0.002713680267333988,0.0026159286499023377,-0.017114639282226562,-0.011951446533203125,-0.01113128662109375,0.001941680908203125,0.03267669677734375,0.004817008972167963,0.009609222412109375,-0.000324249267578125,-0.0004119873046875,0.1251983642578125
4,-0.0013430118560791,-0.01975250244140625,-0.0004606246948242124,-0.00876688957214355,-0.0073146820068359375,0.00616455078125,0.0022432804107666,0.003631591796875,0.0037689208984375,0.0068511962890625,-0.00441718101501465,-0.003406524658203125,0.007904052734375,-0.026523590087890625,-0.0199127197265625,-0.011493682861328125,-0.0200653076171875,-0.007264614105224613,-0.02816009521484375,-0.04190254211425781,0.0028843879699707,-0.0017108917236328125,0.004355192184448237,-0.0010509490966796875,0.00455474853515625,0.0043201446533203125,0.01125335693359375,0.01778411865234375,0.0121917724609375,0.028873443603515625,-0.004669666290283213,-0.0006246566772461007,-0.0023121833801269627,-0.001552581787109375,-0.026910781860351562,-0.011075973510742188,-0.017730712890625,0.00920867919921875,9.822845458983746e-05,-0.01612043380737305
5,-0.0020809173583984375,6.836652755735663e-05,0.009126663208007812,0.147918701171875,-0.0062713623046875,-0.009576797485351562,-0.0032625198364257873,-0.003871917724609375,-0.005634069442749025,-0.0026094913482666,-0.0006666183471679625,-0.002553611993789673,-0.0014581680297851625,-0.006460905075073238,-0.00184398889541625,-0.0011363625526428145,-0.0019140243530273375,-0.00445556640625,-0.02010345458984375,-0.00319766998291015,-0.00531005859375,-0.004526019096374512,-0.0049901008605957,-0.003192663192749025,-0.006257534027099613,-0.0133819580078125,-3.626942634583223e-05,-0.00027388334274291054,-0.000831246376037575,-0.0006481409072876,0.000626504421234123,0.00011062622070313758,0.0080413818359375,5.626678466797504e-05,0.00046539306640626247,-0.0005208849906921684,-0.005388736724853512,0.0004024505615234249,-0.005557060241699225,-0.0012528896331787
6,-0.01216888427734375,-0.007045745849609375,-0.0031752586364746,-0.009176254272460938,0.0034555196762085,0.0052242279052734375,-0.00327301025390625,-0.0200347900390625,0.0373992919921875,-0.005054473876953125,-0.0032665729522705,-0.005400180816650387,-0.00238776206970215,-0.006080508232116687,-0.004160881042480475,-0.012125968933105476,-0.0098419189453125,-0.004443168640136713,-0.0009000301361083875,-0.003217220306396475,-0.005021333694458,-0.012983322143554688,-0.0021996498107910126,-0.0059108734130859375,-0.003926634788513163,-0.0069713592529296875,-0.0014858245849609375,-0.003826141357421875,-0.0052852630615234375,-0.000927925109863275,-0.001423835754394525,-0.002048611640930175,-0.0015316009521484375,-0.004274845123291012,-0.0039615631103515625,-0.000423431396484375,-7.593631744385468e-05,-0.00014913082122803748,-0.011913299560546875,-0.005894660949707025
7,-0.003537178039550775,-0.0035066604614258,-0.003522992134094238,-0.003682255744934075,-0.0016125440597534123,-0.0031280517578125,-0.004364013671875,-0.002079963684082025,-0.0011806488037109375,-0.0045928955078125,-0.0026073455810546875,-0.00041913986206053755,-0.0036716461181640625,-0.00021684169769285,-0.0010167360305785868,-0.008054673671722412,-0.002166688442230206,-0.0013418197631835877,-0.002788543701171875,-0.0043797492980956875,-0.002437591552734375,-0.008754730224609375,-0.00028491020202634995,-0.004624366760253887,-0.00041961669921872506,-0.0037364959716796875,-0.0019102096557617125,-0.00112485885620115,-0.0006265342235565014,-0.003567218780517575,-3.463774919509264e-05,-0.0027379989624023377,-0.017110347747802724,0.044647216796875,-0.0048313140869140625,0.000102996826171875,-0.025409698486328125,-0.000365853309631325,-0.00507354736328125,-0.01136016845703125
8,0.008602976799011237,-0.00010442733764648752,0.0009092688560485875,0.4212646484375,0.0004420280456542875,-0.0208892822265625,-0.0011998414993286,-0.0038013458251953125,0.0006769895553588774,-0.002292633056640625,-0.00485849380493165,-0.01815032958984375,-0.0019354820251464748,-0.006968498229980475,-0.02425384521484375,-0.002223730087280275,-0.001537442207336425,-0.004405975341796875,-0.000843226909637448,-0.00207093358039855,-0.0018390417098999,-0.002299278974533087,-0.0030357837677001996,-0.008413314819335938,0.0014743804931640625,-0.00041925907135011246,-0.004670143127441412,-0.0061962604522705,-0.00026455521583558224,0.0002988874912262025,-0.0012679100036621124,0.00022765994071959826,0.026271820068359375,0.002478837966918925,-0.00457763671875,-0.004464149475097662,-0.0012278556823730376,-0.0021686553955078125,-0.00589752197265625,-0.0011315345764160124
9,-0.00041866302490235004,-0.004962921142578125,-0.008283615112304688,-0.003861218690872183,-0.005726814270019525,-0.00131332874298095,-0.0008036494255065903,-0.0028820037841796875,-0.0004076659679412857,-0.0023176670074463,-0.0035231113433838,0.0009684562683105499,-0.016291141510009776,-0.0013799667358398624,-0.010365843772888187,-0.0036014318466186497,-0.003018379211425775,0.0004281997680664,-0.0001763105392456,-0.0052089691162109375,-0.0036219358444213876,-0.001689791679382325,-0.0071506500244140625,-0.005637168884277338,-0.00897216796875,-0.0010552406311035124,-0.006566047668457025,-0.0032199621200561584,-0.0009233355522155793,-0.0017464756965637125,-0.005360603332519525,-0.005565166473388662,-0.004807889461517328,-0.0022144317626953125,-0.001602888107299775,-0.00019732117652893066,0.00048351287841797504,0.0029206275939941376,-0.00015521049499511247,0.00334811210632325
