layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.0004713237285613953,0.04003715515136719,0.1300048828125,0.08782958984375,0.12951374053955078,0.267578125,0.044219970703125,0.34228515625,0.04390716552734375,0.30224609375,-0.0540008544921875,-0.009774208068847663,0.077911376953125,0.12579345703125,0.010986328125,0.19921875,0.11529541015625,0.027008056640625,0.208984375,0.0767822265625,0.0621337890625,0.01287841796875,0.08870697021484375,0.09625244140625,0.1162109375,0.0908203125,0.1016845703125,0.00426483154296875,0.046905517578125,-0.0014171600341796875,0.1536865234375,0.0307769775390625,0.1385498046875,0.17041015625,0.1527099609375,0.11053466796875,0.237060546875,0.1571044921875,0.007190704345703125,0.0088653564453125
1,-0.0094451904296875,0.02874755859375,0.016405105590820312,0.07855224609375,0.11724853515625,0.0229034423828125,0.04266357421875,0.353271484375,-0.00104506313800812,0.360595703125,-0.0406341552734375,0.038364410400390625,0.08130264282226562,0.0711517333984375,0.4805908203125,0.001731693744659425,0.11602783203125,1.027099609375,-0.051910400390625,0.1279296875,-0.04886722564697266,0.0178070068359375,-0.06716156005859375,0.1833343505859375,-0.01116943359375,-0.01599884033203125,-0.041107177734375,0.53173828125,-0.0002807676792144773,0.75830078125,-0.02032470703125,-0.0009860992431640625,-0.04754638671875,0.09326171875,0.0654449462890625,-0.002666473388671875,-0.03075551986694335,-0.0042724609375,-0.010753631591796875,0.0028228759765625
2,0.2509765625,0.1185302734375,0.081756591796875,0.01702880859375,0.54052734375,0.0352020263671875,0.01473331451416015,-0.032055854797363274,0.027616500854492188,0.0165557861328125,-0.004274845123291012,0.0128173828125,0.011474609375,0.011214256286621087,-0.0029072165489196626,-0.038299560546875,0.0015325546264648375,-0.0897216796875,0.683349609375,-0.009328365325927724,0.48956298828125,0.184814453125,0.148193359375,-0.007068634033203125,0.05065155029296875,-0.01885223388671875,-0.0211334228515625,-0.0005273818969726502,0.1319580078125,0.1129150390625,0.0919189453125,0.009449005126953125,-0.03448486328125,0.03759765625,-0.0224761962890625,0.2218017578125,0.1416015625,0.007511138916015625,0.6842041015625,0.0551605224609375
3,0.3489990234375,0.0321044921875,-0.040985107421875,0.18994140625,0.224090576171875,0.07611083984375,0.00540924072265625,0.1278076171875,0.029754638671875,0.0362548828125,0.7607421875,0.12969970703125,0.404296875,0.33203125,0.40234375,0.05693817138671875,0.0031313896179199253,0.03729248046875,0.03343677520751954,0.0247650146484375,0.056671142578125,0.058685302734375,0.044281005859375,0.015777587890625,0.0270233154296875,0.0611419677734375,0.07781982421875,0.098846435546875,0.0051727294921875,0.052734375,0.1185760498046875,0.11151123046875,0.043304443359375,0.06365966796875,0.05596923828125,-0.008706092834472663,-0.00337982177734375,0.0814208984375,0.047637939453125,-0.675537109375
4,0.5570068359375,-0.1348876953125,-0.062225341796875,0.028392791748046875,0.1385631561279297,0.0546875,-0.0415191650390625,0.1173095703125,0.0136871337890625,0.046112060546875,-0.058074951171875,-0.0269317626953125,0.0716552734375,-0.082305908203125,-0.041717529296875,0.138153076171875,0.103515625,0.34619140625,-0.065582275390625,-0.136932373046875,0.00087738037109375,0.10369873046875,0.0629119873046875,0.025115966796875,0.09490966796875,0.0452423095703125,0.0613555908203125,0.018589019775390625,0.05084228515625,0.08306884765625,0.080657958984375,-0.00701141357421875,0.2969970703125,0.1112060546875,0.038784027099609375,0.02500152587890625,0.02850341796875,0.042388916015625,0.0885467529296875,0.03922271728515625
5,0.2115478515625,-0.5365753173828125,-0.10866451263427734,-0.004339277744293211,0.10596084594726562,0.009033203125,-0.0008859634399414125,0.07393646240234375,0.00289058685302735,0.002349853515625,0.05609130859375,-0.0022964477539062626,0.0066070556640625,0.0029354095458984375,-0.0011172294616699375,-0.00385284423828125,-0.0204315185546875,-0.0016307830810546875,-0.018829345703125,-0.0025701522827148377,-0.002498626708984375,0.0035018920898437626,0.030467987060546875,0.018566131591796875,0.0044269561767578125,-0.014251708984375,0.02321624755859375,-0.01271820068359375,0.0023450851440429627,0.0072021484375,-0.0002734661102294874,0.02590179443359375,0.0163116455078125,0.004871368408203125,0.00528717041015625,0.02419281005859375,0.04193115234375,0.0160675048828125,-0.01739501953125,0.002391815185546875
6,-0.026123046875,-0.1221923828125,-0.0186309814453125,-0.01770782470703125,0.07623291015625,0.176513671875,0.00054168701171875,0.0570068359375,-0.64794921875,0.01627349853515625,0.02277374267578125,0.009552001953125,0.004023551940917975,-0.00806427001953125,0.047702789306640625,-0.023651123046875,-0.03344154357910156,-0.0076274871826171875,0.007716178894042963,0.0023159980773925877,0.010493278503417976,0.010433197021484375,-0.00513458251953125,-0.010044097900390625,0.0103607177734375,-0.0019779205322265625,-0.0194244384765625,-0.008937835693359375,-0.037017822265625,-0.005870819091796875,-0.0023651123046875,-0.0037469863891601623,-0.049163818359375,0.002575874328613275,-0.00907135009765625,0.0288238525390625,0.10241317749023438,0.01749420166015625,-0.01770782470703125,-0.0190582275390625
7,-0.002254724502563475,-0.0026397705078125,-0.0038805007934570373,0.019237518310546875,-0.0016970634460449251,-0.020542144775390625,0.004180908203125,0.008392333984375,-0.00592041015625,-0.00591278076171875,-0.0119476318359375,0.01610565185546875,-0.012882232666015625,-0.00275325775146485,-0.0019083023071289,-0.012257575988769524,-0.0061798095703125,-0.01625823974609375,-0.006256103515625,-0.013170242309570312,-0.0225830078125,-0.002361297607421875,-0.00252628326416015,0.011415958404541012,-0.005534172058105463,0.01511383056640625,0.0011515617370605373,-0.0026445388793945373,-0.0002708435058593875,-0.0035915374755859375,-3.039836883545002e-05,-0.01161956787109375,-0.02165985107421875,0.1668701171875,0.06787109375,0.09368896484375,-0.07451248168945312,0.0062847137451171875,0.0066680908203125,-0.046295166015625
8,-1.92822265625,0.16497802734375,-0.14461135864257812,-0.013141632080078125,0.00616455078125,-0.072174072265625,-0.00659942626953125,-0.02143096923828125,-0.0016908645629882875,0.0034582614898681623,0.011484146118164062,-0.011383056640625,-0.041622161865234375,-0.0024466514587402374,-0.1435546875,-0.0019230842590332124,0.0017309188842773498,-0.0004444122314453125,0.0020399093627929627,0.0066680908203125,-0.0037778019905090393,-0.0011955499649047873,-0.001081347465515132,-0.0036678314208984375,-0.0007466077804565375,0.00778961181640625,-0.0133209228515625,-0.0605316162109375,-0.0004425048828125,-0.0025081634521484375,-0.0032052993774414123,-0.0004042983055114504,-0.04688262939453125,-0.0017998218536376624,-0.017368316650390625,-0.003879547119140625,-0.0017161369323730503,-0.003834724426269525,-0.03449249267578125,-0.0012019872665405126
9,-0.02782440185546875,-0.00261688232421875,-0.005595207214355462,-0.0001220703125,-0.00162506103515625,-0.012735366821289062,-0.0028276443481445373,0.0024042129516601623,0.0080718994140625,0.10748291015625,-0.011049270629882812,-0.000408172607421875,-0.00400543212890625,0.03119659423828125,0.0298614501953125,-0.051513671875,0.0064716339111328125,0.06390380859375,0.0020294189453125,0.004009246826171875,-0.0025353431701660126,-0.0036163330078125,0.01995849609375,0.0072002410888671875,-0.016399383544921875,-0.011868476867675788,-0.0161428451538086,-0.004162788391113275,0.0082855224609375,-0.007872581481933587,-0.009304046630859375,-0.011636018753051763,-0.0207834243774414,0.0037593841552734375,-0.018497467041015625,-0.01015472412109375,-0.006510734558105463,0.0045986175537109375,-0.008768081665039062,0.123321533203125
