layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,-0.08810969761439733,0.07559640066964286,-0.029767717633928572,-0.06560407366071429,-0.06837681361607142,0.010463169642857142,-9.1552734375e-05,-0.029436383928571428,0.007655552455357143,-0.043736049107142856,0.017238071986607144,-0.01654052734375,0.03594098772321429,0.09476797921316964,-0.046452113560267856,0.025948660714285716,-0.03932407924107143,0.001312255859375,0.0028076171875,-0.022670200892857144,0.03700038364955357,0.029331752232142856,-0.04014369419642857,0.005414690290178571,0.008113316127232142,0.01953125,0.11655970982142858,0.035457066127232144,0.018040248325892856,0.010020664760044628,0.07700892857142858,0.0076904296875,0.03850446428571429,0.023995535714285716,0.07094029017857142,0.016810825892857144,-0.003208705357142857,-0.02197265625,-0.022216796875,0.10567801339285714
1,0.011553083147321428,0.023036411830357144,0.004233224051339286,0.015764508928571428,0.04436383928571429,0.01531982421875,-0.010955810546875,0.109375,0.0007825578962053571,-0.05078125,0.023123604910714284,0.04017857142857143,0.07700892857142858,0.06692940848214286,0.16971261160714285,0.0006081717354910714,0.03892299107142857,0.5944475446428571,-0.06410435267857142,0.002197265625,-0.045200892857142856,0.07893153599330358,-0.162353515625,0.10091727120535714,-0.03944614955357143,0.028202601841517856,0.005929129464285714,0.22771344866071427,-0.004558563232421886,0.26450892857142855,0.0031858171735491,0.011910574776785714,-0.04844447544642857,0.042515345982142856,0.043239048549107144,0.017966134207589284,-0.016488211495535716,-0.028860909598214284,-0.010846819196428572,0.010310581752232142
2,0.14522879464285715,0.05510602678571429,0.051914760044642856,0.002781459263392857,0.17131696428571427,-0.012416294642857142,0.0005950927734375,-0.013981410435267858,-0.0019269670758928572,0.03653172084263393,-0.05824497767857143,0.017490931919642856,-0.022295270647321428,-0.10847691127232142,-0.0026911326817103715,-0.05369349888392857,0.005519594464983272,-0.06218610491071429,0.32803780691964285,-0.04299054827008929,0.07628086635044642,0.008231026785714286,0.07209123883928571,-0.018585205078125017,-0.027622767857142856,0.0013776506696428572,0.037898472377232144,0.010040283203125,0.03534807477678571,-0.03233119419642857,0.053676060267857144,-0.010986328125,-0.004087175641741071,0.01837158203125,0.0007672991071428571,-0.013811383928571428,-0.027866908482142856,0.027369907924107144,0.35745675223214285,0.03871372767857143
3,0.0279541015625,-0.008884974888392858,0.015572684151785714,0.020926339285714284,0.14250401088169642,-0.007293701171875,0.065673828125,0.009521484375,-0.020403180803571428,0.03801618303571429,0.3505859375,0.10219029017857142,0.16423688616071427,0.21613420758928573,0.05378069196428571,-0.029767717633928572,-0.011036464146205358,0.0033133370535714285,-0.031101771763392856,0.04596601213727679,-0.018380301339285716,0.023542131696428572,0.030194963727678572,0.020036969866071428,-0.016706194196428572,-0.007760184151785714,0.0017438616071428572,0.05864606584821429,0.0029209681919642855,-0.011400495256696428,0.006979806082589286,0.022526332310267856,0.01707730974469867,0.025224958147321428,0.023908342633928572,0.009039742606026786,-0.00146484375,-0.012799944196428572,-0.015764508928571428,0.5276227678571429
4,0.10770089285714286,0.0673828125,0.0303955078125,0.0024544852120535715,0.021205357142857144,0.027692522321428572,-0.014299665178571428,0.021623883928571428,0.03850446428571429,0.004255022321428571,0.05433872767857143,-0.04356166294642857,0.07547433035714286,0.0012904575892857143,0.010027204241071428,0.03376116071428571,0.04015241350446429,0.03850446428571429,0.006025041852678571,0.009626116071428572,-0.021100725446428572,0.005650111607142857,-0.008143833705357142,-0.026541573660714284,-0.03271484375,-0.0033176967075892855,0.04158673967633929,0.022146497453962043,-0.009660993303571428,-0.005719866071428571,0.037841796875,0.017185756138392856,0.14351981026785715,0.041748046875,-0.06696428571428571,-0.007199968610491071,-0.012168884277343741,0.027154105050223216,0.0120271955217634,-0.03691755022321429
5,-0.07905360630580358,0.43481554303850445,0.11198207310267858,0.009917122977120543,-0.070831298828125,-0.0141754150390625,-0.0021536690848214285,-0.018964494977678572,-5.449567522321429e-05,-0.008749825613839286,0.019368852887834815,-0.0012176377432687,-0.0012814658028738716,-0.004111153738839286,-0.0007217952183314856,0.0023956298828125,0.00506591796875,-0.006299700055803571,0.002461024693080357,-0.004193987165178571,-0.0011378696986607143,0.0014888218470982143,0.03224836077008929,0.009438923427036842,0.008627074105398999,-0.009974888392857142,0.008900233677455358,0.010853086199079228,-0.0005705697195870571,0.011088779994419642,0.005123138427734371,0.0012054443359375,-0.008405412946428572,-0.004711151123046871,0.0007149832589285714,0.003226757049560547,0.009011404854910714,0.014750889369419642,-0.054478236607142856,0.002770287649972086
6,0.036228724888392856,-0.023786272321428572,0.00341796875,0.012616838727678572,0.030726841517857144,-0.007114955357142857,0.0078125,-0.20326450892857142,0.9453125,-0.027853829520089284,0.006081717354910714,0.003627232142857143,0.00017956324986049998,0.013427734375,0.02825927734375,0.030234200613839284,-0.004202706473214286,0.002772739955357143,-0.0010005405970982143,-0.002072470528738843,0.002209799630301343,0.009844098772321428,0.005170549665178571,0.004023960658482143,0.002818516322544643,-0.004202706473214286,-0.009817940848214286,0.013580322265625,0.014700753348214286,-0.0007411411830357143,0.004798344203404014,0.037867954799107144,0.008823939732142858,0.0011046273367745429,0.005458286830357143,0.04771641322544643,0.04200090680803571,0.014288766043526786,0.007306780133928571,-0.006007603236607143
7,0.014135088239397329,-0.0011771065848214285,0.0002506801060267857,-0.0253938947405134,-0.004177774701799672,0.010249546595982142,0.043064662388392856,0.0011073521205357143,0.0006975446428571429,-0.0015433175223214285,-0.0005057198660714286,0.009817940848214286,0.004970005580357143,3.651210239955716e-05,0.014277866908482142,-0.0035400390625,0.0015542166573660715,0.011997767857142858,-0.0006801060267857143,0.0014168875558035715,0.015494755336216514,-0.001964024135044643,0.0005689348493303571,-0.0011773790631975426,-0.002635410853794643,0.0094555446079799,0.010336739676339286,0.011417388916015628,0.0013296944754464073,-0.0006975446428571429,-0.0006959778921944571,0.0017351422991071428,0.14232792173113143,0.3104771205357143,0.003086635044642857,-0.009137834821428572,0.031284877232142856,0.004735674176897328,0.010349818638392858,0.004743303571428571
8,5.037946428571429,-0.09504045758928571,0.15705217633928573,0.0078887939453125,0.03461565290178571,0.05039760044642857,0.014596121651785714,-0.0016370500837053572,-0.0034855433872767855,-0.0026621137346540145,-0.011090959821428572,0.00017438616071428572,0.007062639508928571,0.0019182477678571428,0.0016305106026785715,-0.0009926387241908571,0.015587942940848214,-0.0008937290736607143,8.147103445868567e-05,0.029745919363839284,0.00014495849609374306,0.00016512189592632863,0.0013438633510044714,-0.0006737709045410156,0.00028773716517857144,0.0015656607491629424,0.0099912370954241,0.022600446428571428,-0.004391397748674672,0.006894929068429137,0.0009886877877371572,0.0006656646728515492,0.040736607142857144,0.0014817374093191854,0.008231026785714286,0.008589608328683029,-0.004372732979910714,0.0017449515206473143,0.04466029575892857,0.0012784685407366142
9,0.159820556640625,0.016898018973214284,0.017968858991350457,0.019566127232142856,0.11969648088727679,0.06483677455357142,0.020006452287946428,-0.005037580217633929,0.0016610963003976143,0.056847163609095974,0.04231480189732143,0.02587890625,-0.004503522600446429,0.010899135044642858,-0.0020228794642857145,0.21476963588169642,0.0005155290876116,0.039271763392857144,0.012344360351562514,0.0021193368094308,0.004710606166294643,0.013859340122767858,-0.014966692243303572,0.059483119419642856,0.032719203404017856,-0.005510602678571429,0.013769967215401786,0.0005196162632533571,-0.0010746547154017857,0.0027978079659598146,0.0021416800362723284,0.00017438616071428572,0.0029820033482142855,0.00017111642020088566,0.003941127232142857,0.021580287388392856,0.005497523716517857,0.025399344308035716,0.019529342651367188,-0.05915178571428571
