layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.002610199379198475,0.021819605971827652,0.03886760364879261,0.010576883951822918,-0.06540524598323938,0.05940015388257576,-0.011771462180397728,0.03158291903409091,-0.00882235440340909,0.036029237689393936,-0.009865500710227272,-0.001624598647608903,0.028934363162878788,0.1396008115826231,0.017210526899857956,0.044611150568181816,-0.01748009883996212,0.024121833570075756,0.03969874526515151,0.01372366240530303,0.02096118349017519,0.01952246463660038,-0.007203997987689394,-0.0037379409327651515,-0.009688868667140152,-0.009670373165246212,0.07061952533143939,-0.005976821437026515,-0.011167584043560606,0.002263849431818179,0.07806581439393939,-0.06415349786931818,0.020448626893939392,0.02413293087121212,0.050263375946969696,-0.009297226414535984,0.03752367424242424,0.022002249053030304,-0.0009072043678977273,0.06339333274147728
1,0.00020229455196496066,0.007470333214962121,-0.0025477553858901515,0.007117069128787879,0.014470880681818182,0.025280807957504734,0.004682829885771782,0.039106889204545456,0.0001111464066938909,0.023703835227272728,-0.006127559777462121,-0.0029759262547348485,0.01089754971590909,0.004988236860795455,0.12017637310606061,0.0005872032859108606,0.021802497632575756,0.30297111742424243,-0.007409298058712121,0.011461431329900566,-0.000917376893939394,-0.003088748816287879,-0.013706438469164297,0.046604040897253785,0.0022779522520123088,0.0026087905421401515,-0.000669537168560606,0.2021188446969697,-0.0014208735841693318,0.1171875,-0.007707075639204545,-0.004745021010890152,-0.006569602272727273,0.024082993016098484,0.010838364109848484,-0.0020287253639914788,-0.001040371981534091,0.003917347301136364,-0.0005268906102036001,-0.0018201885801373122
2,0.030332623106060608,0.015306877367424242,0.003331039891098485,-0.004592433120265152,0.1113577178030303,-0.01438580137310606,0.004218823982007576,-0.004873333555279358,-0.00021778453480113637,-0.004199866092566288,-0.07860403349905302,0.07378133138020833,0.006747852672230112,-0.049415819572679924,-0.0006429932334206247,-0.024932398940577652,0.005667932105786872,-0.018541740648674244,0.35975600733901514,-0.010742852182099312,0.08520137902462122,-0.026278409090909092,0.0951852509469697,0.005869547526041667,-0.035947626287286934,-0.0018934770063920455,-0.02685870546283144,-0.00730294892282197,0.019849372632575756,0.020026929450757576,0.014611446496212122,-0.002588445490056818,-0.01098355379971591,0.009453975793087122,-0.005138050426136364,-0.040482954545454544,0.025449810606060608,-0.003800363251657197,0.19660348603219696,0.02426031864050663
3,-0.022714325875946968,0.0012401234019886363,-0.015854344223484848,0.015255089962121212,0.08518820097952177,0.010250207149621212,0.042470758611505684,0.005084413470643939,0.009742505622632576,0.004062536991003788,0.13982599431818182,0.04111550071022727,0.07300544507575757,0.15349047111742425,0.07165897253787878,-0.004499030835700758,0.0008979566169507576,0.005632111520478222,-0.024315342758641098,0.03904955314867424,-0.012776692708333334,-0.005476518110795455,0.011260061553030304,-0.005411783854166667,-0.023445360588304924,-0.02169152462121212,0.019801284327651516,0.02235528194543087,-0.005843653823390152,0.020903616240530304,0.0015647194602272727,0.021909771543560608,0.01234395576245857,0.03387636126893939,-0.004131895123106061,-0.03394803133877841,-0.009697654030539772,0.005415482954545455,-0.008347020004734848,0.5801964962121212
4,0.08372543797348485,-0.018036813446969696,-0.0012133049242424242,0.013092965790719696,0.045756022135416664,-0.0068359375,0.000868826201467803,0.028971354166666668,0.03281286991003788,0.003077651515151515,0.005810361919981061,-0.031712156353574814,0.06948390151515152,-0.06729680841619318,-0.019509055397727272,0.0021454782196969695,0.011389530066287878,0.09608783143939394,-0.032500295928030304,-0.07558001893939394,-0.006029418020537406,0.01302823153409091,0.004810680042613636,0.0077774741432883555,0.004261363636363636,-0.0011800130208333333,0.04370579575047349,0.00629794958866004,-0.012872869318181818,0.014433889678030304,0.05744332978219697,0.002175071022727276,0.11406545928030302,0.07748967950994318,0.008735425544507576,0.010419440991950758,-0.002105828487511839,-0.0038856737541429908,0.04084546638257576,0.013609221487334278
5,-0.07856426816998106,0.594530047792377,0.10180623603589607,0.009400497783314076,-0.15841073700875946,0.0008036295572916666,-0.0013367623993844697,0.012193159623579546,-0.00017882838393702425,0.012501340923887312,0.020255580092921402,-0.000554200374718858,0.0013771707361394713,0.0024333144679214032,0.0003056670680190576,0.0007904515121922334,-0.002650405421401515,0.0005997166489109849,-0.012644912257339016,-0.007749615293560606,-0.007615754098603218,0.0002664797233812667,0.012305519797585228,0.010174606785629736,0.0008985923998283575,-0.010179924242424242,0.012522957541725858,0.006306041370738636,-0.0015423514626242908,0.0038928407611268905,0.005736206517075048,-0.01139230439157197,0.0046205809622099905,-0.002161343892415367,-0.004697814132228041,0.0068013740308356975,0.02697199041193182,0.012138135505445076,-0.03350645123106061,0.0003733779444839029
6,-0.006299567945075758,-0.031915838068181816,-0.0012022076231060605,-0.0025153882575757575,0.012729529178503788,0.10431463068181818,-0.028127959280303032,-0.25849313446969696,0.6260653409090909,-0.01371580181699811,0.0040482029770359815,0.012527697014086176,0.0014599308823094212,-0.005448774857954545,0.01690107403379498,0.027529629794034092,-0.005297111742424242,-0.004805131392045455,0.0027777931906960243,-0.0003047133937026515,0.0016912402528705003,0.004010287198153409,-0.0010459206321022727,-0.0008642023259943181,0.007127472848603222,0.002671270659475612,-0.005678119081439394,0.006947199503580728,-0.0019660718513257575,0.0005719155976266545,0.0011747822617039516,-0.0051172429865056785,-0.007949366714015152,0.00421940196644176,0.0001979018702651515,0.01743108575994318,0.0021195845170454545,0.001358957001657197,-0.001599398526278409,-0.004845821496212121
7,0.005669449314926613,0.01081171902743253,0.0029038479833891897,0.007184577710700758,0.0012396032159978669,0.004009824810606061,0.026380134351325756,0.00017848159327651516,-0.004786635890151515,-0.00021269827178030303,-0.004625262636126894,0.003633441347064394,-0.0025275259306936576,-0.00040927077784683034,0.011157006928415009,-0.002121694160230233,-0.000957257819898197,0.006575150923295455,0.0032859571052320058,0.00016877145478219697,0.003881281072443182,-0.0019850297407670455,-7.513797644412726e-05,-0.003915613347833803,0.001144987164121687,-0.0007369879520300667,0.00035384207060843044,-0.0004179983428030274,0.0010631806922681327,0.0019795099894205823,0.0005945147890033273,-0.005364735921223961,0.005938891208533085,0.3306477864583333,0.052689985795454544,0.009950580018939394,-0.0018088600852272727,0.0051699551669034055,0.016065192945075756,-0.035992246685606064
8,4.051609848484849,-0.09484123461174243,0.2652939305160985,0.011316530632250237,0.043532400420217804,-0.0025075276692708335,-0.0012604684540719697,-0.010500358812736742,0.0020279739842270364,0.002226916226473721,-0.0078125,-0.006151892922141334,-0.0006341645211884486,0.000580758759469697,-0.05435828006628788,0.002274484345407197,0.004478396791400333,-0.007579456676136364,-0.000662731401848067,0.03369735948967211,0.0030730276396780305,0.0001435930078679895,0.0004407564798990901,-0.005039402932831739,-0.00028361696185487574,0.007395888819839015,0.005587491122159091,0.01684287100127249,-0.0012818538781368333,0.00757973121874261,0.0001161748712713152,0.0005723707603685716,0.037114923650568184,0.001529433510520212,0.001538941354462594,0.008716930042613636,-0.0025412819602272725,-0.0006338177305279364,0.019838275331439392,0.006181543523615058
9,0.05889811660304214,0.0037064985795454545,0.011488914489746094,0.019960345643939392,0.047276814778645836,0.04656057646780303,0.009669910777698864,-0.0038285688920454545,-0.0012368288907137759,0.03357164787523674,0.007969249378551136,0.02652532404119318,-0.006747159090909091,0.002478397253787879,-0.0016035600142045455,0.19144462816642993,0.0026796514337713087,0.07195490056818182,0.01402814460523201,0.0035899769176136365,0.0032587340383818638,0.00637722015380859,-0.004594282670454545,0.024693344578598484,0.017767357103752372,-0.0020638668175899603,0.011498306736801609,0.00022015427098130306,0.0005586508548620939,0.0008207956949869727,0.00035372647372159093,-0.0015323523319128788,0.006649942109079069,-0.0015326991225733909,0.001876253070253312,0.016585841323390152,0.01363858309659091,0.017835559266986267,0.011017019098455254,-0.1040048310250947
