layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,-0.220703125,0.025390625,-0.10693359375,-0.1258544921875,-0.113677978515625,-0.359375,0.0204010009765625,-0.37939453125,0.0487060546875,-0.3740234375,0.05810546875,-0.0296630859375,-0.003662109375,0.0615692138671875,-0.07275390625,-0.215087890625,-0.0885009765625,-0.0322265625,-0.222900390625,-0.0361328125,-0.080322265625,0.005859375,-0.11309814453125,-0.126953125,-0.119384765625,-0.02685546875,-0.09814453125,0.05426025390625,-0.06396484375,-0.03192138671875,-0.1943359375,-0.0537109375,-0.23974609375,-0.11474609375,-0.1708984375,-0.066650390625,-0.149169921875,-0.184814453125,-0.01545810699462895,0.08544921875
1,0.00244140625,-0.0029296875,-0.01068115234375,-0.0478515625,-0.029296875,-0.0401763916015625,-0.05224609375,-0.49853515625,-0.0002288818359375,-0.244140625,0.02435302734375,0.0302734375,0.00341796875,0.037841796875,-0.4716796875,-0.00374603271484375,-0.06982421875,-0.76171875,-0.0263671875,-0.111328125,-0.0728759765625,-0.0328369140625,-0.28125,-0.20050048828125,-0.0203857421875,0.0545654296875,-0.01123046875,-0.614501953125,-0.007354736328125,-0.3828125,0.0025634765625,-0.01519775390625,-0.01171875,-0.026611328125,0.008544921875,-0.04150390625,0.00390625,-0.17041015625,0.01611328125,0.0465087890625
2,-0.103515625,-0.076171875,-0.0244140625,0.0001220703125,-0.55859375,-0.017822265625,-0.00843048095703125,-0.0146484375,-0.0025634765625,0.0706787109375,-0.254638671875,-0.01318359375,-0.034912109375,-0.22686767578125,-0.00263214111328125,-0.08404541015625,-0.01390838623046875,-0.072509765625,-0.441436767578125,-0.0587158203125,-0.460784912109375,-0.02001953125,-0.199462890625,0.0250244140625,-0.086151123046875,-0.0092926025390625,-0.04205322265625,-0.0042724609375,-0.11083984375,-0.075439453125,0.007080078125,-0.0228271484375,0.029327392578125,0.0076751708984375,0.0125732421875,-0.20068359375,-0.12646484375,0.10546875,-0.8529052734375,-0.036376953125
3,-0.44622802734375,-0.06396484375,0.036376953125,-0.05859375,-0.46697998046875,-0.17852783203125,0.154296875,-0.1376953125,-0.115234375,-0.0560302734375,-0.4990234375,-0.1474609375,-0.62744140625,-0.432373046875,-0.500732421875,-0.0955810546875,-0.04608154296875,-0.047210693359375,-0.064971923828125,0.01171875,-0.0736083984375,-0.0390625,0.0179443359375,0.1546630859375,-0.003662109375,0.034820556640625,-0.0068359375,-0.153564453125,-0.0277099609375,-0.04827880859375,-0.2249565124511719,-0.20166015625,-0.04113006591796875,-0.1749267578125,-0.14483642578125,0.006103515625,-0.0179443359375,-0.078857421875,-0.08673095703125,0.069091796875
4,-0.81640625,0.052734375,0.1357421875,-0.04140472412109375,-0.32177734375,-0.08447265625,-0.0851287841796875,-0.09716796875,-0.0078125,-0.09033203125,0.0828857421875,0.02685546875,0.0302734375,0.1036376953125,-0.0234375,-0.05078125,-0.23828125,-0.2099609375,-0.02294921875,-0.044921875,-0.021728515625,-0.1328125,-0.1085205078125,-0.07989501953125,-0.107177734375,-0.1097412109375,-0.0867919921875,-0.041259765625,-0.1678466796875,-0.1375732421875,-0.36376953125,-0.0133056640625,-0.605224609375,-0.0711669921875,-0.2008056640625,-0.04766845703125,-0.0521240234375,-0.037841796875,-0.048583984375,-0.0667724609375
5,0.074462890625,0.0775146484375,-0.01348876953125,-0.00017929077148434995,0.3544921875,-0.02001953125,-0.0003509521484375,-0.0354700088500977,-0.012725830078125,-0.0220947265625,-0.037628173828125,-0.00632858276367185,-0.0189361572265625,-0.0250244140625,-0.004241943359375,-0.0006866455078125,0.007568359375,-0.012603759765625,-0.0352783203125,-0.01629638671875,-0.0369873046875,-0.00273370742797855,-0.0162353515625,-0.01806640625,-0.00531005859375,-0.13427734375,-0.016357421875,-0.02447509765625,-0.0033721923828125,-0.021759033203125,-0.01007080078125,-0.043060302734375,-0.01812744140625,-0.0223388671875,-0.026397705078125,-0.022369384765625,-0.0650634765625,-0.02193260192871095,-0.040283203125,-0.0001678466796875
6,0.0126953125,0.01806640625,-0.023284912109375,0.017425537109375,-0.018829345703125,0.09716796875,0.025482177734375,-0.216064453125,0.081787109375,0.02001953125,-0.02215576171875,0.019500732421875,-0.01201629638671875,0.0208740234375,0.007232666015625,0.00030517578125,-0.01654052734375,0.00323486328125,-0.00354385375976565,-0.0062255859375,-0.001708984375,0.06024169921875,0.005523681640625,0.01068878173828125,0.003753662109375,-0.009063720703125,-0.0150146484375,-0.004974365234375,0.03155517578125,0.0044708251953125,0.0009613037109375,0.0216064453125,0.0067138671875,-0.00017166137695315005,-0.00225830078125,-0.05046844482421875,-0.076171875,-0.008056640625,-0.0057373046875,0.0050048828125
7,-0.0338134765625,-0.01169586181640625,-0.0062255859375,-0.0311794281005859,-0.0081634521484375,0.00665283203125,0.001708984375,-0.0205841064453125,-0.0089111328125,0.019775390625,-0.0013427734375,-0.024993896484375,0.0838623046875,-0.00035476684570315005,0.02386474609375,0.02264404296875,0.005340576171875,0.016265869140625,-0.01556396484375,0.001220703125,0.00262451171875,-0.01318359375,0.00039172172546385466,-0.04132080078125,0.0023040771484375,-0.012359619140625,0.0051231384277344,0.021728515625,-0.00039291381835940005,0.0002288818359375,0.0009593963623047001,0.01690864562988285,0.473602294921875,0.03564453125,0.0205078125,-0.014892578125,0.06378173828125,-0.0093841552734375,0.063446044921875,0.13580322265625
8,0.02020263671875,0.06011962890625,-0.02764892578125,-0.002593994140625,-0.0555419921875,0.11669921875,-0.0528564453125,0.00732421875,-0.007476806640625,-0.0191650390625,-0.0008544921875,-0.000244140625,-0.0142822265625,-0.0163421630859375,0.05999755859375,-0.0169677734375,-0.0014190673828125,-0.0545654296875,-0.0110206604003906,-0.022979736328125,0.00213623046875,0.00025272369384765,0.00170135498046875,-0.016021728515625,-0.0017852783203125,-0.0161323547363281,0.0504150390625,0.0032958984375,-0.000701904296875,-0.0012054443359375,0.0010042190551758,-4.3869018554653124e-05,-0.00368118286132815,-0.00012183189392087968,0.0473232269287109,-0.0257568359375,-0.01033782958984375,-0.000701904296875,0.06915283203125,0.00390625
9,0.097412109375,0.0342464447021484,0.0329742431640625,0.00048828125,0.2159423828125,-0.0238037109375,-0.02685546875,-0.00342941284179685,-0.011017441749572754,-0.03387451171875,0.042724609375,-0.02203369140625,-0.01318359375,-0.0445556640625,0.002197265625,-0.18389892578125,0.0137481689453125,-0.0400390625,-0.00634765625,-0.020355224609375,0.0016517639160156502,0.0015716552734375,-0.0164794921875,0.001251220703125,0.02105712890625,0.0654296875,0.0001220703125,0.00175666809082035,0.0041351318359375,0.01300048828125,0.0077056884765625,-0.010345458984375,0.022064208984375,0.014007568359375,0.013916015625,0.0081939697265625,-0.006134033203125,-0.003570556640625,0.0038299560546875,-0.045654296875
