layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.004831123352050785,-0.01883544921875,-0.045617167154947916,-0.060225423177083334,-0.06510260899861654,-0.26492513020833336,-0.01858495076497396,-0.29795735677083335,-0.0338653564453125,-0.29371744791666665,0.030956522623697916,0.00693295796712239,-0.055133056640625,-0.053281275431315105,-0.0043548583984375,-0.17626113891601564,-0.07546793619791667,-0.0432525634765625,-0.1976954142252604,-0.06909993489583334,-0.03764673868815104,-0.0013865152994791666,-0.06539713541666667,-0.050697580973307295,-0.0552001953125,-0.06556396484375,-0.160302734375,-0.0031580607096354167,-0.0334686279296875,-0.005386861165364587,-0.18707682291666666,-0.1413164774576823,-0.190869140625,-0.139599609375,-0.16982421875,-0.08189926147460938,-0.16570638020833334,-0.14930013020833333,-0.010110092163085938,-0.048175048828125
1,0.0022738138834635436,-0.031203206380208334,-0.022454325358072916,-0.08689778645833333,-0.102978515625,-0.01614201863606771,-0.05156097412109375,-0.378076171875,0.0008580525716145866,-0.30909830729166665,0.015853373209635417,-0.0641802469889323,-0.09078776041666667,-0.06405232747395834,-0.36015625,-0.0008847554524739634,-0.07576904296875,-0.73466796875,0.053324381510416664,-0.14778849283854167,0.09360707600911458,-0.047723388671875,0.07282028198242188,-0.10937601725260417,-0.012272135416666666,-0.00263341267903646,0.01671905517578125,-0.5240926106770833,0.001791556676228835,-0.69697265625,0.02103271484375,-0.008234659830729166,0.028065999348958332,-0.09464518229166667,-0.06136474609375,-0.005583445231119794,0.008024851481119793,-0.0059364318847656234,0.0054745992024739605,-0.005229949951171877
2,-0.24482421875,-0.127569580078125,-0.05618438720703125,-0.0187164306640625,-0.4820638020833333,-0.06539713541666667,-0.004145558675130207,-0.0005043029785156266,-0.027615992228190105,-0.0017537434895833334,-0.1052191416422526,-0.06729329427083333,0.0033772786458333335,0.04301923116048177,0.0008836348851521768,0.021265665690104168,-0.005749511718749997,0.04970194498697917,-0.3747202555338542,0.01634546915690104,-0.2936052958170573,-0.160107421875,-0.16138916015625,-0.008524068196614583,-0.06064046223958333,-0.008926137288411457,-0.015423075358072916,0.010039774576822917,-0.10679117838541667,-0.12117513020833333,-0.055863444010416666,-0.026816813151041667,0.019783528645833333,-0.019604237874348958,0.01995849609375,-0.2659505208333333,-0.21036783854166666,-0.036009724934895834,-0.5798543294270834,-0.047281901041666664
3,-0.2640411376953125,-0.05097198486328125,0.036210123697916666,-0.211181640625,-0.21057993570963543,-0.06881052652994792,0.006591796875,-0.10975545247395833,-0.031921513875325526,-0.031030782063802085,-0.564697265625,-0.16586100260416667,-0.4018473307291667,-0.29778645833333334,-0.41484375,-0.08029276529947917,-0.0075167338053385435,-0.051215108235677084,0.010258992513020834,-0.0918243408203125,-0.07486165364583333,-0.05556767781575521,-0.037394205729166664,-0.080780029296875,-0.0544189453125,-0.04663492838541667,-0.10635172526041667,-0.06305007934570313,-0.04259923299153646,-0.038763427734375,-0.1205596923828125,-0.09910176595052084,-0.030599975585937505,-0.09777297973632812,-0.07923126220703125,-0.011470794677734377,-0.01923828125,-0.06489588419596354,-0.03516387939453125,0.0036449432373046866
4,-0.45926106770833336,0.10228678385416666,0.02287445068359375,-0.029644775390625,-0.17054087320963543,-0.07602564493815105,0.024662272135416666,-0.10393880208333334,-0.07089207967122396,-0.10528208414713541,0.018648274739583335,0.00593414306640625,-0.0927734375,0.025,0.040547688802083336,-0.13082682291666667,-0.142596435546875,-0.26487630208333335,0.049515787760416666,0.08787841796875,-0.00329920450846354,-0.12503255208333333,-0.05133260091145833,-0.040911865234375,-0.08638509114583333,-0.053531646728515625,-0.05982271830240885,-0.044227854410807295,-0.04529520670572917,-0.10364659627278645,-0.19556172688802084,0.0010386149088541666,-0.30807902018229166,-0.08746439615885417,-0.06839599609375,-0.029056421915690103,-0.015512593587239583,-0.04335581461588542,-0.06387583414713542,-0.017313385009765626
5,-0.024885050455729165,0.022979927062988282,0.005692036946614584,9.479125340778124e-05,0.07218424479166667,-0.006715901692708333,0.00496781667073568,-0.013572184244791667,-0.00014190673828124665,0.00247468948364258,-0.019769159952799476,0.00024216771125793585,-0.006320921579996748,-0.005821291605631507,0.00031581521034241243,0.00360565185546875,0.019173177083333333,0.010667928059895833,0.0296630859375,0.0124267578125,-0.013067690531412764,-0.0009800593058268134,-0.021143086751302085,-0.012585353851318358,-0.00466836293538411,0.12892252604166668,-0.022167650858561195,-0.0008056640625,0.0014019012451171925,-0.013259124755859374,-0.0016245524088541667,-0.01819254557291667,-0.004508399963378906,-0.0025643666585286468,0.0038075129191080664,-0.01208470662434896,-0.040316263834635414,-0.013013712565104167,0.05743001302083333,0.00154294967651367
6,0.038614908854166664,0.059748331705729164,0.01227874755859375,0.015531412760416667,-0.029901123046875,-0.16845703125,0.04641316731770833,0.19895833333333332,0.08617045084635416,-0.0073911031087239565,-0.0196502685546875,0.0024007161458333335,-0.0061347961425781234,0.01278483072916667,-0.013410441080729167,-0.004320526123046877,0.018009694417317708,0.009746297200520834,-0.00077362060546875,0.0032393455505371066,-0.009073638916015623,-0.00034198760986328333,0.009852091471354166,0.0013668060302734401,-0.010884602864583334,0.0015939076741536468,0.02366943359375,0.017794291178385418,0.0218994140625,0.004500579833984373,0.003952534993489584,0.0075897216796875,0.062469482421875,-0.0011499722798665364,0.0066182454427083336,-0.06551767985026041,-0.06971333821614584,-0.017770131429036457,0.011273193359375,0.014084879557291667
7,-0.0013467152913411468,-0.0024772961934407534,0.0005860646565755167,-0.004301071166992194,-0.00479637781778971,0.029532877604166667,0.027685546875,0.0008079528808593734,0.024019368489583335,0.014055887858072916,0.0074656168619791664,0.0010345458984375,0.014510345458984374,0.0007471084594726467,0.014197794596354167,0.002720133463541667,0.0023106892903645834,0.015000406901041667,-0.0061304728190104164,0.006011454264322916,0.018143717447916666,0.013557942708333333,0.0022858619689941433,-0.01676457722981771,0.0037284851074218766,-0.015224202473958334,-0.0018153508504231734,-0.0011375745137532567,-0.00079479217529297,0.004345464706420896,0.00039846102396646696,0.008629544576009117,-0.01959711710611979,-0.236737060546875,-0.039998372395833336,-0.04946695963541667,0.03164469401041667,0.0023015340169270835,0.00289154052734375,0.03851725260416667
8,0.00010045369466145672,-0.04821370442708333,-0.02595799763997396,0.0004776636759440034,-0.05626843770345052,0.05628662109375,-0.04331563313802083,0.013872273763020833,0.0020731608072916668,0.00041942596435547337,-0.012209065755208333,0.011708831787109377,0.03805338541666667,0.014609273274739583,0.05218098958333333,0.00178082784016927,0.0020604451497395833,-0.00571416219075521,-0.003807830810546874,-0.013205718994140627,0.0031656265258789033,0.0014955838521321567,0.00027974446614582334,0.00091870625813802,0.0016419569651285799,-0.0066662470499674435,-0.00462188720703125,0.04389114379882812,0.0019261678059895833,-0.002739715576171873,0.00101490020751953,0.00014382203420002827,-0.0015818436940511166,-4.402399063111778e-05,0.002995936075846357,-0.00258903503417969,0.00323925018310547,0.00090192159016927,0.029231770833333334,0.003446197509765623
9,0.0037750244140625036,0.0157958984375,0.004042307535807294,-0.024845377604166666,0.046366373697916664,0.003891754150390623,-0.004614194234212239,-0.0030704498291015633,-0.0038145065307617202,-0.03143666585286459,0.003934669494628904,0.030131022135416668,0.022411092122395834,-0.026229349772135414,-0.03455403645833333,-0.08569539388020833,-0.00123755137125651,-0.10104166666666667,-0.006183751424153647,-0.002373504638671877,0.00037244160970052005,-0.003936004638671873,-0.01923567454020182,0.00407867431640625,0.017369556427001952,-0.006067911783854167,-0.00379180908203125,0.00196558634440104,-0.00168959299723307,0.0024986902872721297,0.00529963175455729,0.00324554443359375,-0.004002888997395833,-0.007775624593098956,0.005629094441731774,-0.008643786112467446,-0.009174601236979166,-0.007664632797241208,0.011028734842936195,0.10069173177083333
