layer,head,avg_sas_change,frequency
8,11,0.033400953702780525,40
14,19,-0.00029226190624863775,34
9,27,-0.021432764747166988,32
5,4,-0.014667422880990107,30
5,11,-0.07067131342960233,29
13,18,0.08523583043762781,28
15,30,-0.03599469838060093,24
11,12,0.06506320648912348,20
10,2,0.08071960400477984,19
10,1,-0.2691675339685459,17
16,23,-0.07208353065487928,17
9,31,0.005399005437259448,15
4,16,-0.1688143248841854,11
5,8,-0.026845223446874088,10
5,10,-0.009027723788698904,10
8,8,0.16926392486148495,8
16,20,0.12476040626407425,8
13,21,-0.2670812980721688,7
10,18,0.1961248136449743,7
5,6,-0.048628215679767765,7
14,5,-0.3821046959092853,6
14,17,0.7727878575295787,5
8,0,0.4180983028765077,5
14,13,0.36284577334933404,5
6,29,0.0946043831159068,5
0,0,-0.024649171223319697,5
15,28,-0.09894186650749245,4
23,10,0.06306915370672037,4
21,22,0.020456473689100994,4
16,1,-0.47227490866915023,3
5,5,0.08576761848835894,3
9,13,0.0642734746599372,3
19,12,0.005043137834833134,3
10,28,0.564485793838388,2
8,31,-0.2701490265982492,2
13,5,0.11366608902648255,2
5,22,-0.0613984838377273,2
5,21,0.046275393582081194,2
9,12,0.03105174433407845,2
13,20,-1.0240926375755897,1
20,23,-0.1157226562499999,1
24,7,0.0614651513386921,1
8,14,0.059413312429405,1
16,21,-0.0564922186044547,1
21,21,-0.0521883638749211,1
6,28,-0.0355140378016122,1
17,9,-0.0314677072607953,1
11,6,0.007174426023201,1
13,8,0.0071671592815039,1
